date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,重估增值合計,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,1166381,166293,1525145,214795,548610,200108,,38957.0,375.0,215641,,18891,,91088,,,,271891,153203,,846,646752,,458468,5045.0,228573,537485,451561.0,16140,,501919,1884521,2013年03月31日,873884,,4225422,4192421,0,602270,967776,2809385,,78530,,,60960.0,,48991,,785095.0,40984.0,0,1884521,,,1321560.0,567114,567114,,5546982.0,15707,241932,81893,61701,,,,33001,353784,2737597,,0
2013-08-12,2,2013,1231012,177198,1315848,212067,545882,568178,,36267.0,0.0,233486,0.0,23112,23112.0,113733,75769.0,37964.0,19738.0,263908,168711,12483.0,21419,709972,,579582,31254.0,277386,765603,532508.0,26151,263908.0,490787,1884521,2013年06月30日,625942,,4028498,4000969,0,640915,1537911,3093609,,80366,,,60960.0,,48991,,678522.0,42108.0,0,1884521,,,1883657.0,567114,567114,,5912155.0,16291,230853,81838,63630,0.0,,46072.0,27529,345746,2818546,90418.0,0
2013-11-11,3,2013,1282526,170553,1673020,143515,326284,249262,,20645.0,69110.0,150059,0.0,22302,22302.0,92696,82896.0,9800.0,29780.0,262383,98456,15499.0,6544,680797,,582356,60300.0,236857,800221,447227.0,20941,262383.0,661474,1884521,2013年09月30日,983114,,4305783,4274714,0,640915,1284763,3231431,,78729,,,60960.0,,48991,,861330.0,34743.0,98747,1884521,,,1668867.0,567114,567114,,5974650.0,196,238464,121721,64237,0.0,,45264.0,31069,384104,2743219,7913.0,0
2014-03-28,4,2013,1271743,133567,1739337,146158,328927,317576,21147.0,,0.0,192257,,10251,10251.0,98393,74506.0,23887.0,30609.0,278918,278324,201841.0,46099,818478,,653849,,228470,1171353,20883.0,20754,278918.0,700987,1884521,2013年12月31日,1049431,,4418541,4383229,0,640915,1368666,3286942,,77429,,,60960.0,,48991,,878729.0,47308.0,90059,1884521,,,1779601.0,567114,567114,,6198142.0,6,278352,132017,59263,,,45874.0,35312,410935,2911200,,0
2014-05-06,1,2014,1235994,131920,1791461,198650,381419,233156,25256.0,,,237810,,8082,8082.0,108282,66900.0,41382.0,33436.0,274422,302630,223806.0,39160,744784,0.0,610323,,216420,1220299,845.0,25520,274422.0,706151,1884521,2014年03月31日,1101555,,4518885,4480906,0,640915,1352213,3317372,,76515,,,60960.0,,48991,980360.0,,60704.0,135661,1884521,,,1752751.0,567114,567114,,6271636.0,62611,237282,126116,58675,,,45388.0,37979,400538,2954264,,0
2014-08-08,2,2014,1403790,128437,1552614,199406,382175,671809,23153.0,,,198210,,15500,15500.0,126550,76286.0,50264.0,34360.0,268526,248267,169581.0,-1196,719691,0.0,687768,,240628,1412184,828.0,27673,268526.0,670665,1884521,2014年06月30日,804608,,4279649,4202459,0,699015,1899629,3456756,,153223,,,60960.0,,48991,1024584.0,,74388.0,133284,1884521,,,2285643.0,567114,567114,,6565292.0,53099,145246,117488,61019,,,44326.0,77190,386014,3108536,,0
2014-11-07,3,2014,1640165,114616,1741668,187699,370468,351672,25858.0,,,249215,,15813,15813.0,118313,94914.0,23399.0,25410.0,263085,111878,41114.0,61516,760430,0.0,813965,,266828,1559289,843.0,40651,263085.0,718003,1884521,2014年09月30日,993662,,4525264,4442518,0,699015,1750765,3506051,,153940,,213552.0,0.0,,48991,810178.0,,59538.0,182907,1884521,,,2146776.0,567114,567114,,6672040.0,34184,2795,132926,56919,,,45354.0,82746,396011,3165989,,0
2015-03-23,4,2014,1765981,110057,1858272,150312,333081,403652,26297.0,,,281811,,22935,22935.0,126285,83782.0,42503.0,37223.0,282308,126531,42889.0,131499,830318,0.0,847741,,249739,1575916,0.0,24415,282308.0,753433,1884521,2014年12月31日,1110266,,4699101,4591718,0,699015,1768980,3557896,,175948,,,0.0,,48991,1000962.0,,88926.0,93649,1884521,,,2193943.0,567114,567114,,6893044.0,36041,0,142655,70117,,,46419.0,107383,424963,3335148,,0
2015-05-12,1,2015,1738179,99802,2024538,172971,355740,336176,26891.0,,,279387,,23818,23818.0,156534,120664.0,35870.0,41611.0,276700,136567,49292.0,106416,817104,0.0,791016,,229450,1549388,0.0,28469,,755721,1884521,2015年03月31日,1276532,127081.0,4866385,4755560,0,699015,1645095,3600475,276700.0,173013,,,,0.0,48991,,1046598.0,,93031,1884521,6929224.0,2062839.0,,567114,567114,6929224.0,,17632,2382,141044,69727,,,45664.0,110825,417744,3328749,,0
2015-08-10,2,2015,1718503,87617,1823491,175236,358005,723956,24434.0,,,248128,,19748,19748.0,108700,92426.0,16274.0,38905.0,270604,137986,54341.0,72892,803867,0.0,816968,,257529,1600162,0.0,29380,,762012,1884521,2015年06月30日,1024694,66261.0,4636044,4523254,0,749806,2008519,3776287,270604.0,172119,,,,0.0,48991,,1233286.0,,91275,1884521,7077164.0,2441120.0,,567114,567114,7077164.0,,8348,892,161997,64635,,,44740.0,112790,432601,3300877,,0
