date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-08-12,2,2013,,,0,658387,0,301119,,122951,43910,2594,41446,2592,2592,1020,2008,42004,586973,,,,,67450,8,1494,75,570000,1740,3801,44,2008,609000,2013年06月30日,231440,,,1078683,1078683,0,39729,749559,1480584,,1242,29950,,309178,11764,,499315,609000,,,1106331,127118,,2185014,,,16464,2797,338300,0,356772,704430,5234,0
2013-11-08,3,2013,,,96154,665486,0,326835,,56078,41306,2516,32668,98459,2305,1315,2014,27989,561767,,,,,32285,28,201,32,497908,1725,5582,74,2014,609000,2013年09月30日,257156,,,1095621,1095621,0,39729,630185,1344700,,989,29950,,267964,14678,,387118,609000,,,947457,127118,,2043078,,,16858,3914,298400,0,317272,698378,5849,0
2014-03-19,4,2013,,,84615,690028,0,361706,,63097,29157,1876,46914,86309,1694,677,260,11436,592292,,,,,46578,108,1199,91,444358,0,33205,71,260,609000,2013年12月31日,287724,,,1144738,1144738,0,39729,621591,1379482,,855,34253,,302334,19297,,375755,609000,,,940951,127118,,2085689,,,20600,3888,298500,0,319360,706207,4669,0
2014-05-07,1,2014,,,100000,666558,0,404104,0,62505,6000,5694,43599,102309,2309,784,260,12488,636849,,,,,57925,24,573,12,536484,,14104,0,260,680000,2014年03月31日,330122,,,1393821,1393821,0,39729,581236,1560517,,601,34253,358861,,26465,1,325423,680000,,,851871,266118,,2245692,,,21775,5528,248600,0,270635,685175,7740,0
2014-07-30,2,2014,,,100000,691114,0,359281,,175764,13615,15248,28222,103453,3453,826,262,8006,580788,0,,0,,50997,20,1620,7419,561895,0,37747,0,262,680000,2014年06月30日,274171,,,1333621,1333621,0,50857,611137,1508486,,783,34253,308008,,24152,,234097,680000,,,880994,266118,,2214615,,,20895,6226,248700,,269857,706129,3974,0
2014-11-03,3,2014,,100000,100000,688587,0,411578,,68896,4964,5015,49635,104617,4617,88176,263,9820,654418,0,,0,640197,33447,36,1551,3756,568325,1575,52900,0,263,680000,2014年09月30日,326468,,,1474756,1474756,0,50857,546949,2092700,,821,34253,710579,,19970,,309712,680000,,,1322762,333543,,2797518,,8219,28334,5590,98800,,775813,704818,11712,0
2015-04-27,1,2015,,100000,100000,695065,,508159,,68282,7418,4723,69154,106188,6188,41543,0,19606,650342,0,,0,647891,56934,347,2216,2526,566184,415,87831,332,,680000,2015年03月31日,423049,31209,0,1590856,1590856,0,50857,449715,2057948,0,566,34253,,700517,,,174595,680000,2780022,1189166,,333543,2780022,,,7859,34701,6837,49000,,739451,722074,6061,0
2015-08-04,2,2015,,100000,100000,726265,,372344,,175576,4629,5449,55652,106657,6657,39126,0,18013,616195,0,68000,0,651773,50089,4,2000,2427,543392,133,91817,344,,680000,2015年06月30日,266331,27130,,1509539,1509539,0,71760,541131,2031568,0,438,34253,,730613,,,172619,748000,2783256,1273717,,333543,2783256,,,10092,21621,6972,49100,,732586,751688,4499,0
2015-11-03,3,2015,,99200,99200,779210,,442546,,66550,7523,3609,90899,106217,7017,37613,0,19743,625469,0,,0,655678,51586,421,2604,2926,565806,161,96286,256,,748000,2015年09月30日,336533,24373,,1614988,1614988,0,71760,403996,1912399,0,354,34253,,574569,,,141796,748000,2717122,1102134,,333543,2717122,,,12251,30209,5416,0,,698138,804723,8630,0
2016-03-22,4,2015,,99300,99300,832040,,467896,,96592,26557,6384,58688,102722,3422,25514,,46988,547162,,,,659606,41744,502,1919,2349,462268,1204,98119,,,748000,2015年12月31日,361883,26920,,1608127,1608127,0,71760,443109,1857913,,369,34253,,713568,,,143804,748000,2750074,1141947,,333543,2750074,,,15132,24100,12764,0,,698838,892161,3694,0
