date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,催收款項,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他預付款,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,庫藏股票,待註銷股本,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,生物資產－流動淨額,生物資產－非流動合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－處分資產增益,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應收票據及款項淨額,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預付貨款,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,,,400000,2574457,67974,95614,,90289,12680,,,265828,43009,-15852,,,511330,111330,,,,,23174,278889,16048,153438,98976,,1128983,12583.0,1116400.0,203876,,,,339726,97000,191264,545490,271827,253652,79555,262841.0,182540,1892890,3533360,2013年03月31日,-211944,,3423260,3419457,13680042,66781.0,2184958,3278471,,1969,240777,,622698.0,20513,7961,779790,3533360,,,4838384.0,10211,,,,,,,8261644.0,20,,32263,222537,89264,2152000,34724,37373,3803,2653426,4983173,190192,58167,91216,0
2013-08-13,2,2013,,,105000,2569003,66638,112695,,49509,9628,,,331349,72284,-15273,,,248024,143024,,,,,21199,265014,15497,156102,73716,,848143,12583.0,835560.0,203876,,,474612.0,441236,70000,185429,691937,246659,177088,83936,249517.0,182400,1938113,3533360,2013年06月30日,-128082,,3453659,3450676,13680042,0.0,1641729,3088297,,1672,240777,,677314.0,18200,9006,365441,3533360,,,4645952.0,23770,,,,,,,8099611.0,250,4700.0,79143,222537,78752,2037360,37221,37836,2983,3004223,5011314,144084,59846,70368,0
2013-11-11,3,2013,,,185000,2626081,66031,168892,,49295,5771,,,344599,60525,-22767,,,340791,155791,73531.0,,,,28441,268235,15930,160986,78632,,829326,12861.0,816465.0,203876,,,476788.0,354406,145000,402993,829858,229301,192440,57873,252305.0,181346,1882267,3533360,2013年09月30日,-71885,,3502446,3499379,13680042,0.0,1865597,3288709,,1755,240777,,772709.0,19836,9593,275670,3533360,,,4794944.0,23770,,,,,,,8297390.0,2138,5550.0,52383,222537,74851,1956237,42156,37076,3067,2929347,5008681,121632,53313,43000,0
2014-03-26,4,2013,,,358000,2610606,61272,-37018,,50496,2505,,,217172,17568,-14151,,,614919,256919,59581.0,59581.0,,,20809,258657,23041,103650,99595,,797611,5832.0,791779.0,203876,,,478965.0,213341,120000,268100,431693,383888,126105,70242,235616.0,179831,1916107,3533360,2013年12月31日,-277794,,3306713,3302085,13680042,0.0,1740440,2773571,,61229,240776,,614191.0,17825,10200,306908,3533360,,,4490537.0,23770,,,,,,,7797250.0,0,5450.0,22907,222537,78279,1784488,45290,37551,4628,2750097,5023679,181464,0,81869,0
2014-05-09,1,2014,,,484747,2578892,62028,-13018,,54516,2354,,,210056,22038,4699,,,701340,216593,52203.0,52203.0,,,23839,253407,23510,158723,87326,,790179,5832.0,784347.0,203876,,0.0,481141.0,352914,130000,195841,461578,386083,118853,14007,229897.0,178608,1979517,3533360,2014年03月31日,-253794,,3349619,3344935,13680042,0.0,1939143,2900259,,74887,240776,559184.0,,17207,10274,348992,3533360,,,4674028.0,23770,,10211.0,0.0,,13559.0,,8023647.0,0,2800.0,23674,222537,78105,1775000,51011,36951,4684,2734885,5123388,400737,46922,313411,0
2014-08-11,2,2014,,,709745,2615920,60724,-34441,,56534,1715,,0.0,274545,41906,2426,,,979376,269631,47352.0,47352.0,,,21486,249051,23736,111494,104444,,1001487,0.0,1001487.0,203876,0.0,0.0,483317.0,365807,294000,275943,572323,451930,126213,12987,225315.0,182382,2052386,3533360,2014年06月30日,-275217,,3325915,3321239,13680042,,2722144,3802611,,70403,240776,930409.0,,15740,9560,530833,3533360,,,5659559.0,23770,0.0,10211.0,0.0,0.0,13559.0,,8985474.0,1640,3400.0,44252,222537,78279,1979110,49169,36018,4676,2937415,5182863,501478,4821,397034,0
2014-11-11,3,2014,,,636724,2604765,61428,37815,,52163,1245,,0.0,337658,32892,-2376,,,957669,320945,25346.0,25346.0,,,22092,245274,23795,109986,103109,,886954,0.0,886954.0,203876,0.0,0.0,485493.0,331280,94000,378827,738773,467005,166611,8144,221479.0,181140,1941639,3533360,2014年09月30日,-202961,,3393403,3388693,13680042,0.0,2556008,3643985,,66278,240776,1018575.0,,13759,10204,456535,3533360,,,5300410.0,23770,0.0,10211.0,,0.0,13559.0,,8693813.0,39,5350.0,46030,222537,73143,1785748,49169,33768,4710,2744402,5049828,187733,4957,84624,0
2015-03-27,4,2014,487669.0,263850.0,751519,2593573,63158,20044,,52120,1975,,,307342,14417,-3353,,,997327,245808,29494.0,,,,21437,242522,22619,108152,94468,,762433,0.0,762433.0,203876,,0.0,0.0,215114,120000,171034,456787,377995,116457,7313,219903.0,182919,1979257,3533360,2014年12月31日,-220732,,3374695,3369945,13680042,,2342356,2696076,,65333,240776,486887.0,,13899,10570,525439,3533360,,,4400965.0,23770,,10211.0,,,13559.0,,7775660.0,6100,0.0,38718,222537,74647,1593550,45274,33696,4750,2058609,5079584,339556,7745,245088,0
2015-05-11,1,2015,489845.0,437978.0,927823,2101869,62730,-9289,,55700,1721,,0.0,234649,22184,-10984,,,1188552,260729,27631.0,27631.0,,,26359,267429,29273,103741,85708,,730010,0.0,730010.0,203876,0.0,0.0,0.0,281152,330000,204649,507524,406245,103462,18625,,640427,2001119,3533360,2015年03月31日,-250065,,3337804,3332981,13680042,0.0,2584334,2689969,238156.0,61150,240776,,676887.0,13726,10861,339917,3533360,7748000.0,4410196.0,,23770,,,,,,7748000.0,,5415,0.0,39414,222537,74413,1335896,41667,33107,4823,1825862,5058031,88561,2608,2853,0
2015-08-12,2,2015,52253.0,356896.0,409149,2067838,61684,-21919,-2675.0,43689,1405,,0.0,261866,42655,-9812,0.0,0.0,691957,282808,28951.0,28951.0,,,24376,260083,25920,101363,77716,-7137.0,813947,,813947.0,203876,0.0,0.0,0.0,333190,455000,257612,612150,359234,120764,12276,,639177,2052757,3533360,2015年06月30日,-262695,767.0,3326376,3321523,13680042,0.0,2450148,3025752,234163.0,58667,240776,,592743.0,16964,10603,449032,3533360,8091685.0,4765309.0,,23770,12119.0,10211.0,0.0,0.0,1440.0,8091685.0,,724,0.0,29884,222537,72439,1832541,41314,32477,4853,2315161,5065933,352495,3196,274779,0
