date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他長期投資（淨額）,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,存貨－買賣業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,14800,1923433,143599,3661893,1349706.0,1777269,,125726,,18029,936,1318171,41336,26536,11688,810,328836,99068,5962,5962,-31535.0,5025,6139,803766,,,126809,87975.0,,152374,,0,129800,291379,20637,124571,323811.0,2707906,341943,2200000,2013年03月31日,473513.0,,,7111888,7100042,7930000,606546.0,923394,3777234,,2581834.0,,586850.0,28451.0,937.0,439864,2200000,,,5843,,2025374.0,46787,,9137262.0,,0.0,741940,144079,31204,85088,11846,1101980,5360028,1069.0,53197,0
2013-08-13,2,2013,13961,1915619,143599,3501714,,2069484,,398585,,13985,912,1606855,45480,31519,12285,810,329459,98031,5027,5027,,4960,5564,772490,,,126809,0.0,,97658,,0,135158,324131,22875,221248,324499.0,2707870,338197,2200000,2013年06月30日,,,,7240785,7228547,7930000,,1253185,4237393,,,,689453.0,4194.0,1088.0,566267,2200000,,,5843,,2358711.0,46787,,9599496.0,0.0,0.0,742101,158787,33966,85554,12238,1105526,5362103,1076.0,109442,0
2013-11-13,3,2013,18550,1902949,143599,3599139,,2053965,,219732,,16237,781,1580859,24553,6003,13833,810,330002,95675,4088,4088,,4943,5592,733575,,,126809,0.0,,117872,,0,136044,296106,21124,184836,325059.0,2707839,341637,2200000,2013年09月30日,,,,7325307,7307906,7930000,,1007582,4117757,,,,759391.0,11144.0,1062.0,492153,2200000,,,5843,,2134168.0,54717,,9459475.0,241.0,0.0,740707,150019,55877,82549,17401,1126586,5341718,2636.0,36847,0
2014-03-26,4,2013,17433,1886678,143599,3616219,,2237317,0.0,174052,,16333,1348,1790250,22062,4629,81934,810,329264,96543,3049,3049,,3435,5361,703709,703709.0,,126809,0.0,,86114,7807.0,0,109832,305259,24443,161162,325829.0,2707809,359579,2200000,2013年12月31日,,,,7547020,7534377,7930000,,856423,4177782,,,,613668.0,9969.0,1076.0,440744,2200000,,,5843,,1975333.0,54717,,9522353.0,,576.0,741493,150363,48153,83075,12643,1118910,5344571,4248.0,30957,0
2014-05-12,1,2014,18176,1891730,143599,3616324,,2126694,0.0,128914,,17300,923,1649603,24137,5961,76495,810,329611,96982,2151,2151,,3466,5444,749839,749839.0,,126809,0.0,0.0,103365,0.0,0,139559,255450,25176,146612,326145.0,2707778,350362,2200000,2014年03月31日,,,,7403245,7393835,7930000,,858488,4038648,,,597735.0,,11815.0,3635.0,444855,2200000,,,5843,,1976824.0,54717,,9380069.0,,793.0,743064,150970,45661,83150,9410,1118336,5341421,5427.0,37996,0
2014-08-12,2,2014,18089,1885763,143599,3415673,,2356307,0.0,377815,0.0,11971,816,1864373,24194,6105,81694,810,324767,96286,2091,2091,,3500,5577,767757,767757.0,,126809,,0.0,98846,0.0,0,130758,383597,21111,175875,321267.0,2707748,333432,2200000,2014年06月30日,,,,7415012,7407954,7930000,,1118647,4321180,,,478802.0,,12372.0,2614.0,467901,2200000,0.0,,5843,,2225038.0,54717,,9640050.0,918.0,0.0,740701,152042,40923,81005,7058,1106391,5318870,6803.0,40636,0
2014-11-12,3,2014,17070,1868831,143599,3560189,,2214450,,394418,0.0,8956,712,1687395,28773,11703,67056,810,322635,91744,1651,1651,,3505,7046,702799,,702799.0,118879,,0.0,126618,0.0,0,137770,310710,25041,127943,319130.0,2707717,347601,1980000,2014年09月30日,,,,7178019,7171352,7137000,,1138362,4106616,,,594687.0,,15161.0,2788.0,429779,1980000,0.0,,5843,,2240054.0,62647,,9418073.0,0.0,6169.0,744708,151965,34349,82237,6667,1101692,5311457,0.0,45305,0
2015-03-26,4,2014,16248,1854504,143599,3629762,,2158225,0.0,171320,4972.0,28591,716,1609494,19102,2854,85699,810,325378,94437,1914,1914,,3407,7134,667021,667021.0,,118879,,0.0,82990,376.0,59959,153857,330237,19108,144389,321971.0,2707687,331891,1980000,2014年12月31日,,,,7165618,7163024,7137000,,957493,3944065,,,465966.0,,22383.0,191.0,436691,1980000,,,5843,,2060767.0,62647,,9226385.0,,13226.0,749264,150202,28632,84579,2594,1103274,5282320,0.0,30696,0
2015-05-13,1,2015,15778,1843631,143599,3635966,,2283075,0.0,129003,4839.0,22837,733,1722989,21003,5225,89968,810,323679,92082,1575,1575,,3299,6576,672116,672116.0,,118879,,0.0,119616,0.0,29985,120603,226304,17161,96244,,2707656,322162,1980000,2015年03月31日,,29816.0,2861.0,7282204,7282723,7137000,,922396,4037508,320380.0,,,581262.0,,,461688,1980000,,9296842.0,5843,2014638.0,,62647,9296842.0,,,5155.0,744172,150204,24391,83121,-519,1092242,5259334,0.0,39792,0
2015-08-12,2,2015,14457,1823863,143599,3444135,,2363860,0.0,370264,1647.0,28520,588,1753484,20648,6191,56021,810,315775,91144,2468,2468,,3299,6503,708147,708147.0,,118879,,0.0,91233,0.0,59970,143108,318531,18296,163255,,2707630,277402,1980000,2015年06月30日,,16548.0,2840.0,7117690,7121387,7137000,,1304733,4309427,312476.0,,,623085.0,,,595472,1980000,,9500266.0,5843,2382576.0,,62647,9500266.0,,0.0,1843.0,741465,147201,20603,81363,-3697,1077843,5190839,0.0,24441,0
2015-11-11,3,2015,14320,1844981,143599,3627054,,1858152,0.0,180017,1997.0,12684,561,1204285,21814,7494,67384,810,304649,95395,3873,3873,,3299,5756,671390,671390.0,,118879,,0.0,120599,0.0,89974,134462,244698,20927,125826,,2707605,274245,1980000,2015年09月30日,,10556.0,3121.0,6768405,6762958,7137000,,1110725,3738782,301350.0,,,702991.0,,,544656,1980000,,8950534.0,5843,2182129.0,,70498,8950534.0,,807.0,0.0,747232,145927,19523,84956,5447,1071404,5211752,,31048,0
2016-03-28,4,2015,12218,1783218,143599,3693536,,1916986,0.0,206859,7971.0,57705,594,1291779,24494,12276,57410,810,256114,92299,2937,2937,,3310,5875,694774,694774.0,,118879,,0.0,67746,4.0,89961,147558,270505,23115,135881,,2707581,272372,1980000,2015年12月31日,,12039.0,300.0,6920941,6916934,7137000,,1056414,3858733,252804.0,,,683871.0,,,492249,1980000,,8996298.0,6521,2075357.0,,70498,8996298.0,,1012.0,0.0,745539,138496,17290,82677,4007,1018943,5137565,,17592,0
2016-05-11,1,2016,7643,1776741,143599,3724793,,2234856,0.0,172267,1568.0,12772,711,1514638,18128,10485,60180,810,232907,90177,2348,2348,,3310,5897,635960,635960.0,,118879,,0.0,99805,0.0,119954,112265,241212,17477,92618,,2707557,288016,1980000,2016年03月31日,,17391.0,2871.0,7174440,7171050,7137000,,1178312,4187709,229597.0,,,849802.0,,,625190,1980000,,9331878.0,6521,2157438.0,,70498,9331878.0,,5223.0,0.0,741772,138079,4447,81122,3390,979126,5144169,,39250,0
2016-08-11,2,2016,7075,1780724,143599,3518338,,2030690,0.0,418670,9212.0,13790,551,1300592,25882,18807,43548,810,235673,89140,2845,2845,,4955,5974,754536,754536.0,,118879,,0.0,85596,0.0,149904,155452,233487,15285,181544,,2707532,283123,1980000,2016年06月30日,,15636.0,2879.0,6753633,6750549,7137000,,1574264,4159724,230718.0,,,849552.0,,,695335,1980000,,9308976.0,6521,2555343.0,,70498,9308976.0,,12056.0,0.0,742095,145134,3311,79511,3084,981079,5149252,,33862,0
