date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應收票據－關係人淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－合併溢額,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,重估增值合計,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,14707439,15587161,-563372,668698,11687186,3502042,153295,372620,-541085,2700856,511750,2688502,1319743,22287,11344190,320839,75538.0,,2467643,7831315,229432,229905,307783,31254,7940984,865051,1117054,1089307,14317,2192816,4716991,18486709,2013年03月31日,7516182,,41888977,39574622,22365800,4333193,18498449,37888427,83389,,284426.0,3737786,,12830071.0,548880.0,2845049,18731194,,271706,69008,,31979432.0,6118191,4762,139800,0,227397,,5652937,93295,,73868409.0,227,113573,1856933,1272418,0.0,6398897,2314355,13480983,35979982,507553,244485.0,24448500
2013-08-14,2,2013,15537303,14705324,-1200757,691420,10670283,5704072,163409,309032,-1311533,2831583,560849,2731526,998374,-110776,11075559,320839,75302.0,,2965641,8673861,183038,207387,183831,6424,9318889,675422,1065039,1408848,37554,2175588,4731863,18727172,2013年06月30日,6337875,,41929032,38921300,22365800,4629663,21508794,40785796,99200,,163025.0,3737786,,14423676.0,379671.0,3006558,19220940,,331869,91574,,34300640.0,6627408,4762,139800,0,227397,,6198601,56848,,76229672.0,500,246794,1924986,1231265,0.0,5078119,3007732,12791846,35443876,570978,493768.0,49376800
2013-11-14,3,2013,15349657,15742922,-1101472,858261,10635308,4239181,238469,382980,-1439253,2852737,765865,2708932,1088338,-337781,11334128,321563,74877.0,,2034378,8347065,133642,312258,178169,11543,8656348,873404,990015,1174813,9341,2141362,4751457,18936796,2013年09月30日,7375473,,43890161,40776426,22442022,4629663,19457202,40697805,95960,,146830.0,3737786,,14356932.0,393467.0,2724716,19696714,,262254,101680,,32088804.0,7097606,4734,139800,0,227397,,6703721,21954,,75978965.0,2170,315913,1886799,1219078,0.0,5899813,3113735,12631602,35281160,519629,759918.0,75991800
2014-03-24,4,2013,15132587,16606382,-629353,984570,10779025,4639317,203041,397370,-941494,3389880,959643,2131355,1137547,-312141,11193424,321563,58662.0,,1475700,7558564,79410,243436,352872,16923,8695223,575626,879132,1124336,38865,2299151,5019511,19646374,2013年12月31日,8238933,,46723974,42863434,22443022,4629663,19983776,40843355,320236,,106630.0,3737786,,14908571.0,510856.0,2916614,20026929,,274428,165929,,30166079.0,7493180,17595,139800,212,227397,79846.0,7028330,0,,76890053.0,1476,348455,1911053,1358641,,4498266,3860540,10182303,36046698,369807,380555.0,38055514
2014-05-14,1,2014,14948551,17467637,333961,990364,11699901,4257566,244742,467993,272417,3373160,1058968,2146271,1790151,-61544,11137487,321563,0.0,0.0,1470000,7169003,152663,256479,132854,3589,8752300,671443,952546,1122650,55880,2336936,5121932,20015244,2014年03月31日,9100188,,49000587,44978342,22443022,4629663,19140433,40774221,315366,,103935.0,3737786,14520253.0,,743722.0,2818243,20026929,,232985,179511,,29188656.0,7532922,4734,139800,212,227397,132449.0,7028330,0,,78189243.0,169,250214,1820557,1202185,,4431884,4022245,10048223,37415022,445446,11685.0,1168528
2014-08-14,2,2014,14699310,16734824,1567345,1132205,12866672,6963066,1251177,446328,1267356,3266357,1141816,2166895,1136770,-299989,11092168,321563,0.0,0.0,1443300,8527918,119452,265366,162395,4606,9587353,742619,965673,1194490,51706,2406939,5069704,20026929,2014年06月30日,7991388,,49126762,45278667,22443022,5005650,22681525,44004118,316435,,111436.0,3737786,15434733.0,,481903.0,2687556,20026929,,202373,181660,,32492499.0,7571121,4734,139800,212,227397,170648.0,7028330,0,,81619261.0,533,365133,1891427,1119313,,4127692,3848095,9810974,37615143,487281,0.0,0
2014-11-14,3,2014,14573067,17769032,1252588,1135472,12359618,4485196,223428,432216,1123141,2637048,930128,2182957,1437550,-129447,11490739,321563,0.0,0.0,1480200,8142088,109861,430938,195826,2814,8779113,639195,915686,1091176,43186,2530567,5147037,20026929,2014年09月30日,9025596,,50009115,46209085,22443022,5005650,19298029,42537704,170000,,119641.0,3737786,15844900.0,,279849.0,2773703,20026929,,240510,176680,,29853845.0,7611546,17596,139800,212,227397,198211.0,7028330,0,,79862960.0,196,422370,2048459,1107417,,4667520,3800030,10555816,37325256,470454,0.0,0
2015-03-20,4,2014,14738703,18398540,3166632,1252111,14155901,5240958,257896,627867,3519564,1800608,783890,2254241,1533083,352932,11555667,321563,0.0,0.0,1527600,7476672,87389,291341,119833,8850,8333056,585523,844335,998510,99132,2591956,5232739,20026929,2014年12月31日,9655104,,53242671,49224022,22443022,5005650,18134449,43266297,174250,,122540.0,3737786,17206411.0,,393743.0,2522551,20026929,,192504,226994,,29528996.0,7600552,17048,139800,212,227397,187765.0,7028330,0,,82771667.0,0,318399,1911066,1078738,,5474646,4018649,11394547,39505370,280960,0.0,0
2015-05-13,1,2015,14476533,19181697,2326322,1260136,12796759,4233868,269717,765596,2161057,1827363,1128245,2214188,1349837,-165265,11346602,321563,0.0,0.0,1513200,6427937,89208,264319,158052,10230,8393448,179525,991612,1085643,10218,2589678,5244017,20026929,2015年03月31日,10438261,621383.0,52724813,48656023,22443022,5005650,16267582,41407615,161377,117546.0,,3737786,,15089115.0,,2379151,20026929,79114780.0,256071,167565,26389967.0,,7607903,17596,139800,212,227397,194568.0,7028330,0,79114780.0,,0,323266,1894272,1088964,,4333160,4068790,10122385,37707165,446946,0.0,0
2015-08-12,2,2015,14418399,17891696,2336943,1413631,12711851,6882688,242763,828871,1963611,3107483,1057144,2218600,1390708,-373332,11364491,321563,0.0,0.0,3000000,7004467,109071,231032,99855,7808,8703939,157194,961493,1171601,11926,2580686,5233135,20026929,2015年06月30日,8838575,622090.0,51004349,47167976,22443022,5412342,20122931,42145627,163360,117546.0,,3640779,,15435742.0,,1841912,20026929,79764098.0,215212,213904,28759749.0,,7607303,17596,139800,212,227397,193968.0,7028330,0,79764098.0,,1313,244286,1819179,1120332,,1385135,3836373,8636818,37618471,435000,0.0,0
