date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待出售非流動資產,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付租賃款－流動,應收帳款淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2014-03-30,4,2013,8272,287774,262596,39838,9932,3464,5243,47411,,92340,41908,108343,108343,12212,2005,71364,71364,47411,277982,0,0,,,206152,1998,11417,472028,4277,285670,2013年12月31日,262596,,954004,788408,0,510059,1126323,3104,,226092,19532,138425,285670,,,555185,192731,0,192731,,1509189,1842,19591,16347,13323,10207,165596,45126,382866,33171,30743,0
2015-03-30,4,2014,9090,402014,334235,61029,12691,22305,0,94070,,91186,58142,182702,182702,11290,2945,87773,87773,94070,326723,,,,0,304231,0,8857,659189,0,300670,2014年12月31日,334235,,1177170,975459,0,709500,1406378,5333,160327,,11116,229076,300670,,,741708,246484,8630,237854,,1918878,171,13263,17380,7655,8345,201711,32208,512500,55132,15097,0
2015-05-12,1,2015,10334,399406,342733,50157,12193,18681,0,54298,,80161,57360,161277,161277,13126,2873,69573,69573,54298,324142,,,,0,255896,0,9225,529948,0,300670,2015年03月31日,342733,12284,1148130,946774,0,615573,1302426,5119,,216987,,204882,300670,1794813,646683,,249073,11219,237854,1794813,,0,9871,18289,8113,10253,201356,31110,492387,51391,3242,0
2015-11-06,3,2015,9701,390174,326382,107452,11394,25390,,89360,,85137,63368,170915,170915,13206,3035,71727,71727,89360,305230,,,,0,207291,,7783,550431,,338670,2015年09月30日,326382,14616,1305901,1108079,0,548381,1390593,5294,,291258,,122491,338670,1881310,575409,,353667,16113,337554,1881310,,0,11166,23522,2656,10171,197822,27028,490717,47369,4285,0
2016-03-28,4,2015,8357,375966,347318,70883,0,3394,,66885,0,79484,57650,133293,133293,11988,4296,71436,71436,66885,319539,,,,0,181649,,8458,535162,,338670,2015年12月31日,347318,12652,1316715,1109034,0,484613,1345152,5285,,304318,,139707,338670,1826942,510227,,356161,18607,337554,1826942,,238,11462,29103,2164,7692,207681,25614,481790,49446,5019,0
2016-08-12,2,2016,4661,349314,370165,93237,0,7928,,36122,0,95350,59340,87211,87211,9905,4221,79442,79442,36122,258263,,,33867,0,212377,,7585,660027,,338670,2016年06月30日,370165,22537,1354150,1137528,0,517735,1423760,5390,,368952,,94234,372537,1892645,538495,,358704,21150,337554,1892645,,0,9962,34739,893,5684,216622,20760,468885,41379,23764,0
