date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融資產－非流動,員工福利負債準備－非流動,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應收帳款淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,46622.0,0,46622,4728809,2915717,16859,988376,11665,265856,58398,11776,37729,90511,55569.0,296468,,176145,,,265856,34942,13679,1839720,1839720,0.0,,,3640993,119914.0,5348051,192283,3108261,2013年03月31日,2525137,,,6663444,6648360,0,390580,6163552,8808524,2733,0.0,,1362654.0,67558.0,14406.0,1275513,2525137.0,3108261,,12120,,,7202463.0,358526,28514.0,,321098.0,8914.0,321098.0,,13865907.0,680.0,2016,,133150,12514,815250,106644,15084,1038911,5057383,0.0,0
2013-08-09,2,2013,0.0,131250,131250,4855315,2551045,16958,1446718,17496,342365,145493,14243,79575,93190,55809.0,309135,,184057,,,342365,37381,17356,1939103,1939103,0.0,,41865.0,3587563,0.0,5426579,216325,3110562,2013年06月30日,2047780,,,6385540,6369582,0,503265,6799738,9183893,4757,0.0,,1504815.0,78621.0,0.0,1529443,2047780.0,3110562,,11900,,,7997394.0,365610,,,,,,,14382934.0,0.0,0,314.0,148820,12562,913781,107722,15958,1197656,5199041,,0
2013-11-08,3,2013,0.0,331250,331250,4943128,2821194,16715,936743,22137,289281,342598,11348,89278,75202,56057.0,320667,,197461,191.0,,289281,19145,17431,2071341,2071341,,,41019.0,3828435,149626.0,5618297,355641,3115708,2013年09月30日,2317929,,,6614789,6598375,0,503265,6915477,9401247,4019,0.0,,1244553.0,72563.0,0.0,1571715,2317929.0,3115708,,13797,,,8083708.0,372192,,,,,,,14698497.0,0.0,0,191.0,137948,12530,914062,105775,16414,1168231,5297250,,0
2014-03-24,4,2013,0.0,462500,462500,5093002,3010095,16847,906170,20171,374338,474713,12213,77210,68155,46111.0,343549,,221353,,,374338,22044,15285,1612170,1612170,,,41228.0,3415782,149635.0,5233783,329633,3124138,2013年12月31日,2506830,,,6907498,6890271,0,503265,6622432,9109439,3491,0.0,,1836472.0,63481.0,0.0,1598391,2506830.0,3124138,,14260,,,7663934.0,381700,29441.0,19029.0,344496.0,7763.0,325467.0,,14571432.0,0.0,0,98.0,149025,5006,783094,106911,17227,1041502,5461993,,0
2014-05-09,1,2014,0.0,462500,462500,5051081,3258843,17223,837544,18913,355413,474229,11729,128230,27332,,347320,,211239,,46451.0,355413,27332,30327,1658036,1658036,0.0,0.0,38708.0,3923090,149644.0,5207342,377583,3127205,2014年03月31日,2755578,,,7145995,7128257,0,503265,6380731,9143637,3252,,1750863.0,,76721.0,0.0,896085,,3127205,,23418,46451.0,,7428061.0,386796,30618.0,21558.0,348927.0,7251.0,327369.0,,14574056.0,0.0,2670,242.0,151464,11301,783375,105754,17738,1047330,5430419,,0
2014-08-11,2,2014,38512.0,462500,501012,5044446,2992851,16881,1431178,19347,260725,514141,13129,123057,21342,,329899,209963.0,209963,,46619.0,260725,21342,16833,1755544,1755544,,0.0,0.0,3967807,199587.0,5646763,245634,3130085,2014年06月30日,2405984,,,6792112,6773999,0,586867,7095454,9335104,2462,,1540382.0,,76057.0,,879918,2405984.0,3130085,,26766,46619.0,,7947891.0,390338,,,,,,,14740003.0,,4377,0.0,132070,11211,652406,103103,18113,852437,5404899,,0
2014-11-10,3,2014,37822.0,712500,750322,5078458,3448408,17195,1075532,26188,397041,769280,18958,135358,23099,,408448,288179.0,288179,,46859.0,397041,23099,15280,1998153,1998153,,0.0,0.0,4912283,199677.0,6336870,283032,3136011,2014年09月30日,2861541,,,7397262,7377788,0,586867,8101239,10863692,2008,,2078180.0,,84375.0,,1036540,2861541.0,3136011,,23552,46859.0,,8983875.0,396328,,,,,,,16381137.0,,5911,0.0,159990,11336,652688,104989,19474,882636,5517445,,0
2015-03-09,4,2014,9801.0,712500,722301,5099578,3999677,17890,1068330,63865,587189,736263,13962,86963,53484,35837.0,443443,,317267,,,587189,17647,18598,1845941,1845941,,0.0,0.0,4714485,199626.0,6715068,228614,3159941,2014年12月31日,3412810,,,8175409,8166112,0,586867,7753666,11113393,1614,,2168919.0,,103914.0,2596.0,902493,3412810.0,3159941,,28555,,,8528484.0,419305,,,,,,,16703893.0,,1427,0.0,199615,27975,521719,107578,9297,774818,5590500,,0
2015-05-06,1,2015,6965.0,712500,719465,4972208,4542874,17692,1056880,113466,526783,735434,15969,62217,17601,,430945,306664.0,306664,,35828.0,526783,17601,18483,1893487,1893487,,,0.0,4414920,0.0,6272783,350296,3163921,2015年03月31日,3956007,200240.0,27234.0,8666386,8657423,0,586867,6946329,10935431,1407,,,2207068.0,,,518682,3956007.0,3163921,16385538.0,20173,35828.0,7719152.0,,423845,,,,,,16385538.0,,,8880,0.0,197394,27855,522000,105798,8963,772823,5450107,,0
2015-07-30,2,2015,0.0,0,0,4842604,4231267,17444,1717061,69445,439930,31579,31579,47040,20143,,416691,292274.0,292274,,35834.0,439930,20143,20863,1828535,1828535,,0.0,,4060166,0.0,6073536,243973,3166131,2015年06月30日,3490530,268036.0,0.0,8272034,8262523,0,740737,6350737,10861462,3578,,,2583322.0,,,256484,3490530.0,3166131,16169456.0,17411,35834.0,7897422.0,,425195,,,,,,16169456.0,,,15611,,259108,27677,1231600,103554,9511,1546685,5307994,,0
