date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應付股利,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,707688,1469142,13100,321710,55556,55556,2687,-188488,32691,13240,58003,58003,0,12100,102198,30115,2847.0,800,2707,3364240,0.0,,,209220,,,1210086,10721,101398.0,174373,2040470,2013年03月31日,,,4320597,4296454,0,,2564072,5816921,,2720,,,519598.0,88049.0,2178556,2040470,,2251,,2753442.0,975330,,7074039.0,603974,84921,20512,12461,2720,24143,189370,1257118,,34512,,19451,0
2013-08-08,2,2013,693103,1058505,13833,291879,524606,524606,964,-222584,72637,570,34276,34276,0,16100,102625,33975,2376.0,800,3178,2895795,0.0,51012.0,,84107,,,1110937,14859,101825.0,174264,2040470,2013年06月30日,352695.0,,3925101,3902733,0,474358.0,2636135,5535659,,2465,231452.0,,823165.0,71844.0,1882941,2091482,,2307,,2827616.0,975330,,6752717.0,621864,86549,21372,12321,2465,22368,191481,1217058,,19966,,72067,0
2013-11-08,3,2013,679295,1244275,13277,285266,539729,539729,518,-240634,88193,574,51195,51195,0,10000,102580,26848,1906.0,296,2834,2710360,,,,133052,,,1046175,18938,102284.0,174154,2091482,2013年09月30日,538465.0,,4093150,4070453,0,474358.0,2323449,5427545,,2291,231452.0,,940543.0,65884.0,1496591,2091482,,2363,,2521012.0,975330,,6614162.0,631592,92620,18763,12108,2291,22697,197563,1186617,,14947,,87619,0
2014-03-13,4,2013,670900,1416870,7679,263742,78935,78935,14025,-254178,7819,607,8942,8942,0,10000,102968,26178,1646.0,800,2397,2905874,,,,100407,,,1205560,21958,102168.0,178630,2091482,2013年12月31日,711060.0,,4253400,4229504,0,474358.0,2233979,5532963,,2028,231452.0,,648540.0,90726.0,1956092,2091482,,2017,,2439542.0,975330,,6692942.0,553874,100578,18501,12135,2028,23896,205563,1159979,,166511,,7212,0
2014-05-08,1,2014,664591,1593058,7728,421380,61598,61598,672,-123484,847,569,15870,10935,4935,10000,103489,25579,1386.0,800,1857,3191046,,,0.0,177884,,,1140577,12496,102689.0,178520,2091482,2014年03月31日,887248.0,,4560763,4536386,0,474358.0,2232700,5693405,,1766,231452.0,664810.0,,118458.0,1873913,2091482,,2071,,2443249.0,975330,,7004012.0,605851,104989,18771,12336,1766,24377,210549,1310607,,54355,,278,0
2014-08-07,2,2014,648281,1314131,7934,376865,495612,495612,6442,-200814,29763,1124,29049,6694,22355,10000,104027,24869,1126.0,800,1857,2756038,,0.0,0.0,116055,70.0,,1349493,14943,103227.0,178410,2091482,2014年06月30日,514505.0,,4203268,4180129,0,545448.0,2380561,5549410,,1504,254178.0,686153.0,,77807.0,1661254,2091482,,2123,,2596295.0,975330,,6799563.0,661642,109584,20224,11886,1504,23139,215734,1250153,,37716,,28639,0
2014-11-11,3,2014,647044,1565238,7563,324733,510429,91339,2678,-226992,1111,585,21142,3150,17992,10000,104555,74621,866.0,800,1657,2812912,,,0.0,115919,112.0,419090.0,1258530,26934,103755.0,178300,2091482,2014年09月30日,765612.0,,4428826,4405058,0,545448.0,2012002,5424193,,1241,254178.0,649996.0,,57167.0,1327264,2091482,,2176,,2239994.0,975330,,6668820.0,605179,121261,18688,12098,1241,23768,227992,1244627,50000.0,39259,,526,0
2015-03-18,4,2014,638608,1738594,7753,382355,81840,81840,1269,-177768,14412,584,14206,4837,9369,10000,110278,24835,607.0,800,1672,2451731,,,0.0,166752,150.0,,1221185,12083,109478.0,178190,2091482,2014年12月31日,938968.0,,4652058,4627638,0,545448.0,1811900,5450515,,2077,254178.0,1082818.0,,87621.0,1461125,2091482,,1897,,2051058.0,975330,,6703116.0,599184,126983,26536,12406,2077,24420,239158,1252601,,60286,150.0,13828,0
2015-05-04,1,2015,634902,1818847,8206,365206,69239,69239,205,-215061,10963,565,46583,15500,31083,12500,110860,30467,346.0,800,1760,2222857,,,,123259,129.0,,1301875,13159,,178080,2091482,2015年03月31日,1019221.0,110182.0,4695764,4670598,0,545448.0,1663847,5346529,110060.0,1720,254178.0,,961518.0,,1350075,2091482,6586274.0,1944,1890510.0,,975330,6586274.0,,612335,113859,29370,12111,1720,25166,226663,1239745,,179791,3750.0,10398,0
2015-08-04,2,2015,619184,1462145,8116,408066,605578,605578,1270,-194174,1429,569,42393,11883,30510,12500,108482,31304,86.0,800,3402,2447604,,,,143608,0.0,,1255726,18371,,177970,2091482,2015年06月30日,664497.0,84094.0,4358365,4334783,0,619880.0,2197896,5519293,107682.0,1363,177768.0,,1087134.0,,1363187,2091482,6785047.0,1991,2426682.0,,975330,6785047.0,,635922,118313,27867,11716,1363,23582,228786,1265754,,22757,3600.0,860,0
2015-11-11,3,2015,620607,1552013,8148,366547,86969,86175,3867,-198302,9941,558,45670,14074,31596,12500,105400,31916,0.0,800,3307,2339972,,,,236368,0.0,794.0,1196076,11463,,177860,2091482,2015年09月30日,754365.0,41858.0,4444771,4420523,0,619880.0,1851897,5297905,104600.0,1007,177768.0,,1089899.0,,1476761,2091482,6523702.0,2038,2078931.0,,975330,6523702.0,,583641,119596,27860,12031,1007,24248,227034,1225797,0.0,19169,4078.0,9383,0
2016-03-15,4,2015,629994,1713592,8173,389031,94921,94921,4122,-175946,1743,679,24727,2800,21927,12500,108353,29258,0.0,800,3307,1849913,,,,120361,168.0,,1156536,12504,,177750,2091482,2015年12月31日,915944.0,74415.0,4629001,4604458,0,619880.0,1786179,5390995,107553.0,735,177768.0,,1760791.0,,1494571,2091482,6642904.0,1717,2013903.0,,975330,6642904.0,,567470,117654,25141,11951,735,24543,227724,1251909,,6759,1500.0,1064,0
2016-05-05,1,2016,622128,1849146,9031,383482,75450,75450,3144,-191965,625,625,49052,12870,36182,12500,96268,29063,0.0,800,4807,2223187,,,,324703,0.0,,995302,6740,,177641,2091482,2016年03月31日,1051498.0,108555.0,4749259,4723993,0,619880.0,1897278,5614803,95468.0,633,177768.0,,1699946.0,,1387945,2091482,6858029.0,1766,2108770.0,,975330,6858029.0,,570260,113458,30279,11756,633,25266,211492,1243226,,58141,0.0,0,0
2016-08-11,2,2016,626343,1596180,9608,287969,510171,88091,108414,-213074,571,571,81830,2219,79611,12500,96697,28989,0.0,800,4807,1965140,,,,130499,11.0,422080.0,1060537,10279,,177531,2091482,2016年06月30日,750137.0,60880.0,4472936,4449918,0,670098.0,2174088,5718885,95897.0,531,175945.0,,1871073.0,,1471956,2091482,6862535.0,1816,2389599.0,,975330,6862535.0,,590043,116998,22287,11682,531,23018,215511,1143650,,21961,0.0,0,0
2016-11-10,3,2016,614371,1806468,9114,270170,516922,97842,5175,-263933,5334,568,84121,6778,77343,12500,95764,28583,,800,4807,1748565,,,,127816,594.0,419080.0,1115381,9770,,177421,2091482,2016年09月30日,960425.0,40179.0,4633104,4609347,0,670098.0,1781611,5517097,94964.0,437,175945.0,,1944380.0,,1090766,2091482,6632969.0,1865,1999865.0,,975330,6632969.0,,574106,120625,24890,11276,437,23757,218254,1115872,,26485,0.0,4766,0
