date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,5025750,1958443,13282728,316389,1873442,10244,7514108,6158,2837159,5885,-101650,5384927,,301577,3214460,-418039,28634519,,,0.0,19181889,17437,4180000,670568,18623.0,34762696,104835,4544136,12249.0,1494661,8293887,15866579,2013年03月31日,8631766,,,43894609,43186973,0,4485382,67620710,90868997,410009,165580,,13812816.0,994819.0,,29651664,15866579,,,67962862.0,14139316,224144,340678,7828,13338174,228492,,111857471.0,517,108675,40575,581020,,707636,342152,20988474,4172585,0
2013-08-09,2,2013,5139424,1897096,11653542,246038,1810657,10303,10819560,2293,3435965,187958,-1029602,5212596,,425064,3549561,-1275640,33787564,,,0.0,20091302,16443,3340000,310589,5538.0,37118516,187107,4898558,15240.0,1586998,8389113,15868889,2013年06月30日,4915921,,,41367044,40654429,0,5066993,76019343,96385655,410754,1670628,,11502842.0,896822.0,,35324200,15868889,,,76538544.0,14161600,224144,340678,21678,13346655,228445,,117905588.0,0,107168,94137,536684,,712615,519201,21519933,3334080,0
2013-11-13,3,2013,5624852,1863238,13048082,183964,1752564,6450,7374753,167,3333402,51241,-1737845,5227004,,290935,3388028,-1921809,36230688,,,0.0,22545934,11308,4380000,153600,0.0,40259257,128429,4544664,28.0,1559402,8487878,15875699,2013年09月30日,6310461,,,41992740,41358603,0,5066993,77953363,98550684,402146,1670628,,10464557.0,851100.0,,37407774,15875699,,,78385858.0,14172667,224144,340678,9318,13370082,228445,,120378598.0,1723,105058,141560,495920,,634137,432495,21827914,1680796,0
2014-03-21,4,2013,5847671,1863586,14399797,255759,1823764,8036,7994114,8922,9049054,12197,-1965775,5274005,40694.0,281836,3549693,-2221534,32591311,,,0.0,29709597,26023,4140000,400110,0.0,39754661,121117,5486421,0.0,1569244,8577047,15885209,2013年12月31日,7662176,,,43348394,42583863,0,5066993,80664077,102131124,407761,1670628,,11469901.0,832080.0,,32278077,15885209,,,81106263.0,14264632,0,340678,68569,13626940,228445,,124454657.0,1149,109036,160350,500495,,764531,442186,22323533,1672968,0
2014-05-12,1,2014,6221000,1864541,15393989,209741,1775896,10223,8140599,6855,8764778,8237,-585988,333704,4064.0,453191,3587163,-795729,37716942,,0.0,0.0,30729383,3731,4940000,581478,0.0,39008812,96954,4932989,0.0,1574325,9104822,15885209,2014年03月31日,8656368,,,45807795,45039020,0,5066993,83626759,106736081,409134,1670628,11999640.0,,844838.0,,38042064,15885209,,,84223537.0,14345810,0,340678,149747,13626940,228445,,130031332.0,4107,120662,143587,524043,,768775,596778,23295251,2307107,0
2014-08-11,2,2014,6243161,1860830,12095859,199047,1765446,9853,12184518,4497,9926338,163255,-1376247,355761,72930.0,475294,2440873,-1575294,33272477,,0.0,,23747472,20709,5440000,398580,0.0,35273430,140566,4990703,0.0,1528763,9199247,15885209,2014年06月30日,4535692,,,41731865,40975006,0,5594393,82416080,102516830,399077,1965774,13466847.0,,795470.0,,39466044,15885209,,,83023736.0,14370185,0,340678,174122,13626940,228445,,124755601.0,3029,139848,132362,556967,,756859,607656,22238771,3304990,0
2014-11-13,3,2014,6396196,1802851,13591324,83284,1638871,15654,7792592,2998,8666064,9284,-1378813,369549,0.0,483674,2650880,-1462097,31637587,,0.0,,31006062,66081,6430000,933381,,41049210,184434,6995465,0.0,1540101,9533223,15885209,2014年09月30日,6031157,,,43261082,42460018,0,5594393,85011701,112128582,400608,1965774,19900237.0,,986998.0,45255.0,37424040,15885209,,,91723050.0,14362298,0,340678,166235,13626940,228445,,134984132.0,0,16724,142750,516037,6084925.0,801064,6711349,22855550,1985451,0
2015-03-16,4,2014,6737367,1804515,14985871,57971,1616259,18074,7360297,3716,8225648,17254,123889,324661,717951.0,512364,2908975,65918,31181915,,0.0,,29571905,176381,6430000,950991,,38707137,263295,6344647,,1594489,10081235,15885209,2014年12月31日,7425704,,,46208661,45326826,0,5594393,85767350,112531529,413243,1965774,22632188.0,,978815.0,40047.0,39966358,15885209,,,90478676.0,14331857,0,0,-30441,14362298,0,,136687337.0,4226,10893,157212,597910,4041750.0,881835,4711326,24155808,2774295,0
2015-05-11,1,2015,6857336,1804042,16142668,55511,1612885,19301,6478265,17,8465280,15077,-1460113,409966,364047.0,457971,3201259,-1515624,32664074,,0.0,,29070966,151241,6180000,335953,,33202909,105512,4528912,,1548808,10261799,15885209,2015年03月31日,8582501,956953.0,148445.0,45787353,44908230,0,5594393,83193001,108871322,403156,1965774,,25432942.0,,,39607689,15885209,133555971.0,87768618.0,,14340466,0,0,0,14340466,0,133555971.0,,1951,12434,120521,588948,3997125.0,879123,4575617,24684649,2318805,0
2015-08-05,2,2015,6941988,1803447,12200731,54058,1612464,18631,10822688,3592,6963962,197811,-2231628,227254,395895.0,469253,2963240,-2285686,32580438,,0.0,,27412736,193439,5680000,377875,,35259669,94020,4719794,,1541503,10274137,15885209,2015年06月30日,6103928,1098307.0,199869.0,41105308,40189189,0,6096803,87828201,108886103,397277,0,,24527510.0,,,42010596,15885209,133420263.0,92314955.0,,14334877,0,0,0,14334877,0,133420263.0,,1714,10163,76476,593937,3941025.0,916119,4486754,24534160,2324508,0
