date,season,year,不動產及設備－淨額,保留盈餘合計,備供出售金融資產未實現評價利益（損失）,備供出售金融資產未實現評價損益,備供出售金融資產－淨額,共同控制下前手權益,其他借款合計,其他權益合計,其他負債合計,其他資產－淨額,其他金融負債合計,其他金融資產－淨額,再保險合約資產－淨額,國外營運機構財務報表換算之兌換差額,央行及金融同業存款,存放央行及拆借金融同業,存款及匯款,待分配股票股利,待註銷股本股數,應付債券,應付商業本票－淨額,應付款項合計,應收款項－淨額,投資性不動產－淨額,持有至到期日金融資產－淨額,指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,採用權益法之投資－淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）,本期所得稅負債,本期所得稅資產合計,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,無形資產－淨額,特別盈餘公積,現金及約當現金,當期所得稅負債,當期所得稅資產合計,股本合計,負債及權益總計,負債準備合計,負債總計,負債總額,貼現及放款－淨額,資本公積,資產總計,資產總額,透過損益按公允價值衡量之金融負債,透過損益按公允價值衡量之金融資產,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債,避險之衍生金融資產,附買回票券及債券負債,附賣回票券及債券投資,非控制權益,預收股款（股東權益項下）之約當發行股數（單位：股）
2013-05-27,1,2013,32297210,30551000,-2035598.0,,78468570,,1151935,-1967263,2966307,4140717,7123278,37985706,2783170,68335,121420404,130150038,1644579614,,,53240415,3325651,38576137,41787507,6672544,300327126,,79975,86250301,2013年03月31日,16422445,,,,132594469.0,132593031,0,7636447,405811,6492108,34819261,1723801.0,1960059.0,86250301,,15955948,,1947950318.0,1365567161,17758993,,2080544787.0,21573963,40847813,6099365,1819034,97303,,30116197,433085,1438,0
2013-08-26,2,2013,32570000,24521330,-3013619.0,,84149160,,1170000,-2967017,3265280,3578984,7441345,38152801,2694849,46602,98227619,123993029,1673263841,4312515.0,,53240825,3338285,47421731,47660207,6806732,291702665,,78924,86250301,2013年06月30日,9505689,,,,129877564.0,129876115,0,8523548,368851,6492093,44211252,1906974.0,2051286.0,90562816,,16015964,,1960769754.0,1360899674,17758986,,2090647318.0,21628355,49186505,6099460,2024525,96414,,27653661,517874,1449,0
2013-11-25,3,2013,31880266,26935290,-2738684.0,,85195580,,1164000,-2836554,4541028,3773964,7910284,40020170,2661620,-97870,139389034,141482649,1704868078,,,48541239,4970416,37629250,47564799,7694417,300455806,,78449,90562816,2013年09月30日,11919649,,,,132421999.0,132420538,0,8523548,399769,6492093,40975239,1764597.0,2029902.0,90562816,,16019464,,2016824794.0,1397663439,17758986,,2149246793.0,21109280,44635099,6099633,2112318,97485,4984.0,22721006,618323,1461,0
2014-03-24,4,2013,32173716,29482953,-2124839.0,,86877259,,938000,-2145471,3898365,3744810,8664716,44373098,2563184,-20632,131875899,122085753,1737742713,,,41541653,5456332,29717876,48505696,7517333,310957337,,75532,90562816,2013年12月31日,14467312,,,,135660750.0,135659284,0,8523548,403916,6492093,49164202,2194257.0,2022777.0,90562816,,15560087,,2029067821.0,1406686928,17758986,,2164728571.0,20794876,44612847,6101863,2347229,86820,6132.0,24494364,610822,1466,0
2014-05-26,1,2014,32179892,32501119,-2170522.0,,87603497,,880000,-1922674,2990010,3767356,11999581,47827485,2726303,247848,122106147,149545945,1742806561,,0.0,45841968,6417139,31458334,48078401,7796805,271294793,,75222,90562816,2014年03月31日,17485478,,,,138901717.0,138900247,0,8523548,410603,6492093,47493131,2691305.0,2060395.0,90562816,,15954130,,2035348779.0,1420981877,17758986,,2174250496.0,20565330,49398938,6104073,2485416,74638,6283.0,25459563,518154,1470,0
2014-08-25,2,2014,32426824,26752503,-1624793.0,,97938516,,1574000,-1634046,2772467,3622426,7087122,73797464,2837573,-9253,104401396,151169607,1765371283,2716884.0,0.0,45842378,4056109,34774333,47794368,7811729,251493687,,76617,90562816,2014年06月30日,10731741,,,,136158600.0,136157143,0,9528669,394923,6492093,51402040,1894376.0,1744849.0,93279700,,16182525,,2039343012.0,1398428285,17758986,,2175501612.0,20629578,51680415,6101375,2457530,64856,3363.0,28591214,421396,1457,0
2014-11-24,3,2014,32585262,30218648,-1783558.0,,99058763,0.0,1411000,-1497083,5286529,6424040,6525139,76560880,2921288,286475,105261574,138085572,1773646748,,0.0,47042898,7129802,52608209,49634165,7755166,267597520,,75514,93279700,2014年09月30日,14197886,,,,139761732.0,139760251,0,9528669,379425,6492093,55382226,1235339.0,1872051.0,93279700,,16244894,,2081128017.0,1425206464,17758986,,2220889749.0,20929064,54743455,6101903,2207455,49910,6111.0,37655008,394392,1481,0
2015-03-23,4,2014,33263607,33283915,-1244286.0,,94466936,,1557000,-380328,2728859,5240659,13795307,74834104,2822021,863958,100435752,126840184,1828517934,,0.0,47343318,7058369,34973240,45646598,8239124,267054720,,70641,93279700,2014年12月31日,17263153,,,,143943777.0,143942273,0,9528669,372480,6492093,65139086,1369891.0,1710467.0,93279700,,16483857,,2116007105.0,1478084933,17758986,,2259950882.0,22934698,53560052,6118592,2142488,41968,4191.0,32648320,458591,1504,0
2015-05-25,1,2015,33413605,36723628,,-862090.0,89322525,,2335000,27659,4222237,5540368,13135960,76785795,2932465,739870,83656136,146581710,1846573769,,0.0,47343734,8921894,32932689,45373796,9358604,267249483,149879.0,68923,93279700,2015年03月31日,20702866,1941036.0,1886954.0,147791488.0,,147789973,0,9528669,346507,6492093,64983384,,,93279700,2262312127.0,16830507,2114520639.0,,1465965354,17758986,2262312127.0,,23280065,49912107,6119580,2121478,57099,1154.0,27170933,467915,1515,0
2015-08-24,2,2015,32755236,29075570,,-616537.0,96000708,,1282000,9712,3110549,2691020,14856015,74670561,3222524,491402,94709529,167992959,1832743231,5783342.0,,48844155,8866155,39447936,52724773,9252974,270559218,134847.0,67709,93279700,2015年06月30日,11741714,2191011.0,999022.0,145908806.0,,145907310,0,10841763,320939,6492093,50310351,,,99063042,2270053871.0,17443162,2124145065.0,,1453221713,17758986,2270053871.0,,19581568,52413907,6105529,2151505,48782,1202.0,34915443,697550,1496,0
