date,season,year,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2014-04-15,4,2013,232836,277034,130786,12705,44773,3990,3100,16539,44773,297867,,,151341,1035,438174,2566,34882,280000,2013年12月31日,277034,,,776321,776321,0,,429051,983349,4162,,154115,23713,,118186,280000,,,478494,174514,,40087,,,134427,,1254815,17361,46343,17929,0,49443,271466,25679,0
2014-08-12,2,2014,240792,313465,169232,4199,30556,6337,3194,32780,30556,402030,,0,219538,2798,534502,3696,53375,308000,2014年06月30日,301745,,,826535,826535,0,11720,551757,1140055,4847,92399,,29183,,124669,308000,,,614004,174514,174514,,,,,,1440539,0,59053,22065,0,62247,300484,49854,0
2014-11-08,3,2014,255437,364781,172030,956,45332,5004,3016,39750,45332,429121,,0,192275,3675,557560,4951,20810,308000,2014年09月30日,353061,,,892627,892627,0,11720,470063,1112059,4757,55337,,24705,,72374,308000,,,541965,174514,174514,,,,,,1434592,0,68886,22589,0,71902,322533,43324,0
2015-03-15,4,2014,269346,422190,132925,8400,72431,3862,3567,31933,72431,410370,,0,165982,683,591076,5478,80159,349060,2014年12月31日,410470,,,1221165,1221165,0,11720,418515,1388265,4757,266346,,30670,3,84393,349060,,,496972,377484,,,2296,40087,335101,,1718137,0,74890,23836,0,78457,329872,26433,0
2015-05-12,1,2015,260398,468186,106847,7744,60889,5375,3533,31826,60889,365720,,0,126584,1336,535527,4608,41589,349060,2015年03月31日,456466,14105,13493,1255619,1255619,0,11720,276454,1303378,4613,,311972,,,22207,349060,1616566,360947,,377484,,,2296,40087,335101,1616566,,0,80960,16351,,84493,313188,22725,0
2015-08-07,2,2015,252091,399517,228217,8450,43132,3436,3117,37601,43132,396157,,0,199261,1206,571421,5342,91124,366513,2015年06月30日,366281,17166,15603,1186646,1186646,0,33236,468942,1434851,4960,,324963,,,19656,366513,1745391,558745,,377484,40087,,2296,,335101,1745391,,0,86686,15888,,89803,310540,21791,0
2015-11-11,3,2015,274019,457361,138770,9113,90170,6953,4907,35764,90170,414478,,0,157072,1624,587382,6283,83439,366513,2015年09月30日,424125,17268,2,1291528,1291528,0,33236,321687,1383027,5776,,251667,,,0,366513,1715051,423523,,377484,,,2296,40087,335101,1715051,,0,96929,16465,,101836,332024,30663,0
2016-03-28,4,2015,258695,530973,148779,8791,40382,4895,5027,44463,40382,384588,,0,203914,2350,639141,3815,121599,366513,2015年12月31日,497737,22419,2,1315352,1315352,0,33236,382357,1478872,5437,,274919,,,0,366513,1803204,487852,,377484,,,2296,40087,335101,1803204,,,100468,15737,,105495,324332,46017,0
2016-05-10,1,2016,250118,578083,124801,8940,36402,7969,5302,47532,36402,428985,,0,229708,4610,638136,5512,85162,366513,2016年03月31日,544847,16915,2854,1358482,1358482,0,33236,398488,1551516,5293,,322338,,,14485,366513,1870322,511840,,377484,40087,,2296,,335101,1870322,,,108050,15863,,113352,318806,59589,0
2016-08-10,2,2016,246170,504442,272620,15783,-31,12787,4975,59312,-31,478570,18326,0,246951,2854,672451,4285,116856,366513,2016年06月30日,448111,17314,1401,1266734,1266734,0,56331,616383,1665715,13371,,337199,,,63857,384839,2000669,733935,,377484,40087,,2296,,335101,2000669,,,112577,16101,,117552,334954,39170,0
2016-11-08,3,2016,238542,578558,154682,29783,-44997,16356,4492,109824,-44997,441617,,0,195754,3697,683861,0,118801,384839,2016年09月30日,522227,21848,0,1295884,1295884,0,56331,535025,1573711,13919,,262319,,,142688,384839,1952603,656719,,377484,40087,,2296,,335101,1952603,,,117202,16607,,121694,378892,37330,0
