date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－合併溢額,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-15,1,2013,1493854,912410,-13580,474799,166706,2024,0.0,-11012,240565,,7168,38985,,204089,2568,300969,257685,,73086,9623,425201,,40129,,2627136,2013年03月31日,74335,,4064890,3593840,43592568,817413,529272,2412515,,25338,,552245.0,20662,,318484.0,29039.0,,2627136,,10253,,568257.0,322991,556.0,21658,,83808,,216969,,,,4633147.0,687008,,22552,0.0,471050,38985,2220632,79287,,0
2013-08-13,2,2013,1470748,830965,-15347,496384,321517,1784,0.0,-17323,195195,,9873,52967,,210711,-1976,343025,265375,,76454,1707,431364,,25739,,2627136,2013年06月30日,-20848,,3936498,3498320,44903372,828662,598260,2361795,,26204,,552321.0,23151,,310323.0,3387.0,,2627136,,0,,651550.0,322917,481.0,21658,,83808,,216970,,0.0,,4588048.0,604904,323.0,22206,0.0,438178,53290,2226253,82462,,0
2013-11-13,3,2013,1417341,833031,-20706,502077,177719,3471,0.0,-22856,149899,,3956,53202,,234258,-2150,366014,268249,,86120,917,400108,,23470,,2627136,2013年09月30日,-18782,,3944530,3497322,45496831,828662,420186,2217570,,25161,,552136.0,23151,,369638.0,4094.0,,2627136,,1437,,473388.0,328260,290.0,21658,,90116,0.0,216196,,0.0,,4417918.0,409840,,21511,0.0,447208,53202,2200348,88937,,0
2014-03-27,4,2013,1405811,874421,-17815,461455,141688,18931,18.0,-14757,101710,,2976,46030,,232456,3058,399449,270665,,90224,350,398466,,13743,,2627136,2013年12月31日,22608,,3989939,3543224,17049053,828662,335716,2220554,,25719,,552238.0,23151,,361757.0,23.0,,2627136,,1721,,382069.0,327089,-881.0,21658,,90116,0.0,216196,,0.0,,4372008.0,390698,323.0,26013,0.0,446715,46353,2151454,82278,,0
2014-05-13,1,2014,1337260,898252,-26204,447471,147999,13741,0.0,-22541,59672,,7365,46051,,240228,3663,419221,270665,0.0,102367,2031,401940,,22067,,2627136,2014年03月31日,46439,,4015532,3565732,17908000,828662,318437,2301068,,26280,,535588.0,23151,442102.0,,4571.0,,2627136,,1797,,364811.0,333550,,21658,795.0,95438,0.0,215659,,0.0,,4380343.0,355040,323.0,28036,0.0,449800,46374,2079275,104004,,0
2014-08-11,2,2014,1414718,884886,-886,483904,297167,13656,0.0,2889,49521,,3778,46179,,121903,3775,436043,270665,0.0,118614,1295,376573,,32076,,2627136,2014年06月30日,39206,,3896822,3446438,17908000,830923,477260,2341276,,26641,,508146.0,14757,434825.0,,8299.0,,2627136,,2364,,523762.0,202192,,21658,257.0,95438,0.0,84839,,0.0,,4420584.0,431587,323.0,32142,0.0,450384,46502,2079308,104592,,0
2014-11-10,3,2014,1356312,890292,-13822,443969,106387,13917,0.0,-10101,55760,,2034,46245,,126116,3721,438880,270665,0.0,107742,1579,366452,,25217,,2627136,2014年09月30日,44612,,3904372,3451166,17907827,830923,280968,2254613,,25751,,470868.0,14757,357102.0,,7941.0,,2627136,,1559,,327925.0,214504,,21658,1824.0,106183,0.0,84839,0.0,,,4232297.0,472996,712.0,25536,0.0,453206,46957,1977684,107147,,0
2015-03-30,4,2014,1330605,894895,-17607,439270,100557,24101,0.0,-14287,55659,,7397,40465,,114843,3320,431711,270665,0.0,119272,6054,384339,,21530,,2627136,2014年12月31日,49215,,3883613,3448876,17908000,830923,297034,2266095,,43254,,442700.0,14757,401028.0,,13094.0,,2627136,,2398,,339374.0,211797,,21658,-883.0,106183,0.0,84839,0.0,0.0,,4222987.0,468631,1875.0,28920,,434737,42340,1956892,84658,,0
2015-05-11,1,2015,1307291,900367,-22501,434480,105267,12702,0.0,-19172,47436,,4875,40646,,86678,3329,402747,270665,0.0,80253,5186,387058,,13864,,2627136,2015年03月31日,54687,17884.0,3872578,3459592,17908000,830923,258683,2273694,,42305,466000.0,,14757,,391778.0,,,2627136,4173697.0,2657,301119.0,,221926,,21658,-883.0,116312,0.0,84839,0.0,0.0,4173697.0,,503103,1790.0,29249,,412986,42436,1900003,91567,,0
2015-08-11,2,2015,1192168,762009,-23978,425767,280048,5087,0.0,-20644,42389,,5251,40507,,89389,3334,379410,270665,0.0,72427,3889,425331,,10871,,2627136,2015年06月30日,-89228,13476.0,3584080,3248840,17908000,836950,415062,2263034,,41588,449560.0,,14287,,357020.0,,,2627136,4040642.0,2833,456562.0,,151004,,21658,-873.0,116312,0.0,13907,0.0,0.0,4040642.0,,554127,993.0,28696,,335240,41500,1777608,76377,,0
2015-11-09,3,2015,1141779,798459,-16225,437980,167371,5488,0.0,-12905,39742,,6503,40747,,115112,3320,375894,307369,0.0,58471,1790,390820,,15087,,2627136,2015年09月30日,-52778,11151.0,3603282,3265279,48337568,836950,281976,2164685,,40486,451570.0,,14287,,373056.0,,,2627136,3928583.0,3451,325301.0,,159958,,21658,0.0,125267,0.0,13033,0.0,0.0,3928583.0,,458782,2578.0,28541,,338003,43325,1763898,87485,,0
2016-03-25,4,2015,1100506,796254,-23769,383232,108737,8239,,-20506,95008,60742.0,1487,40254,89.0,127709,3263,393372,290994,0.0,81549,1508,325657,4334.0,8184,,2527136,2015年12月31日,-54983,6795.0,3617626,3232814,49778440,836950,294919,2274628,40165.0,40177,451525.0,,14287,,514567.0,,,2527136,3954607.0,1322,336981.0,,220924,,21658,42024.0,145175,0.0,12067,0.0,0.0,3954607.0,,483898,1808.0,28355,,384812,42062,1679979,83365,34266.0,0
2016-05-11,1,2016,1041096,747740,-28901,400995,104120,8423,,-25580,89021,57792.0,1542,40497,98.0,156430,3321,382757,290994,0.0,80402,1109,298836,1549.0,13266,103086.0,2527136,2016年03月31日,-103497,6795.0,3473059,3179226,49778440,836950,282731,2054850,40399.0,9584,465685.0,,14287,,303000.0,,,2527136,3797089.0,1284,324030.0,,220924,,21658,40714.0,145174,0.0,13378,0.0,0.0,3797089.0,,486646,802.0,31048,,293833,41299,1742239,93146,31229.0,0
2016-08-08,2,2016,999785,711743,-36387,371012,200592,8472,,-32851,84539,,1607,40744,105.0,153219,3536,366224,290994,0.0,67747,828,327963,731.0,10386,98786.0,2527136,2016年06月30日,-63641,9.0,3351556,3089185,49778440,761097,364525,2094562,40639.0,8878,465775.0,,14287,,287869.0,,7500.0,2527136,3757927.0,3310,406371.0,,174151,,0,40442.0,133709,0.0,0,0.0,0.0,3757927.0,,528030,1102.0,31685,,262371,41846,1663365,97505,,0
2016-11-10,3,2016,982190,670912,-43331,357304,130185,14016,3317.0,-40692,81281,,1786,40982,103.0,137780,2639,328959,290994,0.0,67706,201,301001,143.0,10719,86403.0,2527136,2016年09月30日,-104472,9.0,3286709,3046648,49778440,761097,280780,2004595,40879.0,8839,464860.0,,14287,,292346.0,,,2527136,3608870.0,1398,322161.0,,180286,,0,0.0,139843,,0,40443.0,0.0,3608870.0,,491776,399.0,31759,,240061,41381,1604275,95672,,0
