date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備淨額,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,出租資產－其他淨額,土地淨額,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付建造合約款,應付票據合計,應付票據－關係人合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應收票據－關係人,應收票據－關係人淨額,房屋及建築淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收房地款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,,350611,,8591389,49253,0.0,,16547,0,,1624131,15418,105207,,,,154542,,423933,5611,,,5761,418322,15628899,15628899,0.0,,,,666237,419605,2252,290080,0,,1071092,224,,19170,,,,21838,2487999,2013年03月31日,7375690,,12197199,12157016,0,1215699,6773345,18995175,,1993015.0,233024.0,,4155000,2487999,,,7594358.0,1077628,,19791557.0,135249,234.0,40183,821013,796382,25772,1608713,1608713,0
2013-08-13,2,2013,,346135,,5870449,2544629,,63126.0,12580,0,,1710180,3882,112284,,,,155154,149394.0,409794,4845,,,5760,404949,17555717,17555717,,,,,666237,383040,2159,282262,0,2481503.0,12239,218,0.0,22784,,,,51095,2487999,2013年06月30日,4128251,,9476262,9436076,0,1742198,9506246,18997108,,1045325.0,228976.0,,4355000,2487999,,,10327870.0,1077628,,19804132.0,213016,233.0,40186,821624,807024,22945,1706298,1706298,0
2013-11-14,3,2013,,340882,,6057802,92195,,92195.0,14167,0,0.0,1855464,15438,407666,,,,154032,149774.0,409981,4265,,,4258,405716,20734496,20734496,,4420.0,,,668348,349355,6147,288423,0,,8582,221,,43370,,,,41324,2488142,2013年09月30日,4315604,,9664331,9624147,0,1742198,12301477,21996232,,514861.0,145388.0,8830.0,9564505,2488142,,,13124088.0,1078203,,22788419.0,217817,231.0,40184,822611,792187,41802,1840026,1840026,0
2014-03-24,4,2013,,340051,0.0,6278444,79643,,,18423,0,,1764229,3923,440130,258345.0,725.0,181785.0,154169,150294.0,707849,3635,268307.0,47420.0,3875,704214,21993582,21993582,,,,,671221,323006,7291,375462,0,,56325,224,,6660,,,23599.0,40129,2488142,2013年12月31日,4536246,,9884951,9844789,0,1742198,13655089,23277401,,499803.0,145389.0,,10960069,2488142,,,14480479.0,1078203,,24365430.0,224499,0.0,40162,825390,1088029,37755,1760306,1760306,0
2014-05-12,1,2014,,89011,,6229012,115918,0.0,,13061,0,,2149070,5516,318671,,,,154512,150909.0,820551,3490,,,3603,817061,23700490,23700490,0.0,,,0.0,674032,318156,4879,402905,0,,8698,342,,20110,,,,36604,2488142,2014年03月31日,4486814,,9835529,9795357,0,1742198,15134087,24851994,495046.0,,151084.0,,11992075,2488142,,,15962631.0,1078203,,25798160.0,229019,,40172,828544,946166,66557,2143554,2143554,0
2014-08-11,2,2014,,88751,,4501640,1697143,,79850.0,10166,0,,2659620,15369,368224,,,,154959,151340.0,1021829,2731,,,3619,1019098,24473697,24473697,,,124407.0,0.0,676873,397080,6818,764841,0,1617293.0,6914,493,0.0,56976,,,,31273,2488142,2014年06月30日,2305818,,8232582,8192392,0,2195822,17754208,25676769,556879.0,,236301.0,,11992405,2612549,,,18586040.0,1078203,,26818622.0,167075,0.0,40190,831832,1141853,36345,2644251,2644251,0
2014-11-12,3,2014,,88491,,4951084,1766130,,148837.0,9904,0,0.0,3158138,22789,392736,348521.0,,44215.0,157968,151732.0,887205,2847,,,6236,884358,24925108,24925108,,,,0.0,679746,529486,7027,627010,0,1617293.0,32204,499,4551.0,39150,,,,25792,2612549,2014年09月30日,2755262,,8681902,8641836,0,2195822,17681149,26199277,654855.0,,234705.0,,11358653,2612549,,,18518863.0,1078203,,27200765.0,120227,,40066,837714,1001488,20043,3135349,3135349,0
2015-03-26,4,2014,,88242,0.0,6422409,216792,,,11548,0,,2666919,13491,373660,326596.0,503.0,47064.0,160325,152625.0,869983,2270,0.0,58877.0,7700,867713,24078859,24078859,,,,0.0,682619,472522,6306,521662,0,,7185,504,19694.0,149139,10450.0,10450.0,28862.0,26273,2612549,2014年12月31日,4226587,,10153199,10113161,0,2195822,16042080,26053725,1225146.0,,9643.0,,12148236,2612549,,,16885024.0,1078203,,27038223.0,121581,0.0,40038,842944,984498,55959,2653428,2653428,0
2015-05-13,1,2015,,88005,,6423457,176493,0.0,176493.0,11142,0,,2853057,11868,381684,331800.0,,49884.0,184375,152925.0,873668,6825,,,31450,866843,24683456,24683456,0.0,,,0.0,685429,599183,16424,478494,0,,7254,530,16741.0,192496,,0.0,,22620,2612549,2015年03月31日,4227635,36991.0,10154359,10114209,0,2195822,16053907,26093777,,641514.0,,,11893265,2612549,27078070.0,16923711.0,,1078203,27078070.0,,101472,,40150,869804,984293,57488,2841189,2841189,0
2015-08-06,2,2015,688271.0,87766,,5243256,1210398,,165378.0,10056,0,,3877383,13752,397665,342904.0,,54761.0,186522,153923.0,876360,5592,,,32599,870768,24954933,24954933,,,130627.0,0.0,0,589008,125555,478835,0,1045020.0,7507,63219,0.0,117975,,79460.0,,48464,2612549,2015年06月30日,2858867,53834.0,9104668,9064635,0,2384389,18255851,26534451,,757859.0,,,11920838,2743176,27547041.0,18442373.0,,1078203,27547041.0,,101045,0.0,40033,186522,1012590,44732,3175360,3175360,0
