date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,持有至到期日金融資產－流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,25000,7139058,0.0,6846887,98455,3147625,94190,1511018,,327070,0.0,353198,116192,91192,1534702,103609,1431093,8460,62816,247098,,10540,254743,2520165,,,1904472,0.0,704487,,3260802,0.0,7276,62816.0,108407.0,0.0,3974954,2013年03月31日,5630717,,13434733,12743357,0,1216170,7392670,13727566,,,0.0,,2746798.0,340719.0,2815536,3974954,,,,7851241.0,1568318,,21285974.0,246.0,0.0,395755,78062,0.0,68601,691376,458571,7558408,74721,159497,0
2013-08-14,2,2013,,20000,7072409,0.0,6402361,102139,3370507,92223,2480099,1605609.0,104676,0.0,402846,123928,103928,1682650,169286,1513364,254454,76669,541958,,46,300707,2627812,,,2010817,0.0,950933,874490.0,3417181,0.0,17096,,68068.0,0.0,3974954,2013年06月30日,5031061,,13016940,12348479,0,1371300,8263925,13968637,,,0.0,,2614976.0,251803.0,2446278,3974954,,,,8736349.0,1568318,,21753289.0,67.0,0.0,395755,78062,0.0,69247,668461,472424,7784652,65671,218211,0
2013-11-14,3,2013,,10000,6944247,0.0,6837280,73909,2965386,42238,1745291,1745291.0,135131,0.0,304414,99888,89888,1619276,225045,1394231,254557,77875,473157,,790,230505,2729511,,,2093221,0.0,684831,,3526325,0.0,5381,,19666.0,0.0,3974954,2013年09月30日,5465980,,13339664,12684966,0,1371300,7161449,13437039,,,0.0,,2338131.0,199857.0,2338361,3974954,,,,7635079.0,1568318,,20974743.0,,0.0,395755,78062,0.0,68184,654698,473630,7537704,98232,149626,0
2014-03-20,4,2013,,5000,7018906,0.0,7275385,71010,3271333,29361,1882660,,108416,0.0,380077,90164,85164,1939861,198689,1741172,263751,51697,567626,,65484,309067,2923263,,,2276518,0.0,794233,,3504241,0.0,4600,,0.0,0.0,3974954,2013年12月31日,5904085,,13825910,13198734,0,1371300,7500554,14109558,,,0.0,,2269877.0,229516.0,2227463,3974954,,,,8001109.0,1568318,,21827019.0,,1240.0,448858,101568,0.0,69068,627176,500555,7717461,86727,169323,0
2014-05-13,1,2014,,0,6947103,,7777832,58976,2347396,24236,1662062,,108288,,390587,91963,91963,1344716,191005,1153711,416536,51697,777029,,67615,331611,3076569,0.0,,2327640,,747951,,3824977,,8191,51697.0,0.0,,3974954,2014年03月31日,6406532,,14359064,13711691,0,1371300,7319535,14335040,,,,3563340.0,,329571.0,2157376,3974954,,,,7820090.0,1568318,,22179154.0,2972.0,0.0,448858,95746,,68400,647373,500555,7844114,61563,224478,0
2014-08-13,2,2014,,0,6922882,,7060328,68247,2351867,29037,2749112,1715624.0,120167,,275021,122754,122754,758295,185694,572601,893305,51697,1200295,,3682,206774,3078751,0.0,,2361267,,853176,1033488.0,3732247,,20032,51697.0,0.0,,3974954,2014年06月30日,5514423,,13497707,12878621,0,1545905,8308257,14052084,,,,3880653.0,,219687.0,2002261,3974954,,,,8808812.0,1568318,,22306519.0,0.0,0.0,448858,102221,,66667,619086,500555,8254435,110072,236641,0
2014-11-12,3,2014,,0,7220054,,7490049,59970,2194669,18664,1778243,1778243.0,136982,,437499,139570,139570,861538,205793,655745,929170,51697,1189382,,3763,377529,3272649,0.0,137889.0,2439827,,922760,,3681892,,9907,51697.0,0.0,,3974954,2014年09月30日,5944144,,14088172,13472925,0,1545905,8124165,14318590,,,,4036055.0,,172150.0,2671615,3974954,,,,8762609.0,1570423,,22850781.0,,0.0,448858,104091,,68242,615247,638444,8532191,124898,188207,0
2015-03-20,4,2014,10589.0,10589,7608561,,8014794,63241,2323078,19929,1812239,,139563,,640705,245974,235385,1407885,213278,1194607,692802,44526,1134045,1925.0,1925,577464,3342630,0.0,141208.0,2613412,,915212,,4288537,,13798,44526.0,,,3974954,2014年12月31日,6468889,,14814750,14201467,0,1545905,8377803,15102696,,,,3488190.0,,236056.0,2383211,3974954,,171699.0,,9157833.0,1571014,,23972583.0,,0.0,515363,107352,78933.0,69833,613283,780030,8869887,99015,369485,0
2015-05-13,1,2015,16933.0,16933,7884436,,8392955,58279,2188560,19929,1576511,,115668,,570270,159010,142077,832282,214692,617590,541765,45149,1239099,1924.0,1924,511991,3219285,0.0,141696.0,2496545,,924641,,4387295,,25260,,,,3974954,2015年03月31日,6847050,330024.0,15111189,14509193,0,1545905,7991650,14622859,45149.0,,,,3781703.0,,2303271,3974954,23877589.0,201648.0,8766400.0,,1571014,23877589.0,,0.0,,515363,111266,72542.0,68675,601996,774750,9254730,72806,626735,0
2015-08-13,2,2015,20766.0,20766,7852762,,7832329,48626,1535334,18095,2662204,1787714.0,139416,,445924,149090,128324,1513596,240957,1272639,392529,45851,1313660,1859.0,1859,397298,3279626,0.0,135321.0,2580394,,879626,874490.0,4403216,,18109,,,,3974954,2015年06月30日,6109525,209235.0,14367796,13827596,0,1722804,8913678,14822610,45851.0,,,,3829191.0,,2205019,3974954,24115573.0,228110.0,9747777.0,,1574389,24115573.0,,,,515363,108446,137564.0,67334,540200,834099,9292963,104122,851938,0
