date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,其他預付費用,商譽,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,製成品,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,29825.0,1181416,2104194,462302,38460,105072,-32208,57224,27399,26863,26863.0,4914,73122,535,124325,67158,37031,23026,881456,881456.0,0.0,,,308098,44699,904779,148490,72587.0,41245,1931511,2013年03月31日,1335550,,,4538365,4207539,0,579856,934610,4328995,,27940,,0.0,188788,,1868074.0,121267.0,,298250,1931511,881456.0,,,1270505.0,204042,,5808870.0,,16058.0,262773,50431,0.0,57167,330826.0,335895,1479875,37031,0
2013-08-13,2,2013,30000.0,1560132,1956346,347559,37066,353943,2112,53722,23722,28948,,6424,73320,535,65610,7629,93359,23026,935831,935831.0,,0.0,,508049,67864,935773,341822,72785.0,41474,1931511,2013年06月30日,1155040,,,4436500,4094011,0,612518,1393032,4378037,,29450,,19422.0,188788,,1675323.0,109454.0,,300000,1931511,,,,1742817.0,204042,,6179317.0,,19232.0,276465,48316,0.0,57981,342489.0,349785,1801280,93359,0
2013-11-13,3,2013,11828.0,1512977,2014480,45031,47567,111296,-9223,37896,26068,21939,,6015,73517,535,59480,2402,68618,23026,1059772,,,,,505071,60980,893542,212450,72982.0,40470,1931511,2013年09月30日,1213174,,,4482234,4140810,0,612518,1103523,4199648,,29041,,19239.0,188788,,1860479.0,92580.0,,295700,1931511,,,,1451737.0,204042,,5933971.0,18578.0,0.0,274697,44788,0.0,57078,341424.0,348214,1734323,68618,0
2014-03-26,4,2013,11922.0,1489415,1914920,110166,54741,120839,28906,41832,29910,15479,,8151,73320,535,61228,3577,57256,23026,1162735,,,,,430062,62619,764667,176919,72785.0,40511,1931511,2013年12月31日,1113614,,,4079379,4079379,0,612518,1186710,3884334,,31177,,408861.0,188788,,1165275.0,84283.0,,447075,1931511,,,,1551095.0,204042,,5630474.0,22976.0,0.0,291065,69068,0.0,57651,0.0,364385,1746140,57256,0
2014-05-13,1,2014,0.0,1465682,1990895,182209,51840,100301,58369,29596,29596,10128,10128.0,7687,73543,535,61766,3725,52949,23026,1139157,1139157.0,0.0,,0.0,397807,55759,925493,267957,73008.0,40412,1931511,2014年03月31日,1189589,,,4184817,4184817,0,612518,1194413,4030842,,30713,,434045.0,188788,996485.0,,93900.0,,517050,1931511,1139157.0,,,1565922.0,204042,,5750739.0,22419.0,0.0,297966,69484,,58041,0.0,371509,1719897,52949,0
2014-08-13,2,2014,0.0,1414415,1833061,204402,56804,308149,22015,28106,28106,6384,,7807,73768,535,66333,9811,35336,23026,867246,867246.0,,,0.0,225074,57388,967754,241726,73233.0,38986,1931511,2014年06月30日,1003411,,,3990629,3990629,0,640862,996992,3670253,,30833,,145617.0,188788,1180700.0,,19625.0,,358650,1931511,,,,1355265.0,204042,,5345894.0,21088.0,0.0,284505,68270,,56522,0.0,358273,1675641,35336,0
2014-11-13,3,2014,0.0,1414455,1865378,110142,90587,120994,89002,29428,29428,11729,,7312,73997,535,70879,13671,52528,23026,776165,,,,0.0,323421,53145,970999,197855,73462.0,39082,1931511,2014年09月30日,1035728,,,4089933,4089933,0,640862,906586,3648682,,30338,,337992.0,188788,1191272.0,,15398.0,,364200,1931511,,,,1272746.0,204042,,5362679.0,0.0,,292163,68656,,57208,0.0,366160,1713997,52528,0
2015-03-27,4,2014,0.0,1473652,1920435,15004,96469,148272,189066,26571,26571,21463,,7366,78304,535,69195,9732,46025,23026,768398,,159268.0,,0.0,363206,54875,1043389,97462,77769.0,40225,1931511,2014年12月31日,1090785,,,4085786,4085786,6749000,640862,874717,3577966,,30392,,507037.0,188788,1078234.0,,13543.0,954.0,268250,1931511,,,,1269942.0,204042,,5355728.0,0.0,,316921,67829,,59463,0.0,395225,1777762,46025,0
2015-05-08,1,2015,,1478898,1940932,30009,86168,122174,148511,36219,36219,10359,10359.0,6344,78546,535,67888,9683,60249,23026,807141,807141.0,193843.0,,0.0,418418,65820,1161352,151228,,38981,1931511,2015年03月31日,1111282,22489.0,0.0,4031153,4031153,8143000,640862,921620,3569249,78011.0,29370,392384.0,,188788,,956527.0,,,256500,1931511,807141.0,5339741.0,1308588.0,,204042,5339741.0,,0.0,,308422,69187,,58205,0.0,386968,1770492,60249,0
2015-08-13,2,2015,,1513867,1837361,20034,70004,283764,109246,24881,24881,11868,,5780,78789,535,74181,16900,70683,23026,846933,846933.0,193843.0,,0.0,389529,50294,1100536,251524,,37969,1931511,2015年06月30日,987506,59905.0,0.0,3888317,3888317,8143000,661067,1062673,3457994,78254.0,28806,293437.0,,188788,,862979.0,,,254300,1931511,,5254297.0,1365980.0,,204042,5254297.0,,0.0,,224518,71476,,57281,,303307,1796303,70683,0
2015-11-13,3,2015,,1507156,1901354,35009,58717,128577,144736,32013,32013,11374,,6312,79039,535,88886,30634,60456,23026,785230,,193843.0,,0.0,352770,36856,1250355,134801,,38208,1931511,2015年09月30日,1051499,47584.0,0.0,3987800,3987800,8143000,661067,1026500,3539123,78504.0,29338,486398.0,,188788,,775500.0,,,428700,1931511,,5333819.0,1346019.0,,204042,5333819.0,,,,240480,72391,,58252,0.0,319519,1794696,60456,0
2016-03-29,4,2015,,1478544,1916276,70062,49918,122564,99326,23739,23739,8499,,6054,81026,535,91380,34768,62399,23026,886257,,193843.0,,0.0,403507,41500,908903,82547,,36734,1931511,2015年12月31日,1066421,66891.0,0.0,3957312,3957312,8143000,661067,1086451,3589835,80491.0,29080,642650.0,,188788,,928518.0,,,428250,1931511,,5352871.0,1395559.0,,204042,5352871.0,,,,228082,77380,,56612,0.0,309108,1763036,62399,0
