date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,在建房地,存入保證金,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,工程存出保證金,庫藏股票,待分配股票股利,待售房地,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,營建用地,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付土地款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,321968,193935,242869,48000,14913,1124,,360,360.0,3375,3375,16737,7725,,40,18915,18915.0,,40.0,332586,,,9012.0,13241.0,,,,13554,5000,1949,17824,11364,32451,773606,2013年03月31日,126830,,967921,955065,1556000,8424,55530,657007,,58681,,16477.0,0.0,15615,773606,,,110420.0,405,405.0,,1078341.0,19150,54850,,12856,54890,421334,,,0
2013-08-09,2,2013,319975,200619,216330,48000,15481,1124,,8,,2469,2469,18918,9586,,40,19859,,26404.0,40.0,332229,230991.0,101238.0,9332.0,13241.0,0.0,88305.0,,3125,5000,6337,18859,13915,32268,773606,2013年06月30日,133514,,974146,961397,1556000,8424,33536,642470,116282.0,58681,,23246.0,0.0,0,773606,,,88426.0,405,405.0,,1062572.0,18973,54850,,12749,54890,420102,0.0,,0
2013-11-11,3,2013,319370,124553,224501,48000,15052,1124,1060.0,1710,1710.0,45849,45849,54300,44083,,100,20519,20519.0,45068.0,100.0,341722,249655.0,92067.0,10217.0,13241.0,64434.0,88305.0,,4018,4989,15036,13249,7248,32084,773606,2013年09月30日,45246,,964082,951467,1556000,20626,96053,695112,116282.0,58681,,33990.0,3851.0,6134,838040,,,151003.0,405,405.0,,1115085.0,19042,54850,,12615,54950,419973,0.0,,0
2014-03-24,4,2013,317613,151009,222444,48000,13215,1124,235.0,5411,,56882,56882,107476,107476,,60,11910,,,60.0,344471,,,,13241.0,,,,6284,4990,8224,11000,3520,31901,838040,2013年12月31日,71702,,994345,981624,1556000,20626,100969,731803,,58681,,25908.0,4538.0,5712,838040,,,155879.0,405,405.0,,1150224.0,16749,54850,8997.0,12721,54910,418421,,,0
2014-05-06,1,2014,317379,146963,203287,48000,10275,1124,,3852,,50647,50647,117755,41321,76434.0,60,11779,,,60.0,340140,,,,13241.0,,,0.0,5975,5000,1434,5062,6521,31717,838040,2014年03月31日,67656,,988679,976019,1556000,20626,84179,708524,,58681,16664.0,,4538.0,5186,838040,,,139089.0,405,405.0,,1127768.0,19095,54850,10369.0,12660,54910,419244,,,0
2014-08-08,2,2014,315342,88876,192148,48000,10743,1124,,4614,,59977,59977,111838,55554,56284.0,60,11648,,,60.0,367100,,,,13241.0,41124.0,,0.0,6792,10000,5767,9034,13837,31534,838040,2014年06月30日,7610,,972459,959818,1556000,22585,118070,727137,,58681,14094.0,,0.0,23667,879164,,,172980.0,405,405.0,,1145439.0,19086,54850,11778.0,12641,54910,418302,,,0
2014-11-10,3,2014,319567,77436,103899,48000,13556,1124,,4200,,57412,1153,113830,56756,57074.0,60,11823,,,60.0,467088,,,,0.0,0.0,,0.0,41430,10000,10102,24599,19790,31350,879164,2014年09月30日,-3830,,976071,963602,0,22585,148781,760799,,58681,11944.0,,0.0,15157,879164,,,203691.0,2802,,,1179762.0,19649,54850,8223.0,12469,54910,418963,,56259.0,0
2015-03-24,4,2014,317508,63242,50341,48000,10886,1124,224.0,595,,59919,1147,118476,118476,,60,11928,,,60.0,654853,,,,0.0,,,0.0,12303,30000,8103,14537,2314,31167,879164,2014年12月31日,-18024,,958256,945763,0,22585,283829,881744,,58681,20949.0,,0.0,161494,879164,,,338739.0,2762,,,1296995.0,20050,54850,6648.0,12493,54910,415251,,58772.0,0
2015-05-04,1,2015,317838,46363,61405,48000,7297,1124,103.0,1554,,95281,2689,121548,121548,,60,11721,,,60.0,677193,,,,0.0,,,,6749,30000,7235,6903,9439,30983,879164,2015年03月31日,-34903,0.0,942537,929843,0,22585,325855,909346,,58681,,12075.0,,178169,879164,1323302.0,380765.0,,2762,,1323302.0,,20680,54850,5414.0,12694,54910,413956,,92592.0,0
2015-08-10,2,2015,316971,135259,105164,48000,14769,1124,203.0,2039,,8531,1868,41694,41694,,60,11552,,,60.0,550011,,,,0.0,0.0,,,21034,10000,260,2259,3340,30800,879164,2015年06月30日,53993,,1031478,1019224,0,22585,64718,737905,,58681,,15561.0,,9000,879164,1151106.0,119628.0,,2762,,1151106.0,,19673,54850,5878.0,12254,54910,413201,,6663.0,0
2015-11-09,3,2015,317710,125939,87333,48000,8946,1124,272.0,-6755,,8237,1574,43357,43357,,60,11769,,,,543654,,,,0.0,,,,7965,15000,202,1974,1337,30621,879164,2015年09月30日,44673,,1013522,1001110,0,22585,71474,725393,,58681,,28367.0,,30000,879164,1139906.0,126384.0,,2762,,1139906.0,,19099,54850,6413.0,12412,54910,414513,,6663.0,0
2016-03-24,4,2015,315730,117314,97451,48000,9819,0,135.0,-5982,,1185,1062,39640,39640,,60,13711,,,60.0,542350,,,,0.0,,,,7936,15000,403,1950,3338,30454,879164,2015年12月31日,36048,24.0,1005913,993258,0,22585,76670,723066,,58681,,19922.0,,42303,879164,1137493.0,131580.0,,2762,,1137493.0,,18280,54850,6532.0,12655,54910,414427,,123.0,0
2016-05-05,1,2016,314851,122890,97856,48000,7945,0,,-4763,,1195,1090,38326,38326,,60,13344,,,60.0,528639,,,,,,,,7936,20000,427,5867,3274,50207,879164,2016年03月31日,41624,24.0,1012589,1000053,0,22585,85535,720406,,58681,,28228.0,,48008,879164,1153034.0,140445.0,,2762,,1153034.0,,18216,54850,6226.0,12536,54910,432628,,105.0,0
2016-08-10,2,2016,313349,99888,102799,48000,6763,0,,-2820,,1116,1116,41299,41299,,60,13156,,,60.0,529461,,,,,17583.0,,,404,20000,1438,6117,4645,49822,879164,2016年06月30日,9035,912.0,1008968,996577,0,26190,81413,715067,,64663,,12906.0,,50780,896747,1145291.0,136323.0,,2762,,1145291.0,,17840,54850,5897.0,12391,54910,430224,,0.0,0
2016-11-10,3,2016,314594,99054,104542,48000,7126,0,,-1077,,1819,1819,40585,40585,,60,12779,,,60.0,544125,,,,,,,,1904,20000,789,5806,5534,49546,896747,2016年09月30日,8201,912.0,1009979,997486,0,26190,100970,735370,,64663,,17096.0,,68420,896747,1165859.0,155880.0,,2762,,1165859.0,,17682,54850,5570.0,12493,54910,430489,,0.0,0
