date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－受贈資產合計,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,20779799,353139,9870087,22764459,1686583,28926612,985039,305654,22702049,1092749,469632,2598243,835145,-62410,7438572,26488,,1490107,1465294,449758,213346,611591,4261062,1323109,189119,10059,4454700,16846646,2013年03月31日,3888107,,52466493,49394326,3043228,5702892,9743337,18942802,279088,,2727679.0,295950.0,3133015,16846646,,,22529107.0,2032,2032,,,,,74995600.0,6488,7627,9128,703403,10178399,3072167,12785770,56052798,523706,0
2013-08-09,2,2013,20349321,353143,8861802,22742113,1780303,28830895,3004726,411328,22702301,879444,393443,2628181,881957,-39812,6793420,26488,,1378040,1061791,449800,210495,669968,4479557,1178056,240496,29507,5408522,16846646,2013年06月30日,2591400,,51340456,48386293,3043228,5943868,11290932,18502427,326534,,2765767.0,201515.0,3429172,16846646,,,23667707.0,2032,2032,,,,,75008163.0,5981,3659,38294,681898,9710300,2954163,12376775,56505736,426891,0
2013-11-08,3,2013,19537188,353141,9324576,23108366,1926685,29063144,1380752,303811,22877563,571974,381733,2627244,778197,-230803,6795311,26488,,1182828,1156561,449932,141672,244073,4147334,1029856,114893,5746,5903491,16846646,2013年09月30日,3054174,,51967266,49024329,3043228,5943868,8551535,17611107,326534,,2560236.0,277867.0,3145088,16846646,,,21959103.0,2032,2032,,,,,73926369.0,788,892,47084,680101,10733240,2942937,13407568,56315262,344610,0
2014-03-21,4,2013,19014371,353144,9806166,24614399,1422657,30486495,1309490,266519,24519105,240159,660737,2538454,692017,-95294,7362831,23423,,1032409,1491693,1249862,172069,218650,3760435,1036415,101000,6963,7551755,16846646,2013年12月31日,3535764,,54210085,51247392,2693228,5943868,9728805,17881381,326534,,3064945.0,307292.0,3706477,16846646,,,22408295.0,98898,2032,,7019.0,89847.0,,76618380.0,704,1352,55383,639217,10085653,2962693,12679490,58736999,197527,0
2014-05-12,1,2014,18496978,353145,10347095,22911224,1284490,28921905,975950,217374,23027508,304904,675010,2666892,908398,116284,7723266,22723,0.0,1181670,1429610,1049882,222475,321219,4337214,1240890,103833,4509,7691518,16846646,2014年03月31日,4076693,,53318593,50307369,2613228,5943868,9835358,18990693,326534,2604958.0,,413527.0,3935765,16846646,,,22656896.0,108843,2032,,8463.0,98348.0,,75975489.0,356,400978,63557,612852,10091089,3011224,12821538,56984796,398171,0
2014-08-08,2,2014,17904122,353142,9405859,23674731,1435724,29584545,3090307,325559,23482018,368401,337216,2625752,932668,-192713,7259271,22723,0.0,1497462,1334543,1049830,226975,287851,4864802,1332954,69576,9936,7551683,16846646,2014年06月30日,2604824,,52856405,49821188,2613228,6156773,11576279,20277605,644262,3687653.0,,75479.0,3644970,16846646,,,24323264.0,109388,2032,545.0,8463.0,98348.0,,77179669.0,461,381953,76906,575904,10044327,3035217,12746985,56902064,572961,0
2014-11-07,3,2014,17752726,5442720,10983644,21877394,1567934,27872714,1467306,250752,21929381,530720,550682,2713340,946035,51987,7396063,22723,0.0,1325269,1328082,2299234,189802,203858,4409540,1262936,68989,2694,2704799,16846646,2014年09月30日,4182609,,52857538,49762293,2613228,6156773,10940093,20506500,644262,3958988.0,,99110.0,3489540,16846646,,,22890768.0,25345,2032,545.0,11077.0,11691.0,,75748306.0,7172,433651,87431,522812,9149904,3095245,11950675,55241806,604271,0
2015-03-20,4,2014,17846148,5442727,11639876,20331798,1709615,26322249,2047240,354982,20717519,354132,384755,2617670,1051206,385721,7950289,22723,0.0,1169886,1186014,2349524,205567,288160,4154561,1321930,93100,2743,2909436,16846646,2014年12月31日,4838841,,52434244,49219666,2613228,6156773,10523012,20817013,644262,3796868.0,,154960.0,2761686,16846646,,,22455307.0,38348,2032,545.0,11077.0,24694.0,,74889551.0,5843,654499,95730,500772,9218895,3214578,11932295,54072538,393671,0
2015-05-05,1,2015,17594555,5442727,11955070,20314448,1807832,26218866,1220022,299347,20554175,611838,492812,3037376,897137,239727,7695228,22723,0.0,1411625,1031270,2299672,233463,173761,4439398,1463431,105383,3335,2871697,16846646,2015年03月31日,5154035,211022.0,52688155,49371516,2613228,6156773,10552123,22169068,644262,,4451062.0,,3359450,16846646,75655761.0,22967606.0,,38348,2032,545.0,11077.0,24694.0,75655761.0,,0,654750,99187,461711,9278920,3316639,12415483,53486693,756490,0
2015-08-07,2,2015,16936653,5470725,10283883,23756727,1752009,29713224,4082718,448872,23861228,656089,306394,2883649,868221,104501,7450168,22285,0.0,1429570,898955,1799533,201045,157496,4353615,1655175,118668,4417,2869085,16846646,2015年06月30日,2393449,290422.0,54167995,51008878,2563228,6508610,13019830,23157792,1381824,,5451106.0,,3502607,16846646,79477464.0,25309469.0,,39406,2032,545.0,12135.0,24694.0,79477464.0,,1395,654716,135906,461764,9270084,3159117,12289639,56319672,962652,0
