date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,244176,244176,8067416,34920,2072273,638822,128941.0,112211,5787,533112,288936,10924,2802,,904102,,,5787,,,1686571,1686571,0.0,,1400695,181536,1365850,4392,,995991,2013年03月31日,1672947,,8875295,8853499,0,140204,6142550,6339155,89040,0.0,259122,,2900044.0,204215.0,3055229,995991,,,6582467.0,5779448,,15457762.0,,143864,23129,293251,21796,439917,9118607,259163,0.0,0
2013-08-12,2,2013,2477,2477,8276894,34920,1650058,897224,76169.0,160493,83494,287829,285352,10391,2859,,838952,,,83494,,,1594528,1594528,0.0,,1359109,79503,1615505,236,,996711,2013年06月30日,1170130,,8529556,8508176,0,220806,5846401,5226597,89341,0.0,259122,,1603290.0,109873.0,3036694,996711,,,5962247.0,5777913,,14491803.0,,105789,25099,7198,21380,115846,9265206,242154,0.0,0
2013-11-12,3,2013,2477,2477,7945085,34920,1578022,675531,10331.0,81365,38211,324666,322189,17268,2824,,742422,,,38211,,,1583036,1583036,0.0,,1839710,81163,2638782,1428,368021.0,997041,2013年09月30日,1098094,,8412117,8392431,0,220806,6173247,5457589,89987,0.0,259122,,882795.0,97196.0,3144650,997041,,,6251866.0,5779157,,14663983.0,,69216,25959,6579,19686,78619,9206394,252915,0.0,0
2014-03-26,4,2013,2309,2309,8004476,34920,1546287,623769,2407.0,41262,134168,105881,103572,19968,2899,,766587,,,134168,,,1383385,1383385,,,1239048,82936,1614198,2910,410166.0,997711,2013年12月31日,1066359,,8480306,8459849,0,220806,5472569,4745793,90025,0.0,259122,,1498491.0,18420.0,3400108,997711,,,5593098.0,5781683,,14073404.0,,111502,21437,6128,20457,120529,9327611,185579,0.0,0
2014-05-09,1,2014,2141,2141,7928773,34920,1196912,556603,638.0,80665,101139,140204,138063,25771,210,,714998,,,101139,,,1227077,1227077,,0.0,1000033,69446,1750177,1340,406825.0,997711,2014年03月31日,716984,,8096550,8077445,0,220806,5108442,4051670,84521,,259122,781844.0,,2674.0,3338844,997711,,,5148071.0,5781683,,13244621.0,,33743,22914,5676,19105,39629,9192951,184796,,0
2014-08-12,2,2014,1949,1949,7726750,34920,895523,663063,1662.0,44686,27401,129332,127383,16691,241,,796097,,,27401,,,1240009,1240009,,0.0,1054129,101234,2036587,1318,403480.0,997711,2014年06月30日,415595,,7719910,7702318,0,220806,5792702,4414338,81426,,259122,859628.0,,2191.0,3841091,997711,,,5857037.0,5781683,,13576947.0,,58845,119936,5249,17592,64335,9162609,215419,,0
2014-11-12,3,2014,1605,1605,8459109,34920,883671,794331,748.0,52984,137238,146442,144837,12261,600,,942049,,,137238,,,1461638,1461638,0.0,0.0,1774110,199784,2996212,1135,0.0,997711,2014年09月30日,403743,,7918334,7801753,0,220806,7176003,5537372,85287,,259122,727376.0,,638.0,4259950,997711,,,7272485.0,5783133,,15190819.0,,90908,132082,4974,116581,96482,9653447,285766,,0
2015-03-20,4,2014,1429,1429,8725409,34920,854277,721587,1741.0,32867,266282,165957,164528,11802,605,,919800,,,266282,,,1207611,1207611,,0.0,1598733,152764,2966807,1296,0.0,997711,2014年12月31日,374349,,8013964,7901403,0,220806,6957685,5591880,81728,,259122,1153555.0,,7561.0,4309342,997711,,,7489737.0,5783133,,15503701.0,,126748,149964,404699,112561,532052,9911821,217942,,0
2015-05-14,1,2015,41253,41253,8558621,34920,383241,579726,941.0,46099,227347,186111,144858,20806,5668,,927853,,,227347,,,1468733,1468733,,0.0,995233,88767,1432467,15789,0.0,997711,2015年03月31日,-96687,7772.0,7498560,7391432,0,220806,6233814,4374090,81569,,259122,,1133424.0,,4375264,997711,14157225.0,6658665.0,,5783133,14157225.0,,,54759,180172,364424,107128,424851,9783135,256772,,0
2015-08-13,2,2015,101100,101100,8260024,34920,-74414,536605,25043.0,20125,183982,234766,133666,34381,5595,,1024556,,,183982,,,1088096,1088096,,0.0,862053,160450,1880262,19727,0.0,997711,2015年06月30日,-554342,1025.0,6991597,6890412,0,220806,6257061,4038082,75261,,259122,,779384.0,,4437119,997711,13658947.0,6667350.0,,5783133,13658947.0,,,569,226104,404125,101185,410289,9620865,216107,,0
2015-11-12,3,2015,168749,168749,8621140,34920,-127332,744927,1165.0,84519,325210,317224,148475,21022,5803,,960463,,951755.0,325210,,8708.0,1203252,1203252,0.0,0.0,1114557,168838,2289500,16535,,997711,2015年09月30日,-607260,549.0,7078097,6978722,0,220806,7013522,4579896,73880,,259122,,745449.0,,4666262,997711,14602047.0,7523950.0,,5783133,14602047.0,,,121365,331748,383260,99375,510428,10022151,219619,,0
2016-03-29,4,2015,236748,236748,8369657,34920,-278387,590144,3781.0,130496,246750,596883,360135,17902,343370,342618.0,756966,634316.0,634316.0,246750,752.0,122650.0,1105852,1105852,,0.0,998310,63049,2185355,10954,,997711,2015年12月31日,-758315,5015.0,6839601,6749207,0,220806,6590259,4829936,69835,,259122,,917683.0,,4333077,997711,14404603.0,7565002.0,,5783133,14404603.0,,280065.0,104997,343289,526376,90394,974743,9574667,181629,,0
2016-05-11,1,2016,383414,383414,7866671,34920,-594540,390443,,104947,181401,733895,350481,21593,291772,291205.0,804286,,654520.0,181401,567.0,149766.0,1315130,1315130,,0.0,450416,39346,1118089,4899,,997711,2016年03月31日,-1074468,4958.0,6453134,6367705,0,220806,5193178,3468207,67273,,259122,,729333.0,,3574120,997711,12642539.0,6189405.0,,5783133,12642539.0,,0.0,92449,401182,612006,85429,996227,9174332,174216,,0
2016-08-12,2,2016,403414,403414,7317204,34920,-586543,327419,,96448,98695,782461,379047,22883,299356,299181.0,834751,,696044.0,98695,175.0,138707.0,1031347,1031347,,0.0,413260,54085,1357478,1909,,997711,2016年06月30日,-586543,1079.0,6092743,6014609,0,0,5146038,3400773,65659,,0,,702797.0,,3567734,997711,12104036.0,6011293.0,,5504746,12104036.0,,0.0,75109,450729,490790,78134,865255,8703263,187911,,0
2016-11-10,3,2016,417785,417785,6981121,34920,-471554,392208,,93403,-16365,787716,369931,14428,239558,239388.0,609484,,474237.0,-16365,170.0,135247.0,834285,834285,0.0,0.0,424792,76620,1678036,4069,,997711,2016年09月30日,-471554,757.0,6087739,6014538,0,0,4667180,3321212,61904,,0,,495416.0,,2985087,997711,11428196.0,5340457.0,,5504746,11428196.0,,0.0,49345,419555,384374,73201,673277,8106984,201575,,0
