date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保固之短期負債準備,保留盈餘合計,備供出售金融資產－流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵呆帳－應收票據,備抵存貨跌價,其他應付款合計,其他應付款－其他,其他應付票據－關係人,其他應收款淨額,其他應收款－其他,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他短期負債準備,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,其他預付款,員工福利負債準備－流動,在建房地,存入保證金,存貨合計,存貨（建設業適用）淨額,庫存現金,庫藏股票,待分配股票股利,待售房地,待註銷股本股數,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付建造合約款,應付短期票券,應付短期票券合計,應付票據,應付票據合計,應付票據－關係人合計,應收帳款,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據,應收票據淨額,應收票據－關係人,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,房屋及建築淨額,投資性不動產淨額,投資性不動產－土地,投資性不動產－建築物,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,營建用地,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,租賃改良淨額,租賃資產淨額,約當現金,累積盈虧,累計折舊－投資性不動產－建築物,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,辦公設備淨額,運輸設備淨額,遞延所得稅資產,銀行借款,銀行存款,銀行長期借款,銷貨退回及折讓之短期負債準備,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付土地款,預付款項合計,預收房地款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,328476.0,328476.0,97561,18219,18219,2235.0,830709,,220.0,2.0,,70169,70169,,7812,7812.0,0,0.0,1546314,8684,395006,395006,1497.0,1497.0,,62488,38762,38762,58371,2712,2146805,22662,5700918,5700918,409.0,28770,,610970,,110083,110083,,,5627,1048375,1048375,98689,98689,,38469.0,38249,,835,10725.0,10723,,,39826.0,80100,2020756,1092134,993957,1432,1432,2338847,2013年03月31日,455064,,3272648,3271694,7951444,373730,4622713,6320750,,1497,2943143,1915,,108836.0,21925.0,1716584,4573,4516,83854.0,455064,65335,2338847,,4947,,5259324.0,130908,265,129495,1148,1148,,8531972.0,8340,32,32995,1716584,24573.0,574123,,574123,954,636611,2211222,0.0,58371,1209154,1209154,0
2013-08-12,2,2013,48002.0,48002.0,95974,18219,18219,2093.0,1079501,,220.0,2.0,,273211,273211,,8145,8145.0,0,0.0,1211811,211295,588859,588859,1437.0,1437.0,,60976,90614,90614,55818,2712,2869163,21376,4916943,4916943,610.0,28770,46777.0,578110,,108886,108886,,,3738,352773,352773,110313,110313,,37455.0,37235,,705,27521.0,27519,0.0,0.0,39600.0,79238,2012869,1092134,994129,1157,1157,2338847,2013年06月30日,664492,,3624189,3623090,7951444,413407,3753904,5750011,,1437,1441872,1602,,114787.0,12277.0,1676090,4441,4325,97475.0,664492,73394,2385624,,4805,,4376992.0,186735,265,185322,1148,1148,,8001181.0,7938,32,30900,1676090,16702.0,562112,,562112,1099,623088,2251170,27798.0,55818,952514,952514,0
2013-11-11,3,2013,0.0,0.0,94420,18219,18219,1714.0,1064266,,220.0,2.0,,242758,242758,,7786,7786.0,0,0.0,1168147,77513,237132,237132,1306.0,1306.0,,61092,74554,74554,50550,2712,3538792,21706,5337038,5337038,399.0,28770,0.0,543143,,98512,98512,,,4310,2043860,2043860,108707,108707,,42380.0,42160,,507,30935.0,30933,6524.0,6524.0,39386.0,78376,2003042,1089759,994691,1016,1016,2385624,2013年09月30日,649257,,3608951,3607855,8110472,413407,4366698,5812911,,1306,1099410,1602,,100281.0,6978.0,689000,4309,4133,54933.0,649257,81408,2385624,,4426,,4427790.0,186735,265,185322,1148,1148,,8036741.0,7570,32,31273,689000,44949.0,0,,0,1096,61092,2223830,155693.0,50550,1090634,1090634,0
2014-03-17,4,2013,0.0,0.0,92911,18219,18219,2967.0,1201444,,220.0,2.0,7000.0,97211,97211,,8026,8026.0,0,0.0,1137279,80349,276892,276892,1222.0,1222.0,,62258,74553,74553,33630,2731,3256579,23362,5838796,5838796,385.0,28770,,1025997,,255792,255792,629.0,629.0,2745,2164243,2164243,96343,96343,,43971.0,43751,,538,5135.0,5133,77.0,77.0,38896.0,77514,1980307,1074741,994862,1042,1042,2385624,2013年12月31日,786435,,3746182,3745091,8100472,413407,4516697,6293699,,1222,1533443,1602,,86856.0,12717.0,744040,4222,3942,34963.0,786435,89296,2385624,,5698,,4764955.0,186793,323,185322,1148,1148,,8511137.0,7201,32,49184,744040,51508.0,186000,,186000,1091,248258,2217438,29777.0,33630,1056930,1056930,0
2014-05-12,1,2014,0.0,0.0,91579,18219,18219,2259.0,1275505,,,,7000.0,85347,85347,,970,,0,0.0,1119342,66894,398656,398656,1095.0,1095.0,,62735,74554,74554,60582,2731,3376637,24026,5724362,5724362,,28770,,707039,0.0,146882,146882,,0.0,115610,2062010,2062010,90242,90242,,,53271,0.0,661,,1078,,,38709.0,76821,1971956,1074402,994866,1000,1000,2385624,2014年03月31日,860496,,3820239,3819152,8110472,413407,4617025,6474024,,1095,1647686,1602,234444.0,,36030.0,956572,4135,3750,,860496,97312,2385624,,4990,,4865760.0,186793,323,185322,1148,1148,,8685999.0,6841,32,53572,956572,,186000,,186000,1087,248735,2211975,0.0,60582,1052448,1052448,0
2014-08-12,2,2014,0.0,0.0,90076,18219,18219,1953.0,875351,,,,7000.0,447253,447253,,946,,0,0.0,1149628,61293,467337,467337,968.0,968.0,,61873,74554,74554,114832,2731,3539111,23371,5626762,5626762,,28770,71569.0,445770,0.0,149271,149271,,0.0,207487,1869470,1869470,134683,134683,,,134729,0.0,1729,,31997,,,38502.0,75952,1964612,1074700,995226,945,945,2385624,2014年06月30日,398283,,3505440,3504355,8100472,475466,4983568,6527314,,968,1648881,1602,148982.0,,9984.0,1011108,4048,3564,,398283,105314,2457193,,4684,,5231441.0,200581,323,199110,1148,1148,,8736881.0,6480,32,60193,1011108,,186000,,186000,1085,247873,2209567,0.0,114832,1088335,1088335,0
2014-11-10,3,2014,,,88574,18219,18219,1668.0,857039,,,,7000.0,438252,438252,,825,,0,,1267604,78958,666721,666721,957.0,957.0,,60386,74554,74554,35812,2731,3702560,22104,5791652,5791652,,28770,,446446,0.0,164435,164435,,0.0,216528,1720150,1720150,135858,135858,,,101245,0.0,606,,164522,,0.0,38282.0,75083,1957993,1074829,996480,676,676,2457193,2014年09月30日,379971,,3487125,3486043,8353786,475466,5363387,6894685,,957,1649646,1602,133302.0,,8569.0,1407592,3961,3378,,379971,113316,2457193,,4399,,5609773.0,200581,323,199110,1148,1148,,9096898.0,6120,32,61240,1407592,,186000,,186000,1082,246386,2202213,0.0,35812,1188646,1188646,0
2015-03-17,4,2014,,,87066,12394,12394,3399.0,1309233,,,,0.0,124336,124336,,682,,0,0.0,1015036,97293,2145422,2145422,808.0,808.0,,59291,74553,74553,14372,2967,1529989,22127,5416685,5416685,,28770,,2303538,0.0,494407,494407,820.0,820.0,141202,1535210,1535210,138727,138727,,,210107,100.0,81,71611.0,71611,,,37164.0,74213,2050162,1174879,996652,483,483,2457193,2014年12月31日,832165,,3939329,3938241,8353786,475466,6153848,8050927,,808,1583158,1602,191867.0,,32308.0,2660028,3874,3193,,832165,121369,2457193,,11774,,6399139.0,200585,327,199110,1148,1148,,10338468.0,5754,32,62075,2660028,,186000,5408.0,186000,1088,245291,2287541,0.0,14372,917743,917743,0
2015-05-11,1,2015,,,85975,12394,12394,,1506431,,,,0.0,119096,119096,,8286,,0,0.0,924984,187227,2429604,2429604,666.0,666.0,3928.0,56751,67068,67068,32657,2967,1589860,24204,4954509,4954509,,28770,,1687653,0.0,379750,379750,,820.0,205711,1680101,1680101,113032,113032,,,302164,100.0,0,,8336,,,,73344,2042282,1174879,996824,447,447,2457193,2015年03月31日,1029363,49759.0,4204022,4135439,8353786,475466,5781960,7955326,32547.0,666,1617566,1602,,219670.0,,2301729,3787,3006,,1029363,129421,2457193,10228733.0,6978,6024711.0,,200585,327,199110,1148,1148,10228733.0,,5638,200,64575,2301729,,186000,83.0,186000,68583,242751,2273407,59430.0,32657,737757,737757,0
2015-08-11,2,2015,0.0,0.0,84463,12394,12394,3517.0,1440672,,,,0.0,368930,368930,,675,,0,0.0,546045,23949,1846658,1846658,525.0,525.0,,56267,67068,67068,31904,2967,2442631,23960,5135623,5135623,,28770,73716.0,1126906,0.0,298465,298465,,0.0,75026,2370879,2370879,295694,295694,,,269038,0.0,5362,,6991,,,,72475,2034328,1174831,996968,332,332,2457193,2015年06月30日,905191,26902.0,4338271,4153420,8353786,533879,5145889,7461558,32307.0,525,1403004,1602,,165307.0,,1157464,3700,2819,,905191,137471,2530909,9726427.0,6484,5388156.0,,210609,327,209134,1148,1148,9726427.0,,5276,193,65759,1157464,,186000,0.0,186000,184851,242267,2264869,163082.0,31904,522096,522096,0
