date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,1247494,,2042232,368312,406312,647609,36496,450108,91896,53392,76823,93795,213957,81796,241,1463663,1463663,,,4363599,32127,10666,3481126,356708.0,356708,28616,76582.0,25449,2307608,2013年03月31日,1395762,,,6427603,6089656,0,646470,5426750,9886186,,233504,,4138962.0,130041.0,1497.0,150812,2307608,,,5505107.0,1289708,,11932710.0,213957,1534,39970,337947,78357,2046524,111769,0
2013-08-08,2,2013,1253561,,1779558,368312,406312,1171580,31345,484564,80967,37578,74955,96385,320282,116252,245,1540999,1540999,0.0,,4450754,26649,12120,3819583,390803.0,390803,47477,74710.0,25428,2309398,2013年06月30日,1075144,,,6226428,5874150,0,704414,6041499,10301810,,220278,,3993219.0,148458.0,2153.0,150971,2309398,,,6116816.0,1300630,,12343244.0,320282,362,39470,352278,75317,2041434,118371,0
2013-11-07,3,2013,1240211,,1891778,391866,429866,765216,38835,483769,113562,34262,72879,77227,270593,91903,241,1546570,1546570,0.0,,4443227,41197,10917,3339407,713740.0,713740,93266,72638.0,25337,2317228,2013年09月30日,1187364,,,6343855,6000609,0,704414,5648202,10031843,,219676,,3895006.0,125930.0,644.0,148153,2317228,,,5721438.0,1307834,,12065293.0,270593,357,41133,343246,73236,2033450,99520,0
2014-03-17,4,2013,1287410,,1997367,693866,731866,802136,36356,819651,108197,74475,61457,73600,271564,125785,246,1830021,1830021,0.0,,4597343,47854,13844,3219075,642607.0,642607,60070,61211.0,24674,2344658,2013年12月31日,1292953,,,6840464,6494745,0,704414,5811519,10340082,,219074,,4114055.0,106991.0,322.0,135154,2344658,,,5873810.0,1333069,,12714274.0,271564,834,37568,345719,62291,2374192,91537,0
2014-04-28,1,2014,1264337,,2100029,1090707,1127514,738883,77650,1211392,112335,41141,59723,64029,301782,120685,392,1717699,1717699,0.0,,4265227,51959,11228,3025840,737601.0,737601,54324,59331.0,25396,2344658,2014年03月31日,1395615,,,7321251,6989148,0,704414,5465547,10109639,,218672,4027922.0,,135337.0,6378.0,150578,2344658,,,5526123.0,1333069,,12847374.0,301782,853,37787,332103,60576,2737735,119302,0
2014-08-07,2,2014,1257046,,1745410,1374877,1411684,1255674,42419,1457115,126304,32456,57975,71555,302673,82238,385,1856912,1856912,0.0,0.0,4473199,41041,12771,3295159,773821.0,773821,89085,57590.0,25279,2344658,2014年06月30日,991541,,,7200796,6880252,0,753869,6196056,10433839,,218672,3918928.0,,124361.0,7099.0,162706,2344658,,,6254867.0,1333069,,13455663.0,302673,836,37588,320544,58811,3021824,115287,0
2014-10-30,3,2014,1255206,,1910464,1496795,1533602,871739,86909,1631512,127143,35980,55953,77232,90090,134717,414,1946821,1946821,0.0,0.0,5119829,59172,12984,3786758,1019390.0,1019390,80963,55539.0,25651,2344658,2014年09月30日,1156595,,,7540283,7219703,0,753869,6462072,10911026,,218672,3718008.0,,79837.0,6790.0,191368,2344658,,,6518877.0,1333069,,14059160.0,90090,852,37771,320580,56805,3148134,139317,0
2015-03-19,4,2014,1261966,,1978325,1798382,1835189,930684,50303,2002561,134335,31304,51247,81828,94091,204179,20,2125568,2125568,0.0,0.0,4908537,65121,12951,3364719,781015.0,781015,101895,51227.0,27173,2344658,2014年12月31日,1224456,,,8007465,7658613,0,753869,6363499,10960064,,218672,4256691.0,,94842.0,5491.0,217029,2344658,,,6416075.0,1333069,,14423540.0,94091,1329,38648,348852,52576,3463476,148987,0
2015-05-04,1,2015,1233131,,2001147,1864163,1899250,761945,53084,2047003,118184,31012,49918,69389,94380,182840,632,1905035,1905035,0.0,,4000107,52535,10411,3060424,732959.0,732959,98507,,26324,2344658,2015年03月31日,1247278,72716.0,5565.0,8066027,7725877,0,753869,5236707,9868667,49286.0,218672,,3742419.0,,,220809,2344658,13353634.0,5287607.0,,1333069,13353634.0,,94380,982,38201,340150,50900,3484967,145282,0
2015-08-06,2,2015,1193655,,1924196,2344327,2379414,838718,29401,2496742,57558,32279,48101,75986,110256,152415,1021,1702857,1702857,,0.0,3730973,32696,12481,2996956,754018.0,754018,101241,,68569,2344658,2015年06月30日,1130201,69509.0,6350.0,8349380,8098665,0,793995,4909183,9332599,47080.0,219464,,3488787.0,,,167248,2344658,13307633.0,4958253.0,,1333069,13307633.0,,110256,969,37946,250715,49070,3975034,110454,0
2015-11-02,3,2015,1250374,32350.0,2071584,2707411,2742498,1250665,101507,2945664,67847,37151,45902,79617,110331,238253,907,1589480,1589480,0.0,0.0,3953277,39084,12110,3387205,766609.0,766609,88046,,69404,1922620,2015年09月30日,1277589,38955.0,5820.0,8528749,8272937,0,793995,5527066,9670236,44995.0,219390,,3476595.0,,,165128,1922620,14102742.0,5573993.0,,1333069,14102742.0,,110331,1025,38873,255812,46927,4432506,107492,0
2016-03-21,4,2015,1260392,31219.0,2320882,2721601,2752318,887932,37987,2889407,119140,28417,58564,72332,111454,167806,856,2039662,2039662,0.0,0.0,4537290,47231,13241,3237732,657205.0,657205,97365,,71628,1922620,2015年12月31日,1526887,84263.0,6732.0,8729942,8465978,0,793995,5834556,10184393,57708.0,219584,,3849352.0,,,145459,1922620,14629773.0,5899831.0,,1333069,14629773.0,,111454,6711,37907,263964,65275,4445380,118487,0
2016-05-04,1,2016,1261903,31075.0,2368028,2819998,2850715,857836,46141,2976757,41979,40113,56416,75356,32152,156759,851,1829510,1829510,0.0,,4331297,45461,13173,3037996,694609.0,694609,83007,,66539,1922620,2016年03月31日,1574033,109686.0,6475.0,8868751,8600474,0,793995,5528388,9909852,55565.0,221871,,4022336.0,,,128956,1922620,14457325.0,5588574.0,,1333069,14457325.0,,32152,3770,40014,268277,60186,4547473,117513,0
2016-08-04,2,2016,1273229,30281.0,2233588,2493881,2524598,1201877,40806,2598768,66687,26046,54402,96254,31345,104887,1024,1926500,1926500,,0.0,4345594,29986,13564,3415624,,935728,48930,,71732,1922620,2016年06月30日,1401783,101324.0,6781.0,8251292,7994844,0,831805,5887963,9941792,53378.0,222390,,3395743.0,,,128931,1922620,14200319.0,5949027.0,,1239868,14200319.0,,31345,6662,40043,256448,61064,4258527,114289,0
2016-11-03,3,2016,1322848,29331.0,2331196,2862202,2892919,928684,124075,2900510,67475,20932,52023,104413,30790,38308,851,1824445,1824445,0.0,0.0,4409489,35888,17364,3526124,841780.0,841780,100951,,71832,1922620,2016年09月30日,1499391,113478.0,6819.0,8652018,8394194,0,831805,5697552,9725410,51172.0,221667,,3146367.0,,,125174,1922620,14408173.0,5756155.0,,1239868,14408173.0,,30790,6580,39753,257824,58603,4682763,103127,0
