date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,代收款,以成本衡量之金融資產－非流動淨額,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,暫收款,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2014-04-01,4,2013,,0,747255,,11007,536096,0,130115,158,6793,0,-61299,30359,30359,274,43976,94,279133,,0,,243035,14530,46805,467,423552,15771,1034,72011,568742,,2013年12月31日,,,1483364,1483364,0,576415,1283553,6414,,49735,,,460467,54181,56765,568742,,,637684,439825,,2121048,17293,714,0,61269,837495,46794,,,0
2014-08-12,2,2014,0,0,693001,807,11007,534208,0,287830,0,5576,,-79455,23166,5110,190,43359,402,275059,,0,0,242797,13301,2,0,428245,14447,428,75517,568742,59,2014年06月30日,472909,,1464716,1464716,0,648928,1388463,5190,,112640,61299,488657,,41832,40000,568742,,,709578,441221,,2174294,17291,714,0,60650,785831,63221,17190,,0
2014-11-10,3,2014,,,688410,1185,11007,607120,0,120059,0,9393,,-53222,22343,3547,461,43871,400,314233,,0,0,294941,13650,9,0,470536,20719,550,82601,639842,1137,2014年09月30日,545821,,1989540,1989540,0,554346,1817523,4474,,469958,61299,460007,,40546,62798,652442,,,615589,783200,,2605129,17372,714,0,61243,787606,71666,16474,12600,315000
2015-03-23,4,2014,,,695259,726,11007,709190,0,148368,0,13328,,19365,42951,28170,154,48379,400,331994,,0,0,346274,25989,4,0,558450,22575,564,89407,643492,154,2014年12月31日,647891,,2166895,2166895,0,706378,2138801,3934,,592293,61299,519650,,52273,90519,643492,,,772627,794848,,2939522,17870,714,0,66249,800721,99793,13901,,0
2015-05-11,1,2015,,,658013,734,11007,819057,,125031,,11308,,-15385,25664,7333,300,50088,403,336775,,0,0,284042,15434,1,0,527370,18161,54,92192,643702,105,2015年03月31日,757758,52410,2244642,2244642,0,575525,2121067,4148,651171,,61299,,458813,,72943,645102,2887544,642902,,795868,2887544,,17289,714,0,67377,766477,117115,17492,1400,35000
2015-08-10,2,2015,,,636436,827,11007,672229,0,348112,,4783,,-50369,23398,5359,192,50123,403,338625,,0,0,240461,12913,0,,443612,18419,80,89920,645032,163,2015年06月30日,610930,43481,2067139,2067139,0,748754,2140130,4801,396294,,61299,,834577,,80389,645032,2883411,816272,,800247,2883411,,17395,714,0,67518,743281,103548,17049,,0
2015-10-20,3,2015,,,677770,954,11007,828274,0,132762,,6263,,53312,23728,7738,462,50228,400,367181,,0,0,269788,15426,2,,493551,19067,150,103141,645832,157,2015年09月30日,766975,55840,2342987,2342987,0,561475,2174917,4895,442060,,61299,,734546,,63929,658524,2972844,629857,,802877,2972844,,18154,714,0,68382,797927,111637,14879,12692,334000
2016-03-15,4,2015,,,670600,754,11007,982046,0,167842,,32036,,52615,18908,8781,651,40926,400,380352,380352,0,0,326487,21971,0,,595962,24054,11,102748,649322,646,2015年12月31日,920747,78300,2497021,2497021,0,680635,2444054,6978,456626,,61299,,836885,,67127,649322,3236501,739480,,813038,3236501,,17919,714,0,58845,792447,117477,8727,,0
2016-05-04,1,2016,,,623870,744,11007,1109951,0,122376,,22050,,-1434,16546,7608,273,26678,403,348169,348169,0,0,257029,16440,1,,596409,14185,11,110538,649322,19,2016年03月31日,1048652,69590,2571038,2571038,0,500211,2363142,5892,539212,,61299,,723943,,18229,649322,3115566,544528,,813199,3115566,,17639,714,0,44317,752424,118890,8175,0,0
2016-08-12,2,2016,,,643655,915,11007,881333,0,477672,,13263,9239,-8703,9740,4738,245,26560,403,345787,345787,0,0,283992,15629,,,534638,29427,11,109681,649322,0,2016年06月30日,820034,70018,2335313,2335313,0,908231,2521412,5352,776446,,61299,,695683,,51180,649322,3292224,956911,,813361,3292224,,22120,714,0,48680,770812,116673,4087,,0
2016-11-02,3,2016,,,605878,891,11007,986900,0,139216,,13370,,-78945,16015,7099,646,26417,400,333390,333390,0,0,247497,16761,4,,549613,19696,11,108075,651962,0,2016年09月30日,925601,91491,2384263,2384263,0,600534,2298125,4453,627308,,61299,,630608,,89550,655922,3028652,644389,,820386,3028652,,17438,714,0,43855,730527,123483,8025,3960,110000
