date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,專利權淨額,工程進度請款金額,待分配股票股利,待註銷股本股數,應付帳款,應付帳款合計,應付票據,應付票據合計,應收帳款淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付款－關係人,長期應付票據及款項－關係人合計,長期預付租金,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-10-14,3,2013,,330666,3645307,703925,185159,0.0,20159,30169,335969,5303,242887,1326.0,241561.0,0.0,373436,30169,2555,148781,746,,,,,6524,,920135,1112282,0.0,1200000,2013年09月30日,703925,,,5170877,5170877,0,,1583189,3639746,746,,0.0,,1925764.0,58447.0,,76955,1200000,,,,,2493763.0,3236783,,7664640.0,,1155,5405,909419.0,,0.0,255119,910574,4024894,189873,115762,0
2014-03-01,4,2013,,384973,3972463,1042754,212782,0.0,20726,120169,388659,3686,237649,0.0,237649.0,0.0,395111,120169,1797,159913,733,,,,,6825,,955044,1388072,0.0,1200000,2013年12月31日,1042754,,,5599706,5599706,0,,1718686,3676095,733,,0.0,,1681382.0,69470.0,,85906,1200000,,,,,2450649.0,3236783,,8050355.0,,1648,5953,730315.0,0.0,0.0,257910,731963,4374260,188353,135404,0
2014-05-12,1,2014,390031.0,390031,4277802,1394095,174279,0.0,9635,178432,394924,4893,234569,742.0,233827.0,,456178,178432,1831,215009,718,,,0.0,,9963,,887373,1440879,0.0,1350000,2014年03月31日,1394095,,,7893310,7893310,0,,1662295,5507356,718,,0.0,3389686.0,,116511.0,,79245,1350000,,,,,2356540.0,4970783,,10249850.0,0.0,2315,7796,691930.0,,,259889,694245,4742494,217578,194458,0
2014-08-12,2,2014,455678.0,455678,4784695,1254290,507447,,8279,19662,456723,1045,181238,1386.0,179852.0,,608781,19662,1381,207759,679,,135000.0,0.0,,7842,,740428,1420196,,1350000,2014年06月30日,1150015,,,7729735,7729735,0,104275.0,1927770,4717141,679,,0.0,2568027.0,,118252.0,,97078,1485000,,,,,2390179.0,4970783,,10119914.0,,1828,8618,460581.0,,,253319,462409,5402773,331642,354081,0
2014-11-11,3,2014,465164.0,465164,5267263,1590274,143014,,9396,168558,466222,1058,236672,5200.0,231472.0,,605513,168558,1397,215590,667,,,0.0,,8622,,905271,1470287,,1485000,2014年09月30日,1485999,,,8214615,8214615,0,104275.0,1842710,4645017,667,,,2447803.0,,125947.0,,193634,1485000,,,,,2314032.0,4970783,,10528647.0,,1611,10187,469711.0,,,256631,471322,5883630,265269,347485,0
2015-03-11,4,2014,,514101,5721101,2108331,159335,,13964,565911,517657,3556,271823,,271823.0,,544430,565911,1455,179942,672,,,0.0,,9329,,1065306,1458888,,1485000,2014年12月31日,2004056,,,9130025,9130025,0,104275.0,1922015,5039830,672,,1293103.0,1471675.0,,0.0,66487.0,170388,1485000,,,,,2182001.0,4970783,,11312026.0,,1366,5993,258620.0,,,266997,259986,6272196,283948,275978,0
2015-05-13,1,2015,711924.0,711924,5950380,2457876,181732,,23595,428089,718089,6165,238286,667.0,237619.0,,1016824,428089,1447,205535,637,,,,,9378,,958744,1245605,,1485000,2015年03月31日,2353601,0.0,5675.0,9341748,9341748,0,104275.0,2040881,4412908,637,1273972.0,,,1135806.0,,,172938,1485000,,11385685.0,,2043937.0,,4970783,11385685.0,,,3056,4936,0.0,,,261597,3056,6972777,284434,753780,0
2015-08-12,2,2015,478977.0,478977,6086373,2484620,661613,,13817,340540,481044,2067,262044,619.0,261425.0,,975775,340540,1436,209082,606,,0.0,,,9020,,1018326,1388191,,1485000,2015年06月30日,2226537,68073.0,0.0,9280943,9280943,0,258083.0,2361954,4575366,606,1261940.0,,,1180668.0,,,123878,1485000,,11643787.0,,2362844.0,,4970783,11643787.0,,,890,5667,0.0,,,257689,890,7068421,259624,716650,0
2015-11-11,3,2015,490595.0,490595,6521089,2889760,272327,,22011,565122,494012,3417,267856,521.0,267335.0,,964079,565122,1451,189323,594,,,,,16597,,1055586,1403858,,1485000,2015年09月30日,2631677,78303.0,0.0,9910665,9910665,0,258083.0,2130757,4551703,594,1291795.0,,,1132604.0,,,213932,1485000,,12043888.0,,2133223.0,,4970783,12043888.0,,,2466,6423,0.0,,,262315,2466,7492185,244256,700313,0
2016-03-25,4,2015,,151649,7086355,3297293,320656,,3546,345764,155972,4323,254373,,,,473244,345764,1433,121706,556,0.0,,,11417.0,11417,1009199.0,1009199,1371863,,1485000,2015年12月31日,3039210,78467.0,0.0,10098840,10098840,0,258083.0,1702540,4235102,556,1263745.0,,,1049969.0,,,126829,1485000,0.0,11802026.0,0.0,1703186.0,,4970783,11802026.0,,,646,6769,0.0,,,255180,646,7566924,169900,216631,0
