date,season,year,不動產、廠房及設備合計,以成本衡量之金融負債－流動,以成本衡量之金融負債－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付建造合約款－關係人,應付短期票券合計,應付票據合計,應付票據－關係人合計,應付租賃款－流動,應付租賃款－非流動,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,按攤銷後成本衡量之金融負債－流動,按攤銷後成本衡量之金融負債－非流動,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,特別股股本,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融負債－非流動,長期借款合計,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,626650,,,17398,440068,74350,,3329,448,180361,5441,157477,1374.0,156103.0,120851,130742,133052,5500,26672.0,6701,534,,,,146492,,,,,1445,,1982,5123.0,118857,300975,3574,98947.0,383879,,,1500000,2013年03月31日,193001,,1940527,1940527,0,237318,441783,1206126,,45947,100000.0,,9749.0,,,493756.0,39135.0,,1500000,,,,572525.0,11,,2513052.0,,8647,,0,,,,5123.0,,130742,1306926,,118977,,172938,0
2013-08-08,2,2013,614217,,,17398,369654,247636,,2629,950,71974,5019,259220,,,60535,125813,73280,5500,,7245,470,,,,170742,,,,,1148,,2035,,147325,346320,3938,,382341,,,1500000,2013年06月30日,99847,,1870615,1870615,0,258850,517712,1285344,,41560,100000.0,,10957.0,,,465163.0,26212.0,,1500000,,,,643525.0,11,,2514140.0,,8397,,0,,,,,,125813,1228796,,51882,,64920,0
2013-11-07,3,2013,603761,,,17398,427962,87346,,3748,656,66784,5353,466040,1491.0,464549.0,63640,125371,81810,5500,24542.0,8364,411,,,,161577,,,,,1887,,2089,4339.0,151306,136979,4128,96490.0,380803,,,1500000,2013年09月30日,158155,,1928629,1928629,0,258850,332670,1164882,,38016,100000.0,,10957.0,,,315701.0,15076.0,,1500000,,,,458041.0,11,,2386670.0,,8869,,0,,,,4339.0,,125371,1221788,,77700,4306.0,59342,0
2014-02-20,4,2013,598371,,,17398,456308,214346,,3337,1239,75233,5223,459760,1146.0,458614.0,64745,120007,83008,5500,21479.0,8731,403,,,,170528,,,,,1553,,2146,3925.0,165435,285765,2515,94603.0,379266,,,1500000,2013年12月31日,186501,,1957558,1957558,0,258850,481629,1343834,,37317,100000.0,,10957.0,,,377856.0,19969.0,,1500000,,,,601636.0,11,,2559194.0,,9131,,0,,,,3925.0,,120007,1215360,,39632,4032.0,67864,0
2014-05-08,1,2014,588304,,,17398,495873,81798,,4396,912,213595,5390,464899,392.0,464507.0,64850,116056,77995,5500,,7645,497,,,,48895,,,,,1322,,2205,,131540,35070,2853,,377727,,,1500000,2014年03月31日,226066,,1996796,1996796,0,258850,375313,1290521,,34153,100000.0,,10957.0,,594712.0,,29703.0,,1500000,,,,491556.0,11,,2488352.0,,9052,187.0,2254,,,,,,116243,1197831,,47502,0.0,206000,0
2014-08-07,2,2014,575970,,,17398,414247,250470,,3456,407,243533,5669,561081,,,97355,116372,110160,5500,,7305,494,,0.0,,61516,,,,,573,,2266,,133378,65505,2495,,376189,,,1500000,2014年06月30日,136747,,1914665,1914665,0,277500,581333,1400132,,30333,100000.0,,0.0,,560032.0,,25241.0,,1500000,,,,697788.0,11,,2612453.0,,8505,83.0,2271,,,,,,116455,1212321,,65186,0.0,235598,0
2014-11-05,3,2014,565275,,,17398,467951,82805,,4017,1134,234203,5813,416622,1412.0,415210.0,97565,116343,110777,5500,17904.0,7059,490,,0.0,,68200,,,,,1423,,2329,2587.0,132410,72023,3952,95852.0,374652,,,1500000,2014年09月30日,190451,,1969096,1969096,0,277500,401213,1290658,,26120,100000.0,,0.0,,567883.0,,14582.0,,1500000,,,,517788.0,11,,2486884.0,,8136,232.0,2004,,,,2587.0,,116575,1196226,,85125,653.0,226061,0
2015-02-02,4,2014,565413,,,17398,489705,195086,,2921,2203,250429,5215,333923,1669.0,332254.0,84579,111356,99326,5500,19856.0,8977,2000,,0.0,,76841,,,,,4477,,1818,2107.0,157921,79931,2115,89393.0,373114,,,1500000,2014年12月31日,212205,,1991919,1991919,0,277500,543149,1515298,,22566,50000.0,,0.0,0.0,887127.0,,16316.0,,1500000,,,,655050.0,11,,2646969.0,,8131,545.0,3854,,,,2107.0,,111901,1131671,,41229,270.0,243396,0
2015-05-07,1,2015,555470,,,17398,545835,84080,,5734,1875,220163,6877,543904,1154.0,542750.0,84729,107649,106595,5500,15299.0,9302,2674,,0.0,,62678,,,,,1412,,2463,1609.0,127823,31420,2221,,371576,,,1500000,2015年03月31日,268335,25903.0,2047721,2047721,0,277500,394236,1425881,90741.0,19458,,50000.0,0.0,,,615823.0,,,1500000,2550216.0,,502495.0,,11,2550216.0,,,48201,610.0,3838,,,,1609.0,,108259,1124335,,48081,7064.0,210823,0
2015-08-06,2,2015,572354,,,23398,449027,252927,,3095,1373,203368,6669,495574,935.0,494639.0,84877,106140,125865,5500,12961.0,7931,1789,,,,65571,,,,,884,,2534,1092.0,139235,62095,1743,,370038,,,1500000,2015年06月30日,151863,25159.0,1950411,1950411,0,297164,547909,1440740,92087.0,18548,,50000.0,,,,624937.0,,,1500000,2605055.0,,654644.0,,11,2605055.0,,,48186,595.0,4112,,,,1092.0,,106735,1164315,5483.0,64086,22074.0,194165,0
