date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保固之短期負債準備,保固之長期負債準備,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－採用權益法之子公司,備供出售金融資產－流動,備供出售金融資產－流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵銷售退回及折讓,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預收款,原始認列時指定為透過損益按公允價值衡量之金融負債評價調整－流動,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,原料,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,土地成本,土地淨額,在製品,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付短期票券,應付短期票券合計,應付股利,應付薪資,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,持有至到期日金融資產－流動,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動,持有至到期日金融資產－非流動淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,約當現金,累積盈虧,股本合計,製成品,試驗設備成本,試驗設備淨額,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅負債－其他,遞延所得稅資產,銀行借款,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付退休金－非流動,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-07,1,2013,1791394,131579.0,131579,199844.0,125312.0,730332,16575.0,16575.0,77710.0,77710.0,37882.0,24071.0,,,,,19074,1186113,880253,260693,220645,364762.0,40048,364762,60148,574418,80648.0,80648,305860.0,0.0,11103.0,1559124.0,2499.0,2499.0,34012.0,34012.0,388358.0,3400,43827,4214600,4214600,202074,,1891736.0,1891736,,,,,,,3119416.0,3057463,324011.0,324011,56748.0,1167772.0,1167772.0,2766.0,2766.0,0.0,0.0,100419.0,100419,4913203,2013年03月31日,530632.0,114859.0,,251264.0,251264.0,9429790,9369716,14051262,199700.0,4224467,10998011,,,,,3049665.0,36352.0,910422,3049665.0,530632.0,4913203,2267118.0,24377.0,24377.0,,199844,125312.0,,4507012.0,3909181,3909181.0,,13936802.0,199110.0,199110.0,0,11103,97085,97085.0,340981,910422.0,9727,60074,282545,2938791,75454.0,305860,0,
2013-08-13,2,2013,1870013,,125861,,,723751,,,,75148.0,,,0.0,,,,44860,1219104,928433,369866,309066,368303.0,60800,368303,60362,629692,134480.0,134480,,,,,,,,,,3411,40761,3745451,3745451,202074,,,2322176,,,,,0.0,,,3781543,,235697,56951.0,,,,1382.0,,0.0,,103768,4913203,2013年06月30日,,,,,,9443533,9389778,14051262,,4651593,11281595,,,,,3061366.0,11209.0,875400,,,4913203,,,,,223704,94707.0,,4909197.0,3910038,,,14352730.0,,,0,11142,102535,,341801,,9837,53755,257604,3071135,76311.0,290671,0,290671.0
2013-11-12,3,2013,1909868,,123522,,,917928,,,,84390.0,,,,,,,35013,1118640,914677,424832,353533,,71299,367329,59494,572763,,80498,,,,,,,,,,3408,38116,4067693,4067693,202074,,,2905061,,,,,,,,4075391,,376730,56086.0,,,,0.0,,0.0,,104607,4913203,2013年09月30日,,,,,,9629395,9574966,14051262,,5376822,12111268,,,,,3075927.0,15245.0,1059459,,,4913203,,,,,270191,0.0,,5534329.0,3910896,,,15163724.0,,,8226,6305,98013,,341696,,9665,54429,157507,3052456,77155.0,203963,0,203963.0
2014-03-11,4,2013,1985110,,105992,,,1188906,,,,0.0,,,,,,,61407,1379518,1221411,484975,388931,355246.0,96044,355246,42569,558663,74432.0,74432,,,,,,,,,,3387,36825,3654699,3654699,202074,,,3025987,,,,,,,,4016822,,659127,39182.0,,,,0.0,,0.0,,78764,4913203,2013年12月31日,,,,,,9926898,9873014,14051262,,5462447,12444278,,,78349.0,,3614085.0,48256.0,771357,,,4913203,,,,,208222,0.0,,5618353.0,3911572,,,15545251.0,,,29107,14570,113337,,294095,,9774,53884,155906,3100973,82386.0,158107,0,
2014-05-13,1,2014,1961266,,121635,,,1240439,,,,0.0,,,360321.0,,,,69987,868210,713633,448127,395683,365220.0,52444,365220,41682,563804,72325.0,72325,,,,,,,,,,3451,33891,4179262,4179262,202074,0.0,,2811152,,,,,,360321.0,,3458459,,720871,38231.0,,,,0.0,,,,80776,4913203,2014年03月31日,,,,,,9988678,9933438,14051262,,5416338,12467879,,,71744.0,3636834.0,,38111.0,1096104,,,4913203,,,,,237973,0.0,,5573732.0,3911883,,,15562410.0,,,4467,24326,115712,,295306,,9675,55240,157394,3094531,82693.0,154577,0,
2014-08-12,2,2014,2006132,,118861,,,1305452,,,,0.0,,,494589.0,,,,19971,1113523,942360,415164,337294,40978.0,77870,40978,40765,240701,66843.0,66843,,,,,,,,,,3447,40442,4465321,4465321,202074,0.0,,3560293,,,,,145998.0,348591.0,,4938249,,527459,37318.0,,,,0.0,,,,105239,4913203,2014年06月30日,,,,,,10002349,9948746,14051262,,6112167,13455190,,,65889.0,3082642.0,,90267.0,657887,,,4913203,,,,,195608,0.0,,6259245.0,3912194,,,16261594.0,,,0,26355,106313,,269582,,9438,53603,147078,2806404,83000.0,171163,0,
2014-11-11,3,2014,2050794,,145969,,,1329154,,,,0.0,,,819846.0,,395766.0,,26069,765568,677443,522604,386862,65506.0,135742,65506,39825,258513,64468.0,64468,,,,,,,,,,3393,35615,4676297,4676297,202074,0.0,,3613147,,,150000.0,150000.0,,424080.0,,5669149,,552788,36432.0,,,,,,,,111349,4913203,2014年09月30日,,,,,,10040175,9981675,14051262,,7078754,14370528,,,58672.0,2925863.0,,99125.0,1431789,,,4913203,,,,,199279,,,7233873.0,3915323,,,17274048.0,,,0,23827,115294,,278223,,9617,58500,155119,2903520,83307.0,88125,0,
2015-03-17,4,2014,2152164,,143840,,,1217993,,,,,,,,10573.0,,,99982,1817128,1695115,400842,321194,65737.0,79648,65737,26816,259130,65220.0,65220,,,,,,,,,,3371,45879,4883990,4883990,155680,0.0,,3750805,,,150000.0,150000.0,,,,5215875,,551772,23445.0,,,,,,,,33131,4887613,2014年12月31日,,,,,,10005170,9944634,11492262,,6990072,14290874,,,54822.0,3213678.0,,75557.0,1054822,,,4887613,,,,,130635,,,7166657.0,3894726,,,17171827.0,,,552,24717,149769,,237866,,9860,60536,176585,2880953,72434.0,122013,0,
2015-05-12,1,2015,2111388,,82894,,,776274,,,,,,,380979.0,0.0,,,-32438,1375225,1086523,383098,335732,73535.0,47366,73535,26012,249379,54921.0,54921,,,,,,,,,,3429,38554,5098495,5098495,120862,0.0,,3727264,,,150000.0,150000.0,,380979.0,,4329632,,527531,,,,,,,,,90282,4866603,2015年03月31日,,,109578.0,,,9427166,9370495,9391262,,7417352,14162351,22583.0,72666.0,44745.0,,3807287.0,,1538257,,,4866603,,,,17012467.0,136034,,7585301.0,,3880918,,17012467.0,,,,15,16308,141937,,271428,,9703,56671,167949,2850116,,288702,0,
2015-08-11,2,2015,2089200,,44274,,,508036,,,,,,,357011.0,8841.0,,,-47853,1331851,1169204,508503,419943,73272.0,88560,73272,23315,259649,64175.0,64175,,,,,,,,,,1199,39801,4985719,4985719,294979,0.0,,3701249,,,150000.0,150000.0,72999.0,284012.0,,5108100,,626032,,,,,,,,,103651,4866603,2015年06月30日,,,97697.0,,,8963315,8912725,22057262,,7476716,13779515,22116.0,72898.0,92172.0,,2527031.0,,1684983,,,4866603,,,,16599712.0,145084,,7636397.0,,3880918,,16599712.0,,,,0,24130,136366,,231251,,9503,50590,159681,2820197,,162647,0,
2015-11-10,3,2015,2236779,,30373,,,613993,,,,,,,322600.0,1313.0,,,99341,1255810,1170379,527531,439804,76619.0,87727,76619,24045,258794,65626.0,65626,,,,,,,,,,3045,33593,4966090,4966090,223477,0.0,,3836561,,,150000.0,150000.0,,322600.0,,4933659,,783559,,,,,,,,,92716,4710233,2015年09月30日,,,139933.0,,,9063129,9025065,18013262,,7914020,14219483,21000.0,73130.0,95245.0,,3002487.0,,2058418,,,4710233,,,,17154999.0,149385,,8091870.0,,3824975,,17154999.0,,,,0,6157,153805,,221609,,9826,38064,177850,2935516,,85431,0,
2016-03-17,4,2015,2184696,,30373,,,511076,,,,,,,,7772.0,,,10381,1732232,1626318,460372,417438,57189.0,42934,57189,6687,250076,84338.0,84338,,,,,,,,,,2863,32390,4461102,4461102,220033,0.0,,3697297,,,50000.0,50000.0,,,,5135130,,479070,,,,,,,,,114775,4611773,2015年12月31日,,,119633.0,,,8755455,8718677,17479262,,7752311,13726710,3824.0,66740.0,83229.0,,3185776.0,,1987216,,,4611773,,,,16690443.0,156060,,7934988.0,,3805480,,16690443.0,,,,2101,5260,175990,,300584,,9419,36778,182677,2963733,,105914,0,
2016-05-05,1,2016,2134679,,30373,,,674208,,,,,,,430962.0,415.0,,5135.0,6534,1124920,1079644,389371,347451,63223.0,41920,63223,5371,255438,83066.0,83066,,,,,6534.0,,,,,2854,32866,4218274,4218274,157212,0.0,,3961230,2228.0,2228.0,150000.0,150000.0,,430962.0,,5921064,,508053,,,,,,,,,103845,4511773,2016年03月31日,,,152131.0,,,8855999,8814447,11700262,,7978797,14113338,2517.0,66971.0,78487.0,,3066724.0,,1978934,,,4511773,,,,17014131.0,165785,,8158132.0,,3779144,,17014131.0,,,,12192,4717,173964,,297971,,9312,41552,179335,2900793,,45276,0,
2016-08-11,2,2016,2070029,,30373,,,702588,,,,,,,426466.0,8453.0,,4870.0,-49258,984460,931848,365445,326871,51006.0,38574,51006,4801,241381,81360.0,81360,,,,,-49258.0,,,,,2810,32800,3825434,3825434,120861,0.0,,3873970,,,150000.0,150000.0,0.0,426466.0,,6169035,,440509,,,,,,,,,97335,4411773,2016年06月30日,,,189671.0,,,8707225,8662936,9391262,,7425153,13506505,1991.0,67202.0,71164.0,,2689727.0,,1638248,,,4411773,,,,16302145.0,153885,,7594920.0,,3718694,,16302145.0,,,,0,11485,164966,,285358,,9013,44289,169767,2795640,,52612,0,
2016-11-10,3,2016,1987862,,30373,,,643042,,,,,,,443060.0,0.0,,1759.0,-136149,889730,850561,369423,335293,61669.0,34130,61669,3678,247801,79656.0,79656,,,,,-136149.0,,,,,2149,30072,3857401,3857401,120861,0.0,,3531897,42603.0,42603.0,150000.0,150000.0,,443060.0,,5362728,,419478,,,,,,,,,85811,4411773,2016年09月30日,,,159029.0,,,8558453,8516499,9391262,,6890055,12902220,1529.0,67733.0,63700.0,,2885760.0,,1513130,,,4411773,,,,15606125.0,160606,,7047672.0,,3718694,,15606125.0,,,,0,5671,153939,,288358,,8671,41954,157617,2703905,,39169,0,
