date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備抵呆帳－應收帳款、分期帳款及租賃款,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－其他,其他應收款－關係人淨額,其他應收款－關係人－其他,其他權益合計,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預付款,原始認列時指定為透過損益按公允價值衡量之金融負債－流動,原料,商譽,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,在製品,在途原物料,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,專門技術,專門技術淨額,工程存出保證金,庫存現金,待分配股票股利,待註銷股本股數,應付公司債,應付公司債合計,應付公司債溢（折）價,應付帳款,應付帳款合計,應付票據,應付票據合計,應付股利,應付董監事酬勞,應付薪資,應收帳款,應收帳款淨額,應收收益,應收退稅款,房屋及建築成本,房屋及建築淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期損益,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利資產-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動,無活絡市場之債券投資－流動淨額,特別股負債－非流動,現金及約當現金合計,現金及約當現金總額,短期借款合計,租賃改良成本,租賃改良淨額,約當現金,累積盈虧,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－租賃改良,累計折舊－辦公設備,累計減損－其他無形資產,累計減損－專門技術,累計減損－電腦軟體,股本合計,製成品,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資本公積－限制員工權利股票,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行借款,銀行存款,長期應付款,長期應付票據及款項合計,長期預付租金,電腦軟體,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付貨款,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-11-04,3,2013,60063,,,707946,1626,75213,19227,56153,1744,,,11210,,,7374,61,641,641,,,,0,19680,,,,,110921,,,,97942,0,,19680,391596,391596,,,,359,,,,,,93082,93082,,,,,55986,147505,145879,,54409,37452,37237,,,550597,2013年09月30日,707946,875,347862,18881,8789,1451768,1451768,0,,175669,1544978,,2716,,,325270,325270,0,,603959,,8270,5915,0,360084,215,10092,2355,5875,,,2296,550597,182733,,,175669,182015,0,8543,173472,173472,,,,1627437,13122,7247,,,,,603600,0,0,,5012,2716,,0,82459,,21480,21480,7313,0,7313
2014-03-18,4,2013,68046,,,890385,21,131884,60042,11137,603,,,37304,,,6897,70,0,0,,,,0,30538,,,,,95134,,,37304,53751,0,,30538,303760,303760,,,,672,,,,,,99243,99243,,,,,71842,163311,163290,,10534,38066,37629,,,630403,2013年12月31日,890385,1602,530301,27136,14831,2692346,2692346,0,,238024,2829734,,2052,,,328867,328867,0,,2005608,,9691,6858,0,360084,437,12305,2833,6757,,,3059,630403,154875,,,238024,1134254,0,8014,1126240,1126240,,,,2930370,13883,7126,,,,,2004936,0,0,,5111,2052,,0,100636,,17072,,6827,0,6827
2014-05-12,1,2014,67745,,,1005052,276,120088,43471,32596,2490,,,93000,,,3300,81,99056,0,,,99056,,33198,,,,,83475,,,93000,88411,0,,33198,336474,336474,,,,445,,0,,,,127556,127556,,,,,76617,170395,170119,1233,28873,38566,37902,,,630403,2014年03月31日,1005052,1623,114667,28064,13919,2863597,2863597,0,,250944,3011608,,1990,,,,580026,,1772761,,,10139,6910,61406,890385,664,14145,3229,7581,,,3212,630403,164588,,,250944,1135142,,8902,1126240,1126240,,,,3114541,14972,7391,,,,,1710910,,,,5202,1990,,,102933,,20576,,3219,0,3219
2014-08-12,2,2014,72476,,98561,926008,1188,285512,34254,45588,3703,,,34382,,,2055,896,,,9396,8926,,,19042,,,,,93981,197183,34382,34382,145612,,,19042,387891,387891,87743,85306,,552,126081,0,,,,184720,184720,,,188427,,62831,240851,239663,3485,38400,37796,36929,,,635634,2014年06月30日,872978,7249,350825,28727,13188,2864165,2864165,0,53030,472287,2846336,,293299,,,,927519,,1221086,,,10241,6591,,522153,867,15539,3650,8324,470,2437,3214,761715,148298,,,472287,1142060,,8017,1134043,1134043,,,,3336452,16843,8519,,,6738,,1220534,,,,5098,1884,,,490116,,24589,,1159,0,1159
2014-11-07,3,2014,95656,100395,100395,1142743,2358,137497,15227,46640,6966,,,87751,,,3344,870,0,,9571,8614,,,19931,,,,,92884,200847,87751,87751,153039,,,19931,432148,432148,89373,84408,,571,,0,,,,205098,205098,,,30176,,92094,295599,293241,2721,36953,61028,59853,71878,71878,761715,2014年09月30日,1089713,20,567560,33561,15917,3134956,3134956,0,53030,345939,2887066,,295742,,,946424,946424,,1135907,,,14893,10481,98887,522153,1175,17644,4412,9378,957,4965,3382,761715,186225,,,345939,1142747,,8704,1134043,1134043,,,,3480895,18763,9385,,,10227,,1036449,,,,5255,1873,,,593829,,32706,,2474,0,2474
2015-03-30,4,2014,97644,104679,104679,1375912,2208,175055,24032,21092,6565,20000,20000,92782,-130925,-130925,3482,1062,,,9958,8464,,,20723,,,,,119407,208968,223707,223707,115972,,,20723,513128,513128,92987,85238,,450,,0,,,,223385,223385,,,26524,3000,121499,247169,244961,3615,10912,62804,61239,64082,64082,773950,2014年12月31日,1322882,21,800729,37164,17035,3511516,3511516,0,53030,401922,3298193,,314080,,,836982,836982,,1621755,,,15440,10052,396426,522153,1565,20129,5388,10565,1494,7749,3883,773950,277749,,,401922,1268872,,,1134840,1134840,7908,126124,,3913438,19862,9297,,,14037,,1224879,,,,15293,11410,,,615245,,40275,,2420,0,2420
2015-05-11,1,2015,98680,103367,103367,1579217,1764,165762,43647,38747,7851,0,,67044,-115498,-115498,19340,3950,469500,,16028,13887,469500,,21267,,,9876,,132745,346163,182542,182542,175214,,,21233,534097,534097,107742,97086,,685,,0,,,,193676,193676,,,3246,3000,115869,288519,286755,3191,27705,62209,60330,0,0,776218,2015年03月31日,1526187,0,203305,56630,17879,3692210,3692209,0,53030,378778,3366885,34,467608,698815,698815,,,,,1265298,,18006,11340,203087,1322882,1879,38751,6666,19792,2141,10656,4726,776218,226138,4070988,378778,,1269730,,7038,1136568,1136568,,126124,4070988,,28923,9131,,,13181,,1061526,,,,15198,10472,1,,704103,35671,73673,28126,15390,0,15390
2015-08-12,2,2015,94475,137437,137437,1581364,2982,444568,45215,32883,8489,0,,30755,-98875,-98875,3891,1336,467948,,15889,13033,462900,,73768,,,13827,,122636,343258,129630,129630,208129,,,22493,617088,617088,106449,92760,5048,573,0,,,,,325481,325481,,,305479,3000,90874,385152,382170,6295,18099,61834,59637,0,0,778285,2015年06月30日,1448261,0,510632,56950,15988,3663134,3663134,0,133103,773940,3656122,91,458541,690050,690050,,,,,1428437,,17890,10346,200537,937629,2197,40962,7544,20795,2856,13689,5540,778285,286323,4437074,773940,,1272730,,7525,1139081,1139081,,126124,4437074,,29299,8504,,,16731,,1227327,,,51184,15030,9490,0,,780952,,37546,23719,2555,0,2555
2015-11-10,3,2015,97428,143247,143247,1863939,4675,162274,21807,17562,7805,0,0,206637,-112362,-112362,13052,1237,328700,,16522,12733,328700,,138983,61229,61229,9997,,197449,356529,318999,318999,291609,,,25482,861169,861169,112354,94505,,512,,,,,,291308,291308,2,2,8432,0,132035,358657,353982,6577,3180,62763,60186,0,0,781302,2015年09月30日,1730836,1179,793207,53899,16335,4171728,4171728,0,133103,466636,3771308,139,472869,939229,939229,,,,,1207137,,19047,10399,15674,937629,2577,37564,8648,21818,3789,17849,6794,781302,372111,4638364,466636,,1319850,,16418,1141235,1141235,,162197,4638364,,31147,9329,,,14529,,1190951,,,52133,15896,9102,0,,867056,20669,63529,32863,11815,0,11815
2016-03-18,4,2015,109488,138240,138240,2272381,3342,365075,169659,37170,15961,0,0,196775,-91242,-91242,6165,1262,36108,,16508,11949,36108,,137360,,59899,30150,,305371,284479,288017,288017,265365,,,26061,1026679,1026679,131326,110163,,599,,,,,,356092,356092,,,8432,3600,183384,331567,328225,9867,11342,61890,59025,683620,683620,782206,2015年12月31日,2139278,15389,1201649,53198,16195,4607852,4607852,0,133103,727332,3814438,655,414716,933212,933212,,,,,1420685,,19866,10365,15396,937629,2865,37003,9501,22046,4559,21163,7692,782206,455943,5335247,727395,,1356490,,38186,1162098,1162098,,156206,5335247,,30560,8514,,63,37385,,1404690,,,50745,15817,8125,0,63,1520809,,32359,2209,4903,0,4903
