date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他長期借款,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,暫收款,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－受贈資產合計,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期應付票據及款項－關係人合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付退休金－非流動,預收股款（權益項下）之約當發行股數
2013-04-29,1,2013,475968,2948338,436658,-1772820,30443,49585,986430,,11587,-25190,1845099,146373,258110,168110,90000.0,,76585,67231,183023,577,-55633,35291,784156,0.0,,750236,5,2327,309967,17000,0,9354.0,125437,236609,4933034,1222758,2013年03月31日,-1772820,,3440663,3135024,0,3727301,4120333,,,466925,,406166.0,,,,1202876.0,69847.0,,4933034,,73357,,5253886.0,0,,0,,8694549.0,0.0,,1080886,,,177226,,1450000,,101016,305639,1526585,4574216,46139.0,0
2013-08-14,2,2013,1046351,2948280,129900,-1561116,26822,45965,1160546,,91368,10443,1233882,163930,355155,175155,180000.0,499475.0,303350,294929,184512,577,-16379,35420,773612,,,578231,217,1806,275910,664766,2005,8421.0,124056,230333,4933034,23601,2013年06月30日,-1561116,,3659877,3382361,0,3062913,4293111,,,539989,,38582.0,186800.0,,,1588868.0,61854.0,,4933034,,26377,,5735738.0,0,,0,,9395615.0,0.0,,456880,597500.0,,161134,1870000.0,2369475,,102477,277516,2672825,5102504,46038.0,0
2013-10-31,3,2013,1024202,2917141,129342,-1706259,24463,43606,998388,,231172,-26913,1226685,179038,390338,210338,180000.0,499620.0,294524,287027,178243,577,-51376,30739,1143375,,,810524,149,2252,364773,857096,4444,7497.0,122674,831502,4933034,23445,2013年09月30日,-1706259,,3474908,3199862,0,3325303,4589204,,,500618,,395458.0,,,,1104803.0,61992.0,197680.0,4933034,,27633,,6489447.0,0,,0,,9964355.0,0.0,,54139,550697.0,,144934,2370000.0,2869620,,100889,275046,3164144,5375151,46038.0,0
2014-03-27,4,2013,1753068,2922171,129694,-1811718,21667,40810,1331785,511156.0,814573,13521,2446624,336845,207538,207538,0.0,0.0,250923,229805,286316,577,-8146,137794,913209,,,449691,145,491,484507,240081,4604,21118.0,121372,658629,4933034,356711,2013年12月31日,-1811718,,3410192,3135221,0,4907400,4935853,,,451316,,301399.0,,,,1884537.0,133339.0,,4933034,,34169,,6808290.0,384,,384,,10218482.0,0.0,,44595,588245.0,,124886,1649967.0,1649967,,102623,274971,1900890,5282629,45322.0,0
2014-05-06,1,2014,252986,2448682,130692,-2229333,33301,52444,962739,522561.0,99310,49025,2458025,1138246,220171,220171,0.0,379950.0,22449,2107,288438,577,15724,141181,872240,,0.0,538556,22,4128,322661,731724,3898,20342.0,573770,1207060,4933034,1066793,2014年03月31日,-2229333,,3023311,2753110,0,4579551,4697607,,,408834,,298914.0,,,1740807.0,,61224.0,,4933034,,32296,,7478766.0,384,,384,,10502077.0,,,355438,638308.0,,108686,2496816.0,2876766,,101358,270201,2899215,5804470,45322.0,0
2014-07-29,2,2014,252257,2432390,129784,-2303641,27796,41205,1192573,468283.0,161791,-5503,1640118,343906,230237,230237,0.0,419541.0,21978,2107,280994,577,-33299,136026,747754,,0.0,555195,100,1256,471726,92443,1679,19871.0,563496,1330318,4933034,1043955,2014年06月30日,-2303641,,2891277,2624274,0,3935553,4002515,,,390985,,326264.0,0.0,,1604927.0,,58114.0,,4933034,,19914,,6907440.0,384,,384,,9798717.0,,,324489,575729.0,,92506,2530368.0,2949909,,99069,267003,2971887,5796202,45322.0,0
2014-10-29,3,2014,253285,2315072,130617,-2681712,-2668,4539,1047989,387551.0,150136,6659,1770168,447952,255674,255674,0.0,469671.0,21546,2122,284716,577,9327,137918,749019,,0.0,460641,444,2779,319789,56105,8663,19424.0,572301,1248110,4933034,1068931,2014年09月30日,-2681712,,2519802,2258365,0,3748249,3885376,,,373683,,384986.0,0.0,,1635503.0,,60406.0,0.0,4933034,,18271,,6917057.0,384,0.0,384,,9436859.0,,,320962,550697.0,,76287,2677591.0,3147262,,100899,261437,3168808,5551483,45322.0,0
2015-03-16,4,2014,278805,2344010,122967,-3418373,-2206,3559,1295938,837459.0,90039,88228,1644256,257027,233114,233114,0.0,491799.0,81259,3536,292397,577,90434,142002,538416,,0.0,459995,140,1382,262728,126778,2014,77723.0,585495,1155879,4933034,1108424,2014年12月31日,-3418373,,1846614,1603292,0,4323047,3842444,,,338912,,375068.0,,,1863275.0,,64585.0,,4933034,,19292,,7487994.0,403,,403,,9334608.0,0.0,,347453,592417.0,,60087,2591889.0,3083688,,103837,243322,3164947,5492164,45981.0,0
2015-04-22,1,2015,702828,2328530,122547,-3794208,-1313,4452,956950,828198.0,121635,78995,2136628,327464,239318,239318,0.0,483979.0,79886,2122,286017,577,80308,136173,489487,,0.0,463883,684,1048,203979,62022,1987,,583025,1155074,4933034,1106336,2015年03月31日,-3794208,64904.0,1458812,1218224,0,4476197,3413445,77764.0,45981.0,299211,330938.0,,,,,1627078.0,,,4933034,8813723.0,22882,7354911.0,,403,,403,8813723.0,,1020.0,,332549,581987.0,,43887,2314849.0,2798828,,103286,240588,2878714,5400278,,0
2015-08-06,2,2015,806431,2305899,110959,-3871756,4650,23624,1065802,816556.0,97305,57308,1165300,340288,252812,252812,,468788.0,81740,3807,290433,577,52658,142100,464076,,0.0,376533,252,2656,187920,29450,4558,,576243,817515,4933034,18581,2015年06月30日,-3871756,59597.0,1355156,1118989,0,3506771,2855351,77933.0,45981.0,265595,438897.0,,,,,1312849.0,,,4933034,7694062.0,19943,6338906.0,,403,,403,7694062.0,,132.0,,43860,444380.0,,27687,2281607.0,2750395,,101775,236167,2832135,4838711,,0
