date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付股利,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預收股本,預收股款（權益項下）之約當發行股數
2013-04-26,1,2013,3501118.0,839390.0,4340508.0,31807402,42840059,959954.0,102134.0,3483714,,,206478,-286191,,4708615,368107,1921944,19904,16493,1317649,554474,2880118,,,0.0,3322284,132063.0,205484,,15742323,0.0,3411.0,264045,1695072,7507031,2013年03月31日,36009731,,,67139163,66985016,0,4452426,40510020,74331421,,81220,,5589367.0,0.0,2377902,,47015202.0,1611731.0,,26999556,7507031,,,43280778.0,16924117,,110419941.0,46573.0,0.0,130797,820998,2620057.0,763175,154147,2770758,36088520,16035,16035.0,,0
2013-07-31,2,2013,3466229.0,1256667.0,4722896.0,33215128,41971794,938985.0,17485.0,7783896,,,341677,649896,,4990262,267366,1739005,21101,17535,2731351,1956711,3406279,,,0.0,3263493,144466.0,175536,,16715788,0.0,3566.0,262640,1732751,7507031,2013年06月30日,34052418,,,67270046,67107739,0,5541474,32350426,60640438,,81508,,3053976.0,0.0,2377902,,34408366.0,1493645.0,,14472000,7507031,,,32478494.0,16979018,,99748540.0,27128.0,20020.0,106967,1067239,0.0,774640,162307,128068,39108102,16342,16342.0,,0
2013-11-01,3,2013,3479341.0,1112500.0,4591841.0,34905136,44742738,49775.0,21148.0,7388144,,,215683,-104272,,4804845,213004,1354300,17790,14374,1652402,889043,3899651,,,0.0,3297599,90114.0,223110,,16499508,10.0,3416.0,261236,1710557,7507031,2013年09月30日,36823362,,,69289734,69123784,0,5541474,30200415,59677253,,106943,,4460113.0,0.0,2377902,,33161276.0,1570633.0,,12808970,7507031,,,30318178.0,16978287,,99607912.0,17000.0,20740.0,99973,1273237,0.0,763359,165950,117763,39930659,16197,16197.0,,0
2014-02-06,4,2013,3492625.0,1000000.0,4492625.0,34903140,48216767,49975.0,0.0,3665484,,,261179,811233,,4805585,312960,896623,7618,6764,1641496,871426,3873173,,,0.0,4245813,286540.0,249963,,17504791,560.0,854.0,259831,1730683,7507031,2013年12月31日,40297391,,,73680106,73509487,0,5541474,31574568,65346656,,102555,,3192697.0,0.0,2377902,,39378362.0,2165528.0,149397.0,16155655,7507031,,,31698930.0,16974456,,105379036.0,0.0,22087.0,116744,1394675,0.0,770070,170619,124362,40032380,17812,17812.0,,0
2014-04-29,1,2014,3334590.0,1000000.0,4334590.0,35459756,51200576,0.0,0.0,3578194,,,301508,1903800,,4591504,256914,1199871,7649,6794,1895121,1119518,3988220,,,,3648853,152883.0,201246,,15557117,0.0,855.0,258938,1658434,7516340,2014年03月31日,43281200,,,77923638,77747634,0,5541474,26809748,64004645,,96261,,2942705.0,,2377902,39878229.0,,1838098.0,95837.0,12798970,7521783,,,26924435.0,17121475,,104848073.0,0.0,23126.0,107038,1474918,0.0,775603,176004,114687,40843428,18032,18032.0,5443.0,28768
2014-08-11,2,2014,0.0,0.0,0.0,34211620,51083987,0.0,0.0,7147988,0.0,3387723.0,210299,438138,,237426,237426,1636019,8825,7963,4238158,3282735,3787046,,0.0,1767228.0,3671897,6433.0,168751,3760265.0,18080538,0.0,862.0,257508,1575439,7603795,2014年06月30日,41784492,,,77914719,77739929,0,6921593,25353489,63113105,,87375,,364042.0,,2377902,38900532.0,,2127994.0,92932.0,11993000,7625454,,,27209736.0,18592350,,105124455.0,0.0,21201.0,80194,1641250,,955423,174790,1856247,42011350,20496,20496.0,21659.0,114534
2014-11-06,3,2014,0.0,0.0,0.0,35473148,55895206,0.0,0.0,7670950,0.0,3910685.0,245068,1880297,,1592946,1592946,2734984,5264576,5263721,7307738,6394398,4087648,,0.0,525305.0,4181392,26.0,138023,3760265.0,16882936,185.0,855.0,256077,1516635,7674077,2014年09月30日,46595711,,,85410097,85231077,0,6921593,27494420,72199071,,86529,,4944.0,,2377902,48191910.0,,2166083.0,23123.0,11745000,7677079,,,33358898.0,19778495,,118768995.0,0.0,5192.0,74597,1929797,,913340,179020,5864478,46569924,23081,,3002.0,15996
2015-03-19,4,2014,0.0,0.0,0.0,45405426,62330904,0.0,,5519528,,,402715,5586777,,2044472,2044472,4053533,8511660,8507472,7327304,6373337,5600468,634185.0,0.0,,6084001,0.0,139707,,21027297,0.0,4188.0,255006,1545197,7703911,2014年12月31日,53031409,,,96089159,95897663,0,6921593,32180086,79877672,,146369,,18103.0,,2377902,48119090.0,,2865378.0,21.0,15527000,7703911,,,40875545.0,20276071,,136964704.0,,0.0,183799,2407730,,953967,191496,8695459,57087032,22260,22260.0,,0
2015-04-28,1,2015,0.0,0.0,0.0,48033533,66983247,,,5137075,,,144246,4345090,,2174926,2174926,4440135,8204810,8200620,7612069,6281945,6152219,15.0,0.0,,5964765,0.0,111991,,23219095,,,254114,1507340,7703911,2015年03月31日,57683752,3382941.0,24.0,99463499,99307190,0,6921593,32606198,80327996,4190.0,164109,31877.0,,,2377902,,46310267.0,,,15834500,7703911,140358495.0,40894996.0,,20274942,140358495.0,,,0.0,83988,2459334,,1330124,156309,8288798,60030499,30118,30118.0,0.0,0
2015-08-05,2,2015,,,,54120023,67607893,,,4622346,5096653.0,,812915,3406114,,2344826,2344826,3474503,8097881,8093687,4397727,3087863,6087545,0.0,,0.0,5639520,0.0,74440,4622346.0,28294738,,,252703,1441274,7703911,2015年06月30日,56520681,3121344.0,17.0,99158409,98992203,0,8709310,38035129,82066734,4194.0,157776,15396.0,,,2377902,,43348208.0,,,17136000,7703911,145369691.0,46211282.0,,20274285,145369691.0,,,0.0,78272,2933454,,1309864,166206,8176153,63302957,33412,33412.0,0.0,0
