date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,存入保證金,存出保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅資產,長期遞延收入,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,1320086,67704,813674,402115,372424,188315,213240,371260,1680,29265,,,4052,292923,6935,,2883,113154,0.0,,,222342,4479,366258,3611,,84197,1512730,2013年03月31日,367426,,2539644,2539644,0,340470,825448,1759764,,818,105778.0,,838779.0,39052.0,,,1512730,,,1118371.0,0.0,,3658015.0,46087,,0.0,292923,1898251,6582,,369580,0
2013-08-08,2,2013,1357305,62315,602585,433004,393467,422032,219025,443152,1592,25815,,,20723,392322,23722,,2999,116081,,90764.0,,161601,4395,314707,105,,84068,1512730,2013年06月30日,231742,,2425104,2425104,0,370843,1049029,1898229,,1262,0.0,,1000454.0,17849.0,,0.0,1603494,,,1441351.0,,,3866455.0,46087,,,392322,1968226,8063,,441560,0
2013-11-14,3,2013,1418808,62315,654319,466857,393130,186156,216904,459499,1990,31135,,,20723,444556,23722,,2999,127330,,,,178790,6706,262362,4171,,82825,1603494,2013年09月30日,283476,,2474717,2474717,0,370843,832151,1724081,,1231,0.0,,812737.0,0.0,7193.0,1000.0,1603494,,,1276707.0,,,3751424.0,45312,,,444556,2027343,12296,,457509,0
2014-03-20,4,2013,1549332,62315,721173,439298,386948,223814,214205,522065,1560,30811,1162.0,29649.0,35737,538622,38855,54849.0,3118,127658,,,,268878,13961,413424,22,104786.0,81811,1603494,2013年12月31日,350330,,2538872,2538872,0,370843,1033700,1946412,,1198,0.0,,922760.0,4982.0,,,1603494,,,1572322.0,,,4111194.0,44323,378987.0,,538622,2164782,12439,,520505,0
2014-05-08,1,2014,1613726,62315,796799,440062,382738,192130,201756,515012,1601,30144,,,35737,623506,40955,,3118,148110,,,0.0,278304,5814,492349,1396,,81111,1603494,2014年03月31日,425956,,2602049,2602049,0,370843,1011421,2010642,,1166,0.0,887293.0,,20161.0,,,1603494,,,1634927.0,,,4236976.0,44323,,,623506,2226334,11288,2100.0,513411,0
2014-08-07,2,2014,1714521,51319,622111,439355,402783,399552,214559,559152,1860,41092,230.0,40862.0,35753,702547,38871,60490.0,3118,147860,,64140.0,64140.0,191519,5702,362312,423,100483.0,81366,1603494,2014年06月30日,229763,,2504304,2504304,0,392348,1187202,2059736,,1134,,1057370.0,,31277.0,,,1667634,,,1889749.0,,,4394053.0,44323,541574.0,,702547,2334317,11324,,557292,0
2014-11-13,3,2014,1799954,51319,681898,441412,444497,189952,223617,595176,2181,32059,779.0,31280.0,35753,783155,38871,62326.0,3118,159648,,,0.0,183646,13390,311828,177,95105.0,81384,1667634,2014年09月30日,289550,,2573149,2573149,0,392348,1006633,1901487,,1102,,931552.0,,24469.0,0.0,0.0,1667634,,,1789788.0,,,4362937.0,44323,625724.0,,783155,2461450,24811,,592995,0
2015-03-19,4,2014,1876988,50674,733774,449986,414539,216352,203276,829630,1677,23071,0.0,23071.0,35769,864819,38907,62839.0,3138,159948,,,0.0,269674,16960,446945,286,85924.0,82537,1667634,2014年12月31日,341426,,2604684,2604684,0,392348,1365176,2329595,,1070,,1209058.0,,32560.0,,,1667634,,,2229995.0,,,4834679.0,40369,716056.0,,864819,2505084,40301,,827953,0
2015-05-05,1,2015,1967715,50674,820128,405353,430327,192091,223618,824489,1612,33772,186.0,33586.0,35769,918995,38914,63515.0,3145,164723,,,0.0,233718,7489,432546,6172,,82795,1667634,2015年03月31日,427780,47735.0,2711380,2711380,0,392348,1305522,2324065,85880.0,1038,,,1231812.0,,,,1667634,4935897.0,2224517.0,,,4935897.0,,40369,769600.0,,918995,2611832,49687,0.0,822877,0
2015-08-13,2,2015,2044451,50674,633634,396716,421639,400006,215142,773521,1472,321405,714.0,320691.0,38442,1026418,41587,64937.0,3145,152572,,66705.0,,153366,5838,336667,6877,,82738,1667634,2015年06月30日,214660,30929.0,2583115,2583115,0,418974,1363660,2290719,85836.0,1016,,,1033097.0,,,,1734339,4973193.0,2390078.0,,,4973193.0,,40369,875645.0,,1026418,2682474,43385,,772049,0
2015-11-10,3,2015,2135206,50674,717930,402845,395611,197421,176976,678894,1977,321420,802.0,320618.0,38442,1150242,41587,66673.0,3145,150071,,,,181379,5787,362482,7318,,83216,1734339,2015年09月30日,298956,18983.0,2629245,2629245,0,418974,1082464,2114315,83090.0,973,,,833394.0,,,,1734339,4861951.0,2232706.0,,,4861951.0,,40369,1000479.0,,1150242,2747636,36785,,676917,0
2016-03-24,4,2015,2265428,50674,786819,498051,421098,206731,196497,568081,1611,321927,1220.0,320707.0,38459,1337032,41946,67711.0,3487,131059,,,,214191,17132,428271,6911,,83182,1734339,2015年12月31日,367845,32676.0,2717655,2717655,0,418974,1038811,2190529,82471.0,942,,,775737.0,,,,1734339,5093498.0,2375843.0,,,5093498.0,,39699,1186850.0,,1337032,2902969,28573,,566470,0
2016-05-05,1,2016,2356134,50674,870201,483036,405222,192377,165354,540135,1470,320932,240.0,320692.0,38459,1386053,41951,68278.0,3492,123121,,,,182111,7295,455044,6324,,82628,1734339,2016年03月31日,451227,51329.0,2769894,2769894,0,418974,973247,2151977,82276.0,909,,,742850.0,,,,1734339,5129194.0,2359300.0,,,5129194.0,,39699,1235499.0,,1386053,2977217,20670,,538665,0
2016-08-11,2,2016,2445758,50674,657797,480420,422759,429903,180484,580608,1642,20794,91.0,20703.0,39903,1456903,43425,69917.0,3522,118715,,60702.0,,130449,21289,376700,3233,,81997,1734339,2016年06月30日,206884,34155.0,2633322,2633322,0,450913,1196404,2201440,82132.0,877,,,1186864.0,,,,1795041,5286629.0,2653307.0,,,5286629.0,,39699,1304854.0,,1456903,3085189,14714,,578966,0
2016-11-10,3,2016,2511413,50645,745311,489455,412293,189024,179112,588858,1953,20992,354.0,20638.0,39903,1495574,43420,70948.0,3517,126246,,,,143332,9706,368906,2880,,82160,1795041,2016年09月30日,294398,18050.0,2719464,2719464,0,450913,948970,2023533,82059.0,845,,,1000101.0,,,,1795041,5164008.0,2444544.0,,,5164008.0,,39699,1342567.0,,1495574,3140475,14953,,586905,0
