date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,商譽,存入保證金,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-15,1,2013,444606,5496560,,5235,1726929,398029,0.0,120000,156131,522253,77647,62007,,62007,328124,571049,36655,11484.0,857,2489768,261257,2228511,67086,,,,691451,83766,120000,324621,46634,878653,69771,161945,93111,327267.0,4493891,9117171,2013年03月31日,1348719,,11952412,11205896,13817009,275734,2750807,4844139,,19120,,30720.0,,102476,,767059.0,14053.0,550000,9117171,,,3612554.0,272751,,15564966.0,,122183,96653,104252,436970,7636.0,746516,861747,10720827,79642,534394,0
2013-08-12,2,2013,324606,5164314,0.0,5235,1314189,909223,0.0,154798,256907,490415,165809,140974,,140974,329022,645035,23050,11484.0,849,2457979,256973,2201006,68156,226751.0,0.0,,718187,86591,400000,367377,73835,1151297,70838,150162,56370,328173.0,4686580,9117171,2013年06月30日,919264,,11630526,10897380,13817009,354461,3558971,5291246,,17971,,30900.0,,40464,,662074.0,8065.0,500000,9117171,,,4305464.0,277269,,15935990.0,5278.0,156818,96653,94709,320818,6487.0,733146,746493,10644744,63185,621985,0
2013-11-13,3,2013,324606,5710644,0.0,5235,1581136,392730,0.0,178789,360729,411250,86644,98401,,98401,329889,167340,21072,11484.0,853,2346311,113391,2232920,68156,,,,733717,66272,530000,73904,2876,806066,95859,127706,24940,329036.0,4886859,9117171,2013年09月30日,1186211,,12022802,11271440,13817009,354461,2854954,4704794,,16376,,30457.0,,40464,,775621.0,14205.0,630000,9117171,,,3596163.0,280560,,15618965.0,,178571,96653,97260,314667,4892.0,751362,741209,10914171,72530,146268,0
2014-03-24,4,2013,295188,6067343,,5235,1615983,437990,0.0,238415,413174,381490,86302,107740,,107740,350994,79753,21887,,1459,2155397,107987,2047410,68156,,,,588795,57381,150000,73352,2982,811452,96598,117383,22898,349535.0,4796892,9117171,2013年12月31日,1221058,,12127921,11358732,13817009,354461,2230994,4311441,,4705,,30699.0,,40464,,469977.0,14803.0,520000,9117171,,,3266574.0,280560,,15394495.0,4201.0,233083,96653,98427,587933,4705.0,769189,1035580,11083054,58498,57866,0
2014-05-05,1,2014,346370,5990561,,5235,1711450,360312,,262410,388731,419165,72795,78749,29423.0,49326,351853,171339,22149,0.0,1317,2299172,106894,2192278,68156,,,0.0,656707,20947,550000,69855,3185,872868,80512,100937,33087,350536.0,4831624,9117171,2014年03月31日,1316525,,12209982,11431373,13817009,354461,3168131,5125572,,3757,,31384.0,,40464,1179734.0,,25728.0,1060000,9117171,,,4046637.0,282177,,16256619.0,2232.0,169111,96653,97147,430000,3757.0,778609,878506,11131047,48992,149190,0
2014-08-13,2,2014,342952,5758231,,4951,1498840,321845,,171000,322876,454837,111885,191317,25226.0,166091,352876,282162,23971,0.0,1319,2146270,105948,2040322,48653,128148.0,455858.0,0.0,621821,48029,500000,95513,3810,987382,81440,149653,34396,351557.0,4826700,9117171,2014年06月30日,1039865,,12147302,11376515,12069009,418511,4072609,6039609,,3918,,30761.0,,40464,1903988.0,,42754.0,1984000,9573029,,,4898805.0,30423,,17046107.0,0.0,187365,96653,99775,376667,3918.0,770787,826196,11006498,58650,258191,0
2014-11-11,3,2014,245133,5963756,,54695,1582891,370926,,152000,220911,330352,85219,56525,18812.0,37713,353901,236492,23382,0.0,1345,1955565,105417,1850148,48653,,,0.0,694098,73424,880000,85285,1401,857396,73498,115287,38675,352556.0,4776572,9573029,2014年09月30日,1123916,,12119207,11346965,12583028,418511,4123925,5898214,,3307,31333.0,29811.0,,40464,2361054.0,,35439.0,1653000,9573029,,,4942213.0,18787,,17061420.0,0.0,200282,96653,98573,367734,3307.0,772242,818288,11163206,56599,213110,0
2015-03-23,4,2014,282933,6158390,,54845,1643489,394457,,263391,231314,366851,83918,29563,5007.0,24556,360473,129121,21740,,845,1867188,77191,1789997,48653,,,0.0,548686,34808,500000,86531,2441,767832,69811,128624,27556,359628.0,4779225,9573029,2014年12月31日,1184514,,12272580,11414498,12583028,418511,2912503,4645194,,4925,,63617.0,,40464,1189545.0,,63729.0,915000,9573029,,,3674629.0,15319,,15947209.0,0.0,259180,96653,111892,305000,4925.0,858082,762126,11302015,42504,107381,0
2015-04-28,1,2015,137333,6234283,,54845,1739507,362048,213000.0,276391,180676,232725,95392,50197,6667.0,43530,361594,24868,19171,,851,1812423,75551,1736872,48653,,,0.0,599658,49496,536000,59916,2524,742538,71875,126549,32019,,4704963,9573029,2015年03月31日,1280532,87118.0,12311555,11459878,12583028,418511,3298211,5164437,360743.0,7429,,,62913.0,40464,,1670807.0,,1155000,9573029,16360680.0,4049125.0,,15319,16360680.0,,726.0,341172,96653,106942,292667,,851677,750914,11196243,40466,5697,0
2015-08-13,2,2015,146333,6187492,,55529,1372339,805095,,206934,228801,241691,95358,664015,14382.0,649633,363208,35485,21065,,1370,2038043,72684,1965359,28470,0.0,0.0,0.0,419823,63750,740000,71494,3678,677431,78996,98178,29293,,4829257,9573029,2015年06月30日,891682,25520.0,12042082,11181147,10774028,440193,4666054,6111000,361838.0,8036,,,62029.0,40464,,1967103.0,,2295000,9573029,17398330.0,5356248.0,,35448,17398330.0,,3.0,305719,96653,109502,230333,,860935,690194,11287330,45288,14420,0
