date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期應收票據及款項淨額,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,626079,,237266,49,102309,102309,142768.0,,3199,8653,64226,,,22908,,46156,2625.0,2025,403525,0.0,0.0,,426297,10152,648488,161,20883.0,70035,,1127192,2013年03月31日,-6854,,,1601722,1601722,0,23156,747513,1644444,,,138178.0,220964,,247028.0,318.0,21.0,199784,1127192,0.0,,,838944.0,234065,,2440666.0,0.0,68523,53952,1465.0,42066,0.0,91431,796222,0
2013-08-08,2,2013,602976,,214275,75,115216,115216,303.0,51338.0,10473,10045,66498,,,25550,2219.0,43320,,2404,359717,,0.0,,423919,4882,687518,2,20927.0,86302,97288.0,1127192,2013年06月30日,-30275,,,1578637,1578637,0,23586,815132,1602802,,,90925.0,220964,,346400.0,0.0,26.0,261070,1127192,0.0,,,904840.0,226697,,2483477.0,0.0,64158,50789,636.0,42684,,89708,880675,0
2013-11-08,3,2013,584800,,185512,72,98651,98651,299.0,51268.0,-5599,10066,55899,,,25838,2414.0,42000,,2448,324141,,0.0,,391226,4184,679014,502,20976.0,85729,96078.0,1127192,2013年09月30日,-59038,,,1533802,1533802,0,23586,760246,1525478,,,31413.0,220964,,382843.0,0.0,27.0,256119,1127192,0.0,,,844979.0,226697,,2378781.0,0.0,58895,44696,0.0,42000,,84733,853303,0
2014-03-20,4,2013,585831,3000.0,163343,85,78323,78323,606.0,52943.0,922,6951,44674,,,25325,3158.0,42401,0.0,2780,329328,,0.0,,437007,3345,666589,752,19387.0,85341,115267.0,1127192,2013年12月31日,-81207,,,1518154,1518154,0,23586,724666,1459259,,,34056.0,220964,,330194.0,301.0,32.0,198739,1127192,0.0,,,807850.0,226697,,2326004.0,0.0,57859,34905,0.0,42401,,83184,866745,0
2014-05-12,1,2014,581425,3000.0,152577,80,65508,65508,,29002.0,21651,10806,45916,45292.0,624.0,25618,3131.0,42709,42.0,3040,301880,,,0.0,341445,4085,586808,1127,19447.0,84926,117281.0,1127192,2014年03月31日,-91973,,,1528117,1528117,0,23586,665534,1411984,,,117365.0,220964,329773.0,,0.0,33.0,243690,1127192,,,,746095.0,226697,,2274212.0,,54943,32887,0.0,42667,,80561,862228,0
2014-08-08,2,2014,557026,3000.0,138866,79,64218,64218,,27306.0,-2623,8789,35106,34377.0,729.0,28001,4855.0,43032,1502.0,3637,275910,,,0.0,381201,1562,572141,7268,19509.0,84280,114816.0,1127192,2014年06月30日,-105684,,,1490132,1490132,0,23586,694671,1430308,,,119722.0,220964,392745.0,,0.0,31.0,238901,1127192,,,,777686.0,226697,,2267818.0,0.0,55014,35356,0.0,41530,,83015,837510,0
2014-11-07,3,2014,550241,8000.0,124293,72,57535,57535,,28015.0,20178,8869,36145,35844.0,301.0,29009,6227.0,43256,1243.0,3206,285642,,,0.0,401212,1800,580033,5288,19576.0,83898,115016.0,1127192,2014年09月30日,-120257,,,1498360,1498360,0,23586,712776,1458601,,,193417.0,220964,329595.0,,0.0,394.0,243360,1127192,,,,797115.0,226697,,2295475.0,,55330,36463,,42013,,84339,836874,0
2015-03-20,4,2014,522744,14000.0,93195,59,57246,57246,0.0,31308.0,68950,7792,38840,38327.0,513.0,31650,6327.0,40501,2285.0,5979,306260,,,0.0,369210,1635,520291,3781,19344.0,108701,119908.0,1127192,2014年12月31日,-151184,,,1516034,1516034,0,23586,674146,1425127,,,80305.0,220793,444225.0,,888.0,58.0,237375,1127192,,,,756845.0,226697,,2272879.0,,51049,41898,,38216,,82699,847752,0
2015-05-13,1,2015,502554,14000.0,75842,63,49993,49993,,31259.0,54563,5066,26456,25947.0,509.0,32713,6423.0,39150,1757.0,6933,321265,,,0.0,336132,1446,459207,1385,,107054,117710.0,1127192,2015年03月31日,-168537,0.0,49.0,1484294,1484294,0,23586,627433,1375097,19357.0,58417.0,,220793,,476996.0,,,234796,1127192,,2189677.0,705383.0,,226697,2189677.0,,,45237,34112,,37393,,77950,814580,0
2015-07-30,2,2015,487389,14000.0,35069,51,53332,53332,,31169.0,32240,5362,30055,29049.0,1006.0,30413,4754.0,38139,1271.0,6284,338255,,,0.0,384105,1430,498915,261,,110662,116424.0,1127192,2015年06月30日,-209310,0.0,58.0,1421198,1421198,0,23586,675728,1366235,19375.0,22247.0,,220793,,445224.0,,,231499,1127192,,2167346.0,746148.0,,226697,2167346.0,,,40007,34497,,36868,,70420,801111,0
2015-11-05,3,2015,482006,14000.0,-2651,38,50639,50639,,32116.0,49571,2333,25764,24753.0,1011.0,28681,2769.0,37927,451.0,6520,329510,,,0.0,413328,2288,536768,824,,110901,118309.0,1127192,2015年09月30日,-247030,0.0,100.0,1400809,1400809,0,23586,715113,1381190,19392.0,23466.0,,220793,,432604.0,,,246525,1127192,,2181128.0,780319.0,,226697,2181128.0,,,36525,36795,,37476,,65206,799938,0
2016-02-26,4,2015,473717,14000.0,-13513,31,49578,49578,,32830.0,31955,7114,23306,23053.0,253.0,25475,2777.0,36651,1117.0,6664,325866,,,0.0,436158,2477,512333,358,,108656,115577.0,1127192,2015年12月31日,-257892,438.0,54.0,1372331,1372331,0,23586,725540,1377935,16034.0,22299.0,,220793,,460858.0,,,229775,1127192,,2160435.0,788104.0,,226697,2160435.0,,,37089,33899,,35534,,62564,782500,0
2016-04-28,1,2016,460232,14000.0,-45590,2130,44038,44038,,32547.0,20249,2555,27179,27179.0,,25727,2972.0,35754,1041.0,7249,355454,,,0.0,437780,980,479220,84,,106900,113754.0,1127192,2016年03月31日,-289969,2005.0,54.0,1328548,1328548,0,23586,712559,1345813,15506.0,10605.0,,220793,,438540.0,,,225201,1127192,,2100237.0,771689.0,,226697,2100237.0,,,33403,23784,,34713,,59130,754424,0
2016-07-27,2,2016,446047,14000.0,-53134,1430,47845,47845,,31999.0,8699,2606,19933,19933.0,0.0,26093,3312.0,34162,539.0,7318,271569,,,0.0,408415,1272,548671,370,,105846,111281.0,1127192,2016年06月30日,-297513,2087.0,24.0,1309454,1309454,0,23586,688777,1325211,15463.0,11160.0,,220793,,440055.0,,,226552,1127192,,2060062.0,750608.0,,226697,2060062.0,,,35738,23515,,33623,,61831,734851,0
2016-10-27,3,2016,422559,14000.0,-35825,72,46196,46196,,33106.0,-23525,2693,18768,18768.0,0.0,24754,3107.0,33611,1455.0,6227,230958,,,0.0,342913,1652,489707,329,,104430,107377.0,1127192,2016年09月30日,-280204,1759.0,24.0,1294539,1294539,0,23586,614733,1270948,15420.0,101875.0,,220793,,396109.0,,,219520,1127192,,1976599.0,682060.0,,226697,1976599.0,,,42573,23674,,32156,,67327,705651,0
