date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,,,246888,5923795,18918,1421039,2698,8703,502841,,497551,-25765,545333,298445,163260,1272153,103292,541220,158394,0.0,-28463,108117,137604,2484270,,,0,,,,1434944,319,290000,44615,,1936192,309,253137,,,1060744.0,47581,3336920,2013年03月31日,1016473,,4823395,4784013,0,404566,4165119,6471398,,0.0,0.0,,787847.0,93707.0,1253360,3336920,,,8297910.0,51819,,13121305.0,,227815,118393,2632823,39382,4132791,6649907,340129,245222,0
2013-08-06,2,2013,,,244614,6110370,18918,1221676,-399,17332,824874,,123005,-50659,351951,107337,89589,1285367,105458,645145,193143,0.0,-50260,110226,101436,2790094,,,0,,,,1678365,61,100000,24814,,1529203,216,251560,,56.0,1069683.0,49998,3336920,2013年06月30日,776455,,4593650,4564810,0,445221,4622573,6401374,,0.0,0.0,,1199688.0,57890.0,1584618,3336920,,,8756503.0,56873,,13350153.0,,228114,124348,2620449,28840,4133930,6948779,400631,350566,0
2013-11-11,3,2013,,,46325,6299046,18918,1350569,4645,18480,641104,641104.0,99881,-61909,161175,114850,71852,1312325,111837,779378,242241,0.0,-66554,111127,99310,3172800,405657.0,2767143.0,0,,,1077324.0,1705214,672,0,29229,,1762897,323,185208,,,1089361.0,22838,3336920,2013年09月30日,905348,,4889909,4792616,0,445221,4411549,6844885,,0.0,0.0,,1146071.0,52692.0,1812223,3336920,,,9222997.0,167036,,14112906.0,9240.0,252318,147841,2169481,97293,4811448,7268021,387373,437827,0
2014-03-21,4,2013,,,59536,6534791,18918,1486258,7032,19556,719338,719338.0,120145,-61011,314686,255150,12016,1229824,51047,738954,263051,0.0,-68043,114341,109995,3233167,469804.0,2763363.0,0,,,1082848.0,1514686,5133,100000,51354,,1735594,1316,187273,,,1064436.0,29800,3337233,2013年12月31日,1041037,,5028768,4930404,0,445221,4483273,6783136,,0.0,0.0,,1129300.0,68875.0,1704403,3337233,,,9219724.0,167924,,14248492.0,4798.0,250582,142893,2173197,98364,4736451,7465356,344769,365908,0
2014-05-07,1,2014,,,46749,6868493,18918,1689995,7881,20360,504263,504263.0,152286,-37124,429550,382801,87050,1241660,52658,483096,270210,,-45005,114681,101721,3191823,480374.0,2711449.0,0,,0.0,1088853.0,1581909,596,250000,30356,,2420649,416,225784,,,1074321.0,28705,3337233,2014年03月31日,1244774,,5256190,5158046,0,445221,4593758,7364596,,,,885941.0,,121090.0,1671916,3337233,,,9642726.0,167942,,14898916.0,4078.0,247275,135108,2471180,98144,5048968,7534320,380287,111165,0
2014-08-08,2,2014,,,246962,6917619,18918,1543174,8650,16386,844056,844056.0,102196,-52102,531197,284235,42507,1245317,55219,500313,263915,,-60752,114767,111354,3322504,483452.0,2839052.0,0,,0.0,1064916.0,1672944,275,50000,56980,,2170852,552,204402,,,1075331.0,25956,3357795,2014年06月30日,991357,,5124178,5026257,0,490804,4951920,7390661,,,61013.0,1055216.0,,46908.0,1748043,3357795,,,9868290.0,177390,,14992468.0,1517.0,247389,139001,2358748,97921,4916370,7601807,476046,125044,0
2014-11-10,3,2014,,,247177,7178529,18918,1620501,7365,12653,627240,627240.0,126118,-64231,533146,285969,53356,1245214,56306,477999,263792,0.0,-71596,114382,99390,3463056,489995.0,2973061.0,0,,0.0,1041136.0,1724130,201,200000,41944,,1881688,366,184510,,127.0,1074526.0,25899,3378944,2014年09月30日,1068684,,5221567,5121141,0,490804,5135975,7395202,,0.0,61013.0,1185939.0,,30449.0,1977164,3378944,,,10014824.0,185927,,15236391.0,1701.0,248875,139844,2343624,100426,4878849,7841189,487389,114817,0
2015-03-20,4,2014,,,264153,7386065,18918,1745983,6601,15081,664043,664020.0,196369,-39260,546188,282035,17605,1207610,30962,609178,292589,0.0,-45861,114921,193607,3931524,510220.0,3421304.0,0,,0.0,1046910.0,1792636,1974,225000,104588,23.0,1737670,237,165629,,119.0,1061727.0,30239,3378944,2014年12月31日,1194166,,5372946,5271594,0,490804,5637016,7936893,,0.0,61013.0,1515806.0,,41977.0,2258228,3378944,,,10717571.0,185927,,16090517.0,2382.0,254113,109224,2571922,101352,5080555,8153624,356853,122982,0
2015-05-08,1,2015,,,366909,7574378,18918,1758479,7639,16744,545289,545266.0,149927,-86347,791228,424319,45651,1203613,23442,528378,229808,,-93986,115457,178975,3698821,510678.0,3188143.0,0,,0.0,970445.0,1776207,316,255000,87286,23.0,2587173,381,191678,0.0,0.0,,28887,3436907,2015年03月31日,1206662,46928.0,5422383,5319328,0,490804,5735771,8084500,1064714.0,,61013.0,,959583.0,,2232576,3436907,16423638.0,11001255.0,,210289,16423638.0,,941.0,252577,188577,2838849,103055,5265484,8339138,434542,119595,0
2015-08-11,2,2015,,,69667,7708195,18918,1571611,6384,16761,968163,659560.0,122198,-111662,304121,234454,61708,1241574,51448,490348,228930,,-118046,116373,124324,3720994,511927.0,3209067.0,0,,0.0,965578.0,1791587,120,200000,61339,308603.0,2010945,185,164632,,142.0,,25007,3444087,2015年06月30日,990896,62286.0,5218880,5115199,0,541454,5465681,7902987,1073753.0,,39261.0,,1462203.0,,2076100,3444087,16334106.0,11115226.0,,211163,16334106.0,,1965.0,259233,188651,3183160,103681,5649545,8431119,343219,137094,0
