date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－非流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,0.0,198833.0,198833.0,35251528,722783,11993063,5000627,632443,6236807,924978,1293842,4751191,2566377,1810353,2965106,1838922,8181676,32333850,,0.0,,,0.0,63346333,3084947,62633,52412186,7936137,1126184.0,639571,1098128,35874751,2013年03月31日,,59193310,52057441,0,116367195,142415344,,978140,533998.0,,41771239.0,2126570.0,36758475,35874751,,,131260301.0,2895785,,190453611.0,239,225974,11928000,7135869,14893106,48038267,1985981.0,1985981,0
2013-08-13,2,2013,0.0,0.0,0.0,35084724,521741,10736456,9324570,496890,10754405,893271,1580075,3892701,1962924,2027541,3383758,2273419,8495891,32963629,,0.0,0.0,,0.0,71192846,3750594,62633,52577076,6450169,1110339.0,632471,1029675,35874751,2013年06月30日,,58188543,51084580,0,117307894,143447902,,965054,181847.0,,39045377.0,1840415.0,25764049,35874751,,,132667652.0,2893298,,190856195.0,50251,166269,11976000,7103963,15359758,47408293,1929777.0,1929777,0
2013-11-12,3,2013,0.0,0.0,0.0,34371758,521741,12635723,3792176,546752,7968483,1501518,1313806,4118231,2107273,2054495,3735554,2635854,8043833,38505278,,0.0,,,0.0,88526635,2410802,62633,64851051,4372180,1099700.0,625075,973970,35874751,2013年09月30日,,59559517,52718835,0,128944130,157797634,,978146,180292.0,,42574225.0,1335248.0,24430853,35874751,,,144479684.0,2894555,,204039201.0,91245,146711,11800000,6840682,15535554,46241567,2010958.0,2010958,0
2014-03-25,4,2013,0.0,0.0,0.0,34032310,492729,14425431,3373724,490104,9298533,1267146,1641264,5044777,2916279,1778792,2904015,1847873,7962971,39399911,,,,,0.0,89604525,4813313,50502,59797670,6058961,1056142.0,618025,706460,35874751,2013年12月31日,,61812188,54837123,0,135212247,168811543,,887259,169735.0,,56932670.0,1882321.0,24413577,35874751,,,152358948.0,2895677,,214171136.0,104699,202669,14242686,6975065,17146701,45359593,2128498.0,2128498,0
2014-05-13,1,2014,,0.0,0.0,33731313,492729,16318978,6208471,576261,8389786,1418820,1982619,5131897,2882311,1866180,2912896,1866311,7813305,30563610,,0.0,,0.0,,74865421,4146753,36395,63041847,7122317,1046585.0,611101,702229,35874751,2014年03月31日,,64101305,57072789,0,120210435,157162757,,917691,0.0,46534049.0,,2369804.0,25150285,35874751,,,137906081.0,2896441,,202007386.0,120094,407463,14782750,7028516,17695646,44844629,2249586.0,2249586,0
2014-08-12,2,2014,,,,34082032,552729,12057445,3376763,583382,14873136,1137887,1515637,5513347,3169354,2332243,2841450,1813610,7359014,31424643,,0.0,0.0,0.0,,69442694,3967895,36395,56876133,8506176,1027840.0,603642,669869,35874751,2014年06月30日,,59402983,52345145,0,114729244,146771771,,898488,0.0,42865341.0,,1982128.0,18851706,35874751,,,132117944.0,2897312,,191520927.0,61943,252585,14547250,7057838,17388700,44749156,,2343993,0
2014-11-07,3,2014,,,,34819515,552729,13886816,9981883,533357,9906963,997287,1994829,5921138,3404219,2983230,2859287,1840792,6643652,35340107,,0.0,,0.0,,68225978,3625603,36395,52228790,8375014,1018495.0,596725,666292,35874751,2014年09月30日,,61793585,54676348,0,104926921,139985985,,901038,0.0,29850740.0,,2051413.0,15041981,35874751,,,122905708.0,2919952,,184699293.0,117450,228934,15119500,7117237,17978787,44713308,2516919.0,2516919,0
2015-03-24,4,2014,,15232531.0,15232531.0,35073036,533751,15773335,8401561,457501,12165426,1039645,3009234,22517169,4571486,3463204,3605387,2590627,6433992,31772851,,,,0.0,,67231370,6712732,24263,59281105,8967761,1014760.0,590080,613137,35874751,2014年12月31日,,64422790,57578038,0,126668060,151098840,,901392,0.0,37731741.0,,2115698.0,15859736,35874751,,,131278939.0,2920718,,195701729.0,41666,440972,1005492,6844752,4610879,44602889,2713152.0,2713152,0
2015-05-11,1,2015,,12987951.0,12987951.0,35172873,533652,17226305,5641665,476904,9836634,1157554,2795614,20725549,4952523,2822593,3581985,2577560,6094502,32042418,32042418.0,,,0.0,,54893237,3257094,24263,46512826,6607663,,568958,599170,35874751,2015年03月31日,2389127.0,65495644,58818381,0,105512930,131336383,1004425.0,869626,,,36273503.0,,14262887,35874751,175652068.0,110156424.0,,2921711,175652068.0,,124139,278161,1061509,6677263,4643494,44315685,2785075.0,2785075,0
2015-08-11,2,2015,,12751918.0,12751918.0,35346186,446101,12118662,7082161,398968,16733545,913082,2485251,21355906,5754217,3112540,3558468,2566434,5982431,29808687,,0.0,,0.0,,51738645,2364393,24263,48180078,4648460,,561996,579467,35874751,2015年06月30日,1845891.0,59840262,53401438,0,107386788,128471413,992034.0,857670,,,34597658.0,,13139567,35874751,172644232.0,112803970.0,,2922774,172644232.0,,184578,128747,1858714,6438824,5417182,44172819,,2849771,0
