date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付費用,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,商譽,存入保證金,存出保證金,存貨合計,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－非流動淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,銀行長期借款,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-04-29,1,2013,,,2221578,1530432,287379,,73778,-26271,2853,,44774,,,,14919,49850,18619,59632.0,2457,207,710732,,297219,,0.0,,1133052,,589,12462.0,110584,,1630000,2013年03月31日,1070749,,4456002,4456002,0,379531,1606253,4321675,,59632,80152,,2358750.0,116112.0,894750,1630000,,7940,,2320242.0,1321841,1321841.0,1321841.0,,6776244.0,,,2070,12925,,,697000,697000,31024,,713989,2454569,,0
2013-07-29,2,2013,100000.0,100000.0,2230076,1438233,325476,325476.0,48297,25059,108518,8518.0,45044,,,,14931,70753,38141,59897.0,2469,1172,743565,,397886,,0.0,0.0,1301458,0.0,0,12462.0,110434,,1630000,2013年06月30日,888162,,4415133,4415133,0,412202,1795761,4593337,,59897,137869,,2454973.0,86227.0,858000,1630000,,19654,,2664207.0,1321841,1321841.0,1321841.0,,7079340.0,,,6515,14843,,,847000,847000,31440,,868446,2486003,,0
2013-10-23,3,2013,,,2287096,1692677,352902,,47194,-15255,7618,7618.0,49724,,,,13686,70801,38621,59246.0,1224,1229,765109,,317048,,,,1304238,0.0,0,12462.0,47802,,1630000,2013年09月30日,1142606,,4629263,4629263,0,412202,1468706,4573732,,59246,137869,,2286233.0,104656.0,654185,1630000,,32297,,2429845.0,1321841,1321841.0,1321841.0,,7059108.0,,121234.0,453,20431,,,947000,947000,30951,,961139,2485376,,0
2014-02-26,4,2013,,,2364000,1905505,387280,,55775,30258,5954,5954.0,51344,,,,5031,71766,39239,59602.0,1200,1286,853433,,298056,,,,1218937,883.0,883,3831.0,47773,,1630000,2013年12月31日,1355434,,4887604,4887604,0,412202,2091529,5280792,,59602,137869,,3095798.0,127371.0,1227861,1630000,,45007,,2956485.0,1321841,1321841.0,1321841.0,,7844089.0,,4622.0,12925,20156,,,847000,847000,31241,,864956,2563297,,0
2014-04-23,1,2014,,,2405759,1994330,340450,,37980,88133,6422,,77426,,,,1200,82303,49628,60608.0,1200,1212,927617,,258318,,,,1160043,0.0,0,0.0,47744,,1630000,2014年03月31日,1444259,,5034304,5034304,0,412202,1932334,5307936,,60608,137869,2980514.0,,158571.0,1114191,1630000,,11966,,2898585.0,1321841,1321841.0,1321841.0,,7932889.0,42416.0,124356.0,18051,28539,,,947000,947000,31463,,966251,2624953,,0
2014-07-18,2,2014,0.0,0.0,2342529,1378929,348218,,40456,18318,10893,10893.0,101675,,,,1200,87571,55389,59692.0,1200,1558,830901,0.0,269432,,,,1237298,0.0,0,0.0,47716,,1630000,2014年06月30日,796058,,4349088,4349088,0,502719,1951019,4751529,,59692,80152,2418346.0,,59898.0,1195205,1630000,,23333,,2964053.0,1321841,1321841.0,1321841.0,,7313141.0,44040.0,122853.0,4834,24104,,,1007000,1007000,30624,,1013034,2561612,,0
2014-10-22,3,2014,,,2406793,1577811,369430,,30172,82725,13733,13733.0,54760,,,,1200,173198,49728,60532.0,1200,14569,925092,0.0,326896,,,,1335709,335.0,335,0.0,47687,,1630000,2014年09月30日,994940,,4612377,4612377,0,502719,1730691,4604115,,60532,80152,2131224.0,,50777.0,919680,1630000,,36558,,2702764.0,1321841,1321841.0,1321841.0,,7315141.0,13617.0,126823.0,20873,22816,,,950000,950000,30983,,972073,2711026,77918.0,0
2015-02-25,4,2014,,,2778316,1791447,522727,,63082,240304,4489,4489.0,84167,,,,1200,291337,60879,62393.0,1200,15900,1010921,0.0,363022,,,,1379731,237.0,237,0.0,51872,,1630000,2014年12月31日,1208576,,4983592,4983592,0,502719,2350247,5133210,,62393,80152,2595072.0,,85711.0,1325760,1630000,,48538,,3357227.0,1321841,1321841.0,1321841.0,,8340819.0,,0.0,55780,23691,,,950000,950000,32195,,1006980,3207609,182363.0,0
2015-04-20,1,2015,,,2813114,1916193,380745,,30685,181858,5294,5294.0,89293,,,,1200,615804,65837,61863.0,1200,21309,1126888,0.0,332698,,,,1290960,0.0,0,,51843,5519.0,1634714,2015年03月31日,1333322,97787.0,5057093,5057093,0,502719,1920967,4404899,,61863,80152,,1867073.0,,1090500,1634714,7968805.0,13943,2911712.0,,1324328,,,7968805.0,,0.0,0.0,39545,15763,,,950000,950000,31497,,990745,3563906,497161.0,0
2015-07-20,2,2015,,,4020131,1589655,860100,,117750,141599,6828,6828.0,240835,64201.0,176634.0,,1200,370798,68339,61198.0,1200,32597,1057273,,289623,,,,1325172,347.0,347,,51815,5519.0,1634714,2015年06月30日,944568,53529.0,4689398,4689398,0,564935,2696366,3838247,,61198,80152,,1096870.0,,1460500,1634714,8368058.0,25786,3678660.0,,1323430,,,8368058.0,,0.0,0.0,31094,20350,,,950000,950000,30987,,982294,4529811,238875.0,0
