date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,員工福利負債準備－流動,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,庫藏股票,待售房地,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－庫藏股票交易,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,350877,6208922,17342,2342522,47822,38640,532210,,604608,707249,356372,153547,61122,92425,83933,406383,556853,119887,27808,556786,83411,2189741,87993,2101748,0,87993,,415596,15000.0,78702,,776206,5459.0,412047,186687.0,124324,0.0,79560,4373351,2013年03月31日,1751579,,,7500918,7468216,0,469594,3602669,6051922,,16066,121349,,2023050.0,105476.0,1720628,4373351,,27808,,5593271.0,147735,,5375,142300,60.0,,13094189.0,13315,330775,39200,1253444,136285,183664,32702,1990602,7042267,0.0,439917,169369,0
2013-08-12,2,2013,353217,6126520,17342,2503290,39263,34650,469555,469555.0,681852,549440,196223,293345,48995,244350,83486,406371,679369,105785,27547,642589,81228,2106896,87993,2018903,0,87993,,461314,20000.0,109070,0.0,911337,12895.0,426908,186647.0,124238,0.0,74620,4373351,2013年06月30日,1912347,,,7738704,7706228,0,469594,3598115,6057666,,16829,121349,,1881389.0,46023.0,1915166,4373351,,27547,,5404654.0,147735,,5375,142300,60.0,,13143358.0,12377,340440,46774,1059728,138496,317931,32476,1806539,7085692,0.0,377869,172167,0
2013-11-11,3,2013,378325,6094046,17342,2666874,60719,34020,504647,,648748,510902,132577,134440,47465,86975,83420,411876,977899,95272,25999,588029,87547,2081204,87993,1993211,0,87993,,469443,0.0,143038,,872579,21869.0,459643,187305.0,124153,0.0,96340,4373351,2013年09月30日,2075931,,,7836708,7836708,0,469594,3692213,5920653,,16114,121349,,1735066.0,40670.0,1997514,4373351,,25999,,5485766.0,147735,,5375,142300,60.0,,13322474.0,12365,338864,75927,1042813,137024,313461,0,1793553,7401821,0.0,569467,485746,0
2014-03-27,4,2013,172285,6862117,17342,2724399,67551,32844,695563,,741695,261746,89461,188074,87561,100513,133953,420303,602426,88374,22268,674144,98927,2043675,87993,1955682,0,87993,,410255,110000.0,122948,,741295,21062.0,431936,182100.0,124067,0.0,99670,4373351,2013年12月31日,2133456,,,7987180,7987180,0,469594,3603220,6080707,,13459,121349,,2098620.0,248891.0,1731549,4373351,,22268,,5904360.0,147735,,5375,142300,60.0,,13891540.0,12512,247483,91752,1633354,139276,320026,0,2301140,7810833,0.0,510689,60073,0
2014-05-12,1,2014,217332,6970587,17342,2635335,62797,34944,685893,,720571,366036,148704,183563,108970,74593,123203,410025,619098,84820,22917,657774,89319,2157700,87993,2069707,0,87993,0.0,482771,0.0,91242,,717080,23447.0,331248,181938.0,123983,,92759,4373351,2014年03月31日,2044392,,,7876992,7876992,0,469594,3301702,5793238,,11315,121349,1777191.0,,266817.0,1386026,4373351,,22917,,5842853.0,147735,,5375,142300,60.0,,13719845.0,13001,247443,91523,1883683,138768,317040,0,2541151,7926607,,555064,94035,0
2014-08-12,2,2014,239198,6872451,17342,2732135,47660,33516,535659,491925.0,611477,352428,113230,216054,135047,81007,122415,393342,617027,83878,23877,563817,78706,2276017,87993,2188024,0,87993,0.0,612936,10000.0,113117,43734.0,795941,25528.0,429669,181687.0,123897,,78984,4373351,2014年06月30日,2113117,,,7864698,7864698,0,497669,3419095,6087690,,15214,121349,1706415.0,,241356.0,1529722,4373351,,23877,,6038344.0,147735,,5375,142300,60.0,,13903042.0,13662,247251,90437,1978656,132949,309748,0,2619249,7815352,,590888,100986,0
2014-11-12,3,2014,243835,6676075,17342,2336596,40257,27636,544382,,735513,357108,113273,220810,150913,69897,137593,407214,593771,78223,25060,695256,91142,2411098,87993,2323105,0,87993,0.0,746653,0.0,96514,,752732,6256.0,427542,181444.0,123811,,79286,4373351,2014年09月30日,1717578,,,7593195,7593195,0,497669,3608717,6301297,,13091,121349,1792517.0,,226218.0,1612782,4373351,,25060,,6303499.0,147735,,5375,142300,60.0,,13896694.0,13495,247530,92021,2040038,134628,315900,0,2694782,7595397,,649211,62055,0
2015-03-30,4,2014,355368,6501867,17342,2170414,37761,28644,780447,,829902,604684,249316,361170,303156,58014,86959,411442,513873,80949,21783,792141,85207,2341955,87993,2253962,0,87993,0.0,518784,0.0,109944,,1008277,6044.0,483120,190388.0,123725,,75690,4373351,2014年12月31日,1551396,,,7521402,7521402,0,497669,3897625,6752844,,11384,121349,1964287.0,,77666.0,1784317,4373351,,21783,,6514559.0,147735,60.0,5375,142300,,,14035961.0,13421,259087,39236,1946405,135847,321082,0,2616934,7283117,,545926,24883,0
2015-05-14,1,2015,353794,6603831,17342,2076024,38633,33096,549027,,839658,660324,306530,278753,234051,44702,102357,406366,532574,84043,21847,801025,82134,2474093,87993,2386100,0,87993,0.0,486354,,96692,,696968,4785.0,310515,,123640,,72051,4373351,2015年03月31日,1457006,102959.0,,7436768,7436768,0,497669,3892334,6350074,190097.0,158755,121349,,2070525.0,,1975131,4373351,13897960.0,21847,6461192.0,,147735,,5375,142300,60.0,13897960.0,,13732,259092,39693,1903400,134135,319388,0,2568858,7547886,,467607,26786,0
2015-08-10,2,2015,309367,6318977,17342,2066301,20087,26964,426550,426550.0,817212,595003,285636,257136,216020,41116,98914,402128,528689,106120,18842,797125,80186,2440184,87993,2352191,0,87993,0.0,730919,0.0,108089,0.0,719878,2956.0,377528,,123555,,59556,4373351,2015年06月30日,1447283,73850.0,,7404599,7404599,0,497669,3878802,6591692,189774.0,159381,121349,,2227517.0,,1925549,4373351,13841251.0,18842,6436652.0,,147735,,5375,142300,60.0,13841251.0,,13466,261518,42059,1894204,132168,312857,0,2557850,7249559,,526063,10798,0
