date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,商譽,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,銀行借款,銀行長期借款,長期借款合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,0.0,1740052,1045922,198434,40249,3734,27652,27652,31976,118,150880,487020,2334,2334,46993,3734,201648,737035,,737035,0.0,,,197440,20810,566900,43778,8430,31615.0,42058,2233177,2013年03月31日,667942,,3986452,3739584,0,998089,2919433,,47111,,0.0,377980,,1484153.0,17346.0,527079,2233177,,9328,,1273252.0,456751,456751,456751,,,5259704.0,124283,24030,527079,0.0,0.0,119265,278887,246868,275163,2340271,6912,6912,4151,0
2013-08-06,2,2013,0.0,1735816,1024934,295044,30808,66116,87310,87310,45591,97,153233,294908,2347,2347,47271,66116,2256,732354,,732354,0.0,0.0,,160674,30388,670424,57660,11313,32767.0,590315,2233177,2013年06月30日,646954,,4040146,3780978,0,1136969,2773415,,47368,,0.0,377980,,1218240.0,50405.0,502322,2233177,,10826,,1426771.0,456751,456751,456751,,,5466917.0,136569,25095,502322,0.0,0.0,120466,281682,259168,289802,2693502,7025,7025,8623,0
2013-11-01,3,2013,,1720005,1089618,210479,35108,23896,80222,80222,44347,74,151580,291221,3096,3096,46594,23896,2225,749374,,749374,0.0,,,211121,14466,644578,39062,6612,33250.0,579692,2233177,2013年09月30日,711638,,4064223,3803442,0,1094438,2795916,,46668,,67636.0,377980,,1202256.0,3820.0,564402,2233177,,9928,,1387201.0,456751,456751,456751,,,5451424.0,141183,17922,564402,0.0,0.0,118330,276678,260781,292763,2655508,6943,6943,9222,0
2014-03-06,4,2013,,1720453,1168844,254562,38684,95248,67518,67518,57547,276,152801,285905,2893,2893,46966,95248,2249,736852,,736852,0.0,,,225570,33795,721213,23483,9999,33105.0,1102039,2233177,2013年12月31日,790864,,4225229,3954020,0,1216554,2571570,,47242,,0.0,377980,,976725.0,27470.0,596250,2233177,,11389,,1520625.0,456751,456751,456751,,,5745854.0,151270,18645,596250,0.0,0.0,119696,279860,271209,304071,3174284,7067,7067,903,0
2014-04-30,1,2014,,1693030,1255980,208414,33364,72293,34983,34983,43658,247,153887,285177,2854,2854,48008,72293,2283,713633,,713633,0.0,,,258234,31667,742834,31251,8210,36410.0,1087165,2233177,2014年03月31日,878000,,4294114,4018201,0,1237505,2716775,,48255,,,377980,1136782.0,,32324.0,661846,2233177,,10037,,1554331.0,456751,456751,456751,,,5848445.0,162939,18043,661846,,,117477,277146,275913,316826,3131670,7043,7043,2894,0
2014-08-05,2,2014,,1617075,1142178,437412,26029,1882,22931,22931,36845,214,152398,302309,2772,2772,47092,1882,12944,689972,,689972,0.0,,0.0,129715,44709,674954,17366,9472,36782.0,1070744,2233177,2014年06月30日,764198,,4111306,3833988,0,1383957,2761021,,47306,,,377980,1299470.0,,28174.0,708713,2233177,,12303,,1703107.0,456751,456751,456751,,,5814413.0,166752,15958,708713,,,115616,270300,277318,319150,3053392,6913,6913,16293,0
2014-11-06,3,2014,,1645049,1217625,249869,29781,104430,42518,42518,38558,191,156424,295141,2814,2814,47894,104430,8489,715639,,715639,0.0,,0.0,230410,9261,668937,19998,6843,38588.0,1103771,2233177,2014年09月30日,839645,,4300210,4011983,0,1298346,3005352,,48085,,0.0,377980,1518505.0,,19109.0,734900,2233177,,12279,,1812022.0,456751,456751,456751,,,6112232.0,174732,14834,734900,182520.0,182520.0,117836,275479,288227,513676,3106880,7091,7091,8359,0
2015-03-03,4,2014,,1630171,1305625,291907,66211,230528,26135,26135,35535,207,174615,297201,2874,2874,49868,230528,9851,689307,,689307,0.0,,0.0,206357,12945,768731,3556,7390,53797.0,1140852,2233177,2014年12月31日,927645,,4530168,4226081,0,1495582,3447121,,50075,,,377980,1869074.0,,36038.0,907631,2233177,,14569,,2052708.0,456751,456751,456751,,,6582876.0,192611,17456,907631,189900.0,189900.0,120818,282437,304087,557126,3135755,7317,7317,2039,0
2015-04-30,1,2015,,1550717,1431285,238063,52502,191848,26162,26162,37611,199,173579,289131,2816,2816,49334,191848,2355,662555,,662555,,,,134808,31176,612215,43531,4271,,1143892,2233177,2015年03月31日,1053305,21241.0,4622824,4313061,0,1246188,3380494,54657.0,49533,,,377980,,1960560.0,,782066,2233177,6432691.0,12672,1809867.0,,456751,456751,456751,,6432691.0,,202300,18924,782066,187800.0,187800.0,118922,277993,309763,563679,3052197,7249,7249,5967,0
2015-08-10,2,2015,,1517285,1304424,520063,38906,135822,26418,26418,42144,190,171822,284337,2747,2747,48650,135822,2322,665784,,665784,,,,119411,26632,703727,28278,4016,,1185193,2233177,2015年06月30日,926444,38114.0,4446949,4130174,0,1414464,3370896,55333.0,48840,,,377980,,1880894.0,,670695,2233177,6426315.0,13131,1979366.0,,456751,456751,456751,,6426315.0,,211006,19764,670695,,182074.0,116489,272294,316775,564902,3055419,7147,7147,6974,0
2015-11-03,3,2015,,1573093,1418503,284992,39446,289435,21836,21836,48071,192,180951,407156,2828,2828,51834,289435,2457,685683,,685683,,,,143003,42144,698285,24362,8570,,1239559,2233177,2015年09月30日,1040523,56305.0,4736729,4397866,0,1797209,3852803,60498.0,52026,295830.0,,377980,,2045117.0,,1233635,2233177,7145428.0,15294,2408699.0,,456751,456751,456751,,7145428.0,,236606,20791,1233635,,193933.0,120453,281549,338863,611490,3292625,7439,7439,120322,0
2016-03-07,4,2015,,1488453,1539041,315029,39003,106770,24788,24788,47484,180,180449,502789,2699,2699,51746,106770,2741,1844542,1198451.0,646091,0.0,,0.0,113652,40432,647083,17905,5817,,42637,2233177,2015年12月31日,1161061,60095.0,4671061,4335739,0,1564436,4649866,64982.0,51926,,,377980,,2040854.0,,994487,2233177,6757972.0,15953,2086911.0,,456751,456751,456751,,6757972.0,,246833,22301,994487,95193.0,95193.0,115467,269882,335322,522475,2108106,7178,7178,227467,0
2016-05-06,1,2016,,1468812,1667222,303538,21925,96974,8949,8949,92605,173,179481,781183,3040,3040,50701,96974,793,1837981,1204255.0,633726,,,,106076,37354,670808,17631,4386,,41718,2233177,2016年03月31日,1289242,25175.0,4795602,4454124,0,1705706,4573730,65328.0,50874,,,377980,,1921251.0,,1205962,2233177,6933982.0,18652,2138380.0,,456751,456751,456751,,6933982.0,,253193,17665,1205962,0.0,0.0,114153,266799,341478,432674,2360252,7143,7143,510551,0
2016-08-11,2,2016,,1492311,1505153,355209,25631,-49453,11767,11767,134913,163,177748,761359,2811,2811,50837,-49453,776,1812527,1202937.0,609590,,223318.0,,85754,41826,720284,28684,4320,,40017,2233177,2016年06月30日,1127173,15248.0,4709879,4373739,0,1644994,4430261,67188.0,51000,,,377980,,1696937.0,,1111827,2456495,6791233.0,23363,2081354.0,,461544,456751,456751,4793.0,6791233.0,,258612,16285,1111827,,0.0,110560,258390,336140,436360,2360972,6965,6965,499382,0
2016-11-07,3,2016,,1554231,1599498,305147,23118,-190601,25911,25911,116070,152,173322,822896,2574,2574,49434,-190601,752,1800461,1249751.0,550710,,,,121265,35650,710270,24711,2547,,38012,2456495,2016年09月30日,1221518,12109.0,4659072,4326936,0,1816708,4430796,66936.0,49586,0.0,,377980,,1746872.0,,1295073,2456495,6910464.0,21553,2251392.0,,461544,461544,461544,,6910464.0,,261362,14943,1295073,,0.0,106386,354595,332136,434684,2479668,6747,6747,464975,0
