date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他應收款－關係人－其他,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,601117,4697714,2254,1688439,316825,,316825,71795,,,-29254,-16450,631125,4623,11148,,,348057,41973,115360,43201,-12804.0,2013726,,1015047,2005,9997.0,9997,20924,,1651303,4043,101393,306084.0,1802253,2013年03月31日,1252303,,4102453,3889854,0,382931,2606647,4501182,,52842,53205,,577889.0,62438.0,2426.0,548286,1802253,,,,5365299.0,428416,,9467752.0,,17327,255612,98400,2154983,,72159,212599,2758652,4966570,50132,25385,0
2013-08-13,2,2013,612724,4654437,2254,1639006,552673,,369757,114739,,,1038,-14100,639260,4743,11392,,,358673,53548,162144,89315,15138.0,2070082,,1287572,0,9996.0,9996,29461,182916.0,1954253,1304,52461,305125.0,1802253,2013年06月30日,1174979,,4070613,3870713,0,410822,3097469,4899974,,50494,53205,,616216.0,63581.0,2476.0,508794,1802253,,6132.0,,5801043.0,428416,,9871656.0,,16873,263045,102353,2081856,,72829,199900,2703574,4971682,60178,21793,0
2013-11-12,3,2013,652892,4624391,2254,1795416,439262,,439262,15885,,,-9835,-11750,688994,6973,18427,,,363253,58969,151635,80207,1915.0,2342863,,1216772,0,24932.0,24932,33897,,1947030,682,99172,304284.0,1802253,2013年09月30日,1331389,,4236425,4016250,0,410822,3023032,4968024,,50783,53205,,474514.0,80437.0,0.0,532602,1802253,,6136.0,,5672615.0,428416,,9909040.0,,14255,263221,111953,2023109,,71428,220175,2649583,4941016,55196,29129,0
2014-03-18,4,2013,860343,4646352,2254,1911305,438997,,438997,25138,,,15513,15513,899808,11803,27636,,,379443,76642,106205,34401,,2130583,,834981,420,,24951,27141,,1846468,6,100985,302801.0,1802253,2013年12月31日,1447278,,4385813,4157487,0,410822,2820803,4672595,,49882,53205,,465746.0,102583.0,0.0,491922,1802253,,,,5203007.0,428416,,9588820.0,,15323,269458,111532,1733303,,71804,228326,2382204,4916225,60710,27662,0
2014-05-13,1,2014,668737,4568042,2254,2042784,367701,,367701,14445,,,36668,36668,714374,6238,80905,284.0,80621.0,373714,71739,111895,39938,,2146861,0.0,1004840,653,19959.0,19959,26715,,1894309,473,127040,301975.0,1802253,2014年03月31日,1578757,,4549713,4310121,0,410822,2790411,4970272,,48517,53205,632155.0,,125575.0,0.0,528759,1802253,,,,5259441.0,428416,,9809154.0,1835.0,12574,275977,108174,1819339,,71957,239592,2469030,4838882,61510,39399,0
2014-08-12,2,2014,842678,4477411,2254,1906594,706256,,414667,14804,,,9715,9715,891616,14995,15490,,,382607,81420,131912,62096,,2168162,0.0,1145783,640,19978.0,19978,27555,291589.0,2057849,2280,117647,301187.0,1802253,2014年06月30日,1394142,,4363913,4146978,0,459247,3404057,5121206,,48835,53205,666744.0,,91544.0,0.0,520259,1802253,,,,5535133.0,428416,,9899046.0,426.0,8900,272657,117428,1475812,,69816,216935,2131076,4777840,69330,33943,0
2014-11-12,3,2014,724120,4450810,2254,2132592,472344,,472344,16256,,,39435,39435,772551,6891,15940,,,391800,91378,128586,58263,,2311997,0.0,1288198,652,19979.0,19979,29132,,2327076,8515,110758,300422.0,1802253,2014年09月30日,1620140,,4640134,4402696,0,459247,3159507,5414635,,49619,53205,552618.0,,86750.0,,489901,1802253,,,,5535341.0,428416,,10175475.0,,10095,288077,129571,1695957,,70323,237438,2375834,4760840,61380,41540,0
2015-03-18,4,2014,780867,4534587,2254,2334852,515996,618.0,515996,23410,6.0,6.0,53431,53431,854165,16263,16260,,,388124,89834,136575,63757,,2422732,0.0,1281723,464,,19981,24304,,2161800,832,133109,298290.0,1822253,2014年12月31日,1822400,,4950806,4696773,0,459247,3321583,5610714,,51148,53205,781769.0,,130781.0,,493551,1822253,,,,5519262.0,486237,,10470068.0,,16528,309688,134790,1499867,,72818,254033,2197679,4859354,54268,57035,0
2015-05-08,1,2015,835865,4517105,2254,2482956,398184,1240.0,398184,14124,48.0,,37117,37117,899773,8049,16681,791.0,15890.0,395099,8829,226016,155135,,2593335,0.0,1156432,0,19981.0,19981,27158,,2039848,3580,123335,,1821903,2015年03月31日,1970504,148845.0,5090485,4828563,0,459247,3194453,5560050,297433.0,51153,53205,,695897.0,,,542840,1821903,10477243.0,,5386758.0,,486587,10477243.0,,0.0,11302,303337,120665,1493869,88837.0,70881,261922,2192305,4917193,61900,55859,0
2015-08-11,2,2015,939267,4597855,2252,2203114,867158,1513.0,462572,11158,62.0,,30792,30792,998008,7051,15990,232.0,15758.0,399732,8750,155595,87113,,2609045,0.0,1061801,219,19982.0,19982,33230,404586.0,1966214,6164,96480,,1821453,2015年06月30日,1619488,101609.0,4771109,4540630,0,530421,3664824,5447213,295356.0,53312,53205,,661866.0,,,581304,1821453,10386496.0,,5615387.0,,485271,10386496.0,,0.0,13846,304479,130269,1246352,95626.0,68482,230479,1950563,4939283,66388,51690,0
