date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融負債－流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,522621,522621,4055586,50048,-713916,,203606,75529,139459,596947,,518988,98666,74326.0,420322,38432,330348,3028,159015,20869,30,1382354,1382354,0.0,,,702332,30000.0,310781,836989,56034,327290.0,0.0,,,3423567,2013年03月31日,,3666587,2858287,0,3076908,3750837,,,792834.0,41399.0,1191843,3423567,,,4387955.0,9177,,8054542.0,88109,169994,39056,810705,99714,808300,1311047,4303705,,,0
2013-08-12,2,2013,558148,558148,4078838,35240,-881121,,240631,89416,128938,626340,,370135,67855,68192.0,302280,8113,326534,3028,128810,19911,130,1321577,1321577,0.0,,,652036,0.0,271940,841076,54927,323376.0,0.0,,,3923567,2013年06月30日,,3968621,3180561,0,2982532,3923604,,,1158674.0,47631.0,1143954,3923567,,,4236927.0,9177,,8205548.0,87799,149774,39056,778087,100786,788060,1254395,4281944,,,0
2013-11-12,3,2013,609761,609761,3991531,35240,-772589,35774.0,245771,36388,88419,687087,,535294,95032,77326.0,440262,11491,323142,3028,129856,19352,130,1307512,1307512,0.0,,,602981,0.0,232864,796384,69461,319984.0,0.0,,,3923567,2013年09月30日,,4059556,3248574,0,2858746,3695193,,,774719.0,47224.0,1042819,3923567,,,3842947.0,9177,,7902503.0,139661,146863,50683,514196,99013,810982,984201,4207310,,,0
2014-03-28,4,2013,676847,676847,4003210,17840,177814,10537.0,330285,22442,79224,1308456,,549329,77390,82025.0,471939,49341,317620,3028,167555,18073,166,1341170,1341170,,,,582942,0.0,218433,853645,49080,314426.0,0.0,,,3368015,2013年12月31日,,4586925,3764730,0,3364863,4596241,,,1562597.0,97979.0,826768,3368015,,,4251463.0,139677,,8838388.0,207441,142398,53542,426582,100141,822195,886600,4242147,549584.0,549584.0,0
2014-05-13,1,2014,681420,681420,4016094,17840,242615,50137.0,258159,85202,121912,1314900,,478828,52341,97530.0,426487,66056,314386,3028,182457,17289,166,1331909,1331909,,,0.0,485756,0.0,189444,913021,35356,311192.0,,,,3368015,2014年03月31日,,4762058,3872219,0,3117269,4258048,,1156844.0,,127219.0,741791,3368015,,,3753953.0,139677,,8516011.0,206751,142398,41572,179900,99112,889839,636684,4257963,535950.0,535950.0,0
2014-08-12,2,2014,42740,42740,3828702,17840,208440,0.0,340207,98212,77875,789653,92768.0,164950,44291,,120659,61496,309987,3028,138358,1689,166,1289416,1289416,,,0.0,538852,,105330,926525,113298,306793.0,,137897.0,137897.0,3368015,2014年06月30日,,4646689,3794007,0,2519724,4277738,,1639299.0,,83995.0,661687,3368015,,,3784178.0,139677,,8430867.0,46038,142398,30332,812069,75173,852682,1264454,4153129,654145.0,654145.0,0
2014-11-13,3,2014,43039,43039,3921182,17840,317434,0.0,295442,95113,124410,762341,85079.0,135496,85684,,49812,60623,305942,3028,138852,1713,166,1393357,1393357,,,0.0,607751,,65107,877504,74768,302748.0,,342369.0,342369.0,3368015,2014年09月30日,,4851105,3949536,0,2366972,4285577,,1625670.0,,70718.0,565613,3368015,,,3883054.0,139677,,8734159.0,83669,142398,28339,1067742,76516,901569,1516082,4448582,634223.0,634223.0,0
2015-03-27,4,2014,87402,87402,3933661,17840,875258,4258.0,544029,97428,214027,168275,80873.0,153487,74032,,79455,23669,301420,3028,110029,2406,166,1543862,1543862,243555.0,,10969000.0,626667,,114744,928757,149648,298226.0,,359555.0,359555.0,3368015,2014年12月31日,,5311331,4353422,10969000,2067953,4681338,,1667308.0,,86921.0,527317,3368015,,,3823298.0,139677,,9134629.0,136590,217311,32206,1236614,83954,957909,1755345,4453291,0.0,0.0,0
2015-05-12,1,2015,87025,87025,3876840,17840,792605,5397.0,418967,119241,194509,170046,83021.0,210062,75952,,134110,24975,299600,3028,112013,4395,166,1441948,1441948,0.0,,0.0,577963,,94934,970540,64228,,,356046.0,356046.0,3258325,2015年03月31日,125614.0,5378419,4380866,0,1901746,4530467,296406.0,,1600110.0,,514222,3258325,8926456.0,3548037.0,,135427,8926456.0,,118941,213466,33250,1133225,82643,997553,1646291,4395989,0.0,0.0,0
2015-08-12,2,2015,86552,86552,3814464,17840,442036,4996.0,817584,79240,130264,167260,80708.0,231823,59776,,172047,69543,290536,3028,154569,4061,216,1333182,1333182,0.0,,0.0,465302,,52876,902063,54414,,,347348.0,347348.0,3258325,2015年06月30日,111834.0,4918585,3966052,0,2108187,4236395,287292.0,,1535317.0,,493331,3258325,8606198.0,3687613.0,,135427,8606198.0,,95360,203202,35582,1085688,80965,952533,1579426,4369803,0.0,0.0,0
2015-11-12,3,2015,88714,88714,3863003,17840,448921,5057.0,486433,74755,216084,152294,63580.0,486449,63364,,423085,69214,286027,3028,156868,3895,216,1352261,1352261,0.0,,0.0,434449,,61267,831989,48157,,,299427.0,299427.0,3258325,2015年09月30日,90481.0,5050269,4058757,0,1819900,4200973,282783.0,,1302689.0,,594976,3258325,8573043.0,3522774.0,,135427,8573043.0,,99616,232775,34932,1184072,83759,991512,1702874,4372070,0.0,0.0,0
2016-03-25,4,2015,132999,132999,3821160,17840,456716,5125.0,444401,76576,182747,203574,70575.0,469011,53805,,415206,39600,281477,3028,123457,3552,216,1290487,1290487,0.0,,0.0,414632,,40892,819312,53460,,,282098.0,282098.0,3258325,2015年12月31日,120829.0,5072729,4033215,0,1796297,4187956,278233.0,,1445020.0,,571969,3258325,8464130.0,3391401.0,,135427,8464130.0,,28965,218633,31619,1094994,80305,1039514,1595104,4276174,0.0,0.0,0
2016-05-12,1,2016,132466,132466,3805010,17840,517638,6681.0,412316,78003,153371,219626,87160.0,497797,75199,,422598,36135,277634,3028,118947,3386,166,1116657,1116657,0.0,,0.0,374041,,38246,1006898,44594,,,280904.0,280904.0,3258325,2016年03月31日,171962.0,5165769,4064854,0,1749762,4319204,274440.0,,1545729.0,,533571,3258325,8571215.0,3405446.0,,135520,8571215.0,,22845,218721,29310,1159329,79426,1100915,1655684,4252011,,,0
2016-08-11,2,2016,243248,243248,3775998,17840,417493,9899.0,438376,87211,145776,320346,77098.0,197638,90919,,106719,36446,178212,3028,116379,3040,166,1171628,1171628,0.0,65167.0,0.0,504270,,43669,834140,50706,,,296300.0,296300.0,3258325,2016年06月30日,73607.0,5081778,4035262,0,1981707,4216948,175018.0,,1841486.0,,601439,3323492,8481729.0,3399951.0,,148501,8481729.0,,24240,234650,58264,1005382,76893,1046516,1418244,4264781,,,0
2016-11-14,3,2016,240779,240779,3668163,17840,456949,9081.0,436261,114188,76457,316712,75933.0,321134,78166,,242968,45780,173092,3028,117735,2684,166,1166748,1166748,0.0,,0.0,428149,,64061,760200,110448,,,303506.0,303506.0,3323492,2016年09月30日,24102.0,5092261,4013952,0,1840653,4166752,169898.0,,1659967.0,,571368,3323492,8328351.0,3236090.0,,157054,8328351.0,,24986,223363,54355,998982,69271,1078309,1395437,4161599,,,0
