date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,存貨－製造業淨額,待出售非流動資產,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付票據－關係人合計,應付設備款,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融負債－非流動,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-04-25,1,2013,0,48667410,48667410,304696476,1447968,-57864666,233080,12017684,97058,98954,2553152,67968305,19300895,14446894,9267786,5179108,7264362,4340931,4340931,47098527,47098527,0.0,0.0,,22371473.0,67356432,16284933,,,12017684,31765586,7079258,,1262991,14374856,88270455,2013年03月31日,-57864666.0,,,159980910,145780238,0,183265601,165936463,14727546,,64975641.0,189694.0,63554.0,5935515,88270455,,13099268,8672982,,364217443.0,112821297,,524198353.0,316712,0.0,408049,0.0,3105895,17178042,,43639,139493491,14200672,180951842,358261890,0
2013-08-14,2,2013,0,52326151,52326151,293577823,1435107,614341,280235,10541510,93336,328231,3356953,73232957,20906806,10596776,5135581,5461195,6810286,4434687,4434687,41810208,41810208,0.0,0.0,,21078624.0,65066847,15855914,,,10541510,41109184,3778920,,1260399,13458756,96242451,2013年06月30日,,,,174590276,160717772,0,175002243,175493823,14714386,,77652749.0,225554.0,66686.0,2567653,96242451,,7318461,8969514,,347290998.0,60504027,,521881274.0,100011,0.0,151069,0.0,3220878,17226058,0.0,32299,132177154,13872504,172288755,346387451,0
2013-11-07,3,2013,0,55921853,55921853,281245743,1429471,3104342,285127,8046083,61931,103317,2882367,77460401,21538548,11556042,5374518,6181524,6496208,3990386,3990386,41511250,41511250,69612.0,69612.0,,19770287.0,66640388,15772831,,,8046083,43332701,3336925,,1257806,13387839,96242451,2013年09月30日,,,,176478377,162703036,0,175870655,170050184,15518393,,69974592.0,366646.0,68755.0,906421,96242451,,6565959,5200918,,327893489.0,60473876,,504371866.0,49995,0.0,96990,0.0,3112417,17206917,0.0,20222,117422782,13775341,152022834,334321682,0
2014-03-11,4,2013,0,62763024,62763024,270269007,300719,4017495,400011,7468055,70552,93418,3546391,84223917,21460893,11137034,4336937,6800097,6052491,4141894,4141894,37597994,37597994,732879.0,732879.0,,19513820.0,63410426,14952576,,,7468055,40600855,3032906,,1255214,13353861,96242451,2013年12月31日,,,,178345869,164309349,0,180962424,169604057,15713137,,76312272.0,614749.0,47849.0,3457174,96242451,,6344114,5129403,,313896982.0,60503012,,492242851.0,420861,0.0,48850,0.0,3247631,17204951,0.0,17062,98974151,14036520,132934558,322638794,0
2014-05-12,1,2014,0,49792318,49792318,259471921,281960,4279756,494915,5444409,56945,77059,3538696,68732076,18939758,6811780,4201294,2610486,5781270,4353169,4353169,37422212,37422212,0.0,0.0,0.0,19305829.0,59221409,13667220,,,5444409,41354356,3314710,,1252621,13809992,96242451,2014年03月31日,,,,179013380,164779788,0,155077749,162127582,15526569,73077313.0,,477067.0,60240.0,1248117,96242451,,6052311,5238948,,295512070.0,60718885,,474525450.0,178195,0.0,9912,0.0,3235259,17206721,0.0,8938,106864077,14233592,140434321,312397868,0
2014-08-13,2,2014,0,48434432,48434432,248563505,144777,8216282,563999,5409977,49292,368931,2763461,70627537,22193105,7210437,5162816,2047621,5379912,4224382,4224382,35299059,35299059,0.0,0.0,0.0,17951375.0,58530274,13600405,,,5409977,45480652,3048388,,1250029,13440237,96242451,2014年06月30日,,,,180457598,166674407,0,155537776,168098083,15314645,76535803.0,,196195.0,63812.0,1323050,96242451,,5777091,4997264,,288451152.0,59452213,,468908750.0,23955,0.0,91001,0.0,3180699,17309093,0.0,8729,101395397,13783191,132913376,300810667,0
2014-11-14,3,2014,0,45106923,45106923,237695760,144847,15548513,48445,4680827,47067,115064,3544902,67216498,22109575,9874113,5242641,4631472,4777522,3833659,3833659,35286615,35286615,781569.0,781569.0,0.0,15415608.0,62142104,13707019,,,4680827,47300450,3340831,,465867,13690707,96242451,2014年09月30日,,,,188765762,174795050,0,156167352,172308441,15102850,75413600.0,,294152.0,64077.0,676500,96242451,,7025838,1467068,,271625674.0,59459184,,460391436.0,377347,0.0,132122,0.0,3258609,17100860,0.0,1010,90538505,13970712,115458322,288082995,0
2015-02-12,4,2014,15110028,41507062,56617090,231814724,37345,20528831,40379,4496702,56902,56945,4945716,82826165,26209075,7431629,4407556,3024073,4481264,4499558,4499558,36420148,36420148,0.0,0.0,0.0,0.0,63359887,11463941,,,4496702,55950687,3613524,,465868,14796070,96242451,2014年12月31日,,,,200369924,180975039,0,172440461,185614534,15166350,81965333.0,,926384.0,42856.0,381322,96242451,,8696279,1576687,,269489761.0,59258041,,469859685.0,232879,0.0,133412,0.0,5294891,17424857,0.0,7093,85689365,19394885,97049300,284245151,0
2015-05-11,1,2015,13171845,39864377,53036222,222606013,37345,25674877,41364,4300792,38357,62490,4259084,76957446,23921224,8263125,4438206,3824919,4182444,4084186,4084186,38033677,38033677,,,0.0,0.0,56100283,10819984,,,4300792,51067803,4091574,,465868,14932730,96242451,2015年03月31日,,1150878.0,42320.0,204844927,185677477,0,161116762,180277767,14958286,,78324641.0,,,0,96242451,454761022.0,11700814,1212742,249916095.0,,59501065,454761022.0,,48208,,392137,,5085269,17357463,,8120,78310758,19167450,88799333,274483255,0
2015-08-10,2,2015,11643750,43597530,55241280,214249946,37345,25352419,2283543,4452639,34133,291539,3324013,84854885,29613605,13885272,4801881,9083391,5736390,3980781,3980781,37444973,37444973,,,,0.0,53858371,8943886,,,4452639,46010557,3181583,,465868,11666745,96242451,2015年06月30日,,2401334.0,37110.0,203059725,185034143,0,165807590,190801856,14735773,,89753829.0,,,0,96242451,455548790.0,11032743,1141051,252489065.0,,60115260,455548790.0,,229599,,196993,0.0,4905226,17326933,,7359,74891449,18025582,86681475,264746934,0
2015-11-13,3,2015,566226,48690951,49257177,216670362,38050,28815436,1918053,5935788,40607,31031,5724840,73419043,24161866,21593062,4822902,16770160,5425238,5822241,5822241,38098575,38098575,254144.0,254144.0,,0.0,57172497,9171827,,,5935788,41240399,2602853,,465868,12202938,96242451,2015年09月30日,,2842878.0,24795.0,214106501,190880526,0,155997400,180837553,14809569,,76915236.0,,,1836263,96242451,450168190.0,5258119,1130789,236061689.0,,60097799,450168190.0,,320378,,77458,,5489835,17403556,,10619,68007808,23225975,80064289,269330637,0
2016-01-29,4,2015,0,39107738,39107738,208785609,70938,20407277,2077203,7622160,29014,27958,5085511,62662820,23555082,15530337,3796085,11734252,4767913,8161111,8161111,31795525,31795525,,702390.0,,,51950248,9325828,137336.0,343.0,7622160,32175220,2492479,144766.0,465868,12401725,96242451,2015年12月31日,,2461902.0,28571.0,204636405,181985222,0,141349389,161992140,14575279,,78880700.0,,,1593714,96242451,425554245.0,5012361,1123975,220917840.0,,60249983,425554245.0,,553663,,214194,,5128394,17024372,,10739,68537430,22651183,79568451,263562105,0
2016-05-09,1,2016,0,36125898,36125898,208156645,137182,14929977,1972545,8642098,22833,19607,3963269,57430501,21304603,6306381,4614247,1692134,3591005,9613302,9613302,31176598,31176598,,688847.0,0.0,0.0,46597566,8207071,160804.0,0.0,8642098,28598648,2588900,96694.0,465868,12362211,96242451,2016年03月31日,,2579575.0,29445.0,197357530,175471868,0,130190998,143299028,14517958,,73655703.0,,,1766510,96242451,407488055.0,4139110,1091332,210130525.0,,60336171,407488055.0,,644930,,138205,,4824906,16963316,,10194,70422090,21885662,79939527,264189027,0
2016-08-05,2,2016,0,21093266,21093266,214058959,137182,10988365,2157676,11223760,27718,231352,3114284,45904466,24811200,6747424,5285292,1462132,3428347,11724614,11724614,27754179,27754179,,0.0,,0.0,48578581,8351570,151585.0,0.0,11223760,34339186,2775437,77752.0,465868,12233614,96242451,2016年06月30日,,2056907.0,14645.0,191309665,170773205,0,122391995,145422624,14269862,,72954216.0,,,1575893,96242451,417385065.0,4409010,1098217,226075400.0,,60428105,417385065.0,,112505,,528433,,4478604,16914666,,8446,94669791,20536460,103683405,271962441,0
