date,season,year,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,616872,-303679,38798,1918.0,8426,,-6521,94054,73396,34179,,113809,-6521,505011,,,101104,,8000.0,54062,114205,,1230,,16168.0,,917291,2013年03月31日,-442941,701734,654371,0,139262.0,974457,875762,,43491,,149765.0,676521,917291,,,1040336.0,47280,47280.0,,,,,1742070.0,16075,75968,15625,47363,65879,866308,23729,0
2013-08-13,2,2013,616221,-331995,31015,0.0,7376,,2458,65225,38183,32518,,110727,2458,545672,,,150347,,5000.0,38336,108366,,1721,,15885.0,,917291,2013年06月30日,-331995,721552,654704,0,0.0,976430,897950,,42104,,170712.0,686507,917291,,,1037521.0,66950,66950.0,,,,,1759073.0,16073,76186,12500,66848,61091,861123,25920,0
2013-11-13,3,2013,609664,-355079,48818,0.0,11221,1572.0,-5423,40754,23792,30274,,107511,-5423,554777,,,163301,,0.0,14049,106185,,1119,,15131.0,11025.0,917291,2013年09月30日,-355079,687850,623624,0,0.0,959022,837911,,42188,,108977.0,692100,917291,,,1011619.0,66835,66835.0,,,,,1699469.0,16073,76039,6250,64226,52597,861558,30268,0
2014-03-10,4,2013,501904,-234140,43204,245.0,5033,,3476,33915,19859,30141,,130806,3476,537466,,,130088,,0.0,44953,90640,12545.0,571,,14844.0,10925.0,917291,2013年12月31日,-234140,814744,753462,0,0.0,729505,831649,,41940,,140354.0,477100,917291,,,769363.0,66835,66835.0,,,,,1584107.0,712,52039,9005,61282,39858,752458,25181,0
2014-05-15,1,2014,513391,-273251,37572,0.0,8877,,6422,58787,39536,30117,,138733,6422,488942,,0.0,127843,,0.0,40232,123813,7823.0,165,,14203.0,10116.0,917291,2014年03月31日,-273251,799737,717297,0,0.0,807552,888522,,44382,182122.0,,543118,917291,,,861957.0,66835,,66835.0,,0.0,,1661694.0,1787,52347,22501,82440,54405,773172,37244,0
2014-08-13,2,2014,520607,-293448,45487,0,13134,95,-3019,58363,6156,30901,,126715,-3019,499923,,0,144324,,0,13747,120791,9109,142,,13385,11421,1087291,2014年06月30日,-293448,1072013,960421,0,0,773026,1134282,,44994,431098,,511105,1087291,,,832195,169597,,49299,60823,59475,,1904208,519,52804,27749,111592,59169,769926,53834,0
2014-11-12,3,2014,524762,-343386,42305,0.0,17459,0.0,8677,57110,7385,32263,,127999,8677,539311,,0.0,129431,,,6923,106953,7571.0,719,,13199.0,12757.0,1087291,2014年09月30日,-343386,1027510,922213,0,0.0,754239,1069406,,44668,314183.0,,518470,1087291,,,817401.0,169631,,49331.0,60823.0,59477.0,,1844911.0,1777,52120,29122,105297,63162,775505,75825,0
2015-03-25,4,2014,542696,-389655,38881,0.0,10738,1080.0,23665,46143,26279,31076,1604.0,133467,23665,538394,,0.0,160367,,,12461,111103,14223.0,268,29472.0,12993.0,15923.0,1087291,2014年12月31日,-389655,959718,872372,0,,810765,1032408,,44169,274941.0,,552913,1087291,,,870595.0,151071,,27979.0,60823.0,62269.0,,1830313.0,7514,48657,21240,87346,59830,797905,55382,0
2015-05-06,1,2015,534542,-457431,36136,0.0,10551,1846.0,20243,58246,20796,31536,1427.0,117747,20243,520864,20167.0,0.0,128983,,,8984,105203,17401.0,321,,0.0,15146.0,1287291,2015年03月31日,-457431,1100385,1014446,0,0.0,787873,1180682,30109.0,43170,,428034.0,555524,1287291,1939550.0,839165.0,,164343,,27979.0,74095.0,62269.0,1939550.0,,5180,48263,14576,85939,51292,758868,55499,0
2015-08-12,2,2015,524689,-431653,45467,,2845,,12571,54701,27786,31042,1409.0,121598,12571,526516,,0.0,136534,,,11384,70565,29286.0,338,,0.0,12513.0,1287291,2015年06月30日,-431653,1119184,1032552,0,0.0,617725,1028971,29633.0,45959,,318485.0,369639,1287291,1781633.0,662449.0,,164343,,27979.0,74095.0,62269.0,1781633.0,,3338,47903,10344,86632,44724,752662,53150,0
2015-11-07,3,2015,536857,-466708,50387,,2582,,33715,35493,65866,31089,1456.0,133539,33715,527274,,0.0,119204,,,15917,76238,21729.0,1551,,0.0,12457.0,1287291,2015年09月30日,-466708,1104547,1018641,0,0.0,588063,964283,29633.0,44696,,211030.0,367062,1287291,1741918.0,637371.0,,164343,,27979.0,74095.0,62269.0,1741918.0,,9606,50086,8613,85906,49308,777635,58013,0
2016-03-12,4,2015,481478,-578051,37064,,8282,,26937,78631,57936,27725,621.0,122749,26937,480453,,0.0,82682,,,9724,78871,18046.0,143,,0.0,11992.0,1287291,2015年12月31日,-578051,986369,900520,0,0.0,579020,913379,27104.0,43174,,227539.0,370919,1287291,1615299.0,628930.0,,164343,,27979.0,74095.0,62269.0,1615299.0,,7674,42527,14511,85849,49910,701920,42109,0
2016-05-07,1,2016,129871,-577719,26160,,5556,0.0,9787,38792,48526,27640,0.0,18783,9787,214001,0.0,0.0,38163,,,5437,89368,64948.0,45,,,245200.0,1287291,2016年03月31日,-577719,968780,883702,0,0.0,142155,690502,27640.0,41547,,199247.0,33603,1287291,1159231.0,190451.0,,164343,,27979.0,74095.0,62269.0,1159231.0,,3481,33328,17175,85078,48296,468729,68811,0
2016-08-10,2,2016,119673,-530930,29191,,14571,44137.0,12240,65630,68878,31461,0.0,21238,12240,246669,,0.0,49449,,,3929,70228,12960.0,66,,0.0,243357.0,1287291,2016年06月30日,-530930,947229,858185,0,0.0,180025,731554,31461.0,41360,,182415.0,31826,1287291,1191732.0,244503.0,,89584,,15489.0,74095.0,0.0,1191732.0,,5205,34550,27812,89044,64478,460178,91630,0
2016-11-10,3,2016,113763,-557472,27499,,65732,76385.0,4951,60739,36459,31461,0.0,19527,4951,264376,,0.0,36837,28022.0,,4822,54779,18446.0,71,,0.0,238157.0,1287291,2016年09月30日,-557472,1000052,829572,0,0.0,187217,811610,31461.0,41786,,183685.0,29298,1287291,1259130.0,259078.0,,94802,,20707.0,74095.0,0.0,1259130.0,,3449,34287,36951,170480,71861,447520,111677,0
