date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,投資性不動產－土地,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,120000,1381965,213046,-356632,307864,,152004,12159,159629,179421,59421,11001,68681,5238,222079,734147,734147.0,0.0,,,460529,29999,42,843397,23606,5257,63443.0,,,13931,1273592,2013年03月31日,-356632,,1737752,1737520,0,0.0,1824397,2258392,,20679,,,,110645.0,,,519802.0,1453.0,1000949,1273592,,,2933202.0,660931,,4670954.0,7162,40124,142353,1000000,232,1108805,2412562,101861,0
2013-08-08,2,2013,120000,1437934,213046,-41270,309314,,166220,9690,175605,174802,54802,17796,66182,3222,251967,792249,792249.0,0.0,,,510200,29997,1758,840556,34207,9461,62960.0,,,13739,1273592,2013年06月30日,-41270,,1778774,1777181,0,0.0,1886842,2295251,,19716,,,,95677.0,,,505077.0,1415.0,1002450,1273592,,,2981051.0,369254,,4759825.0,7473,28027,123181,1000000,1593,1094209,2464574,78742,0
2013-11-07,3,2013,120000,1428652,216231,-53282,308963,,162263,7876,189082,189610,69610,13229,66171,3211,169581,833450,833450.0,0.0,,,494168,29988,1202,875578,31978,3187,62960.0,83399.0,83399.0,14545,1273592,2013年09月30日,-53282,,1779746,1778646,0,0.0,1947443,2305551,,18967,,,,146946.0,,,436290.0,2027.0,1068185,1273592,,,3033050.0,369254,,4812796.0,22955,29436,119961,990000,1100,1085607,2507245,81008,0
2014-03-26,4,2013,120000,1453509,216231,-33784,280549,,188000,22784,189739,191924,71924,2175,53789,3200,172393,827646,827646.0,0.0,,,530728,0,562,964893,24720,1096,50589.0,83399.0,83399.0,13754,1273592,2013年12月31日,-33784,,1800196,1798832,0,0.0,1990358,2465941,,17090,,,,58902.0,,,516947.0,13281.0,1065863,1273592,,,3059676.0,369285,,4859872.0,25820,25529,98104,990000,1364,1069318,2393931,79860,0
2014-05-09,1,2014,124125,1425292,166559,-32282,449397,0.0,164100,7804,315893,192192,68067,2499,53996,3407,166145,761108,761108.0,0.0,,0.0,453520,0,2782,936857,24976,3793,50589.0,83399.0,83399.0,11445,1273592,2014年03月31日,-32282,,1927457,1926488,0,0.0,2035324,2568576,,17867,,,,0.0,,721789.0,,13161.0,1209569,1273592,,,3048490.0,369285,,4975947.0,31947,21609,87267,937561,969,1013166,2407371,77803,0
2014-08-06,2,2014,124121,1395791,166559,-79854,386510,0.0,399073,156915,264166,198360,74239,2281,54951,4362,174883,714291,714291.0,0.0,,0.0,505235,0,2169,1012382,23537,5612,50589.0,83399.0,83399.0,11388,1273592,2014年06月30日,-79854,,1828391,1827189,0,0.0,2175308,2640084,,19369,,,,26763.0,,625791.0,,8993.0,1061478,1273592,,,3190477.0,369285,,5018868.0,39483,23687,114122,936531,1202,1015169,2378784,59792,0
2014-11-06,3,2014,124190,1387248,173559,-15026,401032,,451257,19763,293392,210146,85956,7538,54953,4364,177213,742360,742360.0,,,0.0,475172,0,1051,938700,19109,12665,50589.0,83650.0,83650.0,12189,1273592,2014年09月30日,-15026,,1922273,1921243,0,,1985463,2530483,,32307,,,,9818.0,,698885.0,,2104.0,845733,1273592,,,2992889.0,369285,,4915162.0,37872,26974,107663,925499,1030,1007426,2384679,53591,0
2015-03-19,4,2014,120000,1359227,149680,17421,393155,,449401,24895,302072,183172,63172,1542,56892,4345,202901,785103,785103.0,0.0,2686.0,0.0,529109,0,85,857660,26352,6964,52547.0,84934.0,84934.0,11925,1273592,2014年12月31日,17421,,1963144,1962370,0,0.0,1866191,2515468,,31753,,,5067.0,0.0,,719127.0,,2300.0,702124,1273592,,,2878116.0,369285,,4841260.0,35819,26309,92217,928724,774,1011925,2325792,50253,0
2015-05-07,1,2015,153333,1338844,149680,49394,385447,0.0,374334,21107,291012,212930,59597,2183,56892,4345,177585,824257,824257.0,0.0,0.0,0.0,515643,19994,539,808868,18477,6276,,84934.0,84934.0,11398,1273592,2015年03月31日,49394,908.0,1984061,1983283,0,0.0,1683683,2393926,52547.0,30820,5019.0,5019.0,,,0.0,,609181.0,,559335,1273592,4652526.0,2668465.0,,369285,4652526.0,,39437,25494,79892,902396,778,984782,2258600,59121,0
2015-08-05,2,2015,153333,1325564,154680,69159,356518,0.0,413785,44488,270093,216818,63485,40117,56893,4346,173120,844747,844747.0,0.0,0.0,0.0,529242,19992,1798,738621,34179,5384,,86097.0,86097.0,11838,1273592,2015年06月30日,69159,2906.0,1983126,1982129,0,,1518824,2414406,52547.0,30355,0.0,0.0,,,0.0,,614622.0,,334283,1273592,4615408.0,2632282.0,,369285,4615408.0,,32147,13407,62830,1043158,997,1113458,2201002,60101,0
