date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應付費用,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,原始認列時指定為透過損益按公允價值衡量之金融負債－非流動,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付建造合約款－關係人,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應付股利,應付設備款,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－非流動,長期借款合計,長期應付款,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,,145888,145888,3800375,53968,1167644,567144,0.0,,286576.0,60146,166881,165972,14488,68757,0.0,32281,11681,156613,4242,7961,1467749,0.0,,525571,1287023,,,627.0,5596,1843,,280568,1469233,165.0,8302,0.0,936167,2013年03月31日,,2900750,2882119,0,3142517,3315403,6259,,240911.0,23883.0,1096943,936167,,,4440256.0,611427,,7341006.0,925,4242,140,,18748,8388,7661,709236,18757,20600,18631,1297739,4025603,148652,0
2013-08-09,2,2013,,171756,171756,4840515,51392,927507,1340466,0.0,,251909.0,159605,9164,191079,15504,47852,0.0,171989,12027,59667,5275,7717,1315598,,,462814,1186259,,,126.0,3819,1366,278848.0,809709,1671765,3.0,7382,0.0,953892,2013年06月30日,,2567236,2549964,0,4407550,3480555,5187,,278350.0,11532.0,1676402,953892,,,5878068.0,659401,,8445304.0,1686,5275,0,,17844,7988,6138,806458,158596,159962,17272,1470518,4964749,51950,0
2013-11-08,3,2013,,196995,196995,5163134,50049,1056681,986977,0.0,,276290.0,147701,-74750,273982,16745,32843,0.0,397966,12615,21658,9596,7240,1054222,,,465055,872725,,,2222.0,60242,236015,,710687,1663737,0.0,7324,0.0,953892,2013年09月30日,,2612837,2595224,0,4148570,3142936,8311,,234566.0,7721.0,2004268,953892,,,5781080.0,659401,,8393917.0,675,9596,2543,,17320,7829,5847,736726,149336,385351,17613,1632510,5250981,14418,0
2014-03-25,4,2013,,214392,214392,5122041,48283,1114020,775549,0.0,217263.0,,153804,-186395,291303,18634,29563,0.0,334278,11105,9156,4231,6939,800613,,,409907,850677,6179.0,,964.0,58277,212923,,558286,1601111,40.0,0,0.0,970514,2013年12月31日,,2616345,2599042,0,3560253,2757009,7267,,167746.0,15355.0,1620226,970514,,,5334962.0,700903,,7951307.0,0,4231,4132,,22036,7551,3588,1000669,110250,323173,17303,1774709,5194298,2217,0
2014-05-12,1,2014,,245933,245933,5403767,49737,1220202,760349,,,270938.0,177298,-90902,328279,21913,31999,,297286,12657,12605,1537,7219,991385,0.0,0.0,410470,1342143,3925.0,,0.0,60433,203924,,489411,1652784,0.0,0,0.0,970918,2014年03月31日,,2820581,2802124,0,4109036,3088602,19773,235136.0,,26120.0,1645866,970918,,,5761682.0,701906,,8582263.0,2354,1537,0,,22700,7779,2846,917807,80705,284629,18457,1652646,5493661,5386,0
2014-08-11,2,2014,,241174,241174,5542323,48775,1132926,1059531,0.0,,284332.0,191355,-153691,313509,12546,37978,0.0,266785,13607,20328,1389,5794,1004402,,0.0,383694,1383409,,,0.0,59789,184932,179545.0,595654,1782522,0.0,0,0.0,979162,2014年06月30日,,2698630,2680898,0,4705566,3294290,19566,278033.0,,20976.0,1926548,979162,,,6234397.0,722501,,8933027.0,1593,1389,0,,22188,7745,2120,852655,68246,253178,17732,1528831,5638737,14534,0
2014-11-11,3,2014,,264696,264696,5641972,49732,1296606,831816,0.0,,334146.0,210637,-87947,341341,15283,48040,0.0,264724,15092,19650,2779,5810,1011932,,0.0,610610,1492862,797.0,,0.0,61362,173157,0.0,497670,2173198,0.0,0,0.0,1209364,2014年09月30日,,3881562,3861586,0,4251435,4070567,30352,626760.0,,11325.0,1572392,1209364,,,5938489.0,1443563,,9820051.0,902,2779,0,,22741,7778,1740,784460,76475,249632,19976,1687054,5749484,13840,0
2015-03-16,4,2014,,295460,295460,5765439,0,1360726,729303,0.0,,281146.0,214125,24104,374103,15324,38581,0.0,232882,20752,27146,2604,8010,967034,,0.0,560344,1461745,0.0,,0.0,63319,161521,0.0,448157,2010923,0.0,9063,0.0,1225157,2014年12月31日,,4112170,4091372,0,4129807,3996139,28745,754492.0,,23749.0,1540907,1225157,,,5712469.0,1481385,,9824639.0,0,2604,1921,,11814,7170,1007,774011,50609,212130,20798,1582662,5828500,19136,0
2015-05-12,1,2015,,319752,319752,6045613,0,1425280,886672,,,331850.0,239084,26743,400968,17446,48313,,260085,22718,50488,682,5984,1374182,,,563499,1710670,0.0,0.0,,63770,145401,,554822,1798687,,0,,1225157,2015年03月31日,36583.0,4179713,4158565,0,4205207,3930200,29541,,469934.0,,1164801,1225157,10063020.0,5883307.0,,1481385,10063020.0,,5513,682,0,,11570,7178,656,841608,91966,237367,21148,1678100,6132820,44504,0
2015-08-11,2,2015,,721451,721451,6235198,0,1196604,1358321,,,338722.0,263509,-191321,794534,11603,62779,,263940,23528,20003,493,5723,1384575,,,563564,1768861,0.0,0.0,,61480,122991,306289.0,713310,2282751,,0,,1225950,2015年06月30日,27178.0,3735504,3714936,0,5196525,4286991,26399,,282005.0,,1246073,1225950,10575433.0,6839929.0,,1483703,10575433.0,,1558,493,11372,,11057,6842,156,804194,117421,240412,20568,1643404,6288442,14280,0
