date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,商譽,存入保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,193264,3352066,9515,1196640,901.0,415325,85635,-21800,196493,3229,34405,,11015,61004,29142,,10601,426329,,,,105917,4987,4,624658,146844,30512,414.0,1566578,2013年03月31日,771998,,,4125490,3937806,0,225872,898521,2388212,7880,198770,,889913.0,36407.0,,139388,1566578,,,1770108.0,1196388,,5895598.0,,,76497,76921,784075,31862,187684,871587,3507386,149015,,0
2013-08-13,2,2013,158219,3409088,9711,1148430,850.0,584196,112426,39893,170248,12029,3369,,15165,120269,87943,,15165,395054,,12328.0,,83882,22474,122,700794,155530,18879,0.0,1566578,2013年06月30日,696393,,,4156815,3965281,0,253267,1084551,2548927,6932,198770,,1018276.0,33629.0,,190000,1578906,,,2016061.0,1198052,,6172876.0,,,82632,77949,833713,32326,191534,931510,3623949,143749,,0
2013-11-11,3,2013,163393,3317469,9619,1228150,691.0,387000,163552,10941,172625,9232,263,,10513,128708,96875,,10513,387075,,,,107625,21538,4,647237,131896,21743,0.0,1578906,2013年09月30日,776113,,,4206624,4017244,0,253267,866918,2625165,6902,198770,,1126155.0,24631.0,,153495,1578906,,,1960504.0,1199247,,6167128.0,,,86207,79265,996866,31833,189380,1093586,3541963,146553,,0
2014-03-11,4,2013,158660,3266291,9777,1293661,764.0,425681,114383,62829,166507,7847,423,,10599,105345,73182,,10599,418404,,,,119511,8569,16,716559,109915,27543,0.0,1578906,2013年12月31日,841624,,,4316900,4136137,0,253267,865594,2731325,6508,198770,,1209853.0,40992.0,,104318,1578906,,,1891117.0,1200741,,6208017.0,,,91641,88771,923283,32163,180763,1025523,3476692,133481,,0
2014-05-13,1,2014,192929,3159275,9906,1360184,755.0,383211,93434,103525,201206,8277,590,,10833,130508,98117,,10833,407751,,,0.0,105107,9233,3765,746551,118202,27368,0.0,1578906,2014年03月31日,908147,,,4423800,4244981,0,253267,897886,2880264,8531,198770,1346607.0,,53484.0,,141880,1579381,,,1863448.0,1201891,,6287248.0,,,96939,98764,857790,32391,178819,965562,3406984,139006,475.0,47500
2014-08-08,2,2014,169713,3193380,9708,1312706,753.0,764374,86600,38168,178159,8446,970,,10618,256720,225166,,10618,403068,,0.0,0.0,143146,10907,3838,857480,150595,25021,,1579381,2014年06月30日,832638,,,4317575,4137006,0,281298,1307965,2980245,7543,198770,1312026.0,,37557.0,,169460,1581666,,,2230666.0,1204466,,6548241.0,524.0,,98909,100645,813174,31554,180569,922701,3567996,143732,2285.0,228500
2014-11-12,3,2014,168861,3485943,9889,1421184,745.0,717172,62069,100206,176464,7603,594,,10815,67304,35356,,10815,421877,,,0.0,166534,9879,4369,1025193,174999,23490,,1581666,2014年09月30日,941116,,,4499719,4320776,0,281298,1316878,3038548,6589,198770,1166761.0,,43128.0,,188297,1588006,,,2210695.0,1211380,,6710414.0,11035.0,,106817,102141,776185,31948,178943,893817,3671866,162820,6340.0,634000
2015-03-10,4,2014,182699,3535826,10345,1528714,735.0,762603,157911,259217,189490,6791,531,,11254,69098,35879,,11254,476559,,,0.0,214269,7484,13,958615,194471,41141,,1588006,2014年12月31日,1048646,,,4783116,4592539,0,281298,1430882,3424828,5687,198770,1429603.0,,68070.0,1168.0,170338,1590466,,,2367367.0,1214142,,7150483.0,18615.0,,118733,104699,806498,33219,190577,936485,3725655,164094,2460.0,246000
2015-05-08,1,2015,193119,3359561,10192,1603008,0.0,642558,71637,204698,200053,6934,1015,,11129,70940,38412,,11129,501191,,,,171625,5729,3,1003364,141253,35288,,1590466,2015年03月31日,1122940,83811.0,1251.0,4804674,4614839,0,281298,1291175,3412386,8879,198770,,1505062.0,,,160412,1591559,6971133.0,2166459.0,,1215574,6971133.0,,26984.0,,121109,109175,743046,32528,189835,875284,3558747,152325,1093.0,109250
2015-08-07,2,2015,198236,3200554,5822,1484948,0.0,807933,183951,172158,208495,10259,703,,10973,75802,43776,,10973,516761,,,,166802,2801,4,950040,155216,36433,,1591558,2015年06月30日,968835,43063.0,2279.0,4668568,4465500,0,317343,1400532,3579691,8847,198770,,1601425.0,,,169851,1592041,6975145.0,2306577.0,,1216353,6975145.0,,1583.0,796.0,123004,104429,772068,32026,203068,906045,3395454,132087,483.0,48250
