date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無活絡市場之債券債務工具投資-流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－處分資產增益,資本公積－認列對子公司所有權權益變動數,資本公積－轉換公司債轉換溢價,資本公積－限制員工權利股票,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,3373843,62999,2345292,,1511763,194898,5260,354778,418966,1820,326668,2805062,2805062,0.0,,4568979,,,5001314,423760,,,417146.0,64732,99041,5151343,2013年03月31日,1920818,8750877,8353155,0,424474,7207831,11711340,,,,,,950525.0,,,2788328.0,554341,5151343,,,8025721.0,851260,,,48410,,616,0.0,631276,800863,1371,,169587,,,16776598.0,211313,238371,25300.0,398924,162150,6657,13696,397722,817890,5065258,245911,0
2013-08-08,2,2013,3421373,62999,1919920,,2419550,254785,34356,278821,417240,1377,335952,2773429,2773429,0.0,,5125159,,,5467375,470980,,,415863.0,25872,98765,5152823,2013年06月30日,1391531,8369274,8005314,0,528389,8450035,12570851,,,,,,959406.0,,,3010800.0,413248,5152823,,,9258855.0,898215,,39829.0,52718,,616,,634094,803681,1371,,169587,,,17628129.0,204728,231975,12800.0,391580,140111,8529,21018,363960,808820,5057278,340489,0
2013-11-08,3,2013,3496183,62999,2187236,0.0,1497313,81511,10255,309188,415554,1562,305596,2645068,2645068,0.0,,5006486,157.0,0.0,5461164,442698,1808.0,2211.0,413992.0,25296,93017,5178413,2013年09月30日,1658847,8664997,8309349,0,528389,7318297,11667992,,,,,,968484.0,,,2599364.0,287480,5178413,,,8132710.0,933445,,39829.0,42681,,616,,679361,848948,1371,,169587,,,16797707.0,205597,209864,0.0,398859,178140,12076,23155,355648,814413,5129715,201149,0
2014-03-13,4,2013,3576018,62999,2503077,,1604513,70742,42596,295417,418597,1997,295294,2682388,2682388,,,4937918,120.0,0.0,5153834,443628,1799.0,4531.0,416600.0,25012,99379,5189943,2013年12月31日,1974688,9052949,8681091,0,528389,7627194,13306442,,,,977674.0,977674.0,0.0,,,3409490.0,434208,5189943,,,8466018.0,945475,,39829.0,40856,,616,,693216,862803,1371,,169587,,,17518967.0,346030,342075,0.0,420227,153823,8988,17222,371858,838824,4212525,203059,0
2014-05-07,1,2014,3575542,62999,2707510,,1483323,68180,47230,270429,417020,2089,297872,2852732,2852732,,,4588833,77.0,,4452970,474330,1713.0,1156.0,414931.0,25367,134988,5204823,2014年03月31日,2179121,9277952,8914199,0,528389,6846303,12708607,,,,987067.0,987067.0,0.0,,3330346.0,,185881,5204823,,,7682100.0,954636,,,34982,39829.0,616,,708251,877838,1371,,169587,,,16960052.0,317017,305007,0.0,418777,154677,743,3671,363753,835797,4251445,231435,0
2014-08-08,2,2014,3554451,62999,2093906,,2495057,59919,5526,278923,414955,1557,337223,2970845,2970845,,0.0,5443825,105.0,,5315313,843005,15664.0,0.0,413398.0,25490,117847,5207143,2014年06月30日,1440700,8626111,8265145,0,653206,8670783,13066796,,,,200000.0,200000.0,800000.0,,3115784.0,,192407,5207143,,,9499733.0,958570,,,35815,39829.0,616,,711352,880939,1371,,169587,,,18125844.0,260087,256010,0.0,413995,161038,379,496,360966,828950,5059048,289760,0
2014-11-11,3,2014,3663562,62999,2408082,,1504056,85954,64219,300595,413404,1779,345637,3244083,3244083,,0.0,5677243,225.0,,5151418,845498,3076.0,0.0,411625.0,25202,136807,5219393,2014年09月30日,1754876,8946156,8668024,0,653206,8103941,12702019,,,,200000.0,200000.0,800000.0,,2746913.0,,446635,5219393,,,8954261.0,976330,,,31390,3227.0,616,,730310,899897,1371,39829.0,169587,,,17900417.0,166054,166054,,436916,164191,9133,9811,278132,850320,5198398,249212,0
2015-02-26,4,2014,3725731,62999,2654583,,1533614,52966,142708,298090,426417,2452,359978,2992360,2992360,,0.0,4994280,147.0,,4726566,1086176,7752.0,0.0,423965.0,26368,141173,5236493,2014年12月31日,2001377,9310397,9018237,0,653206,7263993,12207587,,,,200000.0,200000.0,800000.0,,2665388.0,,277600,5236493,,,8148846.0,984453,,,26827,3227.0,616,,742996,912583,1371,39829.0,169587,,,17459243.0,154229,154229,,458436,135407,6033,6409,292160,884853,5251656,315741,0
2015-05-05,1,2015,3705393,62999,2774343,,1323027,71693,115545,318410,424173,2436,372057,2829571,2829571,,,4314737,346.0,,4088135,906487,7222.0,0.0,,26093,135919,5258733,2015年03月31日,2121137,9428918,9143885,0,653206,6854617,11885879,421737.0,200000.0,200000.0,,,,800000.0,,3340514.0,740896,5258733,17133966.0,7705048.0,,995264,,,18558,3227.0,616,,762076,931663,1371,39829.0,169587,,17133966.0,,145501,145501,,426258,145626,11700,16491,285033,850431,5248087,280265,0
2015-08-06,2,2015,3648078,62999,2038187,,2090565,97249,-60447,251103,421813,2212,343396,2624460,2624460,,,3959660,135.0,,3991414,754718,5597.0,,,25498,132927,5311273,2015年06月30日,1274916,8663457,8385911,0,763271,6932796,11497447,419601.0,200000.0,200000.0,,,,600000.0,,3362060.0,429755,5311273,16442452.0,7778995.0,,1096898,,,17981,3227.0,616,,764287,933874,1371,39829.0,169587,100000.0,16442452.0,,187328,187328,,424386,132107,14250,18304,277546,846199,4945005,256317,0
