date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動,備供出售金融資產－流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵存貨跌價,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他應收款－關係人－其他,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他短期借款,其他設備成本,其他設備淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預付款,原料,國外營運機構財務報表換算之兌換差額合計,在製品,存貨合計,存貨－製造業淨額,庫存現金,待註銷股本股數,應付帳款,應付帳款合計,應收帳款,應收帳款淨額,房屋及建築成本,房屋及建築淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－辦公設備,累計折舊－運輸設備,股本合計,製成品,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,運輸設備成本,運輸設備淨額,遞延所得稅資產,銀行存款,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2015-03-20,4,2014,510467,923280,0,0,4051,183,0,163946,0,163946,1044,0,0,104585,4671,420725,420725,106932,5258,2827,0,40136,40136,40136,174,97964,,84476,258653,258653,270,0,438950,438950,724656,720605,382521,364046,900000,2014年12月31日,,0,,266170,134606,2464831,2464831,0,965829,2875603,1474402,,237750,106932,2431,18475,131564,1697,4746,900000,76396,,13580,,965829,536966,536966,536966,,3430660,4464,2767,0,10967,6221,4454,1474132,0,555057,174,0,0
2015-07-30,2,2015,491727,1260522,0,0,72,295,0,308665,0,308665,1719,1492,1492,45384,5481,410189,410189,104433,5135,2296,0,41073,41073,41073,119,123660,,98068,301303,301303,300,0,511307,511307,805244,805172,373582,352056,900000,2015年06月30日,,0,307125,259950,121460,2742872,2742872,0,1251232,3457657,,1937663,,104433,2839,21526,138490,1998,5787,900000,79870,3994104,14221,1251232,,536966,536966,536966,3994104,,4475,2477,0,19225,13438,3647,1937363,0,536447,119,0,0
2015-11-10,3,2015,506477,1509684,,,74,308,0,366800,2329,366800,2189,,,164183,4280,1149859,1149859,108696,5346,2158,,42783,42783,42783,130,128254,,97336,312092,312092,415,0,544610,544610,833891,833817,388831,364614,900000,2015年09月30日,,0,352174,273367,124008,3110833,3110833,0,1395133,3952550,,1654463,,108696,3188,24217,149359,2266,6888,900000,86810,4505966,16244,1395133,,536966,536966,536966,4505966,,4842,2576,0,20009,13121,4156,1654048,,553416,130,0,0
2016-03-01,4,2015,483323,1740810,,,,,,182073,,,2363,,,51678,4539,1606633,,,,,,38463,,,,,51678,,231324,,,0,,459892,,799463,,,900000,2015年12月31日,1740810,,348845,,,3229454,3229454,0,1115752,3819422,,1179482,,104895,,,,,,900000,,4345206,15508,1115752,,536966,,536966,4345206,,,,,,,3998,,,525784,157,,0
2016-05-10,1,2016,473113,1999008,,,,,,147895,2237,,16634,746,,32823,7108,1600030,,,,,,38616,,,,,32823,,325726,,,0,,555618,,799775,,,900000,2016年03月31日,1999008,,362815,,,3468797,3468797,0,1194941,4148220,,1405153,,104412,,,,,,900000,,4663738,14856,1194941,,536966,,536966,4663738,,,,,,,3789,,,515518,156,,0
2016-08-10,2,2016,453435,2053161,,,,,,188887,,,24166,1453,,-57834,4200,1557674,,,,,,38379,,,,,-57834,,323273,,,0,,562789,,812966,,,900000,2016年06月30日,2053161,,373861,,,3432293,3432293,0,1246677,4183278,,1463604,,101745,,,,,,900000,,4678970,15195,1246677,,536966,,536966,4678970,,,,,,,3878,,,495692,142,,0
2016-11-10,3,2016,433726,2301186,,,,,,244021,2112,,16297,,,-187764,6845,1648135,,,,,,39669,,,,,-187764,,315189,,,0,,553506,,869846,,,1000000,2016年09月30日,2301186,,400801,,,4661622,4661622,0,1322017,5506487,,2656885,,98553,,,,,,1000000,,5983639,16179,1322017,,1548200,,1548200,5983639,,,,,,,3757,,,477152,135,,0
