date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,存貨－製造業淨額,庫存現金,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收退稅款,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,676988,,,751244,19179.0,37567,,284113,,,82585,0.0,-8392,32079,,50572,,2239,17536,1645.0,9823,7584,-27571.0,1229,1260380,,,1450.0,,,658647,,,751360,,,,14662.0,,1317265,2013年03月31日,654308.0,,2276303,2276303,100,75929.0,1283540,2818520,,6151,21007.0,,540231.0,120162.0,188190,1317265,,,,1301256.0,217636,30890.0,2346.0,184400.0,184400.0,,3577559.0,349,133119.0,180,,28510,0.0,17716,759039,,273.0,,0
2013-08-08,2,2013,692502,,,641582,,37567,,543364,,329875.0,86254,0.0,-9072,40128,,33933,,2253,15218,1645.0,60471,8218,,581,1572957,,,1450.0,28559.0,,883723,,213489.0,973868,,,,12992.0,,1318215,2013年06月30日,503458.0,,2197551,2197551,100000,116044.0,1703781,3090880,,6800,22080.0,,420646.0,111402.0,123113,1346774,,,,1719179.0,219717,30950.0,2346.0,186421.0,186421.0,,3916730.0,2051,0.0,180,,28510,,15398,825850,50000.0,3222.0,,0
2013-11-12,3,2013,704128,,50000.0,710803,,37567,,282394,,282394.0,101495,0.0,-8386,45806,,33321,,2220,12358,0.0,9558,7338,,1033,1364122,,,1450.0,,,739600,,,961208,,,,11325.0,,1343637,2013年09月30日,572679.0,,2270648,2270648,100000,116044.0,1480335,2925141,,8617,22080.0,,463991.0,84501.0,328034,1344929,,,,1492873.0,224752,32567.0,2346.0,189839.0,189839.0,,3763521.0,0,1004.0,180,,28510,,12538,838380,,,1292.0,103000
2014-03-13,4,2013,715264,,50000.0,820146,19179.0,37567,,286527,,,57003,0.0,-9290,26489,,22997,,6796,12368,0.0,8064,1268,-28469.0,1033,1233046,,,1450.0,,,779102,,,794010,,,,11335.0,,1344667,2013年12月31日,682022.0,,2380682,2380682,100000,116044.0,1335058,2879203,,13741,22080.0,,772147.0,104303.0,119672,1344667,,17486.0,,1347886.0,226609,32302.0,2346.0,191961.0,191961.0,,3728568.0,1479,0.0,460,,24729,,12828,849365,,,,0
2014-05-02,1,2014,725717,,50000.0,942190,19179.0,37567,,237478,,,87386,,-9560,29381,,27977,,6638,11867,0.0,7914,1276,-28739.0,1033,1176916,,,0.0,,0.0,526302,58.0,,867350,,0.0,,10834.0,,1353307,2014年03月31日,804066.0,,2516426,2516426,0,116044.0,1186660,2856688,,12798,22080.0,697059.0,,133955.0,240968,1353558,,17340.0,,1198987.0,230238,16698.0,3781.0,209759.0,209759.0,,3715413.0,1178,0.0,460,,24729,,12327,858725,,,251.0,20000
2014-08-12,2,2014,724530,50000.0,50000.0,792485,,37567,,603495,,332608.0,73163,7226.0,-9329,17483,,25846,,5942,11458,0.0,6897,955,,1033,1545514,1545514.0,,0.0,0.0,0.0,953824,,270887.0,1059793,1541.0,,73163.0,10425.0,24546.0,1354847,2014年06月30日,,,2368632,2368632,0,,2020981,3519924,,13338,,806397.0,,60680.0,369389,1354847,,16110.0,,2032899.0,230629,,,,,,4401531.0,0,444.0,460,460.0,24729,,11918,881607,0.0,,,0
2014-11-09,3,2014,721571,,50000.0,918761,,37567,,289490,,,97682,7247.0,-42041,19936,,26689,,5956,11241,,6754,798,,1033,1381992,,,0.0,,0.0,872473,,,1179860,44.0,,97682.0,10208.0,18699.0,1364937,2014年09月30日,,,2495855,2495855,0,,1452268,3087867,,12637,,394353.0,,49482.0,201017,1364937,,16710.0,,1463969.0,254198,,,,,,3959824.0,3160,0.0,460,,24729,,11701,871957,,,0.0,0
2015-03-12,4,2014,718861,,50000.0,1037354,,36493,,306427,,,51681,96.0,-39227,20601,,20443,,6900,15072,,7540,640,,1033,1310159,,,0.0,,0.0,723707,,,984376,,,,14039.0,13104.0,1365437,2014年12月31日,,,2617863,2617863,0,,1472599,3245221,,11953,,878466.0,,61975.0,344328,1365437,,14215.0,,1487827.0,254299,,,,,,4105690.0,1346,,156,,22518,,15228,860469,,,,0
2015-04-30,1,2015,716179,,50000.0,1097674,,38805,0.0,266733,,,57321,58.0,-33094,21874,,16569,11450.0,5605,14783,,6090,485,,1033,1027159,,1499303.0,0.0,,0.0,673369,,,1004009,,,,,5385.0,1515437,2015年03月31日,,69409.0,3061773,3061773,0,,1378772,3605057,13750.0,11450,,,1499303.0,,331540,1515437,4455484.0,15847.0,1393711.0,,481756,,,,,4455484.0,,0,638.0,156,,22518,0.0,14939,850427,,,0.0,0
2015-08-11,2,2015,720610,,50000.0,826708,,12117,,617406,283900.0,,44010,16.0,-50775,21619,,15446,,5485,14174,,5817,332,,452,794819,,,0.0,,0.0,599919,,333506.0,880940,0.0,,44010.0,,8169.0,1515437,2015年06月30日,,27902.0,2779612,2779612,0,,1452107,3417005,13722.0,9813,,,1441572.0,,169730,1515437,4246049.0,13044.0,1466437.0,,488242,,,,,4246049.0,,2487,240202.0,156,,22518,,14330,829044,,,,0
2015-11-10,3,2015,717431,,14934.0,875175,,12117,,216122,,,40564,0.0,-41708,17390,,49013,,5658,14268,,5817,159,,452,739554,,,0.0,,,650487,,,919540,0.0,,40564.0,,6359.0,1515437,2015年09月30日,,0.0,2837146,2837146,0,,1196990,3261254,13816.0,8130,,,1272476.0,,295830,1515437,4048560.0,15325.0,1211414.0,,488242,,,,,4048560.0,,1836,240107.0,156,,22518,,14424,787306,,,,0
