date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他權益－其他,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應付租賃款－流動,應付租賃款－非流動,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,按攤銷後成本衡量之金融資產－流動淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累積盈虧,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,864990.0,417658.0,1282648.0,4807365,558837,854589,70000,75628,-16378,,,1311213,28565.0,30,26208,20660.0,45168,,,3376.0,1084117,1084117.0,73931,0.0,,,0.0,1788796,780,0.0,55833,813,,,3024103,77560,5548.0,6257.0,2935594,2013年03月31日,-272214,,4529164,4477766,6094000,531385,5719222,6664390,,3381,,,,299666,,2250706.0,23080.0,1613809,,2935594,0.0,,,7011910.0,1073644,,11541074.0,309.0,,75686,20770,1190794,,41792.0,51398,1292688,4876684,145989,0
2013-08-13,2,2013,862975.0,249264.0,1112239.0,4708574,530225,829169,70000,85612,28430,,,1140058,23141.0,667,37265,,45733,,20934.0,,1110125,1110125.0,28912,0.0,0.0,,0.0,1700450,16,0.0,22039,5212,4678.0,10322.0,2785445,118156,6009.0,,2875594,2013年06月30日,-300826,,4531786,4480199,1500000,531385,5556450,6815509,,2827,,5829.0,5829.0,299666,,2572101.0,7868.0,1780422,,2875594,0.0,,,7069321.0,1074862,,11601107.0,1216.0,,92995,28464,1382611,10322.0,,51587,1512871,4785598,137574,0
2013-11-07,3,2013,0.0,180560.0,180560.0,4630097,496217,879598,70028,77276,-835,,,224407,22367.0,696,60262,,44929,,34501.0,,1043302,1043302.0,28912,0.0,0.0,,0.0,1680405,0,0.0,6613,63,21480.0,24290.0,2933819,164498,1471.0,,2875594,2013年09月30日,-334834,,4467462,4416926,1500000,531385,4629817,5581837,,3924,,,6552.0,299666,,1166735.0,7868.0,1760835,-334834.0,2875594,0.0,,,5838153.0,1074862,,10305615.0,0.0,0.0,103365,44828,1044709,24290.0,,50536,1208336,4723778,188959,0
2014-03-26,4,2013,0.0,247030.0,247030.0,4726884,405499,903300,70040,80823,51869,,,288295,19785.0,696,86881,,54264,51869.0,67306.0,,966662,,0,0.0,,,0.0,1727049,278,0.0,14839,177,21480.0,,2950301,176457,655.0,,2860594,2013年12月31日,-425552,,4429412,4378912,0,531385,4697664,5759676,,7209,,,7313.0,299666,,1439651.0,1739.0,1691947,-425552.0,2860594,0.0,,,6177274.0,1060950,,10606686.0,0.0,,127985,58653,1264744,18920.0,,50500,1479610,4847010,137773,0
2014-05-07,1,2014,,,,4663065,440268,898789,70000,78191,27853,,,297139,,485,60609,,52950,,,,1053006,1053006.0,0,,,,,1603767,0,,5864,963,,,2657706,36285,,,2860594,2014年03月31日,-390783,,4439007,4389665,0,531385,4300122,5349277,,10340,,,8701.0,299666,1397430.0,,1739.0,1421861,,2860594,,,,5715246.0,1060950,,10154253.0,0.0,,150448,78621,1204067,,,49342,1415124,4804976,117473,0
2014-08-12,2,2014,0.0,250565.0,250565.0,4568767,540504,972369,60000,66944,-20575,,,304301,32256.0,454,52595,,47908,,43994.0,,1007428,1007428.0,0,,,0.0,,1576708,71,,6973,2022,21480.0,8180.0,2786384,56993,421.0,,2860594,2014年06月30日,-290547,,4489739,4441473,0,531385,4380770,5341422,,9126,,,10852.0,299666,1291912.0,,0.0,1458326,,2860594,,,,5557416.0,1060950,,10047155.0,0.0,,166101,79932,957950,8180.0,,48266,1176646,4705733,120455,0
2014-11-10,3,2014,,237470.0,237470.0,4868645,635794,1165101,50000,74879,63824,,,317743,61110.0,2114,47302,0.0,52069,,42576.0,,1134962,,0,,,0.0,,1857617,374,,5799,530,19163.0,4140.0,2951963,137214,586.0,,2860594,2014年09月30日,-195257,,4669817,4621162,0,531385,4935377,5797695,,9490,,,61038.0,299666,1238957.0,,0.0,1537635,,2860594,,,,6149338.0,1060950,,10819155.0,578.0,,214341,91256,952318,4140.0,,48655,1213961,5021460,196568,0
2015-03-03,4,2014,,266349.0,266349.0,5042156,654167,1229044,52665,132350,202833,,,307851,25940.0,774,42017,,49366,202833.0,37999.0,,1167379,,0,,,0.0,,1833808,199,,2108,154,15562.0,,3098865,273805,1310.0,,2860594,2014年12月31日,-176884,,4824587,4778544,0,531385,4968770,5799053,,8887,,,62642.0,299666,919256.0,,0.0,1542941,-176884.0,2860594,,,,6192994.0,1060950,,11017581.0,,,273158,118119,909049,2708.0,,46043,1224224,5218528,143982,0
2015-05-12,1,2015,,,,4921652,594690,969907,52533,102272,147672,,,283682,,1163,62582,,49496,,,,1236953,1236953.0,0,,,,,1763247,318,,2928,0,,,2773129,305320,,,2860594,2015年03月31日,-236361,0.0,4710020,4663906,0,531385,5092737,5719809,,13924,58585.0,,,299666,,1058288.0,,2020122,,2860594,,10804617.0,6094597.0,,1060950,10804617.0,,0.0,,243475,99736,695803,,,46114,1001860,5084808,184099,0
2015-08-10,2,2015,0.0,198523.0,198523.0,4801306,508994,982255,30005,74634,116232,,,239140,29303.0,1309,58265,,45725,,53529.0,,1189625,1189625.0,0,,,0.0,,1537286,226,,1667,2520,11314.0,3595.0,2705017,298099,,,2860594,2015年06月30日,-322057,0.0,4593607,4546770,0,531385,5183280,5615871,1141.0,13130,9414.0,,,299666,,1182833.0,,2390181,,2860594,,10585512.0,5991905.0,,1060950,10585512.0,,0.0,,238029,109480,512331,3595.0,,46837,808625,4969641,154940,0
