date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融負債－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－非流動合計,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款,應收帳款淨額,應收帳款－關係人淨額,應收租賃款,按攤銷後成本衡量之金融負債－非流動,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利資產-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－非流動,銀行長期借款,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2015-02-13,4,2014,457327,5233462,,22275,-184029,191537,191537,57580,,,467378,10051,1349,55030,154545,99515,755845,0,,790704,,80,277119,278505,,1386,,,3153150,2014年12月31日,-184029,,,3021543,2984136,0,1647853,1384173,,5474,281283,,338,157,197816,3153150,,,,,3900096,15015,,6921639,,2217,121710,,,2250026,37407,2252243,5537466,9454,,0
2015-05-05,1,2015,452548,5122505,,27582,-148221,126726,126726,116512,,,465379,12831,1426,,154770,100110,773555,0,,689608,,17544,275702,277144,,1442,,,3153150,2015年03月31日,-148221,338,166,3057974,3019944,0,1614521,1389984,54660,6496,,201480,,,314926,3153150,6829372,0,,3771398,,15015,6829372,,0,2529,128035,,,2154348,38030,2156877,5439388,19701,,0
2015-08-07,2,2015,2404361,5013678,,27582,-216098,142502,142502,40622,321,,2456019,51658,9445,,177593,123302,719856,0,,649553,,76772,463097,464583,,1486,,11123,3153150,2015年06月30日,-216098,128,179,2991774,2952388,0,3614500,1418239,54291,8792,,167808,,,289526,3153150,6793485,,,3801711,,15015,6793485,,,2904,136478,,,184307,39386,187211,5375246,15746,,0
2015-11-06,3,2015,2329796,4892185,,22950,-151467,162063,162063,94436,1576,1576,2351635,21839,25840,53921,199775,145854,556336,,,733699,,14193,521097,522531,3176,1434,,11432,3153150,2015年09月30日,-151467,0,343,3563664,3511564,0,3522234,1983118,,10755,,757988,,,260644,3518550,7267266,,,3703602,,142905,7267266,,0,4231,147051,,,177137,52100,181368,5284148,22468,365400,36540000
2016-02-19,4,2015,324629,4787337,,22575,-12139,191822,191822,65398,1262,,336683,12054,1806,,537948,537948,778376,,,878484,,13314,287848,289326,3155,1478,,10580,3518550,2015年12月31日,-12139,248,119,3729428,3650578,0,1919218,1948917,,11653,,798367,,,498667,3518550,7473531,,,3744103,,142905,7473531,,,3263,154521,,,1821622,78850,1824885,5524614,12370,,0
2016-05-06,1,2016,391993,5036168,0,22575,182299,260965,,70370,1215,,406345,14352,35246,,556076,556076,674963,,0,655401,,2481,639759,641516,,1757,0,9506,3518550,2016年03月31日,182299,248,140,3924375,3844969,0,1912329,1991224,,11213,,561718,,,586889,3518550,7745207,,0,3820832,,142905,7745207,,,2641,118445,0,1905862,1905862,79406,1908503,5753983,7271,,0
2016-08-01,2,2016,582306,5473478,,22575,220595,383337,383337,62475,1117,,620641,38335,1190,,424208,424208,649543,,,744299,29983,16063,667578,669386,,1808,,8497,4268550,2016年06月30日,220595,2,92,4886960,4792414,0,2411186,3202652,,11746,,1810625,,,616861,4268550,9254909,,,4367949,,302152,9254909,,,3026,111753,,,1953737,94546,1956763,6052257,9341,,0
2016-11-09,3,2016,469298,5353319,,22575,16994,265268,265268,102937,687,,500788,31490,13394,,716006,716006,586774,,,583040,29988,2487,574291,576042,,1751,,8075,4268550,2016年09月30日,16994,0,236,4683916,4588383,0,2066876,2385988,,10392,,1091658,,,685305,4268550,8650015,,,3966099,,302152,8650015,,,3350,153660,,,1895873,95533,1899223,6264027,14947,0,0
