date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他長期投資,其他長期投資（淨額）,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,在建工程（營造業適用）合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,工程進度請款金額,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收建造合約款－關係人,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,持有至到期日金融資產－流動,持有至到期日金融資產－流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期應收票據及款項淨額,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,4916302,439679,3679850,202344,251375,288635,,61749,,209545,33712,10559,59579,7414,52165,,,1005069,189691,,7201,2266208.0,36236,,5806215,3540007,69973.0,,,,,1147691,,60833,694965.0,364187,,2565150,,1164061,,967392,,968833.0,416544.0,416544.0,449933,6476554,2013年03月31日,1042718,,,11211465,10525797,0,1312845,5609309,12015533,,,1324287,,676207.0,81417.0,2836520,6476554,,31376,,7423578.0,159848,,18635043.0,51239,809200,372530,,,685668,1814269,6619510,247397,,23153,0
2013-08-09,2,2013,5023468,436657,3435234,198819,247849,660706,,96074,,252282,54543,11004,15074,11653,3421,,,1003082,202587,,53463,1833414.0,32459,,5093489,3260075,138964.0,0.0,,0.0,,853071,,67663,312922.0,314200,,2692137,,1495201,,981377,,970623.0,526425.0,526425.0,420981,6476554,2013年06月30日,759106,,,11019854,10323918,0,1351841,5637868,11761771,,,1324287,,589084.0,80750.0,3128382,6476554,,26667,,7449919.0,159848,,18469773.0,48828,808969,376460,,,695936,1812051,6708002,224082,,43539,0
2013-11-08,3,2013,5048731,436112,3551727,186098,235128,345352,,71573,,203525,49935,11081,72985,55243,17742,,,973792,288771,,17427,1752913.0,30118,,5171610,3418697,140325.0,0.0,,0.0,,1031427,,87702,199994.0,343661,,2671358,,1234305,,862438,,943674.0,585874.0,585874.0,426602,6476554,2013年09月30日,875599,,,11075684,10391654,0,1351841,5258147,11304206,,,1324287,,375173.0,57448.0,2968108,6476554,,34195,,7040908.0,159848,,18116592.0,49628,808969,377042,,,684030,1782761,6812386,209262,,38854,0
2014-03-19,4,2013,5268139,442411,3734169,191573,240603,411096,,133286,,261164,54686,10901,156370,20033,136337,,,970483,204578,,69591,1775058.0,28794,,5215029,3439971,216363.0,0.0,,0.0,,821011,,87204,62997.0,279798,,2611258,,1384800,,890868,,941689.0,159375.0,159375.0,464210,6476554,2013年12月31日,1058041,,,11326537,10631735,0,1351841,5308736,11422772,,,1324287,,664494.0,58377.0,3287933,6476554,,29271,,7088335.0,159848,,18414872.0,53381,809116,372159,,,694802,1779599,6992100,153911,,43785,0
2014-05-07,1,2014,5226437,443254,3827164,183726,232757,335400,,125907,,243816,57920,13597,425839,22757,403082,3042.0,3042.0,972945,219191,69112.0,60090,1615981.0,27811,22695.0,5560186,3944205,519654.0,,,,0.0,1062478,,113107,0.0,348869,,2706527,,1514154,,874406,,945134.0,93100.0,93100.0,473508,6476554,2014年03月31日,1151036,,,11395472,10707382,0,1351841,5919983,12121446,,,1324287,652142.0,,52571.0,3398969,6476554,,31015,,7702230.0,159848,,19097702.0,50062,809302,381109,,92742.0,688090,1782247,6976256,119123,31600.0,44323,0
2014-08-08,2,2014,5164668,442493,3168063,180920,229950,1194577,5674.0,118531,5537.0,188364,68537,10024,360561,24272,336289,2986.0,2986.0,975890,231961,66376.0,7444,1318018.0,27447,24290.0,5138912,3820894,656892.0,,,,0.0,899410,6093.0,117259,0.0,13805,248010.0,3048277,1232.0,2241360,,907888,5494.0,948443.0,125060.0,125060.0,441934,6476554,2014年06月30日,445136,,,10663720,9992829,0,1398640,7026441,12573999,,,1324287,458074.0,,44170.0,3739879,6476554,,32135,,8811300.0,159848,,19475020.0,51385,808969,390015,0.0,90042.0,670891,1784859,6901021,111688,48267.0,58513,0
2014-11-05,3,2014,5163223,438190,3320123,156957,205987,400893,5749.0,126243,7734.0,233933,65981,26537,363326,27981,335345,3061.0,3061.0,926780,222241,69609.0,76976,934073.0,26946,24119.0,4617446,3683373,558796.0,,,,0.0,801933,4505.0,79374,199978.0,4121,93396.0,2768615,1830.0,2019442,,1142887,3092.0,899834.0,,184875.0,459396,6476554,2014年09月30日,597196,,,10863032,10190458,0,1398640,6290822,12003035,,,1324287,567096.0,,31051.0,4012471,6476554,,32574,,8026953.0,159848,,18889985.0,54802,809351,397913,0.0,91267.0,672574,1736131,6886950,145647,34185.0,39444,0
2015-03-18,4,2014,5169554,439749,3401416,157046,206076,418171,5935.0,92202,4639.0,326788,69114,8952,557155,20693,536462,,,941629,249611,83229.0,169742,990507.0,21511,22607.0,4326792,3336285,671654.0,,,,0.0,579804,4273.0,107192,0.0,12804,110876.0,2631774,4099.0,1497100,56865.0,1098421,3356.0,920118.0,0.0,0.0,481882,6476554,2014年12月31日,678489,,,11037170,10364606,0,1398640,5449408,11315819,,5111.0,1324287,890269.0,,67631.0,3371894,6476554,,30060,,7200304.0,159848,,18237474.0,58419,809267,369672,0.0,94917.0,672564,1750896,6921655,94728,48858.0,60162,0
2015-05-06,1,2015,5082136,439306,3508124,182618,231648,311133,5877.0,93984,1492.0,324042,201462,12534,821467,10464,811003,,,942083,236679,75149.0,141424,951178.0,20817,15351.0,4080518,3129340,530495.0,,12268.0,,,713271,11766.0,85695,,12711,72628.0,2555393,3760.0,1079422,0.0,1033033,0.0,,0.0,0.0,498124,6476554,2015年03月31日,785197,66901.0,,11129023,10468568,0,1398640,4575372,10595943,921266.0,5079.0,1324287,,667029.0,,2531177,6476554,17455583.0,32256,6326560.0,,159848,17455583.0,,62805,809105,366668,0.0,92940.0,660455,1751188,6859640,184772,53239.0,188928,0
2015-08-05,2,2015,5133859,438748,3285365,170198,219229,661381,0.0,102800,2366.0,272445,224025,8280,808069,16054,792015,,,942624,188669,72439.0,102247,1245341.0,20937,14935.0,4166879,2921538,446531.0,,11381.0,,,738431,7965.0,78011,,10496,53375.0,2489993,3536.0,1135021,41581.0,877874,0.0,,0.0,0.0,475959,6476554,2015年06月30日,515762,30120.0,,10833600,10194212,0,1445316,4578215,10333267,921687.0,5036.0,1324287,,468588.0,,2294606,6476554,17163412.0,33274,6329812.0,,159848,17163412.0,,66203,808973,368645,0.0,90618.0,639388,1751597,6830145,158976,10677.0,215745,0
