date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,340998,680380,1927974,1040647,90821,10886,,736976,111537,111537,168340,168340,155240,34273.0,239145,0.0,120967,239145,384335,12185,,48598,,0.0,,,57920,20995,263544,5254599,606757,5720008,2013年03月31日,132217,,,8590987,8556675,2112865,975170,276827,1178376,679,820587,,135666.0,23061.0,506.0,0.0,5720008,,2810,,760286.0,183902,,9351273.0,113040,328219,9692,34312,483459,8172897,23144,,0
2013-08-02,2,2013,339573,469791,1887764,989623,152641,4224,,691152,159417,159417,168498,168498,144037,22849.0,36115,0.0,121188,36115,419563,12185,,33562,33598.0,0.0,,,82513,25699,286463,5247263,755936,5720008,2013年06月30日,86736,,,8504676,8470746,2112865,982016,382408,1499188,601,819012,,184405.0,447.0,517.0,0.0,5720008,,2743,,853946.0,184007,,9358622.0,310095,327501,20532,33930,471538,7859434,17211,,0
2013-11-08,3,2013,337482,469479,1996579,1038537,91653,1113,,745815,137277,137277,239593,239593,128118,11425.0,35915,0.0,116693,35915,396626,12185,,40582,37397.0,0.0,,,44483,16353,289211,5240064,756757,5720008,2013年09月30日,195551,,,8668372,8634224,2112865,982016,310060,1531042,523,819012,,262233.0,379.0,664.0,0.0,5720008,,2772,,765985.0,184007,,9434357.0,262276,327807,24558,34148,455925,7903315,18490,,0
2014-03-26,4,2013,337071,475339,1956322,1131535,120183,1342,,831642,145641,145641,229243,229243,118035,0.0,35848,0.0,118035,35848,383651,12185,,46040,24864.0,0.0,,,89103,25414,310702,5126465,761683,5720008,2013年12月31日,155294,,,8714799,8680494,2112865,982016,340075,1585835,445,819012,,241300.0,546.0,399.0,0.0,5720008,,2801,,783740.0,184707,,9498539.0,297195,325630,44318,34305,443665,7912704,7486,,0
2014-05-12,1,2014,336900,475339,2024289,1208285,96868,346,,915192,141058,141058,209095,209095,117988,0.0,34998,,117988,34998,474491,12185,0.0,102944,15656.0,,,,60973,21344,271790,5121921,757852,5720008,2014年03月31日,223261,,,8866521,8832011,2112865,982016,420617,1744220,394,819012,364129.0,,546.0,532.0,60670.0,5720008,,2875,,865779.0,184707,,9732300.0,306245,327174,52391,34510,445162,7988080,35275,,0
2014-08-12,2,2014,339535,511326,1946398,1289977,220987,5030,,996470,125019,125019,209152,209152,117480,0.0,34798,,117480,34798,437011,12185,0.0,49162,9059.0,,,,61505,16034,288822,5115959,578048,5720008,2014年06月30日,130767,,,8869812,8835607,2112865,996619,412630,1804814,342,819012,278779.0,,5454.0,3.0,,5720008,,2949,,858197.0,184916,,9728009.0,497422,328087,53210,34205,445567,7923195,11056,,0
2014-11-10,3,2014,340533,551326,2009648,1258141,110722,292,,964883,90600,90600,194793,194793,117196,0.0,34648,,117196,34648,404753,12185,0.0,69306,20471.0,,,,81796,19745,238920,5111614,577938,5720008,2014年09月30日,194017,,,8901673,8867270,2112865,996619,297820,1720836,291,819012,324282.0,,3698.0,115.0,,5720008,,3023,,745766.0,184916,,9647439.0,438765,330750,52112,34403,447946,7926603,17375,,0
2015-03-23,4,2014,337341,546889,1983703,1243482,114934,12373,,948426,105320,105320,211411,211411,116956,,33053,,116956,33053,428468,12185,0.0,49178,15367.0,,,,91368,17799,355813,5001968,581924,5720008,2014年12月31日,168072,,,8859325,8824868,2112865,996619,294502,1788502,239,819012,314885.0,,6607.0,4.0,,5720008,,3096,,743412.0,184916,,9602737.0,341893,331954,69339,34457,448910,7814235,14488,,0
2015-05-07,1,2015,338868,546889,2019536,1303187,83223,86496,,1008307,67885,67885,229562,229562,117304,,33053,,117304,33053,483444,12185,0.0,62041,22120.0,,898.0,898.0,64064,16454,271681,5000187,450534,5720008,2015年03月31日,203905,6607.0,130.0,8955192,8920582,2112865,996619,245828,1903486,188,819012,,415672.0,,,0.0,5720008,9650759.0,3054,695567.0,,184916,9650759.0,,318265,332435,74367,34610,449739,7747273,17718,,0
2015-08-11,2,2015,338844,542489,1929932,1252050,199065,26566,,956655,80939,80939,170680,170680,16984,,33053,,16984,33053,620851,12185,0.0,80101,41328.0,,,,57186,30549,265312,4998423,440365,5720008,2015年06月30日,100125,1175.0,90.0,8813796,8779536,2112865,1010795,405534,1889216,145,819012,,434526.0,,,,5720008,9568815.0,2926,755019.0,,185126,9568815.0,,279440,332501,74230,34260,349485,7679599,4016,,0
