date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,代收款,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融負債－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,暫收款,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應收票據及款項淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-26,1,2013,197348.0,54375.0,251723.0,565412,699.0,21640,-139790,38199,,,-34,,254667,,11721,,,4752,9895,,,6,1754.0,286467,0.0,,0.0,67074,,0.0,1023.0,299482,,25.0,4746.0,7134.0,785978,0.0,2013年03月31日,,,999521,999521,0,,592155,930967,,26824,,,333272.0,,230000,785978,,1192,,612584.0,353367,,,,,,,1612105.0,,114.0,50233,15563,0.0,0.0,20429,681138,,,8141.0,2245.0,0
2013-08-09,2,2013,198939.0,46300.0,245239.0,557576,1013.0,26635,-81368,41542,,,211,,246268,,7761,,,4714,11001,,211.0,6,864.0,289257,,,0.0,112680,,0.0,885.0,273624,,18.0,4708.0,5973.0,785978,0.0,2013年06月30日,-82579.0,,961244,961244,0,0.0,532682,930560,,23223,1211.0,,359900.0,,130000,785978,,1307,,658210.0,256423,,5540.0,237387.0,237387.0,13496.0,,1619454.0,,114.0,64486,120700,0.0,,125528,688894,0.0,,10137.0,16.0,0
2013-11-08,3,2013,0.0,60300.0,60300.0,559678,1028.0,26635,-111896,47405,,,87,,95060,,11966,,,4675,4040,,87.0,6,929.0,285368,,,0.0,138257,,0.0,517.0,271340,,6.0,4669.0,4812.0,785978,0.0,2013年09月30日,-113107.0,,930592,930592,0,0.0,382745,916364,,20146,1211.0,,347684.0,,100000,785978,,1506,,665594.0,256423,13496.0,5540.0,237387.0,237387.0,0.0,,1596186.0,,114.0,64511,278060,0.0,,282849,679822,,,3111.0,33732.0,0
2014-03-21,4,2013,0.0,34300.0,34300.0,573062,1510.0,26635,-120835,47745,,,214,,50161,2602.0,1525,0.0,,5161,6790,,214.0,6,1699.0,321853,,,0.0,160194,,0.0,1859.0,268555,,85.0,5155.0,0.0,785978,0.0,2013年12月31日,-122046.0,,921780,921780,0,0.0,331197,829716,,16905,1211.0,,227203.0,,69500,785978,,1738,,596978.0,256423,13496.0,5540.0,237387.0,237387.0,0.0,,1518758.0,,1279.0,65650,259341,0.0,,265781,689042,4995.0,10495.0,96.0,11749.0,0
2014-04-25,1,2014,0.0,28300.0,28300.0,561380,1069.0,31630,-117242,35808,,,228,,47818,0.0,5294,,,5151,2324,,228.0,6,2228.0,259261,,0.0,,128481,,,1609.0,376955,,70.0,5145.0,0.0,785978,,2014年03月31日,-118453.0,,925387,925387,0,0.0,369443,884581,,13604,1211.0,233446.0,,421.0,153500,785978,,2227,,633046.0,256423,13496.0,5540.0,237387.0,237387.0,0.0,,1558433.0,,1282.0,64914,257170,,,263603,673852,0.0,9134.0,96.0,18449.0,0
2014-08-08,2,2014,0.0,28300.0,28300.0,550081,1109.0,31630,13168,46369,,,30,,30595,0.0,3605,,,5151,7270,,30.0,6,2179.0,263010,,0.0,,121726,,,976.0,403090,,59.0,5145.0,0.0,785978,,2014年06月30日,13168.0,,934764,934764,0,,386784,911388,,10955,0.0,225628.0,,401.0,184500,785978,,2618,,639502.0,135588,13496.0,5540.0,116552.0,116552.0,0.0,,1574266.0,,1242.0,62942,246325,,,252718,662878,4995.0,15595.0,96.0,1186.0,0
2014-11-07,3,2014,,,28300.0,555041,,36625,9421,46983,,,319,319.0,32519,4219.0,23765,,6287.0,5151,6287,,,6,,370953,,0.0,193000.0,263483,,,591.0,413534,,6.0,5145.0,0.0,785978,,2014年09月30日,9421.0,,928340,928340,0,,463385,1151590,,8446,0.0,337091.0,,5901.0,117000,785978,,2809,,885829.0,132622,,,,,,,1814169.0,340.0,0.0,56180,224293,,,422444,662579,,,,,0
2015-03-20,4,2014,,,28300.0,543804,,36625,-37236,60469,,,689,689.0,32717,4417.0,35834,,,5832,6353,,,66,,312833,,0.0,194193.0,305495,,,568.0,535135,,855.0,5766.0,,785978,,2014年12月31日,-37236.0,,882053,882053,0,,480194,1132693,,6302,0.0,247407.0,,449.0,76500,785978,,4445,,902354.0,132622,,,,,,,1784407.0,180.0,0.0,58630,222135,,,422160,651714,,,,,0
2015-05-08,1,2015,,,38300.0,530480,,41620,-29208,37955,,,262,262.0,43161,4861.0,33425,,,5832,1844,1844.0,,66,,210561,,0.0,195253.0,184430,,,629.0,496027,,222.0,,,785978,,2015年03月31日,-29208.0,1414.0,889654,889654,0,,419853,1114741,5766.0,4433,0.0,,372972.0,,146500,785978,1750676.0,7178,861022.0,,132622,,,,,,1750676.0,,120.0,0.0,57558,240084,,,441169,635935,,,,,0
2015-08-07,2,2015,,,38300.0,519035,,41620,1727,40877,84.0,,-16,-16.0,48419,10119.0,37807,,2786.0,5791,2786,,,60,,308049,,0.0,196330.0,213473,137.0,,367.0,461601,19.0,91.0,,,785978,,2015年06月30日,1727.0,632.0,883075,883075,0,,398180,1096920,5731.0,2895,,,288701.0,,90000,785978,1721413.0,4823,838338.0,,95386,,,,,,1721413.0,,20.0,0.0,58157,238037,,,440158,624493,,,,,0
