date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－採用權益法之關聯企業及合資,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－其他行業淨額,存貨－買賣業淨額,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付租賃款－非流動,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,有形探勘及評估資產淨額,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期應收票據,長期應收票據及款項淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,,395504,7550098,95878,1494946,,,5045,3545,-226.0,8.0,831425,435921,196381,,249305,101746,429985,,-234.0,586407,,586407.0,0.0,,,,,173503,,0,31840,,107726,,9060,147559.0,36695,3302410,2013年03月31日,,109873,4917130,4917130,0,,2362013,2110460,,6849,1385073,,1028792.0,1320200,3302410,,,5320648.0,120000.0,,10237778.0,,1050457,7813,1658873,,,,0.0,2958635,8127318,178549,0.0,0
2013-08-13,2,2013,,465004,7516688,95878,1543372,,,97,9961,-229.0,8.0,881605,416601,209258,,223461,76083,416653,,-237.0,600256,,600256.0,,,,,,149036,,0,20754,,66868,,15146,147378.0,37571,3302410,2013年06月30日,,158299,4845553,4845553,0,,2291692,1864745,,7054,1385073,,791508.0,1240200,3302410,,,5100857.0,0.0,,9946410.0,,1050457,7821,1535247,,,,,2809165,8081665,171748,0.0,0
2013-11-13,3,2013,,882004,7521625,96806,1484193,,,145,7757,-221.0,8.0,1277039,395035,193261,,214446,66616,418827,,-229.0,595643,,595643.0,,,,,,129622,,130000,16141,,61157,,9040,147830.0,40500,3302410,2013年09月30日,,99120,4786382,4786382,0,,2943147,1923970,,6502,1385073,,881124.0,1390200,3302410,,,5229672.0,0.0,,10016054.0,,1050457,7824,1021622,,,,,2286525,8092084,175988,0.0,0
2014-03-27,4,2013,,444004,7223210,96806,1518353,,,485,7873,0.0,0.0,828195,384191,206720,,201322,52802,420881,,0.0,601104,,601104.0,,,,,,148745,680.0,99988,19242,,66497,0.0,7461,148520.0,42313,3302410,2013年12月31日,,133280,4820763,4820763,0,,2172335,1840295,,6166,1385073,,776878.0,1075000,3302410,,,4817109.0,0.0,,9637872.0,0.0,1050457,8201,1392995,,,,,2644774,7797577,173762,0.0,0
2014-05-09,1,2014,,1044004,7288415,96806,1483257,,,213,6048,0.0,0.0,1419033,375029,207775,,283496,50955,415600,,0.0,602297,,602297.0,,,,,0.0,128555,680.0,0,17130,,65139,,6622,147761.0,44361,3302410,2014年03月31日,,98184,4785667,4785667,0,,2740611,1697091,,5728,1385073,623842.0,,1175000,3302410,,,4770933.0,0.0,,9556600.0,,1050457,8599,696369,84780.0,,,,2030322,7859509,185368,0.0,0
2014-08-08,2,2014,,271004,7226778,99543,1415822,,,151,8436,0.0,,691088,420084,199070,,274420,44790,436785,,,605112,,605112.0,,,,0.0,0.0,129954,680.0,150000,22369,,99412,,5800,148364.0,43424,3302410,2014年06月30日,,30749,4718232,4718232,0,0.0,2249242,1817728,,5278,1385073,721070.0,,1255000,3302410,,,4919862.0,0.0,,9638094.0,,1050457,8558,1345743,81266.0,,,,2670620,7820366,178828,0.0,0
2014-11-11,3,2014,,693504,7261355,99543,1458053,,,172,5815,0.0,,1124967,431463,214150,,271037,44656,439134,,,605395,,605395.0,,,,0.0,0.0,166457,680.0,150000,29986,,62623,,11715,148692.0,45394,3302410,2014年09月30日,,72980,4760463,4760463,0,0.0,2807262,1854977,,4859,1385073,754086.0,,1335000,3302410,,,4953373.0,0.0,,9713836.0,,1050457,8574,824617,77689.0,,,,2146111,7858859,201193,0.0,0
2015-03-26,4,2014,,678592,6777356,99543,1560479,,,344,10536,0.0,,1156064,477472,237828,,283587,40686,455334,,,602145,,602145.0,,619305.0,,0.0,0.0,170469,680.0,150000,50476,,75300,,11014,168818.0,46623,3302410,2014年12月31日,,175406,4862889,4862889,0,0.0,2868033,2698069,,4773,1385073,933299.0,,1340000,3302410,,,5227490.0,0.0,,10090379.0,,1050457,8681,1025413,74083.0,,,,2359457,7392310,208642,0.0,0
2015-05-12,1,2015,602171.0,602171,6787174,99543,1796229,,,47,8827,,,1084973,482802,235176,235176.0,281738,55569,766534,455584.0,,611635,,611635.0,,0.0,,,0.0,176251,680.0,150000,26049,,386240,,116226,,49484,3302410,2015年03月31日,,411156,5098639,5098639,0,,2638000,2393427,155719.0,4187,1385073,,851589.0,1200000,3302410,10106442.0,5007803.0,,,10106442.0,,,1050457,6093,1037608,70450.0,,310950.0,,2369803,7713015,183734,,0
2015-08-11,2,2015,600676.0,600676,6965749,99543,1728994,,,592,11408,,,1137612,536936,233668,233668.0,272882,53262,765505,456197.0,,612401,612401.0,,,0.0,,,0.0,256356,680.0,150000,103048,,62776,,113683,,52000,3302410,2015年06月30日,0.0,337519,5031404,5031404,0,6402.0,2848288,2373593,152831.0,11821,1385073,,1149569.0,1200000,3302410,10274409.0,5243005.0,,,10274409.0,,,1050457,6198,1071378,66789.0,,309308.0,,2394717,7900816,190088,,0
2015-11-11,3,2015,556288.0,556288,7354235,99543,1752445,,,2586,9111,,,1053575,497287,229156,229156.0,265417,51723,768364,460699.0,,614441,,614441.0,,0.0,,,0.0,344012,680.0,250000,210319,,47956,,118489,,35846,3302410,2015年09月30日,,360970,5054855,5054855,0,6402.0,3161172,2387744,150595.0,10918,1385073,,1193223.0,1300000,3302410,10662957.0,5608102.0,,,10662957.0,,,1050450,6307,1131063,63099.0,,307665.0,,2446930,8275213,175368,,0
2016-03-29,4,2015,127562.0,127562,7444735,99543,1627842,977.0,977.0,544,9903,977.0,,744641,617079,235482,235482.0,314816,102195,757741,451719.0,,693639,,693639.0,,0.0,,,0.0,314122,3309.0,250000,157584,,91333,,114101,,39304,3302410,2015年12月31日,,236367,4931229,4931229,0,6402.0,1940601,2546834,153240.0,25886,1385073,,1209450.0,470401,3302410,10920043.0,5988814.0,,,10920043.0,,,1050457,6000,2682940,59381.0,306022.0,306022.0,,4048213,8373209,192926,,0
2016-05-12,1,2016,167736.0,167736,7476634,99543,1558968,52.0,52.0,1015,17939,52.0,,681069,513333,252709,252709.0,292368,126312,632521,428141.0,,687334,,687334.0,,,,,0.0,171373,1593.0,300000,64073,55632.0,98353,,181033,,41512,3302410,2016年03月31日,,167493,4861430,4861430,0,6402.0,1619480,2477705,110424.0,25872,1385073,,1027918.0,400357,3302410,10759602.0,5898172.0,,,10759602.0,,,1050457,5815,2935867,55632.0,,204380.0,,4278692,8281897,212419,,0
2016-08-11,2,2016,208000.0,208000,7410448,99543,1325975,923.0,923.0,418,16999,923.0,,797937,589937,281330,281330.0,227327,72010,626258,422973.0,,652121,,652121.0,,,89165.0,,,154557,0.0,250000,19596,51856.0,83835,,150720,,43687,3302410,2016年06月30日,,-77077,4718473,4718473,0,17979.0,1672865,2321251,103461.0,24786,1385073,,933441.0,450357,3391575,10531870.0,5813397.0,,,10531870.0,,,1050457,5897,2862748,51856.0,,203285.0,,4140532,8210619,202805,,0
2016-11-10,3,2016,328371.0,328371,7353075,99543,1227737,923.0,923.0,4112,21399,923.0,,906744,578373,265847,265847.0,221529,70568,657110,454920.0,,659550,,659550.0,,,0.0,,0.0,138187,0.0,300000,14489,48050.0,116283,,110341,,35780,3391575,2016年09月30日,,-175315,4620235,4620235,0,17979.0,1813532,2236363,102911.0,27351,1385073,,902916.0,450000,3391575,10415222.0,5794987.0,,,10415222.0,,,1050457,6000,2709469,48050.0,,202190.0,,3981455,8178859,160027,,0
