date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,代付款,代收款,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產評價調整－流動,備供出售金融資產－流動,備供出售金融資產－流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵呆帳－應收票據,備抵存貨跌價,債券換股權利證書,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款淨額,其他應收款－其他,其他應收款－關係人淨額,其他應收款－關係人－其他,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他設備成本,其他設備淨額,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,其他預付費用,其他預收款,半成品,原料,商品存貨,國外營運機構財務報表換算之兌換差額合計,土地成本,土地淨額,土地－重估增（減）值,在製品,在途原物料,存出保證金,存貨合計,存貨－製造業淨額,存貨－買賣業淨額,庫藏股票,待註銷股本股數,應付公司債合計,應付利息,應付員工紅利,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付營業稅,應付短期票券,應付短期票券合計,應付票據,應付票據合計,應付股利,應付董監事酬勞,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收收益,應收票據,應收票據淨額,應收退稅款,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,房屋及建築－重估增（減）值,投資性不動產淨額,持有供交易之金融資產評價調整－流動,持有供交易之金融資產－流動,持有供交易金融負債－流動,普通股股本,暫付款,暫估應付費用,暫收款,會計項目,有形探勘及評估資產成本,有形探勘及評估資產淨額,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期損益,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,物料,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,用品盤存,當期所得稅負債,短期借款合計,累積盈虧,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－有形探勘及評估資產,累計折舊－機器設備,累計折舊－運輸設備,累計減損－以成本衡量之金融資產－非流動,股本合計,製成品,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－受贈資產合計,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,進項稅額,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,重估增值合計,銀行借款,銀行存款,長期借款合計,長期應收票據及款項淨額,長期預付租金,零用金／週轉金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付貨款,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-09,1,2013,86118,82942,169060,725751,0.0,766,99480,72955,26451,-24828,-8466,194545,186079,7806,,14158,0.0,77231,12360,59162,31635,20932,,,-24580,0.0,172634,,17174,121735,29014,14000,117804,,42313,,7247,,0,121714,98,248,342188,342188,0.0,26739,0.0,10007,391053,390955,98,0,,0.0,,2,170370,170370,91,91,0,190000,190000,244,244,,0.0,785963,778157,1292,1292,890,44024,44024,9813,117694.0,348986,189575,0.0,75828,0.0,1567.0,6222,1442332,3174,5707,2694,2013年03月31日,0.0,0.0,-43581,4575,,16948,705871,158944,1559536,1554415,0,70032,1542127,2506098,,0.0,3858,0.0,,1021066.0,369,917.0,924418,-60529,92721,159411,0.0,546927,18739,26525,1442332,252802,,0.0,,1953217.0,110212,245,656,26273,77582,77582,5456,,3512753.0,6222,0.0,1567.0,21510,20194,1455,80076,89808,0.0,924418,1020204,213210,1680.0,30626,862,5121,411090,1006655,34051,4925,114,0,114
2013-08-12,2,2013,86531,116939,203470,735157,0.0,885,99480,72955,37106,-27656,-11785,188428,176643,5704,,14896,,70552,4519,57503,34792,24697,,,-14191,,207492,,15089,118351,30537,14000,117764,70.0,41485,,6702,0.0,0,125754,99,13465,342188,342188,,22995,0.0,10007,321043,320944,99,0,,,,1,177984,177984,1244,1244,1,190000,190000,328,328,,0.0,805218,799514,308,308,2255,56747,56747,7840,117694.0,352406,188289,,75628,321.0,0.0,21643,1442332,1089,8528,2734,2013年06月30日,,,37106,10206,,7723,654409,162603,1560730,1555578,0,0,1582060,2584573,,,873,0.0,,1157778.0,391,1309.0,911508,29383,87814,164117,,491806,18347,26525,1442332,186218,,,,2038876.0,90331,-19636,655,26274,77582,77582,5456,,3599606.0,21643,,321.0,9133,19681,1334,80076,89808,,911508,1156923,258976,870.0,30608,855,5152,456816,1015033,22338,6112,403,0,403
2013-11-13,3,2013,86943,141522,228465,742714,0.0,1107,99480,72955,59145,-24739,-9446,227635,218189,5293,,13060,,73750,3031,60333,24665,13703,,,-20193,,245936,,18251,121752,34314,17870,117722,28.0,41630,,5179,0.0,0,121758,138,4546,342188,342188,,19219,0.0,11457,309992,309854,138,0,,,89.0,2,137163,137163,2403,2403,1607,150000,150000,371,371,,0.0,766646,761353,6861,6861,1112,41162,41162,9850,117694.0,351196,184845,,75222,0.0,1733.0,6252,1442332,381,8688,2774,2013年09月30日,,,59145,6665,,29762,667846,173498,1576862,1571615,0,0,1343164,2328986,,,672,0.0,,921597.0,435,845.0,726444,29383,87438,166351,,494348,15238,26525,1442332,181265,,,,1774453.0,90331,-19636,655,26274,77582,77582,5456,,3351315.0,6252,,1733.0,13374,16442,1204,80076,89808,,726444,920899,233491,116.0,30057,698,5247,431289,1022329,25183,6195,13590,0,13590
2014-03-20,4,2013,87356,68919,156275,748308,0.0,810,97057,61175,52363,-20593,-5758,169906,164148,6539,,13673,,75812,5137,55188,86667,67779,,,154,,159449,,18281,128594,38645,17870,109143,0.0,42360,,3180,,1112,120048,6279,20747,342188,342188,,19236,0.0,11980,309739,303460,6279,0,,,151.0,2,143330,143330,3600,3600,1511,140000,140000,637,637,,0.0,770575,764036,12762,12762,837,34494,34494,18051,109143.0,355254,184011,,75280,0.0,0.0,4117,1442332,411,13823,2329,2013年12月31日,,,52363,8369,,22979,680868,173299,1590173,1585180,0,0,1202343,2258822,,,905,0.0,,860596.0,429,1587.0,673811,29384,89949,171243,,507569,15386,35882,1442332,175832,,,,1674495.0,90331,245,655,26273,57701,57701,5457,,3264668.0,4117,,0.0,2926,17182,1796,77112,78723,,673811,859674,285897,0.0,30380,922,4993,472152,1005846,8099,1564,35,0,35
2014-05-08,1,2014,87769,83919,171688,743452,0.0,755,97057,61175,73004,-19538,-5672,164203,158531,6529,,12765,0.0,65873,3614,54457,12573,5171,,,-6739,0.0,178072,,20507,130477,38714,17870,109143,0.0,41542,,3052,,854,117267,5583,12799,342188,342188,0.0,17980,0.0,11488,322034,316451,5583,0,0.0,0.0,653.0,2,138134,138134,577,577,1107,140000,140000,281,281,,0.0,658720,652191,13918,13918,690,48304,48304,6712,109143.0,357058,182849,0.0,74547,0.0,0.0,4581,1442332,2637,6040,1147,2014年03月31日,0.0,0.0,73004,5323,,20641,685926,172736,1604021,1598928,0,0,1227885,2279577,,0.0,887,0.0,1043224.0,,415,1543.0,698824,52363,91763,174209,0.0,513190,14625,35882,1442332,192228,,0.0,,1674995.0,90331,245,655,26273,57701,57701,5457,,3279016.0,4581,0.0,0.0,3935,16267,1642,77112,78723,0.0,698824,1042252,260855,0.0,30054,972,5093,447110,999439,8295,893,4482,0,4482
2014-08-08,2,2014,88181,123209,211390,732590,0.0,836,96853,60971,71949,-14440,5739,192585,198324,6730,,13987,,65875,3729,49893,17670,7930,186.0,186.0,-16459,,214984,219.0,18717,132815,39854,17870,109143,0.0,40791,,4606,0.0,882,103344,7418,-2019,342188,342188,,20000,0.0,11493,283298,275880,7418,0,0.0,,168.0,2,174402,174402,748,748,3281,150000,150000,347,347,,0.0,708142,701412,19070,19070,2062,46350,46350,7678,109143.0,353893,178132,,74120,0.0,0.0,5054,1442332,847,8802,1843,2014年06月30日,,,71949,6242,,19586,657688,164676,1593551,1588153,0,0,1310337,2259470,,,929,0.0,959724.0,,400,5043.0,693884,52363,92961,175761,,493012,14733,35882,1442332,164712,,,,1653114.0,90331,245,655,26274,57701,57701,5456,,3246665.0,5054,,0.0,3991,16231,1498,77112,78723,,693884,958528,156522,0.0,29298,1196,5398,342777,987195,14719,5722,696,0,696
2014-11-11,3,2014,88594,151249,239843,748044,0.0,823,91835,40973,95634,-16395,-6344,215209,208865,7176,,17191,,73970,4892,56752,17283,6202,187.0,187.0,4078,,244602,225.0,22915,136806,41506,22340,109143,0.0,41325,,4404,0.0,1254,121820,31,20473,342188,342188,,19475,0.0,11495,316853,316822,31,0,0.0,,45.0,2,177072,177072,2195,2195,3206,150000,150000,659,659,,0.0,730693,723517,17345,17345,3250,49419,49419,7831,109143.0,363785,182202,,73843,0.0,0.0,5412,1442332,575,9073,3331,2014年09月30日,,,95634,9817,,43270,681678,170918,1637347,1632375,0,0,1371342,2319226,,,1161,0.0,953313.0,,354,8443.0,708989,52364,95300,181583,,510760,14868,50862,1442332,190303,,,,1664787.0,90331,-19881,655,26274,77582,77582,5701,,3302134.0,5412,,0.0,3982,16281,1413,77112,78723,,708989,951823,107190,0.0,29830,1490,4972,293445,982908,9529,789,380,0,380
2015-03-25,4,2014,88786,75170,163956,726069,0.0,786,84786,23464,97659,-15673,-8569,229548,220979,805,,13475,,89293,6081,58945,21526,6082,,,30539,,175147,,22621,145798,47160,22340,109333,0.0,47155,5097.0,2732,693.0,1045,107157,5568,46212,342188,342188,,21466,0.0,11496,277995,272427,5568,0,0.0,,15.0,219,143293,143293,2293,2293,539,150000,150000,273,273,,0.0,703090,702285,10100,10100,7414,44520,44520,8030,109333.0,350559,173863,,81538,0.0,0.0,5662,1442332,281,23494,9216,2014年12月31日,,,95972,10079,,45296,657865,151441,1665339,1660861,0,1687,1282182,2324153,,,1054,0.0,1015484.0,,317,1846.0,714375,50676,98638,176696,,506424,15007,61322,1442332,155180,,,,1597985.0,90331,245,655,26273,57701,57701,5457,,3263324.0,5662,,0.0,4352,16345,1338,75742,60945,,714375,1014571,130728,,30562,913,4478,315803,939171,8643,1242,1189,0,496
2015-05-06,1,2015,88979,65170,154149,730526,0.0,776,83368,22045,87151,-14097,-7084,233603,226519,1158,-2124.0,16822,0.0,68860,5057,54978,28731,18874,,,24325,0.0,180998,,22850,153089,54870,22340,123175,0.0,41651,99.0,2530,230.0,1226,119521,4576,38422,342188,342188,0.0,19746,0.0,11496,309968,305392,4576,0,0.0,0.0,15.0,220,154205,154205,2092,2092,1391,140000,140000,299,299,,0.0,613174,612016,6388,6388,3883,36335,38459,5974,,350051,171038,0.0,80871,0.0,0.0,5697,1442332,510,7199,9277,2015年03月31日,0.0,0.0,85464,18262,2393.0,1489,649028,142941,1649121,1644139,0,1687,1328164,2353392,123175.0,0.0,929,0.0,,1099020.0,286,,773620,83975,98219,179013,0.0,506087,15099,61323,1442332,180792,3291887.0,0.0,1642766.0,,90331,245,655,26273,57701,57701,5457,3291887.0,,5697,0.0,0.0,3308,16326,1227,75742,63402,0.0,773620,1098179,115685,0.0,30056,841,4982,314602,938495,9441,3317,16796,0,16566
2015-08-12,2,2015,89172,60170,149342,701712,0.0,1286,83368,22045,42741,-19243,-6875,251003,244128,1296,,16852,,109772,4585,53075,43165,32831,0.0,0.0,6324,,160871,,22902,147181,50134,22340,121717,0.0,44032,3131.0,3887,226.0,1648,111115,6276,25567,342188,342188,,15035,0.0,11496,276026,269750,6276,0,0.0,,15.0,226,130258,130258,986,986,1020,145000,145000,759,759,43270.0,0.0,614380,613084,7812,7812,3877,35047,35047,6457,,346619,166103,,80158,0.0,0.0,5715,1442332,562,7581,8950,2015年06月30日,,,36318,20484,1843.0,348,610844,120735,1585841,1581728,0,6423,1429182,2401776,121717.0,,1074,0.0,,1149787.0,281,,873978,35970,97047,180516,,490109,14228,61323,1442332,157730,3313125.0,,1727284.0,,90331,245,655,26274,57701,57701,5456,3313125.0,,5715,,0.0,2497,16296,2068,75742,63402,,873978,1148896,100643,0.0,29405,891,4113,298102,911349,9825,3160,1293,0,1067
