date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產評價調整－流動,備供出售金融資產－流動,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,備抵存貨跌價,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融資產評價調整－流動,原始認列時指定為透過損益按公允價值衡量之金融資產評價調整－非流動,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,原始認列時指定為透過損益按公允價值衡量之金融資產－非流動,商品存貨,商譽,土地成本,土地淨額,在途商品,存入保證金,存出保證金,存貨合計,存貨－買賣業淨額,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,租賃改良成本,租賃改良淨額,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－租賃改良,累計折舊－辦公設備,累計折舊－運輸設備,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,9034,974912,4725107,-19064.0,383796.0,364732,505534,199624.0,624799,,66293,3664,382923,67168,58134,1443579,1443579,282935,239844,40611,0.0,-5020.0,0.0,98530.0,2878154.0,31654,458228.0,458228.0,8508.0,713,76520,2687038,2687038.0,0.0,,,3694756,250679,0.0,360308,190189,,7716190,30462,865949,282222.0,540220.0,389766.0,3882705,2313901,2013年03月31日,3402666,,,2393.0,1654.0,9292161,8688362,0,1250139,9416820,15150506,,66819,72302,,1573630.0,101812.0,,4123459,54704.0,1361.0,150454.0,739.0,53343.0,273510.0,64595.0,2313901,,3650,14760,,11763455.0,1266431,,21055616.0,381259.0,107749.0,0.0,0.0,93510.0,80749.0,16154.0,489525,141786,1559415,35165,603799,2346635,5905110,,398969,122713,0
2013-08-12,2,2013,9034,1087284,4406665,-30604.0,383796.0,353192,434188,219576.0,1308192,,65126,3124,367988,49265,40231,1043067,1043067,283348,202223,35497,0.0,0.0,0.0,0.0,2939872.0,31771,,,65770.0,714,74743,2786066,2786066.0,,,,4116553,257757,0.0,400248,225014,,8198590,63603,948059,282634.0,,,3919155,2313901,2013年06月30日,2986111,,,,,9014920,8352666,0,1348252,9990944,15515464,,66881,72302,,1749255.0,152267.0,,3476388,,,,,,,,2313901,,5260,14760,,12365375.0,1264112,,21380295.0,,,0.0,0.0,0.0,,,518867,155100,1557456,35110,662254,2374431,5864831,,305382,91983,0
2013-11-12,3,2013,11491,1269735,4719640,,,254786,472882,,638063,,93610,1661,328900,102360,90869,1371252,1371252,283691,218048,30703,,,,,,31508,,,,714,89493,2791667,,,,,4456004,252446,150000.0,399056,228366,,8480265,60807,1091758,282977.0,,,3865743,2313901,2013年09月30日,3299086,,,,,9307702,8625680,0,1348252,10417782,16206105,,63913,72302,,1826057.0,165768.0,,4012200,,,,,,,,2313901,,13519,14760,,12946265.0,1263239,,22253967.0,,,0.0,0.0,0.0,,,543122,157541,1686910,32405,682022,2528483,6047862,0.0,234242,97852,0
2014-03-26,4,2013,13830,1344208,5029395,,,354353,245325,,690719,,37905,2949,343111,68978,55148,932945,932945,269202,242995,27527,,,,,,31654,,,,701,86714,3081312,,,,,4810764,233949,150000.0,418486,232194,,8402465,60485,1009772,268501.0,,,4007683,2313901,2013年12月31日,3608841,,,,,9655728,8945962,0,1348252,10793339,17073718,,60887,72302,,2984593.0,170787.0,1382.0,3992832,,,,,,,,2313901,,24630,14760,,13471297.0,1259555,,23127025.0,,,0.0,0.0,0.0,,,594356,152209,1799640,29233,709766,2677958,6053307,,205557,128754,0
2014-05-13,1,2014,14480,1372869,5318830,,,421837,246515,,746172,,38254,2706,317831,59988,45508,1236445,1236445,270400,244826,24546,,,,,,32064,,,,700,84994,3280607,,,0.0,,4612555,222463,50000.0,405336,221486,,8700564,81728,1056033,269700.0,,,4107797,2313901,2014年03月31日,3898276,,,,,9932249,9210117,0,1348252,11135262,17614282,,65901,72302,2470902.0,,190413.0,0.0,4531567,,,,,,,,2313901,,95282,14760,,13882993.0,1259555,,23815242.0,,,,,0.0,,,615672,163052,1846899,33837,722132,2747731,6200960,,325206,135286,0
2014-08-11,2,2014,14455,1613469,4915680,,,373192,512775,,1564414,868595.0,36473,69743,178089,69327,54872,884124,884124,270632,265786,29110,,,,,,31703,,,,460,108324,3230613,,,0.0,,4900942,235140,250000.0,443799,264961,695819.0,9191907,104665,1096222,270172.0,,,3997337,2313901,2014年06月30日,3379181,,,,,9400235,8667225,0,1464197,12177765,17937876,,62208,72302,2605317.0,,142222.0,0.0,4220035,,,,,,,,2313901,,86925,14760,,15161899.0,1259555,,24562134.0,,,,,,,,615628,172683,2083114,30505,733010,2984134,6624258,,345620,128352,0
2014-11-12,3,2014,20461,1592011,5262690,,,249781,526911,,728492,728492.0,20989,1237,268768,167497,147036,1557723,1557723,278017,284569,22687,,,,,,32020,,,,6871,112952,3438326,,,0.0,974350.0,5459681,226001,250000.0,474085,254764,,10028972,106095,1344662,271146.0,,,4095576,2313901,2014年09月30日,3726191,,,,,9923375,9149237,0,1464197,13259772,19552288,,59639,72302,2271893.0,,141040.0,0.0,5479961,,,,,,,,2313901,,78251,14760,,16362861.0,1303878,,26286236.0,,,,,,,,661705,175242,1174257,27619,774138,3103089,6733948,,532610,148930,0
2015-03-25,4,2014,19475,1800118,5605856,,,242795,533400,,857666,,31038,3552,444472,133193,113718,1305206,1305206,274012,254581,31113,,,,,,32810,,,,461,108243,3567309,,,0.0,977877.0,4965799,229312,150000.0,453583,232594,,9592901,86071,1468807,273551.0,,,4300428,2313901,2014年12月31日,4069357,,,,,10513136,9690641,0,1464197,12504506,19206622,,51426,72302,2486882.0,,147820.0,0.0,5285762,,,,,,,,2313901,,47016,14760,,15795554.0,1326412,,26308690.0,,,1761.0,,,,,712705,162115,1311694,18616,822495,3291048,7102068,3000.0,422061,112225,0
2015-05-13,1,2015,19165,1885550,5827736,,,296396,536145,,832721,,5310,1714,378469,166344,147179,585862,585862,329119,318835,26748,,,,,,32596,,,,461,175276,3654909,,,,981417.0,4858133,265987,50000.0,491784,204770,,8824467,77032,1456789,,,,4370919,2313901,2015年03月31日,4291237,159578.0,0.0,,,10710030,9873750,0,1464197,11450058,18179476,328658.0,49568,72302,,2880586.0,,,4377811,,,,,,,,2313901,25509885.0,42417,14760,14799855.0,,1353644,25509885.0,,,,513.0,,,,,727508,169392,1296993,16972,836280,3349797,7330409,0.0,396411,116811,0
2015-08-10,2,2015,22134,2030924,5321853,,,269202,412491,,1606062,840826.0,92318,78255,263896,303827,281693,478895,478895,328293,90262,14416,,,,,,32322,,,,461,71333,3694437,,,,984969.0,4970930,253866,0.0,424153,215366,765236.0,8386716,66260,1532829,,,,4411683,2313901,2015年06月30日,3657993,135122.0,0.0,,,10100273,9255792,0,1591558,11559809,17989554,327832.0,46829,72302,,2973617.0,,,3585732,,,,,,,,2313901,25166754.0,64751,14760,15066481.0,,1356142,25166754.0,,,,0.0,352.0,,,,719835,185011,1458815,14507,844481,3506672,7177200,0.0,416673,4513,0
