date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,商譽,存入保證金,存出保證金,存貨合計,待分配股票股利,待註銷股本股數,應付帳款合計,應付建造合約款,應付票據合計,應收帳款淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅資產,銀行長期借款,長期借款合計,電腦軟體淨額,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收房地款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,88398,2872696,2958760,-1829.0,2745,10032,46014,,-1829,112502,3866,23804,8308,15496,25921,3708,252,2959.0,3708,5257536,,,168423,0.0,75402,1828,16.0,90.0,22962.0,743489,2269828,2013年03月31日,2374013,,,5237127,5237127,0,545169,2602242,6148044,,1138,39578,,750087.0,113233.0,2084634,2269828,,2034,,4546838.0,10368,236.0,10132.0,,9783965.0,4858,,1918675,886,1944596,3635921,111938,0.0,20238.0,20238,0
2013-08-13,2,2013,69911,2722969,2748620,-1772.0,2802,10032,178087,178087.0,-1772,181340,5316,28329,10758,17571,31142,4534,252,8237.0,2779,6169954,161868.0,,252695,7178.0,49891,12028,0.0,0.0,22905.0,697967,2269828,2013年06月30日,2121991,,,5191893,5191893,0,623268,3467038,6904976,,1369,3361,,624549.0,67968.0,2727845,2431696,,2034,,5155074.0,13349,236.0,13113.0,,10346967.0,5120,,1656894,1117,1688036,3441991,67314,1755.0,106113.0,106113,0
2013-11-13,3,2013,88496,2877392,3277636,-1498.0,3076,10032,78125,78125.0,-1498,237603,12297,17110,5800,11310,26035,7142,252,3186.0,3923,5695495,,,141300,10755.0,48934,6981,,0.0,22849.0,697148,2431696,2013年09月30日,2651007,,,5721183,5721183,0,623268,2395248,6413974,,1290,3361,,636659.0,61850.0,1814647,2431696,,2034,,4290929.0,13349,236.0,13113.0,,10012112.0,5134,,1869646,1038,1895681,3598138,54653,3219.0,136810.0,136810,0
2014-03-05,4,2013,114091,3038950,3371823,-1304.0,8031,10032,73092,73092.0,-1304,255732,16863,17189,2528,14661,24172,4044,252,1986.0,4044,5882123,,,211847,15408.0,44269,10220,,0.0,22186.0,392425,2431696,2013年12月31日,2745194,,,5815564,5815564,0,623268,2510385,6822585,,1427,3361,,625764.0,71939.0,1835121,2431696,,2977,,4459105.0,13349,236.0,13113.0,,10274669.0,5206,,1924548,1175,1948720,3452084,279258,0.0,124778.0,124778,0
2014-05-07,1,2014,214544,3433540,3507907,-1056.0,8279,10032,65047,65047.0,-1056,324609,16489,14239,3751,10488,24007,3055,252,1887.0,3055,5731558,,0.0,192378,1222.0,44630,5927,0.0,0.0,22120.0,407260,2431696,2014年03月31日,2881278,,,5951896,5951896,0,623268,2790623,6751841,,1317,3361,881441.0,,115618.0,2044142,2431696,,2977,,4664640.0,13349,236.0,13113.0,,10616536.0,9491,,1850010,1065,1874017,3864695,110397,,93576.0,93576,0
2014-08-13,2,2014,302220,3524083,3756932,-979.0,8362,10032,196530,196530.0,-979,411541,23660,22695,4078,18617,23969,3940,252,1906.0,3940,5644960,124951.0,0.0,171663,5152.0,49494,14423,,,22063.0,390874,2431696,2014年06月30日,3057185,,,6328544,6328544,0,698443,2508070,6778224,,1425,1304,1034254.0,,54258.0,1616455,2556647,,2977,,4384149.0,15944,236.0,15708.0,,10712693.0,4115,,1852110,1173,1876079,3934469,53530,0.0,85661.0,85661,0
2014-11-12,3,2014,470263,3789707,3986060,-1032.0,8309,10032,85450,85450.0,-1032,712262,23345,21619,3197,18422,23968,3552,252,1966.0,3552,5185716,,0.0,153673,2348.0,59760,15340,,912.0,22002.0,409150,2556647,2014年09月30日,3286313,,,6557619,6557619,0,698443,2896235,7171254,,1332,1304,509231.0,,42826.0,1836939,2556647,,2977,,4832789.0,15944,236.0,15708.0,,11390408.0,5381,,1912586,1080,1936554,4219154,1430127,0.0,218654.0,218654,0
2015-03-11,4,2014,172762,3859557,4105477,-983.0,11277,10032,98642,98642.0,-983,583149,42321,41937,11000,30937,26825,3729,252,3536.0,3729,8299279,,0.0,185647,0.0,52954,7996,,7376.0,23289.0,472107,2556647,2014年12月31日,3405730,,,6677085,6677085,0,698443,4461749,9044992,,1275,1304,550227.0,,51594.0,3486786,2556647,,2977,,6721892.0,15944,236.0,15708.0,,13398977.0,7285,,2233318,1023,2260143,4353985,126900,,368066.0,368066,0
2015-05-13,1,2015,159430,3904912,4491264,-667.0,16593,10032,79530,79530.0,-667,308240,37016,54104,4202,49902,25303,3928,252,1966.0,3928,8048618,,,196338,0.0,37518,7529,,7140.0,,471282,2556647,2015年03月31日,3791517,134516.0,,7063188,7063188,0,698443,3973345,8945214,23337.0,1234,1304,,750978.0,,3214226,2556647,13344224.0,2977,6281036.0,,15944,236.0,15708.0,13344224.0,,7622,,2282388,982,2307691,4399010,60252,,111794.0,111794,0
2015-08-12,2,2015,160747,4001940,4265101,-905.0,25355,10032,234053,234053.0,-905,380966,40483,36702,5085,31617,25161,4278,252,1776.0,4278,8190961,156709.0,,195520,0.0,57238,5811,,0.0,,470457,2556647,2015年06月30日,3467917,87065.0,,6996147,6996147,0,796201,4306979,9152446,23385.0,1165,983,,827797.0,,3349160,2713356,13648802.0,2977,6652655.0,,18595,236.0,18359.0,13648802.0,,8484,,2320515,913,2345676,4496356,65820,,179736.0,179736,0
