date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,126148,-26704,0,0.0,42500,283963,,6058,-63,452244,,623657,,,,,10832,,-63,,,19232,0.0,,0.0,6470,1878,29984,21266,,609119,2013年03月31日,-64787,,,882898,882898,0,37267.0,750558,1424556,,,13507,816,,721895.0,6003.0,,,609119,,,751248.0,300546,,285319,15227,,1634146.0,0.0,690,16603,,,0.0,690,209590,2464,,,,0
2013-08-12,2,2013,,122605,-33838,-12133,0.0,30367,62666,,7435,-11963,453815,,1018811,,,,,9020,,170,,,18640,,,0.0,6980,727,40293,24994,,609119,2013年06月30日,-74123,,,863864,863864,0,40156.0,528711,1200471,,,13458,129,,87189.0,4523.0,,,609119,,,529398.0,300546,,285319,15227,,1393262.0,0.0,687,17341,,,0.0,687,192791,3109,,,,0
2013-11-12,3,2013,429759.0,120177,-19317,-26010,0.0,16490,26465,,1798,-25984,467302,811.0,1016662,0.0,1016662.0,0.0,50.0,9242,4507.0,26,50.0,4735.0,15196,,,0.0,3435,1171,26175,20147,,609119,2013年09月30日,-59602,,,864364,864364,0,40156.0,504956,1194298,,,13385,129,,109494.0,6583.0,,0.0,609119,,,505707.0,300546,,285319,15227,,1370071.0,0.0,701,16479,,,0.0,751,175773,4826,,36732.0,,0
2014-03-17,4,2013,431400.0,117673,-47404,-25180,0.0,17320,57936,,1637,-24980,463303,0.0,606012,0.0,606012.0,0.0,50.0,14312,4707.0,200,50.0,4405.0,16988,,,0.0,5758,1159,16285,11375,,609119,2013年12月31日,-87689,,,837281,837281,0,40156.0,535706,1199566,,,9389,129,,542531.0,7550.0,,,609119,,,536487.0,300546,,285319,15227,,1373768.0,0.0,731,15508,,,0.0,781,174202,4738,5200.0,31903.0,,0
2014-05-08,1,2014,48415.0,1055173,-55045,-20518,,21982,174240,779765.0,1854,-20348,80942,0.0,76018,,76018.0,0.0,3485.0,72301,6492.0,170,515.0,12277.0,79192,,0.0,,16038,27881,42092,7547,2970.0,609119,2014年03月31日,-95330,,,834272,834272,0,40156.0,1129016,604559,,,658190,129,384455.0,,7550.0,,42600.0,609119,,,1591023.0,300546,,285319,15227,,2425295.0,,9250,13090,449272.0,45792.0,,462007,1820736,13401,7740.0,32527.0,,0
2014-08-12,2,2014,48553.0,1038277,-31459,-21089,,21411,157326,601533.0,1058,-21082,74953,0.0,75243,,75243.0,0.0,2518.0,87706,6383.0,7,509.0,12251.0,75679,,0.0,,17263,32126,42477,14431,2009.0,609119,2014年06月30日,-31588,,,809591,809591,0,0.0,906819,566790,,,437214,129,351187.0,,1018.0,,22600.0,609119,,,1355699.0,253013,,253013,0,,2165290.0,,9281,13892,437081.0,51256.0,,448880,1598500,6715,17816.0,26400.0,,0
2014-11-10,3,2014,47083.0,1037827,-80753,-25455,,17045,153784,601533.0,866,-25238,77383,0.0,19668,,19668.0,0.0,2601.0,79891,6272.0,217,509.0,12253.0,53455,,0.0,,13080,53755,41094,8355,2092.0,609119,2014年09月30日,-80882,,,764154,764154,0,0.0,923504,549825,,,426347,129,418478.0,,1369.0,,22600.0,617132,,,1356618.0,253013,,253013,0,,2120772.0,,9279,9837,421234.0,49907.0,,433114,1570947,7909,11459.0,30300.0,8013.0,200325
2015-03-26,4,2014,0.0,919997,-373208,-19108,,23392,59574,,1300,-18602,35326,,0,,0.0,,513.0,33627,19580.0,506,513.0,12468.0,53706,,0.0,,21767,15913,21301,9555,,889119,2014年12月31日,-373337,,,1597321,1597321,0,0.0,132580,412151,,,341594,129,315335.0,,0.0,262.0,,889119,,,144756.0,1100012,,1090212,9800,,1742077.0,,11663,11316,,,,12176,1329926,10692,1579.0,35326.0,,0
2015-05-12,1,2015,0.0,914688,-399741,-17737,,24763,46967,0.0,949,-17315,34385,,69300,,69300.0,,513.0,33970,1759.0,422,513.0,13480.0,50096,,0.0,,16767,18153,41819,8113,,889119,2015年03月31日,-399870,278.0,262.0,1572075,1572075,0,0.0,116550,386935,0.0,18483.0,330882,129,,203160.0,,,0.0,889119,1700556.0,128481.0,,1100012,,1090212,9800,1700556.0,,,11418,9318,0.0,0.0,,11931,1313621,13236,248.0,34385.0,,0
2015-08-10,2,2015,0.0,904524,-51497,-31145,,11355,50640,0.0,1580,-30849,27579,,142246,,142246.0,,513.0,35637,1929.0,296,513.0,13813.0,45837,,0.0,,28042,3743,41538,8464,,889119,2015年06月30日,-51626,2152.0,36.0,1533448,1533448,0,0.0,112156,374500,0.0,18712.0,324432,129,,127769.0,,,0.0,889119,1657637.0,124189.0,,726675,,716875,9800,1657637.0,,,11520,7189,0.0,0.0,,12033,1283137,7030,1183.0,27579.0,,0
