date,season,year,上期損益,不動產及設備－淨額,不動產重估增值,保留盈餘合計,備供出售金融資產未實現損益,備供出售金融資產未實現評價損益,備供出售金融資產－淨額,共同控制下前手權益,其他權益合計,其他權益－其他,其他負債合計,其他資本公積,其他資產－淨額,其他金融負債合計,其他金融資產－淨額,受贈公積,國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）,國外營運機構財務報表換算之兌換差額,增資準備,央行及同業融資合計,央行及銀行同業存款合計,存放央行及拆借銀行同業合計,存款及匯款合計,庫藏股票,庫藏股票合計,待註銷股本,待註銷股本股數,應付款項合計,應付金融債券合計,應收款項－淨額,持有至到期日金融資產－淨額,指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,採用權益法之投資－淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅資產合計,本期損益,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,無形資產－淨額,特別盈餘公積,特別股股本,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）,當期所得稅資產合計,確定福利計畫之再衡量數,累積盈餘,累積虧損,股本合計,股本溢價,與待出售資產直接相關之權益,負債及權益總計,負債準備合計,負債總計,負債總額,貼現及放款－淨額,資本公積合計,資本公積－庫藏股票交易,資本公積－採權益法認列關聯企業及合資股權淨值之變動數,資產總計,資產總額,追溯適用及追溯重編之影響數,透過損益按公允價值衡量之金融負債合計,透過損益按公允價值衡量之金融資產合計,遞延所得稅負債合計,遞延所得稅資產合計,附買回票券及債券負債合計,附賣回票券及債券投資淨額,非控制權益,非控制權益合計,預收股本,預收股款（權益項下）之約當發行股數（單位：股）
2013-05-10,1,2013,,14388025,,5540985,-80613.0,,12267138,,-82624,,711659,0,1886904,11114035,3546554,0,,-2011,,,90753087,71916035,1047579149,,0,,,30965950,48900000,14151463,179655362,,,48982194,2013年03月31日,2547479,,728492,,54440555.0,54440555,0,2402303,194479,591203,,,28386593.0,,615706.0,,1818987,,48982194,0,,,2845429,,1243606897.0,953569238,0,0,0,,1298047452.0,,234772,9321714,880781,1973307,9622035,6174934,,0,,0
2013-08-23,2,2013,,14320024,,4390925,-113668.0,,13086769,0.0,-204104,,1067125,0,4080020,11050684,3548163,0,,-90436,1959288.0,,83721075,71729231,1058265538,,0,,,32294018,48900000,16450360,183710389,,,48982194,2013年06月30日,11382,,1537720,,55128303.0,55128303,0,3423455,190330,956088,,,26164131.0,,625611.0,,-1526338,,50941482,0,,,2852725,,1249846414.0,959036727,0,0,0,,1304974717.0,,273346,5446914,879964,1950156,10541939,4635892,,0,,0
2013-10-31,3,2013,,14350358,,5073391,23129.0,,13619143,0.0,-86621,,815184,0,2127762,13486086,3234745,0,,-109750,,20000.0,84242254,62569481,1084017939,,0,,,21035688,45450000,14761344,189937865,,,50941482,2013年09月30日,693848,,2220186,,55928252.0,55928252,0,3423455,189681,956088,,,23448793.0,,657201.0,,-1526338,,50941482,0,,,2889567,,1261490212.0,986326723,0,0,0,,1317418464.0,,225575,4087650,879754,1907038,8428165,200680,,0,,0
2014-03-21,4,2013,,14298731,,6408324,14997.0,,13045318,0.0,-96238,,771621,0,1750045,14153582,3325207,0,,-111235,,13000.0,79079753,68296127,1095420273,,0,,,19752202,51450000,14303296,194434171,,,50941482,2013年12月31日,2028781,,3610202,,57253568.0,57253568,0,3423455,180839,956088,,,32244163.0,,546319.0,,-1581421,,50941482,0,,,3113241,,1269114508.0,958077590,0,0,0,,1326368076.0,,280882,2974594,880712,2021651,4199242,20870025,,0,,0
2014-05-09,1,2014,3610202.0,14230680,,7620784,-13893.0,,13742424,0.0,3928,,641877,0,2524296,14173147,3307516,0,,17821,,18000.0,88817440,64061979,1089516672,,0,,0.0,18600516,50350000,14257343,196474172,,,50941482,2014年03月31日,3241241,,1212460,,58566194.0,58566194,0,3423455,172307,956088,,,54807641.0,,394339.0,,-1581421,,50941482,0,,,3117940,,1271407055.0,947640616,0,0,0,,1329973249.0,,247827,4159365,879967,2010802,5043669,12189769,,0,,0
2014-08-25,2,2014,,14176622,,6903529,79084.0,,14198135,0.0,-114907,,996141,0,1742823,15177168,3322994,0,,-193991,2037659.0,0.0,85680151,62104139,1088278931,,0,,0.0,20561268,48200000,16260645,198686973,,,50941482,2014年06月30日,2590074,,2532864,,59767763.0,59767763,0,4032090,178744,281365,,,59680401.0,,283304.0,,57210,,52979141,0,,,3060662,,1267351519.0,943363838,0,0,0,,1327119282.0,,205850,3677312,883160,2085053,4308188,7358299,,0,,0
2014-10-31,3,2014,0.0,14134843,,8322700,45146.0,,14774439,0.0,-9195,,653395,0,2282841,15358284,3289150,0,,-54341,,0.0,83542060,59846898,1103922719,0.0,0,,0.0,25193841,43200000,19609877,197327589,,,52979141,2014年09月30日,4009245,,3952035,,61292646.0,61292646,0,4032090,167486,281365,,,56707844.0,,322557.0,,57210,0.0,52979141,0,,,3046824,,1279980386.0,950596442,0,0,0,,1341273032.0,0.0,304573,3646776,882276,2052880,3876414,16513410,0.0,0,,0
2015-03-18,4,2014,,14101430,,9694559,-27641.0,,16043539,0.0,64217,,688786,0,4642581,15739260,3268115,0,,91858,,0.0,80595072,61844444,1152156998,,0,,0.0,30556802,41800000,21821960,194541571,,,52979141,2014年12月31日,5381104,,5315137,,62737917.0,62737917,0,4032090,150029,281365,,,64242245.0,,235755.0,,65967,,52979141,0,,,3018791,,1329652650.0,1001234570,0,0,0,,1392390567.0,,303213,2610707,898420,2125784,3895308,5527837,,0,,0
2015-05-12,1,2015,5315137.0,14061740,0.0,11036801,,-26058.0,16233429,0.0,-80262,0.0,748500,0,2050301,15269067,3286793,0,0.0,-54204,,0.0,90788626,60681338,1155265409,0.0,0,,0.0,19704589,41800000,16241996,194467232,0.0,,52979141,2015年03月31日,6723346,197345.0,1342242,63935680.0,,63935680,0,4032090,136182,281365,,55894507.0,,0.0,,0.0,65967,,52979141,0,0.0,1396101296.0,2985597,1332165616.0,,1027123192,0,0,0,1396101296.0,,,256627,3564539,886378,1992807,4460823,169895,0.0,0,,0
2015-08-19,2,2015,,14051492,,8369979,,-60103.0,18039181,0.0,-175455,,786015,0,2314515,15247857,3278131,0,,-115352,3867477.0,0.0,77658004,75850559,1157071440,,0,,0.0,26795807,41600000,23508123,194574944,,306130.0,52979141,2015年06月30日,2558220,141143.0,2542897,65041142.0,,65041142,0,5626631,123680,185128,,52033756.0,,,,,15323,,56846618,0,,1393073149.0,2997033,1328032007.0,,1003951513,0,0,0,1393073149.0,,,219633,3091843,883359,1748084,4772859,60055,,0,,0
