date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付設備款,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-04-26,1,2013,3200000,3200000,27449460,694587,-4793732,-943524,817059,103680.0,2325683,1999205,354698,-980069,3280148,80148,625990,1210625,240233,231496,231496,-36545,8230333,8230333.0,106387,,3087246,,499491.0,506401.0,326478,4678319,68079,212.0,970392.0,81924,,95152.0,2032836,36868262,2013年03月31日,-4793732,34299862,33152088,7518364,,13461709,20614189,,209269,,,5835486.0,3742533.0,-4793732.0,36868262,,,21422334.0,2164014,,55722196.0,20207.0,4013.0,4209603,6750000,1147774,7960625,35108007,0
2013-08-02,2,2013,1616667,1616667,25813737,660661,-4422072,266688,1683036,285390.0,2466028,2195530,230406,253407,1694471,77804,781710,1229821,275107,225172,225172,-13281,8084109,8084109.0,106387,,3152593,,99859.0,514656.0,270498,5119660,104111,1217.0,954714.0,82357,,97108.0,2469817,36888322,2013年06月30日,-4422072,35822218,34763246,7518364,,10792001,21693290,,223902,,,5684044.0,2848091.0,-4422072.0,36888322,,,19905155.0,2149976,,55727373.0,16303.0,4997.0,4175939,7883333,1058972,9113154,34034083,0
2013-10-24,3,2013,1616667,1616667,24938149,656677,-4286472,240407,1731233,284580.0,2169630,1967335,249537,213351,1689623,72956,742387,1242491,281873,225214,225214,-27056,7477974,7477974.0,106387,,3060282,,99939.0,488344.0,202295,4822570,87521,759.0,960618.0,80344,,96194.0,2480288,36919672,2013年09月30日,-4286472,35927942,34869870,7518364,,8773559,20757152,,208274,,,5613652.0,1265741.0,-4286472.0,36919672,,,17899383.0,2129706,,53827325.0,,31519.0,4100453,7883333,1058072,9125824,33070173,0
2014-03-28,4,2013,3863097,3863097,24804025,656676,-4187772,79055,1790113,281070.0,2685516,2213020,300116,19488,3942246,79149,677839,1212773,283320,661034,661034,-59567,6973887,6973887.0,106387,,3267045,,0.0,517550.0,472496,4906167,89754,,929453.0,80401,,97770.0,2407094,36940232,2013年12月31日,-4187772,35888102,34813920,7518364,,12501610,22408255,,193947,,,7670379.0,2072708.0,-4187772.0,36940232,,,19790576.0,2148359,,55678678.0,16545.0,0.0,4088406,6076193,1074182,7288966,33270423,0
2014-04-25,1,2014,3863097,3863097,28670712,656676,-3807679,235208,2228205,277560.0,6166315,2141164,307114,225122,3954929,91832,956134,1278993,342495,642565,642565,-10086,6513314,6513314.0,106387,,3410980,578722.0,0.0,,4025151,4895210,78738,,936498.0,80184,,99056.0,2439058,36944662,2014年03月31日,-3807679,36500105,35401576,7518364,,14831594,21521997,,297154,,6543282.0,,711790.0,-3807679.0,36944662,,,22186780.0,2145858,,58686885.0,8858.0,0.0,4001923,6076193,1098529,7355186,37164888,0
2014-08-01,2,2014,5529763,5529763,29544153,656676,-3093763,874248,2790201,305640.0,3707120,2268540,264020,824071,5634476,104713,775687,1294251,348270,624239,624239,-50177,5992407,5992407.0,106387,0.0,3549860,520254.0,0.0,,1438580,5329760,98147,,945981.0,77334,,97078.0,2795112,36946402,2014年06月30日,-3093763,37780725,36715093,7518364,,14432736,21526426,,327553,,6250179.0,,1021026.0,-3093763.0,36946402,,,22038299.0,2144770,,59819024.0,0.0,26025.0,3864813,6311312,1065632,7605563,38292598,0
2014-10-24,3,2014,5529770,5529770,30729448,656676,-2166385,216111,2745768,0.0,3968756,2056367,334182,176696,5674318,144548,961716,1299673,344289,850529,850529,-39415,5834176,5834176.0,106387,0.0,3727549,611291.0,0.0,,1912389,5600129,105355,,955384.0,77340,,98680.0,2424256,36949822,2014年09月30日,-2166385,38095367,36997326,7518364,,15090543,21956160,,331122,,6374834.0,,1063677.0,-2166385.0,36949822,,,22701521.0,2143580,,60796888.0,44952.0,0.0,3672677,6311305,1098041,7610978,38840728,0
2015-02-03,4,2014,5879760,5879760,33986751,719378,-1119684,292835,2902576,0.0,3578029,2290033,310447,316100,6000596,120836,952819,1326209,351369,810271,810271,23265,6316936,6316936.0,106387,0.0,3823082,642564.0,,,1287996,5433212,85234,,974840.0,78506,,101840.0,2416386,36949822,2014年12月31日,-1119684,39300091,38183244,7518364,,14451378,22976738,,311616,,6975514.0,,390213.0,-1119684.0,36949822,,,25591617.0,2143393,,64891708.0,16894.0,,3490222,9814030,1116847,11140239,41914970,0
2015-04-30,1,2015,5879760,5879760,33104079,756965,-119263,-27149,2687387,0.0,2960305,2022891,286653,-36820,5959435,79675,1132506,1328129,346513,781538,781538,-9671,6629244,6629244.0,106387,0.0,3689818,668809.0,,,937414,5223607,66648,,,76467,,100880.0,2285005,36949822,2015年03月31日,-119263,39976958,38830745,7518364,,13278367,23721173,981616.0,298937,,,7675815.0,0.0,-119263.0,36949822,64397484.0,24420526.0,,2143393,64397484.0,,0.0,19313.0,3272440,9814030,1146213,11142159,40676311,0
2015-07-31,2,2015,4839516,4839516,32868769,743884,681466,-1106542,2601605,0.0,3240179,2331084,373031,-1143320,4931336,91820,1116907,1343208,354756,641355,641355,-36778,7390307,7390307.0,106387,,3710171,596468.0,145996.0,,909095,5429087,71551,,,74111,99460.0,0.0,1889750,36949822,2015年06月30日,681466,39637122,38524974,7518364,,12632520,23997349,988452.0,284098,,,6915401.0,0.0,681466.0,36949822,63624715.0,23987593.0,,2143393,63624715.0,,8370.0,0.0,3125399,10011865,1112148,11355073,39627366,0
2015-10-27,3,2015,4839516,4839516,32485470,743884,1354084,-1608073,2408796,,3075523,2142498,598087,-1499547,4933864,94348,1130573,1360572,365147,673580,673580,108526,8004267,8004267.0,661407,,3914807,825952.0,,,933025,5457938,64028,,,75803,103520.0,0.0,1650252,36949822,2015年09月30日,1354084,39474002,38286345,87518364,,12786143,24736875,995425.0,265481,,,6969116.0,0.0,1354084.0,36949822,63637477.0,24163475.0,,2143393,63637477.0,,35997.0,550.0,3006132,10016760,1187657,11377332,38900602,0
