date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-02,1,2013,302206,1173689,300.0,30300.0,205223,205223.0,71384,-27209,2509,116047,70831,34160,45216,8,5213,0.0,9124,9116,58277,-27509,1437984,1437984,0.0,,752181,77,683295,4532,5213.0,792450,2013年03月31日,934895,,,3270336,3274139,0,238794,1097246,3854678,,92437,,570300.0,,,940836.0,106370.0,,,792480,,26800,,1116417.0,1335179,54254,1280925,,4386753.0,4086.0,0.0,13958,128308,,-3803,19171,532075,30,3000
2013-08-13,2,2013,301872,939038,345.0,30345.0,551276,,77210,-20643,6995,118178,72908,32676,45270,8,5213,0.0,8945,8937,58855,-20988,1514334,1514334,,,767203,478,783890,4947,5213.0,792480,2013年06月30日,660709,,,3043398,3049236,0,278329,1441698,3968766,,91531,,550000.0,,,889862.0,86761.0,,,792480,,22603,,1460495.0,1338361,57436,1280925,,4503893.0,6382.0,0.0,13584,132779,,-5838,18797,535127,0,0
2013-11-13,3,2013,287799,1064856,0.0,0.0,239781,,95935,-31728,11901,130594,85279,31838,45315,8,5196,0.0,7602,7594,58852,-31728,1795039,1795039,,,1034961,527,818698,3724,5196.0,792480,2013年09月30日,786527,,,3161408,3167221,0,278329,1390852,4031116,,90690,,250000.0,,,934059.0,75709.0,,,792500,,27956,,1405784.0,1341593,60668,1280925,,4567192.0,17.0,3067.0,9736,149985,,-5813,14932,536076,20,2000
2014-03-13,4,2013,285708,1191170,0.0,0.0,248097,,102945,-18660,10901,120270,77270,32193,43000,8,9539,0.0,8825,8817,59597,-18660,1560031,1560031,,,726462,188,900394,1040,9539.0,792500,2013年12月31日,912841,,,3296927,3309149,0,278329,1764324,4528797,,91790,,200053.0,,,1643816.0,99052.0,248.0,650000.0,792530,,28064,,1782378.0,1344109,63184,1280925,,5079305.0,1560.0,0.0,8515,164185,,-12222,18054,550508,30,3000
2014-05-13,1,2014,276115,1265535,0.0,0.0,231998,,104059,-1212,12729,150462,107462,32849,43000,8,9635,,11022,11014,60550,-1212,1498879,1498879,,0.0,629133,0,760417,2242,9635.0,792530,2014年03月31日,987206,,,3413746,3431488,0,278329,1710768,4599490,,93399,,346891.0,,1736317.0,,106703.0,,699303.0,799929,,30331,,1731360.0,1367236,53064,1314172,,5145106.0,571.0,223.0,10957,165080,,-17742,20592,545616,7399,707500
2014-08-13,2,2014,282840,1000495,0.0,0.0,582290,,88387,-21273,13552,128895,85895,32388,43000,8,9534,,11559,11551,59503,-21273,1407399,1407399,,0.0,751938,14,911450,2223,9534.0,799500,2014年06月30日,661042,,,3133856,3150916,0,320793,1974391,4581646,,91891,,388846.0,18660.0,1652988.0,,85313.0,345.0,511946.0,800410,,29338,,1988764.0,1371284,52771,1318513,,5122620.0,0.0,1113.0,4839,154684,,-17060,14373,540974,910,91000
2014-11-13,3,2014,280790,1161663,,,302480,,97431,-14355,14263,157656,114656,31898,43000,8,9350,,17704,17696,58947,-14355,1706605,1706605,,0.0,1077448,52,981077,1857,9350.0,800410,2014年09月30日,822210,,,3307558,3321217,0,320793,1954916,4703460,,90845,,150237.0,18660.0,1608228.0,,77379.0,358.0,450000.0,800650,,29800,,1974507.0,1373259,53617,1319642,,5282065.0,3494.0,11.0,10241,189266,,-13659,19591,578605,240,24000
2015-03-18,4,2014,267461,1320939,,,279645,,89478,10475,13921,148840,105840,43337,43000,8,9554,,18738,18730,59928,10475,1597061,1597061,,0.0,785253,258,997416,1343,9554.0,800650,2014年12月31日,981486,,,3488435,3505743,0,320793,1803679,4755041,,103265,,85757.0,18660.0,1831298.0,,92650.0,3848.0,600000.0,800755,,30327,,1837044.0,1373574,53457,1320117,,5325479.0,1625.0,,23811,180974,,-17308,33365,570438,105,10500
2015-05-13,1,2015,269396,1352686,,,258017,,109496,-13448,10537,199277,113277,41066,86000,7,9224,,24717,24710,57380,-13448,1737932,1737932,,0.0,849611,2,849277,3218,,800755,2015年03月31日,1013233,124084.0,4812.0,3514259,3533225,0,320793,1878961,4833315,9224.0,98446,84949.0,,18660.0,,1844354.0,,,600000.0,805800,5416013.0,36710,1901754.0,,1388187,45216,1342971,5416013.0,,0.0,0.0,13569,190139,,-18966,22793,582698,5045,504500
2015-08-12,2,2015,266650,1135376,,,642677,,101995,-29221,8569,142198,99198,41718,43000,7,9265,,27520,27513,57388,-29221,1675233,1675233,,0.0,868878,9,1206789,6704,,805800,2015年06月30日,769559,131118.0,1644.0,3290564,3307592,0,365817,2387378,5105274,9265.0,99106,0.0,,0.0,,1970711.0,,,700000.0,807735,5695162.0,36127,2404598.0,,1393702,41965,1351737,5695162.0,,0.0,0.0,7955,196612,,-17028,17220,589888,1935,193500
