date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,代收款,代理店往來（海陸運輸業適用）,以成本衡量之金融負債－流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵銷售退回及折讓,其他應付款合計,其他應付款項－關係人,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融負債－流動,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,存貨合計,存貨－製造業淨額,工程進度請款金額,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付建造合約款－關係人,應付短期票券合計,應付票據合計,應付票據－關係人合計,應付租賃款－流動,應付股利,應付設備款,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收建造合約款,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,按攤銷後成本衡量之金融負債－流動,採用權益法之投資淨額,普通股股本,暫收款,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,特別股負債－流動,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延兌換利益,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,銀行長期借款,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,0.0,40693,40693,9401623,,,,515747,2998558,729450,1307437,,,314327,,-167013,1305042,1264349,1225194,,,,324786,149540,437153,2205767,2205767.0,,0.0,,0,2872529,1535951,,,,,,,,314327,,5116941,,620628,,,19518.0,175246.0,,3375805,4192013,,2013年03月31日,885952,,15408966,14390558,0,1607179,9702644,14077531,,249905,505427,,,3756161.0,302346.0,3372449,4192013,,,,,14147212.0,7367000,,29556178.0,,403872,,170713,190977,,,3949069,1018408,4444568,15478647,,0
2013-08-08,2,2013,0.0,40693,40693,9442430,,,,461443,2879514,457272,1162071,,,806717,,-98481,1563426,1522733,2181195,629278.0,,1551917.0,326318,150805,483912,2503552,,,,,0,3379228,1785943,,,,,,,503041.0,303676,,6057678,,816354,,,,175513.0,,3387420,4192013,,2013年06月30日,499748,,15400041,14353465,0,1661764,11028917,15503211,,234502,718002,,,3140691.0,306299.0,3187304,4192013,,,,,15465758.0,7380419,,30865799.0,,346469,,170978,190810,,,3939545,1046576,4436841,15362588,,0
2013-11-13,3,2013,0.0,40693,40693,9558170,,,,374907,3376514,1139183,911865,,,324730,,-553096,1884242,1843549,1487983,718534.0,,769449.0,427146,250267,437463,2574626,2574626.0,,,,0,3716713,1765282,,,,,,,,324730,,6481424,,685116,136286.0,,,176879.0,,3377728,4233973,,2013年09月30日,996748,,15596063,14627146,0,1661764,11873566,16940521,,206441,718002,,,3552173.0,419291.0,3763308,4233973,,,,,16401842.0,7569755,,31997905.0,,883730,,171308,190810,,3929822.0,3929822,968917,4528276,15057384,,0
2014-03-24,4,2013,0.0,616673,616673,9454150,0.0,0.0,0.0,382409,3746318,1740911,1225469,,,243864,0.0,-24289,2536413,1919740,1010640,458340.0,0.0,552300.0,400882,227284,610211,2306304,,0.0,,,3708979,3398968,1787713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243864,,6104945,,687039,263116.0,,,173598.0,0.0,3366364,4233973,0.0,2013年12月31日,1366552,,16831025,15869455,0,1661764,11131009,20361120,,191991,718002,0.0,,7128777.0,354646.0,2809405,4233973,0.0,,0.0,,18901074.0,7913453,,35732099.0,0.0,1119388,0.0,188871,140385,0.0,,3471333,961570,7770065,15370979,0.0,0
2014-05-14,1,2014,,65413,65413,9093447,,,,379450,4164858,526727,953212,,,270853,,-323825,1768983,1703570,1617136,500320.0,,1116816.0,371781,196759,569028,2536871,2536871.0,,0.0,0.0,3691820,3332572,2028164,,,,,,,,270853,,6315497,,487336,134506.0,,,175022.0,,2528279,4248647,,2014年03月31日,1785092,,16960508,16091839,0,1661764,9223160,16710893,,189420,718002,,4116887.0,,460775.0,1361813,4248647,,,,,13603606.0,8002159,,30564114.0,,975933,,192134,140385,,,124711,868669,4380446,13853221,,0
2014-08-13,2,2014,0.0,95160,95160,8762206,,,,372412,3380555,713218,1751230,,,1575946,,-59070,1955646,1860486,1464107,538225.0,,925882.0,426885,250440,633147,2545101,,,,0.0,3697360,4049297,2317701,,,,,,,1273427.0,302519,,7852296,,519001,44523.0,,,176445.0,,312302,4277276,,2014年06月30日,1287837,,16576348,15726571,0,1808828,11906760,20827274,,178608,283890,,6987950.0,,337802.0,1670368,4277276,,,,,16401216.0,8127810,,32977564.0,,701078,,188404,140385,,,181807,849777,4494456,12150290,,0
2014-11-07,3,2014,0.0,67858,67858,9221096,,,,381089,4089904,1681561,1372497,,,698030,,-223832,2043810,1975952,884205,700737.0,,183468.0,422453,244588,976118,2729967,2729967.0,,,0.0,3711569,4755293,3022885,,,,,,,,698030,,8910315,,707430,34119.0,,,177865.0,,307761,4283991,,2014年09月30日,1997186,,17061063,16323568,0,1808828,11637883,20521733,,176346,283890,,5169416.0,,288499.0,829366,4283991,,,,,16035962.0,8173505,,33097025.0,,404720,,179854,140385,,84203.0,84203,737495,4398079,12575292,,0
2015-03-18,4,2014,0.0,96006,96006,10424088,0.0,0.0,0.0,392743,4632783,1634984,1464832,108201.0,12862.0,830835,0.0,221202,2199004,2102998,1037615,679358.0,0.0,358257.0,430202,241454,688720,2897297,,0.0,,0.0,3725784,4795480,3377205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830835,8724218.0,8603155,558107.0,558107,74653.0,28435.0,28435.0,188748.0,0.0,273032,4285435,0.0,2014年12月31日,2540065,,18080167,17441277,0,1808828,12571303,21447499,,186977,283890,0.0,6210707.0,,427550.0,941229,4285435,0.0,,0.0,,16958678.0,8301857,,35038845.0,0.0,402546,0.0,180373,160954,0.0,,51016,638890,4387375,13591346,0.0,0
2015-05-14,1,2015,,94179,94179,10061192,,,,389074,5193561,1480139,1244972,,,578416,,-154113,1824402,1730223,1613837,643203.0,,970634.0,391259,201034,581233,2840726,2840726.0,,0.0,0.0,3606336,4204145,2551355,,,,,,,,578416,,7637516,,284804,42269.0,,,,,249435,4310970,,2015年03月31日,3100843,471332.0,18428919,17805677,0,1808828,11264068,21028924,190225.0,187933,283890,,,6680604.0,,1634418,4310970,,33903717.0,,15474798.0,,8455259,33903717.0,,,449029,,163601,160954,,,49534,623242,4210730,12874793,,0
2015-08-06,2,2015,0.0,95494,95494,9814312,,,,414437,3785616,1600609,976229,,,2260192,,-429188,1845876,1750382,2075200,705624.0,,1369576.0,441598,250783,1197578,2570256,,,,0.0,8272762,4291636,2203148,,,,,,,1723023.0,537169,,8116885,,193874,17320.0,,,,,224203,4315983,,2015年06月30日,1476185,334991.0,17126326,16514088,0,2025541,12165151,25160074,190815.0,233144,283890,,,9886343.0,,1229308,4315983,,38180931.0,,21054605.0,,8841677,38180931.0,,,699587,,167048,160954,,,8046,612238,8889454,13020857,,0
