date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,債券換股權利證書,其他應付款合計,其他應付費用,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,186838.0,6907206,787412,3612392,20000.0,,784228,,-173998,1027023,840185,782850,505132,277718,600000.0,105982,1509,1529279,,9789,3148770,0.0,,2153054,2173597,,11270,4307466,,817,104473.0,,1253257,2810385,2013年03月31日,,,13945706,11947521,0,,6255076,11945017,,37187,,,3683768.0,27495.0,2219974,2810385,,,8549670.0,5698742,,22495376.0,11489.0,1346.0,35558,36018,136963,1998185,2294594,10550359,,782527,0
2013-08-02,2,2013,2158272.0,7379125,790712,3622829,0.0,,978259,,-60804,2771317,613045,1643126,349340,1293786,0.0,101162,1506,227862,,9884,3126094,,,136226,2939020,,7397,4766365,,340,99656.0,,1237514,2810385,2013年06月30日,,,13738881,12078342,0,,9191084,13504498,,36247,,,3967330.0,32053.0,2460393,2810385,,,9464842.0,5705932,,23203723.0,2645.0,1243.0,36370,27765,138452,1660539,273758,9699225,15265.0,64261,0
2013-11-12,3,2013,1983073.0,7158045,780680,3682862,0.0,,875362,875362.0,-176336,2446478,463405,1473326,312210,1161116,0.0,98039,1503,227244,,8924,3546635,,,9329,2703712,116619.0,450745,4560522,0.0,451,96536.0,,1250698,2810385,2013年09月30日,,,13839831,12038695,0,,8725310,13235701,,34173,,,3652912.0,22574.0,2109820,2810385,,,8869048.0,5721784,,22708879.0,0.0,1855.0,36370,22338,135266,1801136,143738,9473178,29856.0,53198,0
2014-03-21,4,2013,1991690.0,7558575,786884,2490117,29805.0,,1178578,1178578.0,-99441,3337770,1346080,1438527,357530,1080997,0.0,104546,1196,244390,,11848,3712575,,,0,3033721,66620.0,32108,4703082,,252,103350.0,10570.0,226753,2810385,2013年12月31日,941659.0,,16120276,10923654,0,1542661.0,9834983,17216141,,31763,5797.0,,7330910.0,65560.0,2120626,2810385,,,9976359.0,5722593,,26096635.0,0.0,990.0,36830,21559,143364,5196622,141376,8880494,30094.0,59084,0
2014-05-08,1,2014,2000112.0,7335294,804441,2323279,30470.0,,2227884,2227884.0,90824,2132121,132009,1426026,341948,1084078,0.0,97627,1244,243478,,9269,3577344,,0.0,0,2294833,49364.0,17732,4229798,,2108,96383.0,8420.0,249454,2810385,2014年03月31日,774821.0,,16274239,10947081,0,1542661.0,8966755,16687250,,30305,5797.0,7421255.0,,67739.0,2177082,2810385,,,9106517.0,5722593,,25380756.0,0.0,249.0,42135,22114,144586,5327158,139762,8693506,30765.0,58858,0
2014-08-08,2,2014,5764.0,6920927,788468,2333456,45228.0,,1689893,,-119029,108471,102707,403273,319302,83971,,91319,1293,255636,,9259,3431600,,0.0,424166,2394113,48806.0,24894,3985948,,1041,90026.0,8468.0,255580,2810385,2014年06月30日,784998.0,,15806304,11008207,0,1542661.0,6618412,14689064,,34971,5797.0,6761780.0,,73381.0,2278854,2810385,,,7170726.0,5983395,,22977030.0,0.0,60194.0,36829,23916,140551,4798097,552314,8287966,30154.0,75672,0
2014-11-07,3,2014,0.0,6684584,801800,2334097,30057.0,455.0,1435379,,55997,113062,113062,418639,332773,85866,,83465,1342,340831,,9448,3383943,,0.0,426395,2366167,30739.0,23227,4352325,,17348,82123.0,8228.0,218598,2810385,2014年09月30日,785639.0,,16007512,11185874,0,1542661.0,6218284,14660778,,34798,5797.0,6458421.0,,79773.0,2169937,2810840,,,6764973.0,5984940,,22772485.0,,45.0,36829,22868,141883,4821638,546689,8111707,30664.0,158836,0
2015-03-25,4,2014,0.0,6577956,154669,2142934,30216.0,,1207183,1207183.0,437858,168258,168258,431993,359444,72549,,98511,1107,392849,,14995,3671765,,0.0,428625,2646115,29200.0,25880,4346945,25224.0,1329,97404.0,7551.0,469151,2810839,2014年12月31日,594476.0,,16118396,11115620,0,1542661.0,6332404,15354115,,33033,5797.0,6846598.0,,89325.0,2166443,2810839,,,6897187.0,5723989,,23015583.0,,45.0,37647,26259,147106,5002776,564783,7661468,31956.0,198792,0
2015-05-07,1,2015,0.0,6388134,152958,2092276,29801.0,,1341666,,322152,203823,203823,383783,299141,84642,,96153,1117,313021,,12289,3549331,,0.0,430854,2117118,30709.0,17509,4017474,13711.0,1858,,6626.0,459389,2810839,2015年03月31日,543818.0,95454.0,15911726,10949256,0,1542661.0,5667064,14764685,95036.0,31060,5797.0,,6763205.0,,1860785,2810839,22142593.0,6230867.0,,5723989,22142593.0,,,5522.0,36796,26720,144104,4962470,563803,7377908,57575.0,99053,0
2015-08-11,2,2015,0.0,6155699,150808,2150887,27945.0,,1616589,,202432,237367,237367,386034,298757,87277,,93653,1128,297287,,12133,3516010,,0.0,433115,2540851,33080.0,6855,4183698,15135.0,807,,5753.0,420345,2810839,2015年06月30日,602429.0,88553.0,15422243,10926949,0,1542661.0,6029263,14925232,92525.0,33323,5797.0,,6795431.0,,1505968,2810839,22015415.0,6593172.0,,5762791,22015415.0,,,172.0,37141,26968,141411,4495294,563909,7090183,56766.0,86977,0
