date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他短期負債準備,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,員工福利負債準備－流動,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,24383.0,24383.0,1023788,2440784,,925107,,,,-24339,47503,23120.0,1226612,201088,,177229.0,1025524,130456,110.0,266016,,17536.0,,1824022,1824022.0,0.0,,,,,605069.0,726904,,,11393,,211862,22,130346.0,,1661188,2013年03月31日,,,5184115,5153870,0,2225304,6774098,,30643,,3345779.0,233950.0,85598,1661188,,194765,,2961616.0,1076237,,8145731.0,84,787.0,165801,0,51186,,30245,736312,1371633,0
2013-08-09,2,2013,,,1153511,1704292,,2064176,1034749.0,,,1700,37465,,1402525,169927,,,1232598,144831,,201456,,,1700.0,2684026,2684026.0,,,,,,498777.0,1724441,,,15188,1029427.0,274906,0,,,1675976,2013年06月30日,1704292.0,,4586448,4555885,0,4203979,7989770,,37887,,3460816.0,168588.0,190,1675976,,193510,,4847587.0,1173917,,9434035.0,421,0.0,167497,0,51411,,30563,643608,1444265,0
2013-11-12,3,2013,,,1161342,2071500,,929600,929600.0,,,-33079,24173,,1942898,252849,,,1690049,153274,,237224,,,-33079.0,2375786,2375786.0,,,,,,462634.0,1162267,,,11075,,291250,22,,,1684782,2013年09月30日,2071500.0,,4970267,4939507,0,2699568,6801532,,35097,,2032395.0,144488.0,222149,1684782,,205187,,3315943.0,1216304,,8286210.0,629,467.0,159181,0,51015,,30760,616375,1484678,0
2014-03-26,4,2013,0.0,0.0,4121238,2366578,,1095144,,,,-2593,61055,61055.0,1204747,249219,,189426.0,955528,112971,11846.0,211683,211683.0,21511.0,-2593.0,2872299,2872299.0,,,,,,439613.0,1427573,7628.0,,12552,,281834,11408,101125.0,134206.0,1690722,2013年12月31日,,,5330116,5299354,0,3010193,5551080,,35965,,1018069.0,195304.0,0,1690722,,210937,,4765332.0,1244647,,10095448.0,0,0.0,162723,2555,41276,1200000.0,30762,1755139,4544368,0
2014-05-08,1,2014,,0.0,4140918,2855945,,1094672,,,,32698,30233,30233.0,2051571,243724,,209651.0,1807847,125311,11847.0,241601,,21890.0,32698.0,2033989,,,,,,0.0,393843.0,925264,22696.0,300000.0,4760,,452555,0,113464.0,130963.0,1696996,2014年03月31日,,,5902355,5871954,0,4255400,6090964,,33171,1485753.0,,296878.0,1337765,1696996,,231541,,4777374.0,1286315,,10679729.0,11591,265.0,67096,2555,42112,0.0,30401,521974,4588765,0
2014-08-11,2,2014,,0.0,4170493,1896248,0.0,2481732,1170988.0,,,-24532,10984,10984.0,2148053,224227,,,1923826,129038,11749.0,256585,,,,3127935,,,,,0.0,0.0,337134.0,1887830,70876.0,499795.0,12152,1310744.0,374359,186,117289.0,205583.0,1704630,2014年06月30日,,,4945472,4913578,0,6906017,7602724,,43233,1891309.0,,203734.0,1526299,1704630,,212615,,7374744.0,1337232,,12320216.0,0,,60882,2555,41598,0.0,31894,468727,4717492,0
2014-11-10,3,2014,,330108.0,4221648,2354906,0.0,1048595,1048595.0,,,32212,360049,29941.0,1671305,292540,,,1378765,137057,11749.0,239231,,,,2914798,,,47202.0,,0.0,0.0,0.0,1619858,43724.0,,13316,,1552036,115,125308.0,207576.0,1905816,2014年09月30日,,,7669848,7653907,0,4202807,7251925,,44596,1005670.0,,189783.0,709683,1905816,,215378,,4342420.0,3360973,,12012268.0,2421,0.0,60799,2556,47292,0.0,15941,139613,4760343,0
2015-03-25,4,2014,,303112.0,4367751,2761090,0.0,1236191,,,,150917,308390,5278.0,1393383,266167,,231752.0,1127216,142438,16093.0,171408,,25779.0,,2745101,,,,,0.0,0.0,0.0,1384504,66109.0,,6028,,1318156,552,126345.0,210296.0,1909695,2014年12月31日,,,8223257,8207367,0,3616325,7158891,,42471,1648409.0,,257191.0,100001,1909695,,257531,,3770888.0,3385665,,11994145.0,380,,53290,12125,43328,0.0,15890,154563,4835254,0
2015-05-11,1,2015,,279370.0,4362244,3340912,0.0,1160587,,,,118734,319048,39678.0,2639583,279546,,263960.0,2360037,202045,10321.0,174765,,25616.0,,2066333,,,,,0.0,0.0,0.0,1116923,48730.0,0.0,2434,,961951,367,,207110.0,1913097,2015年03月31日,,388177.0,8797354,8780179,0,3814135,7970513,191724.0,40155,,2248414.0,,488570,1913097,12825659.0,289576,4028305.0,,3407436,12825659.0,,90,0.0,53865,12125,70872,,17175,214170,4855146,0
2015-08-11,2,2015,,276613.0,4410756,2300457,0.0,2697330,1224246.0,,0.0,83728,297880,21267.0,2654853,323003,,280888.0,2331850,198622,14551.0,265551,,26030.0,,3237170,,,,66958.0,0.0,0.0,0.0,1849073,74555.0,0.0,6426,1473084.0,740723,138,,196459.0,1913651,2015年06月30日,,270369.0,7768529,7721693,0,6293870,9291137,184071.0,36738,,2605638.0,,791319,1980609,14273146.0,306918,6504617.0,,3356899,14273146.0,,0,,52615,12125,72505,,46836,210747,4982009,0
