date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-15,1,2013,,,2313091,22767530,581851.0,34526,3524924,-180373,1974,1811884,1922.0,616310,8214,-183608,2363833,22856,1254740,20114,1234626,376222,13771,1130761,414186,-3235,7103,23589,2598965,13474,,,,,1913846,225107,699508,607133,0.0,0.0,3688508,183420,3495645,129385,355348.0,25104,2235207,6871133,2013年03月31日,1919302,,,13094662,10957038,1680000,595327,15995589,15542841,,74177,1010295,,2182293.0,159020.0,4158.0,8193933,6871133,,19403,,28805838.0,758063,,41900500.0,,689,11352,90354,12422675,0.0,635031,2137624,12810249,26357659,796689,57955,27886,,0
2013-08-01,2,2013,,,2409727,23254905,0.0,616377,3499138,5344,1799,1939492,926.0,540571,8232,138733,2513600,17851,647170,18191,628979,406378,41968,1361225,418469,133389,7191,22590,2320212,33528,,,,,1621936,271252,749596,946874,0.0,0.0,4002559,175611,2803013,153609,357219.0,25022,2477562,6871133,2013年06月30日,1847065,,,13433767,11233819,3560000,641778,14126010,12647332,,73763,1010295,,1318184.0,110685.0,451.0,5953761,6871133,,17888,,27063156.0,758343,,40496923.0,,657,11369,40737,12519399,0.0,642040,2199948,12937146,27849591,675264,278126,86022,,0
2013-11-11,3,2013,,,2731367,23038390,0.0,616377,3698548,97939,1692,1632518,1947.0,465446,8340,137848,2800620,25382,707070,23722,683348,380739,12716,1349100,417514,39909,7472,22813,2339977,27252,,,,,2672511,256654,429715,628099,0.0,0.0,4396946,196500,4163220,136305,360551.0,24941,2542764,6871133,2013年09月30日,2046475,,,13773602,11577119,2810000,641778,16654859,14477422,,71633,1010295,,1447264.0,95005.0,255.0,8120064,6997339,,17726,,28405331.0,770636,,42178933.0,,671,19590,58306,11350143,0.0,631258,2196483,11750472,27701511,613736,277515,43871,126206.0,12620638
2014-03-21,4,2013,,,3088482,23208263,0.0,619117,3911566,727347,1711,1486927,0.0,269856,1896,922306,3140863,19173,411909,35542,376367,381221,16893,1442802,456973,194959,7561,23547,2108690,27254,,,,,1767493,209567,424844,437503,,,4634879,238942,5107083,89482,356767.0,47708,3186742,7871133,2013年12月31日,2259493,,,14662994,13636550,2810000,641778,13948662,14631837,,71277,1010295,,1304284.0,140654.0,327.0,6322822,7871133,,17989,,28665799.0,958799,,43328793.0,,735,132952,121047,14202964,,638754,1026444,14717137,28696956,462043,323528,33208,,0
2014-05-09,1,2014,,,3516595,23063738,0.0,684121,3895403,641126,1644,1329220,181316.0,479928,1797,805694,3586806,7831,461411,35632,425779,385299,19332,1581843,462138,164568,7367,25425,2376838,27254,,0.0,,,2506165,267394,899610,242369,,,4441308,194032,5806691,110827,358600.0,39475,3121122,7871133,2014年03月31日,2243330,,,14517600,13507876,2810000,641778,16383838,15803529,,69833,1010295,1512462.0,,113588.0,259.0,7238246,7871133,,19124,,29968660.0,962900,,44486260.0,,745,90659,122599,13108864,,813572,1009724,13584822,28682731,415587,280708,62380,,0
2014-07-30,2,2014,,,4119852,22536658,,688260,3693437,821147,1563,2197800,0.0,545277,1772,811454,4205277,11984,156713,29540,127173,413964,48846,2060526,455370,-9693,7124,24103,2140210,27254,,0.0,,,2030946,232520,709779,50731,,,4360414,290424,5868468,58062,357994.0,31464,3405211,7871133,2014年06月30日,2293948,,,14330807,13318998,2810000,726565,17159911,15088110,,67406,672924,1303592.0,,117126.0,541.0,7597015,7871133,,18717,,29668871.0,970228,,43999678.0,,840,97990,122043,11997006,,794167,1011809,12508960,28911568,360234,786886,73441,,0
2014-11-12,3,2014,,,3875033,22861683,,714752,4153882,907118,1476,1656073,0.0,500383,2619,1136045,3961340,10005,216534,47246,169288,379988,14807,2509831,451992,228927,7530,25235,2193778,27254,,0.0,,1511161.0,2573117,242710,849805,0,,,4403299,337292,6658017,18418,357651.0,24617,3481051,8371133,2014年09月30日,2754393,,,15905924,14845314,2810000,726565,18029033,16856950,,67507,672924,2205957.0,,179466.0,261.0,8546719,8371133,,19803,,30725847.0,1211508,,46631771.0,,803,202822,115380,10602843,,791256,1060610,12696814,29774821,318113,1241348,76302,0.0,0
2015-03-20,4,2014,,,4293850,24232809,,714752,4143472,680699,1718,1652614,,572520,1554,1214674,4412062,10285,88783,61349,27434,400740,19178,2129168,452192,533975,7838,30881,2305711,27254,,0.0,1518797.0,1518797.0,2721091,310362,0,76527,,,4520748,335381,5940036,14787,373724.0,24535,3264663,8371133,2014年12月31日,2743983,,,15982096,14912739,2810000,726565,16387908,16855105,,69478,672924,2541070.0,,101641.0,0.0,7093963,8371133,,19648,,31431713.0,1210714,,47413809.0,,845,227133,123299,12897135,,839218,1069357,15043805,30558704,531952,806877,107927,,0
2015-05-08,1,2015,,,4445053,24015978,,714752,4320466,464985,1556,1689707,0.0,862001,1545,901465,4545110,15658,93740,29168,64572,400007,17921,2525464,453931,436480,9125,27716,2358812,27254,,0.0,,1526472.0,2539334,321078,699762,75961,,,4262524,171502,4995006,18231,,24454,3032653,8371133,2015年03月31日,2920977,170617.0,0.0,15840500,14776524,2810000,726565,17487634,15101957,372961.0,75824,672924,,1818095.0,,,7426097,8371133,45615577.0,19968,29775077.0,,1210714,45615577.0,,,893,218082,124495,10142882,,829239,1063976,12287443,30513620,518052,1214578,84399,,0
2015-08-13,2,2015,,,5020555,24016743,,714752,3910115,374258,1159,2488189,,778106,2468,665448,5110932,15545,102991,30591,72400,422788,40999,2960061,312988,291190,9216,25389,1831598,27254,,,,1534185.0,1690042,185100,799564,1211,,,4351931,162881,4476850,18974,,14713,3054268,8371133,2015年06月30日,2423263,127517.0,842.0,15180776,14131513,2810000,813928,16525712,13210548,372573.0,70428,672924,,1017122.0,,,6104971,8371133,44163311.0,18186,28982535.0,,1212071,44163311.0,,,944,202251,121798,10297599,,854852,1049263,12456823,30952763,464682,1766832,74832,,0
