date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,1575262,0.0,68715,2661062,0.0,28502,782838,315349,782838,19975,-50751,210015,210015,3246459,95720,28287,3150739,360389,37068,27491,403165,42776,830180,0.0,,,1147703,80581,,717273,15410,9577.0,83649,1360223,2949816,2013年03月31日,1825244,,6531027,6531027,0,701351,4369218,7508650,,28287,134467,,2573078.0,67556.0,1765176,2949816,,,4638514.0,970900,14840,0.0,31094,,194145,924966,730821,,11169541.0,,106275,232228,113088,,,269296,3660891,0
2013-08-09,2,2013,1562819,0.0,68715,2299966,14824.0,25061,1287082,397711,844610,235,-3539,179478,179478,3514877,92408,28983,3422469,394500,36210,26812,484275,89775,775257,0.0,147490.0,,1242378,102470,442472.0,703893,19886,9398.0,83528,1337306,2949816,2013年06月30日,1362638,,6387900,6365424,0,802861,5500593,8505021,,28983,134467,,3156510.0,43960.0,2247514,3097306,,,5786202.0,971691,14840,0.0,31094,791.0,194145,924966,730821,,12174102.0,,319539,249399,78394,,22476.0,285609,3669081,0
2013-11-04,3,2013,1570258,0.0,92879,2629043,14759.0,22269,1283097,403413,840625,1023,-37085,155838,155838,3228824,145741,28030,3083083,361929,35971,26656,438888,76959,852212,0.0,147490.0,,1534912,67425,442472.0,677440,22418,9315.0,83011,1429230,2949816,2013年09月30日,1691715,,6681966,6660955,0,802861,6185609,9460691,,28030,134467,,3628398.0,55368.0,2685556,3097306,,,6509411.0,971691,14840,0.0,31094,791.0,194145,924966,730821,,13191377.0,,1035617,287831,66121,,21011.0,323802,3730686,0
2014-03-31,4,2013,1558662,,92879,2910470,5864.0,21165,952116,409617,952116,1755,20363,521636,521636,6950924,288578,25025,6662346,337310,33432,25884,452336,115026,868124,0.0,,,1216756,69516,,796195,34190,7548.0,82827,1550182,3097306,2013年12月31日,1973142,,7018267,6999039,0,802861,9253240,13074810,,25025,134467,,2264617.0,55877.0,6027722,3097306,,,9909846.0,970900,14840,0.0,31094,,194145,924966,730821,,16928113.0,,2153141,325124,70227,298050.0,19228.0,656606,3853303,0
2014-05-13,1,2014,1328193,,100379,3282470,6047.0,31423,988001,404297,988001,89464,80460,849998,849998,8300394,324877,19913,7975517,824489,71661,64022,942628,118139,885914,,,0.0,1278925,49972,,1067511,38392,7639.0,82597,1698625,3097306,2014年03月31日,2345142,,7431136,7431136,0,802861,12428450,16299372,,19913,134467,3740619.0,,76010.0,8781247,3097306,,,13143314.0,970900,14840,,31094,,194145,924966,730821,,20574450.0,,2171031,338503,71320,304700.0,0.0,714864,4275078,0
2014-08-08,2,2014,1386110,,97540,1927614,0.0,31553,2467715,400986,981008,1315,20036,212841,212841,3138492,202609,17543,2935883,808027,70818,63088,968314,160287,1017050,,185838.0,0.0,1880019,123372,1486707.0,793909,31727,7730.0,12319,1544002,3097306,2014年06月30日,878201,,6201694,6201694,0,914946,8449495,11236812,,17543,134467,4958830.0,,57434.0,3307128,3283144,,,9158676.0,970900,14840,,31094,0.0,194145,924966,730821,,15360370.0,,1295489,339713,66177,298650.0,0.0,709181,4123558,0
2014-11-06,3,2014,1402596,,97540,2301230,0.0,23656,2344027,401248,857320,967,86606,301294,301294,3303716,421394,14454,2882322,823083,70353,62533,1001598,178515,953976,,185838.0,0.0,1558552,178906,1486707.0,876282,57755,7820.0,12302,1680134,3097306,2014年09月30日,1251817,,6641880,6641880,0,914946,9145758,12229234,,14454,134467,4401415.0,,60182.0,4301549,3283144,,,9886010.0,970900,14840,,31094,0.0,194145,924966,730821,,16527890.0,,2635123,365699,66376,304200.0,0.0,740252,4298656,0
2015-03-25,4,2014,1430103,,73376,2713890,0.0,23044,799022,387225,799022,2723,263291,228861,228861,3100392,224727,14744,2875665,1057655,66298,61775,1256606,198951,963034,,,0.0,1293131,174663,,708309,45326,4523.0,12611,1771115,3283144,2014年12月31日,1664477,,7231225,7231225,0,914946,7508746,10886530,,14744,134467,3007440.0,,106671.0,4519173,3283144,,,8310416.0,970900,14840,,31094,,194145,924966,730821,,15541641.0,,3059306,418872,73512,316500.0,0.0,801670,4655111,0
2015-05-06,1,2015,1402861,,73376,3048751,0.0,20393,785868,390562,785868,1014,201432,416029,416029,2883321,414442,25692,2468879,1023256,65989,61738,1233080,209824,1219595,,,0.0,1696162,139834,,761287,42052,,12171,1866546,3283144,2015年03月31日,1999338,127975.0,7504227,7504227,0,914946,7424921,11043637,4251.0,25692,134467,,3276288.0,,3868099,3283144,15737760.0,8233533.0,,970900,14840,,31094,,194145,924966,730821,15737760.0,,392.0,2860080,429623,60004,313000.0,0.0,808612,4694123,0
2015-08-10,2,2015,1341068,,73376,2552685,,14207,1628264,551,807478,83779,151556,129314,129314,2174303,177212,26109,1997091,1016856,65474,61497,1235245,218389,917135,,0.0,0.0,1338354,190336,820786.0,808426,70548,,62648,1834654,3283144,2015年06月30日,1355196,178399.0,6958285,6958285,0,1063022,7693231,10826770,3977.0,26109,134467,,3496118.0,,4228013,3283144,15485275.0,8526990.0,,970900,14840,,31094,,194145,924966,730821,15485275.0,,,3276461,459685,71198,308600.0,0.0,833759,4658505,0
