date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他權益合計,其他權益－其他,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應收票據－關係人淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－處分資產增益,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,1145691,329929.0,15672447,,,466140,382703,125909,,,9603697,,7139267,,,176972,245695,125909,48499627,,1764462.0,4130344,178467,4928,374059,47023,,223653,131554,45182,168051,,6076370,3668034,7714332,2013年03月31日,11567977,,,30403142,29801157,0,4104470,35974112,61465359,18172.0,0.0,,784004.0,901878.0,26335.0,19846069,7714332,,208909,,42597716.0,6288469,,21840.0,2086,5982878,24100,257565,,73000858.0,38804,2101796,25972,51608,4447289,601985,6623604,11535499,2345890,,0
2013-08-14,2,2013,1269219,317744.0,15268351,,,3217543,163358,179029,,0.0,7465367,,7608254,,,168174,244950,179029,48116686,,1780340.0,4723739,145803,6422,374179,77149,,26494,93636,86688,238755,48464.0,6370379,3666805,7714332,2013年06月30日,10682958,,,30128369,29450181,0,4585393,35929940,60958881,18172.0,0.0,,523091.0,428759.0,6127.0,19279969,7714332,,208293,,42762828.0,6288469,0.0,21840.0,2086,5982878,24100,257565,,72891197.0,47652,1828010,42946,45047,4633135,678188,6832888,11932316,2382676,,0
2013-11-12,3,2013,1457224,317744.0,16269623,,,292803,1246867,143339,,0.0,9523836,504964.0,8196234,451821.0,7744413.0,165554,237310,143339,51300491,,1796381.0,4772677,281600,26629,548138,229020,,190393,280018,46368,155425,,6988901,3586922,7714332,2013年09月30日,11684230,,,31223812,30421003,0,4585393,38143064,63914815,18172.0,0.0,,342901.0,226125.0,3999.0,20958169,7714332,,208307,,45342326.0,6293709,0.0,21840.0,7326,5982878,24100,257565,,76566138.0,37200,372990,32488,45050,4996532,802809,7199262,12651323,3025996,9018872.0,0
2014-03-28,4,2013,1658384,317744.0,18182266,,,1019151,1558747,215549,,0.0,9177959,203727.0,8275080,117409.0,8157671.0,165538,232211,215549,57860834,,1812585.0,6370384,372960,5467,1193380,1714377,,107615,486131,163371,143165,21610.0,7914757,3907504,8354332,2013年12月31日,13596873,,,36620067,35600616,0,4585393,41207397,70935264,18172.0,0.0,,409160.0,454402.0,50830.0,19253242,8354332,,208266,,48409012.0,8848469,0.0,21840.0,2086,8542878,24100,257565,,85029079.0,87328,13,45828,45043,4969398,1019451,7201615,14093815,3417455,8974232.0,0
2014-05-13,1,2014,1828739,317744.0,19368180,,,1011485,1280976,182515,,0.0,8987183,165817.0,8110678,107651.0,8003027.0,187210,231870,182515,60890031,0.0,1786301.0,5362084,355918,8230,1185805,209051,48300.0,75249,403600,70559,113221,124198.0,8509785,3781221,8354332,2014年03月31日,14782787,,,37768572,36753496,0,4585393,42877447,73691777,18172.0,,396206.0,,590146.0,29802.0,23781571,8354332,,208086,,50651845.0,8848469,0.0,30209.0,2086,8542878,24100,249196,,88420417.0,56698,13,37566,41109,5555235,1015076,7774398,14728640,3478220,8821366.0,0
2014-08-14,2,2014,3642531,317661.0,18274753,,,2061274,1082369,87770,,0.0,10136668,1016923.0,7847671,119272.0,7728399.0,358431,210152,87770,63641804,0.0,1013725.0,6639625,320865,0,1122622,92230,,78604,471404,122959,147784,0.0,8655099,3693286,8354332,2014年06月30日,13019916,,,37135859,35569588,0,5254837,48131572,76533916,18172.0,,640071.0,,695011.0,34966.0,25843547,8354332,,208111,,55976072.0,8852733,0.0,30209.0,6350,8542878,24100,249196,,93111931.0,137361,10,18161,41114,6246072,1566271,7844500,16578015,3548643,9119745.0,0
2014-11-13,3,2014,4133735,317661.0,19083248,,,836193,1272090,216303,,0.0,11182321,1140864.0,8217435,117908.0,8099527.0,189922,218603,216303,67113627,0.0,1025679.0,6729688,486749,148758,1720750,171682,,207371,119468,140495,79542,0.0,9055340,3779008,8354332,2014年09月30日,13828411,,,39637299,36549223,0,5254837,49567477,80063473,18172.0,,365381.0,,588187.0,6593.0,26289451,8354332,,207760,,57989747.0,8895340,0.0,30209.0,48957,8542878,24100,249196,,97627046.0,141608,10,44487,41054,6954422,3088076,8422270,17563573,3813551,10041457.0,0
2015-03-30,4,2014,40553,317494.0,21939955,,,980443,701970,400235,,0.0,13198821,2141760.0,5901637,103013.0,5798624.0,174988,203721,400235,71656156,0.0,0.0,8583839,667075,13304,1584375,227385,,597439,710376,163538,89221,0.0,2112538,8185265,8354332,2014年12月31日,16685118,,,39623742,39615262,0,5254837,53784652,84952881,0.0,,2368089.0,,482507.0,0.0,27205984,8354332,,207755,,56243571.0,8920740,0.0,30209.0,74357,8542878,24100,249196,,95867313.0,138949,10,111642,54861,1964534,8480,2458919,10914432,3466415,11057061.0,0
2015-05-14,1,2015,38974,317494.0,23395280,,,906070,650109,345020,,0.0,11875265,273779.0,6094372,31368.0,6063004.0,178993,192401,345020,71875129,0.0,0.0,7451200,803734,407440,1501945,1483477,0.0,92990,1517389,20807,260675,0.0,2103824,8258596,8354332,2015年03月31日,18140443,797162.0,11307.0,41024173,41015372,0,5254837,52068692,84588256,0.0,,,1419518.0,,,26192263,8354332,95554487.0,207755,54530314.0,,8920740,0.0,279080.0,74357,8542878,24100,325,95554487.0,,27,9,122845,54942,1952029,8801,2461622,10966231,3296060,11601486.0,0
2015-08-13,2,2015,36871,317494.0,22271986,,,4308596,311009,260740,,0.0,10520566,247777.0,6664476,80271.0,6584205.0,171070,190056,260740,71968786,0.0,0.0,6886079,421489,696991,5190401,129597,,66082,1151384,26408,183982,96198.0,2095110,8807170,8354332,2015年06月30日,16516485,784992.0,4813.0,39827939,39820217,0,5755501,55738382,86550896,0.0,,,1521723.0,,,26488635,8354332,98052528.0,207755,58224589.0,,8933159,0.0,279251.0,86776,8542878,24100,154,98052528.0,,27,1680291,167857,54931,1939525,7722,2486207,11501632,3186753,10272789.0,0
